;victoire;not_lose;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDA;FDD;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;top_GK;top_MF;top_DM;top_DF;top_FW;year;cluster;result;Domicile;reste;3-5-2;4-3-3;4-4-2;4-5-1;Cluster1;Cluster2;Cluster3;key;opp_cluster
19;0;0;0;42.0;24.1;4-5-1;4.0;16.8;81.7;11.0;20.0;-394.18;10;9;4-5-1;Bologna;automne;13.0;0;5;1;16.0;1.0;13.0;Milan;325.983;399.0;1.7858063328424154;-2.530952380952381;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaMilan2021;1.0
21;0;0;0;60.0;24.1;4-5-1;7.0;18.5;80.1;7.0;15.0;103.47;6;10;4-5-1;Bologna;automne;17.0;0;1;0;7.0;0.0;13.0;Benevento;386.082;482.0;1.9457965144820808;-0.9041666666666668;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaBenevento2021;0.0
23;0;0;0;52.0;24.1;4-5-1;5.0;18.0;82.4;14.0;16.0;-172.73;6;10;3-5-2;Bologna;automne;21.0;0;3;0;10.0;0.0;14.0;Lazio;431.77600000000007;524.0;2.3281173294059894;-0.6666666666666665;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaLazio2021;2.0
25;1;1;1;52.0;24.1;4-5-1;9.0;20.6;78.1;11.0;11.0;-34.23000000000002;4;10;4-5-1;Bologna;automne;22.0;0;3;0;7.0;0.0;18.0;Cagliari;378.785;485.0;2.4595729013254783;-0.3684523809523811;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;1;0;0;0;0;1;0;0;1;BolognaCagliari2021;3.0
27;0;0;1;48.0;24.1;4-5-1;3.0;20.9;78.5;14.0;12.0;-376.6;8;11;4-5-1;Bologna;automne;9.0;0;3;0;19.0;1.0;11.0;Napoli;387.79;494.0;1.144704221894944;-2.0166666666666666;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;1;0;0;0;0;1;0;0;1;BolognaNapoli2021;1.0
29;1;1;1;51.0;24.1;4-5-1;7.0;13.7;74.2;12.0;15.0;100.85;4;11;3-5-2;Bologna;automne;14.0;0;2;0;8.0;0.0;18.0;Crotone;336.86800000000005;454.0;2.235481099656357;-0.6136904761904761;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;1;0;0;0;0;1;0;0;1;BolognaCrotone2021;0.0
31;0;0;1;54.0;24.1;4-5-1;1.0;17.2;81.9;15.0;14.0;-242.05;8;12;3-4-3;Bologna;reste;7.0;0;4;0;15.0;0.0;9.0;Roma;420.14700000000005;513.0;1.117568728522337;-0.8035714285714286;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;1;1;0;0;0;1;0;0;1;BolognaRoma2021;
32;0;1;1;47.0;24.1;4-5-1;3.0;17.2;80.6;13.0;12.0;-276.4;3;12;3-5-2;Bologna;reste;9.0;0;2;0;11.0;1.0;14.0;Atalanta;428.792;532.0;1.5479258713794797;-1.5547619047619048;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;1;1;0;0;0;1;0;0;1;BolognaAtalanta2021;2.0
33;0;1;0;53.0;24.1;4-5-1;3.0;17.0;84.6;4.0;11.0;-133.20000000000002;11;1;3-5-2;Bologna;reste;7.0;0;3;0;9.0;0.0;8.0;Fiorentina;451.764;534.0;1.0975208640157097;-1.0017857142857145;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;0;1;0;0;0;1;0;0;1;BolognaFiorentina2021;3.0
35;0;1;1;37.0;24.1;4-5-1;6.0;19.9;78.2;8.0;16.0;-19.400000000000006;3;1;3-5-2;Bologna;reste;10.0;0;4;1;17.0;1.0;13.0;Udinese;269.008;344.0;1.3843458517427587;-2.5619047619047617;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;1;1;0;0;0;1;0;0;1;BolognaUdinese2021;3.0
