;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;top_MO;top_AIL;top_MIL;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
25;2021-05-12;W;1;1;Home;1;71.0;25,0;4-5-1;4.0;16.0;87.9;6.0;19.0;379.87;3;5;3-5-2;Atalanta;reste;15.0;0;2;0;6.0;4.0;0.0;11.0;Benevento;654.855;745.0;-1.025595238095238;1.9091863033873344;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;264;160;1;1;1;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
28;2020-09-21;L;0;0;Away;0;42.0;24,1;4-5-1;4.0;16.8;81.7;11.0;20.0;-394.18;10;9;4-5-1;Bologna;automne;13.0;0;5;1;3.0;16.0;1.0;13.0;Milan;325.983;399.0;-2.530952380952381;1.7858063328424154;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
29;2020-10-04;L;0;0;Away;0;60.0;24,1;4-5-1;7.0;18.5;80.1;7.0;15.0;103.47;6;10;4-5-1;Bologna;automne;17.0;0;1;0;2.0;7.0;0.0;13.0;Benevento;386.082;482.0;-0.9041666666666668;1.9457965144820815;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
31;2020-10-24;L;0;0;Away;0;52.0;24,1;4-5-1;5.0;18.0;82.4;14.0;16.0;-172.73;6;10;3-5-2;Bologna;automne;21.0;0;3;0;3.0;10.0;0.0;14.0;Lazio;431.77600000000007;524.0;-0.6666666666666665;2.3281173294059894;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
32;2020-10-31;W;1;1;Home;1;52.0;24,1;4-5-1;9.0;20.6;78.1;11.0;11.0;-34.23000000000002;4;10;4-5-1;Bologna;automne;22.0;0;3;0;3.0;7.0;0.0;18.0;Cagliari;378.785;485.0;-0.3684523809523811;2.4595729013254783;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
33;2020-11-08;L;0;0;Home;1;48.0;24,1;4-5-1;3.0;20.9;78.5;14.0;12.0;-376.6;8;11;4-5-1;Bologna;automne;9.0;0;3;0;0.0;19.0;1.0;11.0;Napoli;387.79;494.0;-2.0166666666666666;1.144704221894944;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
34;2020-11-29;W;1;1;Home;1;51.0;24,1;4-5-1;7.0;13.7;74.2;12.0;15.0;100.85;4;11;3-5-2;Bologna;automne;14.0;0;2;0;4.0;8.0;0.0;18.0;Crotone;336.86800000000005;454.0;-0.6136904761904761;2.2354810996563574;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
36;2020-12-13;L;0;0;Home;1;54.0;24,1;4-5-1;1.0;17.2;81.9;15.0;14.0;-242.05;8;12;3-4-3;Bologna;reste;7.0;0;4;0;2.0;15.0;0.0;9.0;Roma;420.14700000000005;513.0;-0.8035714285714286;1.117568728522337;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;99;160;0;1;1;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
37;2020-12-23;D;0;1;Home;1;47.0;24,1;4-5-1;3.0;17.2;80.6;13.0;12.0;-276.4;3;12;3-5-2;Bologna;reste;9.0;0;2;0;2.0;11.0;1.0;14.0;Atalanta;428.792;532.0;-1.5547619047619048;1.5479258713794795;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
38;2021-01-03;D;0;1;Away;0;53.0;24,1;4-5-1;3.0;17.0;84.6;4.0;11.0;-133.20000000000002;11;1;3-5-2;Bologna;reste;7.0;0;3;0;4.0;9.0;0.0;8.0;Fiorentina;451.764;534.0;-1.0017857142857145;1.0975208640157095;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
39;2021-01-06;D;0;1;Home;1;37.0;24,1;4-5-1;6.0;19.9;78.2;8.0;16.0;-19.400000000000006;3;1;3-5-2;Bologna;reste;10.0;0;4;1;3.0;17.0;1.0;13.0;Udinese;269.008;344.0;-2.5619047619047617;1.3843458517427587;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
40;2021-01-09;L;0;0;Away;0;64.0;24,1;4-5-1;3.0;24.7;81.0;12.0;9.0;41.66999999999999;3;1;3-5-2;Bologna;reste;14.0;0;0;0;2.0;10.0;0.0;11.0;Genoa;524.88;648.0;-0.3720238095238094;1.3119231713303876;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
41;2021-01-16;W;1;1;Home;1;48.0;24,1;4-5-1;4.0;17.1;72.2;14.0;15.0;-3.6100000000000136;7;1;3-4-3;Bologna;reste;19.0;1;2;0;1.0;8.0;1.0;10.0;Hellas-Verona;345.116;478.0;-1.4708333333333332;1.869747177221404;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;99;160;0;1;1;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
42;2021-01-30;L;0;0;Home;1;49.0;24,1;4-5-1;5.0;19.7;76.9;7.0;13.0;-394.18;6;1;4-5-1;Bologna;reste;11.0;0;2;0;1.0;13.0;1.0;12.0;Milan;362.968;472.0;-2.1791666666666667;1.3833456062837506;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
