;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;top_MO;top_AIL;top_MIL;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
67;2021-01-03;D;0;1;Home;1;47.0;25,7;3-5-2;0.0;18.2;81.8;6.0;8.0;133.20000000000002;12;1;4-5-1;Fiorentina;reste;9.0;0;4;0;3.0;7.0;0.0;11.0;Bologna;390.186;477.0;-0.5380952380952382;1.3231651939126168;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
68;2021-01-06;L;0;0;Away;0;55.0;25,7;3-5-2;4.0;14.4;82.7;12.0;11.0;-39.529999999999966;3;1;3-5-2;Fiorentina;reste;11.0;1;1;0;3.0;13.0;1.0;11.0;Lazio;444.926;538.0;-1.6970238095238095;1.6630891016200295;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
70;2021-01-23;W;1;1;Home;1;45.0;25,7;3-5-2;6.0;18.1;80.4;14.0;12.0;234.05;6;1;3-5-2;Fiorentina;reste;13.0;0;2;0;2.0;10.0;1.0;17.0;Crotone;340.89600000000013;424.0;-1.4166666666666665;1.9533198330878743;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
71;2021-01-29;D;0;1;Away;0;48.0;25,7;3-5-2;1.0;17.0;77.1;13.0;15.0;111.52;6;1;3-5-2;Fiorentina;reste;8.0;0;2;2;2.0;15.0;2.0;20.0;Torino;323.81999999999994;420.0;-3.008928571428571;1.8249018163966615;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
73;2021-02-14;L;0;0;Away;0;51.0;25,7;3-5-2;6.0;18.4;69.7;15.0;12.0;159.62;9;2;4-5-1;Fiorentina;reste;16.0;0;3;0;1.0;8.0;0.0;14.0;Sampdoria;333.86300000000006;479.0;-0.21190476190476182;1.8229749631811487;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
74;2021-02-28;L;0;0;Away;0;54.0;25,7;3-5-2;2.0;19.3;78.2;8.0;20.0;113.8;9;2;3-5-2;Fiorentina;reste;8.0;0;2;0;1.0;9.0;0.0;12.0;Udinese;391.0;500.0;-1.2785714285714287;1.2194403534609721;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
75;2021-03-03;L;0;0;Home;1;41.0;25,7;3-5-2;2.0;18.6;73.1;13.0;9.0;-108.84999999999997;3;3;3-4-3;Fiorentina;reste;7.0;0;1;0;2.0;12.0;0.0;15.0;Roma;296.05499999999995;405.0;-0.43392857142857144;1.3156418753068237;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;99;200;0;0;0;1;0;0;0;0;3;3;2;3;5;4;-1;0;1;0
77;2021-04-03;D;0;1;Away;0;44.0;25,7;3-5-2;3.0;19.7;80.5;12.0;10.0;174.87;13;4;3-5-2;Fiorentina;reste;10.0;0;1;1;2.0;8.0;0.0;17.0;Genoa;355.005;441.0;-0.3011904761904761;1.6720360824742269;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
78;2021-04-11;L;0;0;Home;1;40.0;25,7;3-5-2;2.0;16.9;75.0;14.0;15.0;-143.2;8;4;3-5-2;Fiorentina;reste;10.0;0;3;0;1.0;14.0;3.0;13.0;Atalanta;315.0;420.0;-3.8708333333333336;1.5008897889052526;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
79;2021-04-17;L;0;0;Away;0;29.0;25,7;3-5-2;5.0;17.0;68.2;10.0;16.0;45.06;6;4;4-5-1;Fiorentina;reste;7.0;0;5;0;3.0;9.0;3.0;8.0;Sassuolo;199.144;292.0;-3.8857142857142852;0.9022827687776139;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
80;2021-04-20;W;1;1;Away;0;36.0;25,7;3-5-2;3.0;18.6;70.5;14.0;19.0;129.59;3;4;3-4-3;Fiorentina;reste;5.0;1;3;0;2.0;9.0;0.0;16.0;Hellas-Verona;246.045;349.0;-0.7875000000000001;1.2138561610211092;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;99;200;0;0;0;1;0;0;0;0;3;3;2;3;5;4;-1;0;1;0
81;2021-04-25;D;0;1;Home;1;33.0;25,7;3-5-2;3.0;21.6;70.2;10.0;13.0;-346.49999999999994;5;4;3-5-2;Fiorentina;reste;11.0;1;3;0;1.0;9.0;0.0;16.0;Juventus;202.878;289.0;-0.6982142857142858;1.4556455571919489;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
82;2021-05-02;D;0;1;Away;0;38.0;25,7;3-5-2;2.0;18.7;71.9;7.0;12.0;133.20000000000002;7;5;3-4-3;Fiorentina;reste;8.0;1;2;0;2.0;12.0;1.0;16.0;Bologna;232.956;324.0;-2.05;1.4253681885125182;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;99;200;0;0;0;1;0;0;0;0;3;3;2;3;5;4;-1;0;1;0
83;2021-05-08;W;1;1;Home;1;30.0;25,7;3-5-2;4.0;13.1;70.3;8.0;12.0;-39.529999999999966;6;5;3-5-2;Fiorentina;reste;9.0;0;4;0;9.0;11.0;0.0;14.0;Lazio;184.889;263.0;-0.911904761904762;1.6366470299459988;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
84;2021-05-12;D;0;1;Away;0;44.0;25,7;3-5-2;0.0;16.4;79.1;8.0;10.0;98.97;4;5;4-5-1;Fiorentina;reste;2.0;0;2;0;1.0;8.0;0.0;18.0;Cagliari;325.101;411.0;-0.5869047619047618;1.354639175257732;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
85;2021-05-16;L;0;0;Home;1;41.0;25,7;3-5-2;3.0;15.4;80.1;5.0;15.0;-243.40000000000003;4;5;4-5-1;Fiorentina;reste;7.0;0;5;1;2.0;20.0;2.0;9.0;Napoli;285.156;356.0;-3.913690476190476;1.1889236622484045;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
86;2021-05-22;D;0;1;Away;0;46.0;25,7;3-5-2;1.0;20.4;82.4;3.0;10.0;234.05;6;5;3-5-2;Fiorentina;reste;9.0;0;2;0;2.0;13.0;1.0;11.0;Crotone;397.168;482.0;-2.2773809523809523;1.2169059891998038;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
95;2020-12-12;W;1;1;Away;0;41.0;24,2;4-5-1;4.0;13.9;71.7;15.0;15.0;-169.11999999999995;6;12;3-5-2;Hellas-Verona;reste;7.0;0;3;0;5.0;12.0;0.0;13.0;Lazio;298.9890000000001;417.0;-0.6660714285714286;1.4162432498772706;Hellas-Verona;1.0;0.0;0.0;0.0;0.0;2.566978304146168;0.8308363501331328;0.0;0.9601395171089998;0.022707852437762188;264;160;0;0;0;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
119;2020-09-26;W;1;1;Home;1;67.0;25,2;3-5-2;8.0;18.3;86.9;12.0;14.0;377.1;10;9;3-5-2;Internazionale;automne;21.0;0;1;0;1.0;10.0;0.0;11.0;Fiorentina;611.7760000000002;704.0;-0.6845238095238094;2.178724840451644;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
120;2020-10-04;D;0;1;Away;0;60.0;25,2;3-5-2;3.0;16.9;84.5;10.0;13.0;337.57;4;10;3-5-2;Internazionale;automne;12.0;0;4;1;4.0;12.0;0.0;14.0;Lazio;545.025;645.0;-0.8982142857142857;1.8098183603338245;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
121;2020-10-17;L;0;0;Home;1;55.0;25,2;3-5-2;5.0;13.7;80.5;14.0;18.0;116.12;13;10;4-5-1;Internazionale;automne;18.0;0;3;0;3.0;10.0;1.0;11.0;Milan;396.06;492.0;-1.7916666666666665;2.139647766323024;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
122;2020-10-24;W;1;1;Away;0;60.0;25,2;3-5-2;4.0;15.5;84.0;12.0;17.0;551.97;3;10;3-5-2;Internazionale;automne;14.0;0;1;0;1.0;1.0;0.0;11.0;Genoa;592.2;705.0;-0.27202380952380956;1.821864261168385;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
123;2020-11-08;D;0;1;Away;0;48.0;25,2;3-5-2;3.0;16.7;85.2;5.0;13.0;233.9;5;11;3-4-3;Internazionale;automne;10.0;0;3;0;1.0;9.0;2.0;15.0;Atalanta;448.152;526.0;-3.055357142857143;1.7576276386843395;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;99;200;0;0;0;0;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
124;2020-11-22;W;1;1;Home;1;56.0;25,2;3-5-2;3.0;14.1;85.5;10.0;20.0;488.62;14;11;3-5-2;Internazionale;automne;12.0;1;3;0;2.0;12.0;2.0;14.0;Torino;482.22;564.0;-3.3357142857142854;1.9660530191458028;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
125;2020-11-28;W;1;1;Away;0;35.0;25,2;3-5-2;4.0;17.1;81.1;15.0;16.0;422.16;3;11;4-5-1;Internazionale;automne;11.0;0;1;0;3.0;13.0;0.0;13.0;Sassuolo;321.967;397.0;-0.7952380952380953;1.6298662248404514;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
126;2020-12-05;W;1;1;Home;1;46.0;25,2;3-5-2;7.0;15.0;81.8;7.0;12.0;510.3;4;12;3-4-3;Internazionale;reste;14.0;0;1;0;2.0;14.0;2.0;13.0;Bologna;413.908;506.0;-3.1833333333333336;1.9464469808541973;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;99;200;0;0;0;0;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
127;2020-12-13;W;1;1;Away;0;58.0;25,2;3-5-2;11.0;14.4;85.5;11.0;17.0;476.07;4;12;4-5-1;Internazionale;reste;21.0;0;1;0;2.0;11.0;0.0;11.0;Cagliari;536.085;627.0;-1.0101190476190478;2.3630891016200293;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
128;2020-12-16;W;1;1;Home;1;41.0;25,2;3-5-2;1.0;19.1;86.7;8.0;17.0;133.69999999999993;3;12;4-5-1;Internazionale;reste;4.0;1;5;0;4.0;17.0;0.0;9.0;Napoli;404.02200000000005;466.0;-1.624404761904762;0.8767734413352969;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
130;2021-01-03;W;1;1;Home;1;48.0;25,2;3-5-2;8.0;17.0;84.4;9.0;9.0;611.15;11;1;3-5-2;Internazionale;reste;16.0;0;0;0;3.0;8.0;1.0;7.0;Crotone;427.908;507.0;-1.4529761904761904;1.6326399116347567;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
131;2021-01-10;D;0;1;Away;0;50.0;25,2;3-5-2;6.0;12.4;84.4;6.0;11.0;268.25;4;1;3-4-3;Internazionale;reste;17.0;0;3;0;3.0;14.0;0.0;18.0;Roma;480.2360000000001;569.0;-1.1922619047619047;2.6239199803632793;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;99;200;0;0;0;0;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
132;2021-01-23;D;0;1;Away;0;61.0;25,2;3-5-2;4.0;22.3;85.1;7.0;16.0;490.9;6;1;3-5-2;Internazionale;reste;10.0;0;2;0;3.0;6.0;0.0;11.0;Udinese;578.68;680.0;-0.8999999999999999;1.2177773686794302;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
133;2021-02-14;W;1;1;Home;1;36.0;25,2;3-5-2;6.0;17.6;74.0;12.0;7.0;337.57;5;2;3-5-2;Internazionale;reste;11.0;1;2;0;1.0;14.0;1.0;4.0;Lazio;307.84;416.0;-1.5136904761904764;0.9570692194403534;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
134;2021-02-21;W;1;1;Away;0;40.0;25,2;3-5-2;6.0;15.1;80.7;15.0;10.0;116.12;7;2;4-5-1;Internazionale;reste;16.0;0;1;0;2.0;14.0;0.0;9.0;Milan;342.168;424.0;-0.48690476190476195;1.8115304369170349;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
135;2021-02-28;W;1;1;Home;1;51.0;25,2;3-5-2;12.0;15.9;85.8;8.0;12.0;551.97;7;2;3-5-2;Internazionale;reste;24.0;0;0;0;2.0;3.0;0.0;8.0;Genoa;501.93;585.0;-0.37857142857142856;2.301840942562592;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
136;2021-03-08;W;1;1;Home;1;44.0;25,2;3-5-2;1.0;17.4;80.9;28.0;11.0;233.9;4;3;3-4-3;Internazionale;reste;5.0;0;0;0;1.0;13.0;0.0;17.0;Atalanta;419.871;519.0;0.4458333333333333;1.462021354933726;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;99;200;0;0;0;0;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
137;2021-03-14;W;1;1;Away;0;68.0;25,2;3-5-2;2.0;15.3;86.4;5.0;12.0;488.62;6;3;3-5-2;Internazionale;reste;12.0;1;1;0;0.0;7.0;0.0;11.0;Torino;637.6320000000002;738.0;-0.8595238095238096;1.7274116347569957;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
138;2021-04-03;W;1;1;Away;0;44.0;25,2;3-5-2;3.0;18.1;78.6;8.0;15.0;510.3;20;4;4-5-1;Internazionale;reste;14.0;0;4;0;4.0;12.0;1.0;17.0;Bologna;367.848;468.0;-2.1660714285714286;1.9985579283259693;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
139;2021-04-07;W;1;1;Home;1;30.0;25,2;3-5-2;2.0;13.7;86.0;8.0;8.0;422.16;4;4;4-5-1;Internazionale;reste;7.0;0;2;0;3.0;15.0;1.0;13.0;Sassuolo;331.1;385.0;-1.9285714285714286;1.596790623465881;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
140;2021-04-11;W;1;1;Home;1;53.0;25,2;3-5-2;7.0;18.8;88.0;4.0;10.0;476.07;4;4;3-5-2;Internazionale;reste;15.0;0;1;0;1.0;7.0;0.0;12.0;Cagliari;570.24;648.0;-0.8059523809523811;1.8285468826705937;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
141;2021-04-18;D;0;1;Away;0;44.0;25,2;3-5-2;2.0;16.9;88.6;7.0;12.0;133.69999999999993;7;4;4-5-1;Internazionale;reste;10.0;0;2;0;5.0;12.0;0.0;12.0;Napoli;434.14;490.0;-1.05;1.6002945508100148;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
142;2021-04-25;W;1;1;Home;1;49.0;25,2;3-5-2;3.0;20.4;84.1;8.0;7.0;506.69;4;4;3-4-3;Internazionale;reste;12.0;0;0;0;3.0;12.0;0.0;13.0;Hellas-Verona;464.232;552.0;-0.6660714285714286;1.562144084437899;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;99;200;0;0;0;0;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
143;2021-05-01;W;1;1;Away;0;62.0;25,2;3-5-2;5.0;16.0;88.3;6.0;9.0;611.15;6;5;3-5-2;Internazionale;reste;23.0;0;2;0;1.0;6.0;1.0;10.0;Crotone;589.844;668.0;-1.5339285714285713;2.3847815414825724;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;264;200;0;0;0;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
144;2021-05-08;W;1;1;Home;1;55.0;25,2;3-5-2;6.0;18.9;87.9;11.0;10.0;536.72;7;5;4-5-1;Internazionale;reste;13.0;1;0;0;2.0;14.0;0.0;14.0;Sampdoria;559.044;636.0;-0.7726190476190476;1.8138684339715265;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
145;2021-05-12;W;1;1;Home;1;52.0;25,2;3-5-2;5.0;17.8;89.5;4.0;4.0;268.25;4;5;4-5-1;Internazionale;reste;14.0;0;0;0;4.0;20.0;0.0;12.0;Roma;511.045;571.0;-1.2976190476190474;1.8312837506136475;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531291;1.2861986228571551;212;200;0;0;0;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
146;2020-09-20;W;1;1;Home;1;66.0;24,7;3-5-2;8.0;17.3;88.7;16.0;15.0;506.12;10;9;4-5-1;Juventus;automne;20.0;0;1;0;1.0;15.0;1.0;9.0;Sampdoria;676.7810000000002;763.0;-1.7946428571428572;2.0600331369661267;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;212;200;1;1;0;1;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
148;2020-10-25;D;0;1;Home;1;62.0;24,7;3-5-2;6.0;17.7;84.9;13.0;14.0;476.08999999999986;5;10;3-4-3;Juventus;automne;22.0;0;1;0;4.0;6.0;0.0;19.0;Hellas-Verona;534.0210000000002;629.0;-0.3464285714285713;2.752509818360334;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;99;200;1;1;0;1;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
154;2020-12-22;L;0;0;Home;1;54.0;24,7;3-5-2;3.0;22.7;86.6;7.0;9.0;346.49999999999994;3;12;3-5-2;Juventus;reste;13.0;0;1;1;4.0;9.0;0.0;17.0;Fiorentina;446.856;516.0;-0.6625000000000001;1.7900159548355423;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;264;200;1;1;0;1;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
162;2021-02-27;D;0;1;Away;0;55.0;24,7;3-5-2;5.0;19.4;76.7;11.0;14.0;476.08999999999986;5;2;3-4-3;Juventus;reste;15.0;0;2;0;2.0;13.0;0.0;18.0;Hellas-Verona;391.93700000000007;511.0;-0.955952380952381;2.038095238095238;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;99;200;1;1;0;1;1;0;0;0;3;3;2;3;5;4;-1;0;1;0
163;2021-03-06;W;1;1;Home;1;52.0;24,7;4-5-1;4.0;18.8;84.4;22.0;10.0;306.97;4;3;3-5-2;Juventus;reste;6.0;1;0;0;1.0;15.0;1.0;13.0;Lazio;476.86;565.0;-1.0535714285714286;1.248189739813451;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;264;160;1;1;0;1;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
170;2021-04-25;D;0;1;Away;0;67.0;24,7;3-5-2;1.0;13.7;85.4;14.0;16.0;346.49999999999994;4;4;3-5-2;Juventus;reste;9.0;0;1;0;3.0;11.0;3.0;13.0;Fiorentina;491.904;576.0;-3.7333333333333334;1.7229810996563577;Juventus;2.0;0.0;1.0;1.0;1.0;3.774787134552288;1.7652681703257436;4.151806104768186;0.9680577416566519;2.72725871754998;264;200;1;1;0;1;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
175;2020-09-30;L;0;0;Home;1;61.0;25,6;3-5-2;5.0;14.5;81.0;14.0;16.0;-103.67000000000002;4;9;3-4-3;Lazio;automne;14.0;0;7;0;2.0;10.0;1.0;11.0;Atalanta;559.71;691.0;-1.6666666666666665;1.8376963672066764;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625;99;200;0;1;0;0;0;0;0;0;3;3;2;3;5;4;-1;0;1;0
176;2020-10-04;D;0;1;Home;1;40.0;25,6;3-5-2;4.0;14.8;81.5;15.0;14.0;-337.57;4;10;3-5-2;Lazio;automne;12.0;0;3;1;5.0;12.0;0.0;13.0;Internazionale;356.155;437.0;-0.6035714285714286;1.8198514972999509;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625;264;200;0;1;0;0;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
177;2020-10-24;W;1;1;Home;1;48.0;25,6;3-5-2;3.0;18.1;79.2;18.0;14.0;172.73;4;10;4-5-1;Lazio;automne;10.0;0;3;0;3.0;21.0;1.0;16.0;Bologna;388.87200000000007;491.0;-1.989285714285714;1.6765341188021594;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625;212;200;0;1;0;0;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
178;2020-11-21;W;1;1;Away;0;48.0;25,6;3-5-2;9.0;15.3;65.1;16.0;10.0;273.58;13;11;3-5-2;Lazio;automne;15.0;0;4;0;3.0;13.0;0.0;11.0;Crotone;326.151;501.0;-0.3488095238095239;1.6738402061855668;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625;264;200;0;1;0;0;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
179;2020-11-29;L;0;0;Home;1;56.0;25,6;3-5-2;5.0;23.4;81.7;11.0;16.0;153.32999999999996;5;11;3-5-2;Lazio;automne;10.0;1;3;0;4.0;9.0;0.0;10.0;Udinese;486.115;595.0;-0.8142857142857144;1.058100147275405;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625;264;200;0;1;0;0;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
