;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
0;2022-08-13;W;1;1;Away;0;45.0;26.4;3-5-2;3.0;14.4;76.7;11.0;21.0;258.05;10;8;4-5-1;Atalanta;reste;9.0;0;6;0;4.0;11.0;2.0;13.0;Sampdoria;312.93600000000004;408.0
1;2022-08-21;D;0;1;Home;1;40.0;26.4;3-4-3;2.0;18.9;78.6;7.0;15.0;-217.75;8;8;4-5-1;Atalanta;reste;11.0;0;4;0;3.0;18.0;0.0;6.0;Milan;304.18199999999996;387.0
2;2022-08-28;W;1;1;Away;0;51.0;26.4;3-4-3;7.0;18.9;69.8;12.0;7.0;244.65;7;8;3-5-2;Atalanta;reste;15.0;0;3;0;3.0;14.0;0.0;15.0;Hellas-Verona;295.952;424.0
3;2022-09-01;W;1;1;Home;1;41.0;26.4;3-4-3;3.0;18.8;70.2;10.0;14.0;159.97;4;9;3-4-3;Atalanta;automne;10.0;2;1;0;3.0;8.0;0.0;13.0;Torino;275.886;393.0
4;2022-09-05;W;1;1;Away;0;41.0;26.4;4-5-1;6.0;15.2;75.5;14.0;10.0;214.8;4;9;3-5-2;Atalanta;automne;13.0;0;1;0;1.0;10.0;0.0;9.0;Monza;317.1;420.0
5;2022-09-11;D;0;1;Home;1;58.0;26.4;3-4-3;6.0;19.5;74.7;15.0;9.0;264.6;6;9;3-4-3;Atalanta;automne;14.0;0;3;0;5.0;7.0;0.0;17.0;Cremonese;377.982;506.0
6;2022-09-18;W;1;1;Away;0;44.0;26.4;3-4-3;1.0;25.1;72.7;14.0;19.0;12.350000000000023;7;9;3-4-3;Atalanta;automne;4.0;0;7;0;0.0;21.0;0.0;9.0;Roma;303.886;418.0
7;2022-10-02;W;1;1;Home;1;39.0;26.4;3-5-2;5.0;15.5;74.3;4.0;12.0;93.19999999999999;14;10;4-3-3;Atalanta;automne;10.0;0;2;0;2.0;16.0;0.0;10.0;Fiorentina;277.882;374.0
8;2022-10-09;D;0;1;Away;0;41.0;26.4;3-5-2;4.0;18.5;76.0;9.0;12.0;186.45;7;10;3-5-2;Atalanta;automne;8.0;1;3;0;2.0;10.0;2.0;11.0;Udinese;291.84;384.0
9;2022-10-15;W;1;1;Home;1;48.0;26.4;3-5-2;4.0;13.8;80.7;13.0;10.0;158.1;6;10;4-3-3;Atalanta;automne;16.0;0;1;0;4.0;11.0;0.0;8.0;Sassuolo;430.131;533.0
10;2022-10-23;L;0;0;Home;1;47.0;26.4;3-5-2;0.0;14.1;81.0;7.0;15.0;54.60000000000002;8;10;4-3-3;Atalanta;automne;7.0;0;4;1;2.0;12.0;0.0;9.0;Lazio;434.97;537.0
11;2022-10-30;W;1;1;Away;0;47.0;26.4;3-5-2;5.0;16.2;81.8;15.0;13.0;226.2;7;10;4-3-3;Atalanta;automne;19.0;0;1;0;2.0;13.0;1.0;10.0;Empoli;364.01;445.0
12;2022-11-05;L;0;0;Home;1;47.0;26.4;3-5-2;3.0;19.5;78.1;11.0;10.0;-299.5;6;11;4-3-3;Atalanta;automne;15.0;1;5;0;1.0;7.0;0.0;9.0;Napoli;399.091;511.0
13;2022-11-09;L;0;0;Away;0;61.0;26.4;3-4-3;4.0;19.3;75.3;13.0;12.0;235.37;4;11;4-3-3;Atalanta;automne;12.0;0;2;0;1.0;15.0;0.0;11.0;Lecce;435.98699999999997;579.0
14;2022-11-13;L;0;0;Home;1;47.0;26.4;4-5-1;6.0;19.4;77.0;8.0;10.0;-204.95000000000005;4;11;3-5-2;Atalanta;automne;17.0;1;0;0;3.0;14.0;1.0;11.0;Internazionale;348.81;453.0
15;2023-01-04;D;0;1;Away;0;64.0;26.4;3-5-2;3.0;13.2;79.3;14.0;11.0;243.2;52;1;3-5-2;Atalanta;reste;19.0;0;3;0;3.0;7.0;0.0;11.0;Spezia;510.69199999999995;644.0
16;2023-01-09;W;1;1;Away;0;49.0;26.4;3-5-2;3.0;16.6;78.5;18.0;15.0;193.8;5;1;4-5-1;Atalanta;reste;7.0;0;2;0;3.0;12.0;0.0;16.0;Bologna;442.74;564.0
