;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
16;2020-12-16;18:30;Serie A;Matchweek 12;Wed;Away;D;1;1;Juventus;0.9;2.6;46.0;;Remo Freuler;3-4-1-2;Daniele Doveri;Match Report;;Atalanta;2020-12-1618:30Serie AMatchweek 12AwayDJuventusAtalanta;15.0;6.0;20.3;2.0;0;474.0;81.0;2;0;0;18.0;0.0;15.0;24.5;€398.75m;3
17;2020-12-20;18:00;Serie A;Matchweek 13;Sun;Home;W;4;1;Roma;1.9;0.7;55.0;;Rafael Tolói;3-4-3;Marco Di Bello;Match Report;;Atalanta;2020-12-2018:00Serie AMatchweek 13HomeWRomaAtalanta;14.0;7.0;19.1;1.0;0;594.0;83.0;2;0;0;15.0;1.0;6.0;24.5;€398.75m;4
18;2020-12-23;20:45;Serie A;Matchweek 14;Wed;Away;D;2;2;Bologna;1.4;1.0;53.0;;Rafael Tolói;3-4-1-2;Daniele Chiffi;Match Report;;Atalanta;2020-12-2320:45Serie AMatchweek 14AwayDBolognaAtalanta;11.0;5.0;17.4;0.0;1;608.0;83.1;2;0;0;14.0;2.0;17.0;24.5;€398.75m;3
19;2021-01-03;15:00;Serie A;Matchweek 15;Sun;Home;W;5;1;Sassuolo;2.7;0.6;46.0;;Remo Freuler;3-4-1-2;Fabio Maresca;Match Report;;Atalanta;2021-01-0315:00Serie AMatchweek 15HomeWSassuoloAtalanta;23.0;7.0;17.0;0.0;0;466.0;75.3;3;0;0;13.0;1.0;16.0;24.5;€398.75m;11
20;2021-01-06;15:00;Serie A;Matchweek 16;Wed;Home;W;3;0;Parma;1.8;0.1;52.0;;Rafael Tolói;3-4-1-2;Juan Sacchi;Match Report;;Atalanta;2021-01-0615:00Serie AMatchweek 16HomeWParmaAtalanta;17.0;6.0;15.7;0.0;0;585.0;83.1;1;0;0;10.0;3.0;8.0;24.5;€398.75m;3
21;2021-01-09;15:00;Serie A;Matchweek 17;Sat;Away;W;4;1;Benevento;3.8;0.9;59.0;;Rafael Tolói;3-4-1-2;Gianluca Manganiello;Match Report;;Atalanta;2021-01-0915:00Serie AMatchweek 17AwayWBeneventoAtalanta;27.0;12.0;14.1;0.0;0;563.0;82.6;2;0;0;21.0;4.0;13.0;24.5;€398.75m;3
22;2021-01-14;21:15;Coppa Italia;Round of 16;Thu;Home;W;3;1;Cagliari;;;58.0;;;;Federico Dionisi;Match Report;;Atalanta;2021-01-1421:15Coppa ItaliaRound of 16HomeWCagliariAtalanta;0.0;0.0;;;0;;;1;0;0;0.0;0.0;0.0;24.5;€398.75m;5
23;2021-01-17;18:00;Serie A;Matchweek 18;Sun;Home;D;0;0;Genoa;1.6;0.8;64.0;;Rafael Tolói;3-4-3;Livio Marinelli;Match Report;;Atalanta;2021-01-1718:00Serie AMatchweek 18HomeDGenoaAtalanta;18.0;2.0;15.6;1.0;0;724.0;79.1;1;0;0;14.0;0.0;13.0;24.5;€398.75m;3
24;2021-01-20;15:00;Serie A;Matchweek 10;Wed;Away;D;1;1;Udinese;1.5;0.4;66.0;;Rafael Tolói;3-4-3;Giampaolo Calvarese;Match Report;;Atalanta;2021-01-2015:00Serie AMatchweek 10AwayDUdineseAtalanta;17.0;4.0;16.0;1.0;0;604.0;82.3;2;0;0;26.0;0.0;9.0;24.5;€398.75m;3
25;2021-01-23;18:00;Serie A;Matchweek 19;Sat;Away;W;3;0;Milan;2.0;1.8;49.0;;Rafael Tolói;3-4-1-2;Maurizio Mariani;Match Report;;Atalanta;2021-01-2318:00Serie AMatchweek 19AwayWMilanAtalanta;17.0;6.0;19.0;1.0;1;457.0;81.4;1;0;0;14.0;1.0;12.0;24.5;€398.75m;3
26;2021-01-27;17:45;Coppa Italia;Quarter-finals;Wed;Home;W;3;2;Lazio;;;34.0;;Remo Freuler;3-4-3;Luca Pairetto;Match Report;;Atalanta;2021-01-2717:45Coppa ItaliaQuarter-finalsHomeWLazioAtalanta;12.0;8.0;;;0;;;2;1;0;12.0;1.0;28.0;24.5;€398.75m;4
27;2021-01-31;15:00;Serie A;Matchweek 20;Sun;Home;L;1;3;Lazio;1.2;1.9;57.0;;Rafael Tolói;3-4-3;Daniele Chiffi;Match Report;;Atalanta;2021-01-3115:00Serie AMatchweek 20HomeLLazioAtalanta;8.0;3.0;12.3;0.0;0;592.0;78.4;0;0;0;12.0;1.0;23.0;24.5;€398.75m;4
28;2021-02-03;20:45;Coppa Italia;Semi-finals;Wed;Away;D;0;0;Napoli;;;50.0;;Rafael Tolói;3-4-1-2;Michael Fabbri;Match Report;Leg 1 of 2;Atalanta;2021-02-0320:45Coppa ItaliaSemi-finalsAwayDNapoliAtalanta;17.0;4.0;;;0;;;1;0;0;13.0;1.0;17.0;24.5;€398.75m;3
