;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value
19;2021-12-19;18:00;Serie A;Matchweek 18;Sun;Away;L;0;1;Torino;0.5;0.8;34.0;6202.0;Miguel Veloso;3-4-3;Michael Fabbri;Match Report;;Hellas-Verona;2021-12-1918:00Serie AMatchweek 18AwayLTorinoHellas-Verona;8.0;2.0;19.4;0.0;0;318.0;63.8;2;1;0;7.0;4.0;7.0;24.7;€162.98m
20;2021-12-22;18:30;Serie A;Matchweek 19;Wed;Home;D;1;1;Fiorentina;0.6;1.0;40.0;14001.0;Miguel Veloso;3-4-3;Daniele Doveri;Match Report;;Hellas-Verona;2021-12-2218:30Serie AMatchweek 19HomeDFiorentinaHellas-Verona;7.0;2.0;20.5;0.0;0;376.0;65.2;2;0;0;15.0;6.0;8.0;24.7;€162.98m
21;2022-01-06;14:30;Serie A;Matchweek 20;Thu;Away;W;2;1;Spezia;1.9;1.5;60.0;3250.0;Miguel Veloso;3-4-3;Maurizio Mariani;Match Report;;Hellas-Verona;2022-01-0614:30Serie AMatchweek 20AwayWSpeziaHellas-Verona;22.0;5.0;16.7;1.0;0;519.0;75.7;2;0;0;11.0;4.0;7.0;24.7;€162.98m
22;2022-01-09;20:45;Serie A;Matchweek 21;Sun;Home;L;1;2;Salernitana;1.6;1.2;70.0;3106.0;Miguel Veloso;3-4-3;Federico Dionisi;Match Report;;Hellas-Verona;2022-01-0920:45Serie AMatchweek 21HomeLSalernitanaHellas-Verona;24.0;7.0;18.4;1.0;0;612.0;80.2;1;1;0;13.0;2.0;4.0;24.7;€162.98m
23;2022-01-16;12:30;Serie A;Matchweek 22;Sun;Away;W;4;2;Sassuolo;3.6;1.0;44.0;3843.0;Miguel Veloso;3-4-3;Alessandro Prontera;Match Report;;Hellas-Verona;2022-01-1612:30Serie AMatchweek 22AwayWSassuoloHellas-Verona;20.0;5.0;15.1;0.0;1;390.0;72.8;4;0;0;18.0;8.0;17.0;24.7;€162.98m
24;2022-01-21;20:45;Serie A;Matchweek 23;Fri;Home;W;2;1;Bologna;2.1;0.6;56.0;4286.0;Miguel Veloso;3-4-3;Matteo Gariglio;Match Report;;Hellas-Verona;2022-01-2120:45Serie AMatchweek 23HomeWBolognaHellas-Verona;14.0;6.0;14.1;0.0;0;502.0;71.9;2;0;0;21.0;5.0;12.0;24.7;€162.98m
25;2022-02-06;20:45;Serie A;Matchweek 24;Sun;Away;L;0;2;Juventus;0.8;1.6;53.0;17016.0;Miguel Veloso;3-4-3;Luca Massimi;Match Report;;Hellas-Verona;2022-02-0620:45Serie AMatchweek 24AwayLJuventusHellas-Verona;13.0;1.0;18.9;0.0;0;538.0;78.8;1;0;0;11.0;2.0;11.0;24.7;€162.98m
26;2022-02-13;15:00;Serie A;Matchweek 25;Sun;Home;W;4;0;Udinese;1.1;1.4;43.0;11713.0;Darko Lazović;3-4-3;Andrea Colombo;Match Report;;Hellas-Verona;2022-02-1315:00Serie AMatchweek 25HomeWUdineseHellas-Verona;6.0;5.0;12.7;0.0;0;385.0;66.8;3;0;0;17.0;4.0;12.0;24.7;€162.98m
27;2022-02-19;18:00;Serie A;Matchweek 26;Sat;Away;D;2;2;Roma;0.6;0.7;43.0;34777.0;Davide Faraoni;3-4-3;Luca Pairetto;Match Report;;Hellas-Verona;2022-02-1918:00Serie AMatchweek 26AwayDRomaHellas-Verona;5.0;3.0;15.5;0.0;0;417.0;69.8;2;0;0;14.0;3.0;14.0;24.7;€162.98m
28;2022-02-27;15:05;Serie A;Matchweek 27;Sun;Home;W;3;1;Venezia;3.1;1.0;56.0;14298.0;Davide Faraoni;3-4-3;Juan Sacchi;Match Report;;Hellas-Verona;2022-02-2715:05Serie AMatchweek 27HomeWVeneziaHellas-Verona;19.0;11.0;15.7;0.0;0;517.0;73.3;0;0;0;13.0;0.0;21.0;24.7;€162.98m
29;2022-03-06;15:00;Serie A;Matchweek 28;Sun;Away;D;1;1;Fiorentina;1.0;1.4;50.0;23491.0;Davide Faraoni;3-4-1-2;Gianluca Manganiello;Match Report;;Hellas-Verona;2022-03-0615:00Serie AMatchweek 28AwayDFiorentinaHellas-Verona;1.0;1.0;32.4;0.0;1;410.0;72.7;4;0;0;15.0;4.0;12.0;24.7;€162.98m
30;2022-03-13;15:00;Serie A;Matchweek 29;Sun;Home;L;1;2;Napoli;0.7;1.6;50.0;18782.0;Davide Faraoni;3-5-2;Daniele Doveri;Match Report;;Hellas-Verona;2022-03-1315:00Serie AMatchweek 29HomeLNapoliHellas-Verona;8.0;1.0;18.1;0.0;0;467.0;77.3;6;2;2;19.0;6.0;12.0;24.7;€162.98m
31;2022-03-20;15:00;Serie A;Matchweek 30;Sun;Away;D;1;1;Empoli;1.5;0.8;63.0;5445.0;Koray Günter;3-4-1-2;Matteo Marcenaro;Match Report;;Hellas-Verona;2022-03-2015:00Serie AMatchweek 30AwayDEmpoliHellas-Verona;13.0;4.0;19.8;1.0;0;541.0;77.8;3;0;0;13.0;0.0;5.0;24.7;€162.98m
32;2022-04-04;18:30;Serie A;Matchweek 31;Mon;Home;W;1;0;Genoa;1.0;0.5;48.0;14993.0;Davide Faraoni;3-4-3;Francesco Fourneau;Match Report;;Hellas-Verona;2022-04-0418:30Serie AMatchweek 31HomeWGenoaHellas-Verona;7.0;3.0;17.3;0.0;0;412.0;64.1;4;0;0;16.0;2.0;16.0;24.7;€162.98m
33;2022-04-09;18:00;Serie A;Matchweek 32;Sat;Away;L;0;2;Inter;1.0;2.7;52.0;61325.0;Davide Faraoni;3-4-3;Livio Marinelli;Match Report;;Hellas-Verona;2022-04-0918:00Serie AMatchweek 32AwayLInterHellas-Verona;9.0;3.0;16.9;0.0;0;492.0;79.7;0;0;0;7.0;1.0;9.0;24.7;€162.98m
34;2022-04-18;21:00;Serie A;Matchweek 33;Mon;Away;W;2;1;Atalanta;3.8;1.8;44.0;14537.0;Davide Faraoni;3-4-3;Marco Piccinini;Match Report;;Hellas-Verona;2022-04-1821:00Serie AMatchweek 33AwayWAtalantaHellas-Verona;21.0;6.0;15.8;1.0;0;436.0;75.7;3;0;0;13.0;1.0;8.0;24.7;€162.98m
35;2022-04-23;20:45;Serie A;Matchweek 34;Sat;Home;D;1;1;Sampdoria;1.5;1.0;57.0;16188.0;Davide Faraoni;3-4-3;Giovanni Ayroldi;Match Report;;Hellas-Verona;2022-04-2320:45Serie AMatchweek 34HomeDSampdoriaHellas-Verona;12.0;1.0;18.2;1.0;0;525.0;77.5;1;0;0;15.0;4.0;14.0;24.7;€162.98m
36;2022-04-30;15:00;Serie A;Matchweek 35;Sat;Away;W;2;1;Cagliari;1.4;1.1;41.0;16267.0;Davide Faraoni;3-4-3;Daniele Orsato;Match Report;;Hellas-Verona;2022-04-3015:00Serie AMatchweek 35AwayWCagliariHellas-Verona;13.0;4.0;16.7;2.0;0;335.0;61.8;4;0;0;17.0;3.0;16.0;24.7;€162.98m
37;2022-05-08;20:45;Serie A;Matchweek 36;Sun;Home;L;1;3;Milan;1.1;3.1;47.0;30154.0;Davide Faraoni;3-4-3;Daniele Doveri;Match Report;;Hellas-Verona;2022-05-0820:45Serie AMatchweek 36HomeLMilanHellas-Verona;10.0;3.0;15.3;0.0;0;399.0;76.7;2;0;0;15.0;0.0;7.0;24.7;€162.98m
38;2022-05-14;18:00;Serie A;Matchweek 37;Sat;Home;L;0;1;Torino;1.0;0.8;47.0;24001.0;Darko Lazović;3-4-3;Giacomo Camplone;Match Report;;Hellas-Verona;2022-05-1418:00Serie AMatchweek 37HomeLTorinoHellas-Verona;11.0;5.0;14.2;0.0;0;387.0;73.1;3;0;0;17.0;1.0;7.0;24.7;€162.98m
39;2022-05-21;20:45;Serie A;Matchweek 38;Sat;Away;D;3;3;Lazio;1.9;3.4;46.0;50000.0;Alessandro Berardi;3-4-3;Andrea Colombo;Match Report;;Hellas-Verona;2022-05-2120:45Serie AMatchweek 38AwayDLazioHellas-Verona;10.0;7.0;17.8;1.0;0;382.0;73.0;6;0;0;19.0;4.0;7.0;24.7;€162.98m
0;2021-08-21;18:30;Serie A;Matchweek 1;Sat;Home;W;4;0;Genoa;1.7;1.1;60.0;27402.0;Samir Handanović;3-5-1-1;Valerio Marini;Match Report;;Internazionale;2021-08-2118:30Serie AMatchweek 1HomeWGenoaInternazionale;16.0;8.0;15.0;0.0;0;636.0;88.4;1;0;0;18.0;2.0;5.0;27.2;€558.55m
1;2021-08-27;20:45;Serie A;Matchweek 2;Fri;Away;W;3;1;Hellas Verona;1.8;1.0;57.0;11214.0;Samir Handanović;3-5-1-1;Gianluca Manganiello;Match Report;;Internazionale;2021-08-2720:45Serie AMatchweek 2AwayWHellas VeronaInternazionale;15.0;7.0;15.9;0.0;0;492.0;77.8;2;0;0;12.0;0.0;10.0;27.2;€558.55m
2;2021-09-12;12:30;Serie A;Matchweek 3;Sun;Away;D;2;2;Sampdoria;1.2;1.2;48.0;7441.0;Samir Handanović;3-5-2;Daniele Orsato;Match Report;;Internazionale;2021-09-1212:30Serie AMatchweek 3AwayDSampdoriaInternazionale;8.0;3.0;16.1;1.0;0;414.0;76.3;4;0;0;13.0;1.0;10.0;27.2;€558.55m
3;2021-09-15;21:00;Champions Lg;Group stage;Wed;Home;L;0;1;es Real Madrid;2.4;1.2;47.0;37082.0;Samir Handanović;3-5-2;Daniel Siebert;Match Report;;Internazionale;2021-09-1521:00Champions LgGroup stageHomeLes Real MadridInternazionale;18.0;5.0;14.5;1.0;0;551.0;86.0;1;0;0;9.0;4.0;12.0;27.2;€558.55m
4;2021-09-18;18:00;Serie A;Matchweek 4;Sat;Home;W;6;1;Bologna;3.2;0.7;45.0;35278.0;Samir Handanović;3-5-2;Giovanni Ayroldi;Match Report;;Internazionale;2021-09-1818:00Serie AMatchweek 4HomeWBolognaInternazionale;19.0;11.0;15.3;0.0;0;465.0;88.6;0;0;0;10.0;2.0;10.0;27.2;€558.55m
5;2021-09-21;20:45;Serie A;Matchweek 5;Tue;Away;W;3;1;Fiorentina;2.5;1.6;47.0;15927.0;Samir Handanović;3-5-2;Michael Fabbri;Match Report;;Internazionale;2021-09-2120:45Serie AMatchweek 5AwayWFiorentinaInternazionale;17.0;5.0;14.2;1.0;0;475.0;83.8;3;0;0;15.0;1.0;5.0;27.2;€558.55m
6;2021-09-25;18:00;Serie A;Matchweek 6;Sat;Home;D;2;2;Atalanta;4.1;2.4;49.0;36517.0;Samir Handanović;3-5-2;Fabio Maresca;Match Report;;Internazionale;2021-09-2518:00Serie AMatchweek 6HomeDAtalantaInternazionale;18.0;6.0;14.0;1.0;0;436.0;76.8;3;0;0;13.0;0.0;6.0;27.2;€558.55m
7;2021-09-28;19:45;Champions Lg;Group stage;Tue;Away;D;0;0;ua Shakhtar;1.0;1.3;34.0;26170.0;Samir Handanović;3-5-2;István Kovács;Match Report;;Internazionale;2021-09-2819:45Champions LgGroup stageAwayDua ShakhtarInternazionale;11.0;2.0;21.0;0.0;0;363.0;79.3;1;0;0;17.0;2.0;11.0;27.2;€558.55m
8;2021-10-02;20:45;Serie A;Matchweek 7;Sat;Away;W;2;1;Sassuolo;2.4;1.7;45.0;10400.0;Samir Handanović;3-5-2;Luca Pairetto;Match Report;;Internazionale;2021-10-0220:45Serie AMatchweek 7AwayWSassuoloInternazionale;17.0;2.0;16.5;0.0;1;435.0;78.6;2;0;0;19.0;3.0;9.0;27.2;€558.55m
9;2021-10-16;18:00;Serie A;Matchweek 8;Sat;Away;L;1;3;Lazio;1.6;2.7;48.0;42000.0;Samir Handanović;3-5-1-1;Massimiliano Irrati;Match Report;;Internazionale;2021-10-1618:00Serie AMatchweek 8AwayLLazioInternazionale;11.0;3.0;18.7;0.0;1;553.0;84.6;6;0;0;12.0;0.0;9.0;27.2;€558.55m
10;2021-10-19;21:00;Champions Lg;Group stage;Tue;Home;W;3;1;md Sheriff Tiraspol;2.3;0.4;70.0;43305.0;Samir Handanović;3-5-2;Danny Makkelie;Match Report;;Internazionale;2021-10-1921:00Champions LgGroup stageHomeWmd Sheriff TiraspolInternazionale;29.0;8.0;16.1;1.0;0;711.0;86.8;1;0;0;9.0;0.0;10.0;27.2;€558.55m
11;2021-10-24;20:45;Serie A;Matchweek 9;Sun;Home;D;1;1;Juventus;0.8;2.0;49.0;56532.0;Samir Handanović;3-5-2;Maurizio Mariani;Match Report;;Internazionale;2021-10-2420:45Serie AMatchweek 9HomeDJuventusInternazionale;10.0;2.0;18.8;0.0;0;511.0;79.5;2;0;0;14.0;1.0;9.0;27.2;€558.55m
12;2021-10-27;20:45;Serie A;Matchweek 10;Wed;Away;W;2;0;Empoli;1.9;0.5;69.0;9335.0;Samir Handanović;3-5-2;Daniele Chiffi;Match Report;;Internazionale;2021-10-2720:45Serie AMatchweek 10AwayWEmpoliInternazionale;21.0;9.0;16.5;0.0;0;690.0;87.8;3;0;0;15.0;3.0;9.0;27.2;€558.55m
13;2021-10-31;12:30;Serie A;Matchweek 11;Sun;Home;W;2;0;Udinese;2.2;0.5;66.0;48076.0;Samir Handanović;3-5-2;Juan Sacchi;Match Report;;Internazionale;2021-10-3112:30Serie AMatchweek 11HomeWUdineseInternazionale;15.0;5.0;17.9;0.0;0;673.0;86.9;0;0;0;9.0;3.0;5.0;27.2;€558.55m
14;2021-11-03;22:00;Champions Lg;Group stage;Wed;Away;W;3;1;md Sheriff Tiraspol;2.5;0.3;65.0;5930.0;Samir Handanović;3-5-2;Felix Zwayer;Match Report;;Internazionale;2021-11-0322:00Champions LgGroup stageAwayWmd Sheriff TiraspolInternazionale;22.0;8.0;14.8;1.0;0;633.0;87.7;2;0;0;11.0;1.0;5.0;27.2;€558.55m
15;2021-11-07;20:45;Serie A;Matchweek 12;Sun;Away;D;1;1;Milan;2.7;1.2;50.0;56608.0;Samir Handanović;3-5-2;Daniele Doveri;Match Report;;Internazionale;2021-11-0720:45Serie AMatchweek 12AwayDMilanInternazionale;11.0;0.0;21.5;0.0;1;429.0;77.6;0;0;0;11.0;1.0;9.0;27.2;€558.55m
16;2021-11-21;18:00;Serie A;Matchweek 13;Sun;Home;W;3;2;Napoli;2.1;0.9;45.0;56649.0;Samir Handanović;3-5-2;Paolo Valeri;Match Report;;Internazionale;2021-11-2118:00Serie AMatchweek 13HomeWNapoliInternazionale;16.0;6.0;17.1;0.0;1;407.0;80.1;4;0;0;15.0;2.0;8.0;27.2;€558.55m
17;2021-11-24;18:45;Champions Lg;Group stage;Wed;Home;W;2;0;ua Shakhtar;2.6;0.6;43.0;46225.0;Samir Handanović;3-5-2;Ovidiu Hațegan;Match Report;;Internazionale;2021-11-2418:45Champions LgGroup stageHomeWua ShakhtarInternazionale;21.0;9.0;15.2;0.0;0;431.0;81.7;0;0;0;10.0;3.0;13.0;27.2;€558.55m
18;2021-11-27;20:45;Serie A;Matchweek 14;Sat;Away;W;2;0;Venezia;2.9;0.2;56.0;8303.0;Samir Handanović;3-5-2;Livio Marinelli;Match Report;;Internazionale;2021-11-2720:45Serie AMatchweek 14AwayWVeneziaInternazionale;26.0;10.0;17.3;1.0;1;611.0;87.9;0;0;0;4.0;0.0;9.0;27.2;€558.55m
19;2021-12-01;18:30;Serie A;Matchweek 15;Wed;Home;W;2;0;Spezia;3.3;0.4;63.0;30076.0;Samir Handanović;3-5-2;Davide Ghersini;Match Report;;Internazionale;2021-12-0118:30Serie AMatchweek 15HomeWSpeziaInternazionale;30.0;10.0;19.2;1.0;1;698.0;88.5;1;0;0;18.0;1.0;11.0;27.2;€558.55m
20;2021-12-04;18:00;Serie A;Matchweek 16;Sat;Away;W;3;0;Roma;1.4;0.9;66.0;51185.0;Samir Handanović;3-5-2;Marco Di Bello;Match Report;;Internazionale;2021-12-0418:00Serie AMatchweek 16AwayWRomaInternazionale;10.0;4.0;16.5;0.0;0;800.0;91.4;1;0;0;6.0;1.0;9.0;27.2;€558.55m
21;2021-12-07;21:00;Champions Lg;Group stage;Tue;Away;L;0;2;es Real Madrid;0.9;1.2;50.0;44887.0;Samir Handanović;3-5-2;Felix Brych;Match Report;;Internazionale;2021-12-0721:00Champions LgGroup stageAwayLes Real MadridInternazionale;17.0;3.0;16.7;0.0;0;583.0;88.0;2;1;0;10.0;0.0;11.0;27.2;€558.55m
22;2021-12-12;20:45;Serie A;Matchweek 17;Sun;Home;W;4;0;Cagliari;3.1;0.4;75.0;33712.0;Samir Handanović;3-5-2;Matteo Marchetti;Match Report;;Internazionale;2021-12-1220:45Serie AMatchweek 17HomeWCagliariInternazionale;23.0;14.0;17.5;0.0;0;809.0;89.0;1;0;0;9.0;2.0;10.0;27.2;€558.55m
23;2021-12-17;20:45;Serie A;Matchweek 18;Fri;Away;W;5;0;Salernitana;3.5;0.8;65.0;18000.0;Samir Handanović;3-5-2;Maurizio Mariani;Match Report;;Internazionale;2021-12-1720:45Serie AMatchweek 18AwayWSalernitanaInternazionale;23.0;8.0;13.2;0.0;0;665.0;87.4;2;0;0;10.0;0.0;10.0;27.2;€558.55m
24;2021-12-22;18:30;Serie A;Matchweek 19;Wed;Home;W;1;0;Torino;1.1;0.7;54.0;41413.0;Samir Handanović;3-5-2;Marco Guida;Match Report;;Internazionale;2021-12-2218:30Serie AMatchweek 19HomeWTorinoInternazionale;15.0;3.0;19.8;1.0;0;517.0;76.8;1;0;0;11.0;2.0;9.0;27.2;€558.55m
25;2022-01-09;20:45;Serie A;Matchweek 21;Sun;Home;W;2;1;Lazio;2.0;1.6;60.0;29471.0;Samir Handanović;3-5-2;Luca Pairetto;Match Report;;Internazionale;2022-01-0920:45Serie AMatchweek 21HomeWLazioInternazionale;17.0;5.0;18.0;1.0;0;674.0;86.8;1;0;0;11.0;3.0;10.0;27.2;€558.55m
26;2022-01-12;21:00;Supercoppa Italiana;Supercoppa Italiana;Wed;Home;W;2;1;Juventus;;;63.0;29696.0;Samir Handanović;3-5-2;Daniele Doveri;Match Report;Required Extra Time;Internazionale;2022-01-1221:00Supercoppa ItalianaSupercoppa ItalianaHomeWJuventusInternazionale;23.0;6.0;;;1;;;4;0;0;17.0;;5.0;27.2;€558.55m
27;2022-01-16;20:45;Serie A;Matchweek 22;Sun;Away;D;0;0;Atalanta;1.7;2.0;63.0;5000.0;Samir Handanović;3-5-2;Davide Massa;Match Report;;Internazionale;2022-01-1620:45Serie AMatchweek 22AwayDAtalantaInternazionale;11.0;3.0;14.1;0.0;0;702.0;84.2;2;0;0;10.0;3.0;9.0;27.2;€558.55m
28;2022-01-19;21:00;Coppa Italia;Round of 16;Wed;Home;W;3;2;Empoli;;;57.0;5000.0;Andrea Ranocchia;3-5-2;Juan Sacchi;Match Report;Required Extra Time;Internazionale;2022-01-1921:00Coppa ItaliaRound of 16HomeWEmpoliInternazionale;25.0;11.0;;;0;;;1;0;0;17.0;3.0;14.0;27.2;€558.55m
29;2022-01-22;18:00;Serie A;Matchweek 23;Sat;Home;W;2;1;Venezia;2.8;0.3;70.0;5000.0;Samir Handanović;3-5-2;Matteo Marchetti;Match Report;;Internazionale;2022-01-2218:00Serie AMatchweek 23HomeWVeneziaInternazionale;24.0;12.0;17.1;2.0;0;746.0;84.6;3;0;0;13.0;2.0;4.0;27.2;€558.55m
30;2022-02-05;18:00;Serie A;Matchweek 24;Sat;Home;L;1;2;Milan;1.1;1.4;46.0;37918.0;Samir Handanović;3-5-2;Marco Guida;Match Report;;Internazionale;2022-02-0518:00Serie AMatchweek 24HomeLMilanInternazionale;11.0;5.0;17.5;0.0;0;395.0;79.2;2;0;0;20.0;1.0;8.0;27.2;€558.55m
31;2022-02-08;21:00;Coppa Italia;Quarter-finals;Tue;Home;W;2;0;Roma;;;58.0;38000.0;Samir Handanović;3-5-2;Marco Di Bello;Match Report;;Internazionale;2022-02-0821:00Coppa ItaliaQuarter-finalsHomeWRomaInternazionale;12.0;5.0;;;0;;;0;0;0;11.0;0.0;7.0;27.2;€558.55m
32;2022-02-12;18:00;Serie A;Matchweek 25;Sat;Away;D;1;1;Napoli;0.7;1.9;52.0;27000.0;Samir Handanović;3-5-2;Daniele Doveri;Match Report;;Internazionale;2022-02-1218:00Serie AMatchweek 25AwayDNapoliInternazionale;8.0;2.0;13.8;0.0;0;566.0;86.6;1;0;0;14.0;0.0;15.0;27.2;€558.55m
33;2022-02-16;21:00;Champions Lg;Round of 16;Wed;Home;L;0;2;eng Liverpool;0.6;1.0;46.0;37918.0;Samir Handanović;3-5-2;Szymon Marciniak;Match Report;Leg 1 of 2;Internazionale;2022-02-1621:00Champions LgRound of 16HomeLeng LiverpoolInternazionale;9.0;0.0;16.6;0.0;0;498.0;75.9;0;0;0;10.0;3.0;15.0;27.2;€558.55m
34;2022-02-20;18:00;Serie A;Matchweek 26;Sun;Home;L;0;2;Sassuolo;3.3;1.5;59.0;28324.0;Samir Handanović;3-5-2;Francesco Fourneau;Match Report;;Internazionale;2022-02-2018:00Serie AMatchweek 26HomeLSassuoloInternazionale;29.0;8.0;15.0;0.0;0;632.0;84.0;1;0;0;12.0;3.0;6.0;27.2;€558.55m
35;2022-02-25;21:00;Serie A;Matchweek 27;Fri;Away;D;0;0;Genoa;2.0;0.9;72.0;14314.0;Samir Handanović;3-5-2;Daniele Chiffi;Match Report;;Internazionale;2022-02-2521:00Serie AMatchweek 27AwayDGenoaInternazionale;21.0;4.0;14.9;1.0;0;677.0;79.2;1;0;0;9.0;2.0;10.0;27.2;€558.55m
36;2022-03-01;21:00;Coppa Italia;Semi-finals;Tue;Away;D;0;0;Milan;;;51.0;53881.0;Samir Handanović;3-5-2;Maurizio Mariani;Match Report;Leg 1 of 2;Internazionale;2022-03-0121:00Coppa ItaliaSemi-finalsAwayDMilanInternazionale;7.0;2.0;;;0;;;2;0;0;15.0;0.0;10.0;27.2;€558.55m
37;2022-03-04;20:45;Serie A;Matchweek 28;Fri;Home;W;5;0;Salernitana;3.9;1.0;60.0;46287.0;Samir Handanović;3-5-2;Livio Marinelli;Match Report;;Internazionale;2022-03-0420:45Serie AMatchweek 28HomeWSalernitanaInternazionale;23.0;12.0;12.9;0.0;0;578.0;85.8;2;0;0;11.0;4.0;9.0;27.2;€558.55m
38;2022-03-08;20:00;Champions Lg;Round of 16;Tue;Away;W;1;0;eng Liverpool;0.5;1.8;38.0;51747.0;Samir Handanović;3-5-2;Antonio Matéu Lahoz;Match Report;"Leg 2 of 2; Liverpool won";Internazionale;2022-03-0820:00Champions LgRound of 16AwayWeng LiverpoolInternazionale;6.0;3.0;20.4;1.0;0;467.0;76.7;5;1;1;9.0;5.0;7.0;27.2;€558.55m
39;2022-03-13;20:45;Serie A;Matchweek 29;Sun;Away;D;1;1;Torino;2.6;1.5;56.0;15363.0;Samir Handanović;3-5-2;Marco Guida;Match Report;;Internazionale;2022-03-1320:45Serie AMatchweek 29AwayDTorinoInternazionale;14.0;7.0;14.6;0.0;0;523.0;76.1;5;0;0;17.0;0.0;10.0;27.2;€558.55m
40;2022-03-19;18:00;Serie A;Matchweek 30;Sat;Home;D;1;1;Fiorentina;1.4;1.8;51.0;54988.0;Samir Handanović;3-5-2;Daniele Chiffi;Match Report;;Internazionale;2022-03-1918:00Serie AMatchweek 30HomeDFiorentinaInternazionale;13.0;5.0;15.3;0.0;0;522.0;82.4;1;0;0;14.0;4.0;8.0;27.2;€558.55m
41;2022-04-03;20:45;Serie A;Matchweek 31;Sun;Away;W;1;0;Juventus;1.1;1.9;46.0;40093.0;Samir Handanović;3-5-2;Massimiliano Irrati;Match Report;;Internazionale;2022-04-0320:45Serie AMatchweek 31AwayWJuventusInternazionale;4.0;0.0;23.0;0.0;1;458.0;82.8;4;0;0;19.0;1.0;10.0;27.2;€558.55m
42;2022-04-09;18:00;Serie A;Matchweek 32;Sat;Home;W;2;0;Hellas Verona;2.7;1.0;48.0;61325.0;Samir Handanović;3-5-2;Livio Marinelli;Match Report;;Internazionale;2022-04-0918:00Serie AMatchweek 32HomeWHellas VeronaInternazionale;18.0;6.0;15.1;1.0;0;455.0;72.1;2;0;0;10.0;2.0;12.0;27.2;€558.55m
43;2022-04-15;19:00;Serie A;Matchweek 33;Fri;Away;W;3;1;Spezia;2.9;0.7;67.0;11382.0;Samir Handanović;3-5-2;Fabio Maresca;Match Report;;Internazionale;2022-04-1519:00Serie AMatchweek 33AwayWSpeziaInternazionale;23.0;7.0;15.9;0.0;0;645.0;83.3;0;0;0;11.0;1.0;8.0;27.2;€558.55m
44;2022-04-19;21:00;Coppa Italia;Semi-finals;Tue;Home;W;3;0;Milan;;;48.0;75000.0;Samir Handanović;3-5-2;Maurizio Mariani;Match Report;"Leg 2 of 2; Inter won";Internazionale;2022-04-1921:00Coppa ItaliaSemi-finalsHomeWMilanInternazionale;10.0;4.0;;;0;;;1;0;0;18.0;1.0;7.0;27.2;€558.55m
45;2022-04-23;18:00;Serie A;Matchweek 34;Sat;Home;W;3;1;Roma;1.6;1.0;45.0;74947.0;Samir Handanović;3-5-2;Simone Sozza;Match Report;;Internazionale;2022-04-2318:00Serie AMatchweek 34HomeWRomaInternazionale;11.0;8.0;14.6;2.0;0;481.0;83.2;2;0;0;11.0;1.0;12.0;27.2;€558.55m
46;2022-04-27;20:15;Serie A;Matchweek 20;Wed;Away;L;1;2;Bologna;2.4;1.4;59.0;26034.0;Marcelo Brozović;3-5-2;Daniele Doveri;Match Report;;Internazionale;2022-04-2720:15Serie AMatchweek 20AwayLBolognaInternazionale;26.0;6.0;16.2;0.0;0;630.0;84.9;3;0;0;9.0;0.0;6.0;27.2;€558.55m
47;2022-05-01;18:00;Serie A;Matchweek 35;Sun;Away;W;2;1;Udinese;2.0;1.1;52.0;20910.0;Samir Handanović;3-5-2;Daniele Chiffi;Match Report;;Internazionale;2022-05-0118:00Serie AMatchweek 35AwayWUdineseInternazionale;11.0;5.0;12.4;0.0;0;502.0;85.1;1;0;0;10.0;2.0;3.0;27.2;€558.55m
48;2022-05-06;18:45;Serie A;Matchweek 36;Fri;Home;W;4;2;Empoli;4.4;0.4;64.0;69959.0;Samir Handanović;3-5-2;Gianluca Manganiello;Match Report;;Internazionale;2022-05-0618:45Serie AMatchweek 36HomeWEmpoliInternazionale;37.0;10.0;13.4;0.0;0;640.0;86.6;1;0;0;10.0;2.0;9.0;27.2;€558.55m
49;2022-05-11;21:00;Coppa Italia;Final;Wed;Away;W;4;2;Juventus;;;59.0;67944.0;Samir Handanović;3-5-2;Paolo Valeri;Match Report;Required Extra Time;Internazionale;2022-05-1121:00Coppa ItaliaFinalAwayWJuventusInternazionale;17.0;8.0;;;2;;;2;0;0;22.0;0.0;9.0;27.2;€558.55m
50;2022-05-15;20:45;Serie A;Matchweek 37;Sun;Away;W;3;1;Cagliari;2.9;0.7;62.0;15443.0;Samir Handanović;3-5-2;Daniele Doveri;Match Report;;Internazionale;2022-05-1520:45Serie AMatchweek 37AwayWCagliariInternazionale;17.0;7.0;14.1;0.0;0;610.0;87.7;2;0;0;15.0;0.0;12.0;27.2;€558.55m
51;2022-05-22;18:00;Serie A;Matchweek 38;Sun;Home;W;3;0;Sampdoria;3.5;1.0;58.0;71109.0;Samir Handanović;3-5-2;Marco Di Bello;Match Report;;Internazionale;2022-05-2218:00Serie AMatchweek 38HomeWSampdoriaInternazionale;28.0;11.0;15.7;0.0;0;680.0;90.4;1;0;0;6.0;1.0;9.0;27.2;€558.55m
