;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value
16;2021-11-20;15:00;Serie A;Matchweek 13;Sat;Home;W;5;2;Spezia;2.9;1.0;51.0;10744.0;Rafael Tolói;3-4-3;Rosario Abisso;Match Report;;Atalanta;2021-11-2015:00Serie AMatchweek 13HomeWSpeziaAtalanta;17.0;8.0;19.1;0.0;1;530.0;83.6;2;0;0;10.0;2.0;13.0;24.5;€398.75m
17;2021-11-23;21:00;Champions Lg;Group stage;Tue;Away;D;3;3;ch Young Boys;1.2;0.7;41.0;31120.0;Rafael Tolói;3-4-1-2;Daniel Siebert;Match Report;;Atalanta;2021-11-2321:00Champions LgGroup stageAwayDch Young BoysAtalanta;14.0;5.0;18.9;2.0;0;376.0;75.8;2;0;0;16.0;1.0;8.0;24.5;€398.75m
18;2021-11-27;18:00;Serie A;Matchweek 14;Sat;Away;W;1;0;Juventus;0.6;1.0;41.0;29886.0;Rafael Tolói;3-4-3;Giovanni Ayroldi;Match Report;;Atalanta;2021-11-2718:00Serie AMatchweek 14AwayWJuventusAtalanta;7.0;1.0;18.6;0.0;0;405.0;74.8;5;0;0;20.0;0.0;14.0;24.5;€398.75m
19;2021-11-30;18:30;Serie A;Matchweek 15;Tue;Home;W;4;0;Venezia;2.3;0.7;58.0;8667.0;José Luis Palomino;3-4-3;Alberto Santoro;Match Report;;Atalanta;2021-11-3018:30Serie AMatchweek 15HomeWVeneziaAtalanta;19.0;6.0;15.7;0.0;0;641.0;86.4;0;0;0;11.0;2.0;11.0;24.5;€398.75m
20;2021-12-04;20:45;Serie A;Matchweek 16;Sat;Away;W;3;2;Napoli;2.1;1.5;45.0;30000.0;Rafael Tolói;3-4-3;Maurizio Mariani;Match Report;;Atalanta;2021-12-0420:45Serie AMatchweek 16AwayWNapoliAtalanta;21.0;7.0;16.0;0.0;0;466.0;82.0;3;0;0;18.0;0.0;10.0;24.5;€398.75m
21;2021-12-09;19:00;Champions Lg;Group stage;Thu;Home;L;2;3;es Villarreal;2.0;2.2;64.0;11690.0;Rafael Tolói;3-4-1-2;Anthony Taylor;Match Report;;Atalanta;2021-12-0919:00Champions LgGroup stageHomeLes VillarrealAtalanta;19.0;5.0;17.8;1.0;0;644.0;79.2;1;0;0;8.0;7.0;7.0;24.5;€398.75m
22;2021-12-12;15:00;Serie A;Matchweek 17;Sun;Away;W;2;1;Hellas Verona;1.3;1.6;48.0;15000.0;Rafael Tolói;3-4-3;Juan Sacchi;Match Report;;Atalanta;2021-12-1215:00Serie AMatchweek 17AwayWHellas VeronaAtalanta;14.0;6.0;18.2;0.0;0;451.0;66.3;1;0;0;10.0;2.0;15.0;24.5;€398.75m
23;2021-12-18;15:00;Serie A;Matchweek 18;Sat;Home;L;1;4;Roma;1.5;1.8;71.0;14469.0;Rafael Tolói;3-4-3;Massimiliano Irrati;Match Report;;Atalanta;2021-12-1815:00Serie AMatchweek 18HomeLRomaAtalanta;17.0;6.0;18.0;1.0;0;706.0;85.0;1;0;0;11.0;3.0;9.0;24.5;€398.75m
24;2021-12-21;20:45;Serie A;Matchweek 19;Tue;Away;D;0;0;Genoa;1.2;0.1;67.0;6000.0;Remo Freuler;3-4-3;Paolo Valeri;Match Report;;Atalanta;2021-12-2120:45Serie AMatchweek 19AwayDGenoaAtalanta;17.0;3.0;17.5;0.0;0;697.0;75.6;1;0;0;15.0;3.0;19.0;24.5;€398.75m
25;2022-01-09;16:30;Serie A;Matchweek 21;Sun;Away;W;6;2;Udinese;3.4;0.9;60.0;8679.0;Rafael Tolói;3-4-3;Michael Fabbri;Match Report;;Atalanta;2022-01-0916:30Serie AMatchweek 21AwayWUdineseAtalanta;21.0;7.0;15.4;0.0;0;673.0;83.7;2;0;0;12.0;1.0;14.0;24.5;€398.75m
26;2022-01-12;17:30;Coppa Italia;Round of 16;Wed;Home;W;2;0;Venezia;;;54.0;2757.0;Remo Freuler;3-4-3;Ivan Pezzuto;Match Report;;Atalanta;2022-01-1217:30Coppa ItaliaRound of 16HomeWVeneziaAtalanta;18.0;7.0;;;0;;;1;0;0;11.0;2.0;7.0;24.5;€398.75m
27;2022-01-16;20:45;Serie A;Matchweek 22;Sun;Home;D;0;0;Inter;2.0;1.7;37.0;5000.0;Remo Freuler;4-3-3;Davide Massa;Match Report;;Atalanta;2022-01-1620:45Serie AMatchweek 22HomeDInterAtalanta;12.0;6.0;15.0;0.0;0;404.0;74.3;2;0;0;12.0;0.0;20.0;24.5;€398.75m
28;2022-01-22;20:45;Serie A;Matchweek 23;Sat;Away;D;0;0;Lazio;0.5;0.4;39.0;4000.0;Remo Freuler;3-4-1-2;Simone Sozza;Match Report;;Atalanta;2022-01-2220:45Serie AMatchweek 23AwayDLazioAtalanta;6.0;2.0;18.2;0.0;0;473.0;82.0;3;0;0;17.0;2.0;15.0;24.5;€398.75m
29;2022-02-06;12:30;Serie A;Matchweek 24;Sun;Home;L;1;2;Cagliari;0.8;1.0;61.0;7868.0;Remo Freuler;4-2-3-1;Alessandro Prontera;Match Report;;Atalanta;2022-02-0612:30Serie AMatchweek 24HomeLCagliariAtalanta;10.0;3.0;18.1;1.0;0;632.0;81.8;1;1;0;13.0;1.0;11.0;24.5;€398.75m
30;2022-02-10;18:00;Coppa Italia;Quarter-finals;Thu;Home;L;2;3;Fiorentina;;;49.0;7425.0;Remo Freuler;3-4-1-2;Michael Fabbri;Match Report;;Atalanta;2022-02-1018:00Coppa ItaliaQuarter-finalsHomeLFiorentinaAtalanta;9.0;2.0;;;0;;;2;0;0;11.0;6.0;8.0;24.5;€398.75m
31;2022-02-13;20:45;Serie A;Matchweek 25;Sun;Home;D;1;1;Juventus;2.6;0.9;52.0;9731.0;Rafael Tolói;3-4-1-2;Maurizio Mariani;Match Report;;Atalanta;2022-02-1320:45Serie AMatchweek 25HomeDJuventusAtalanta;21.0;3.0;17.5;1.0;0;564.0;80.9;2;0;0;13.0;0.0;16.0;24.5;€398.75m
32;2022-02-17;21:00;Europa Lg;Knockout round play-offs;Thu;Home;W;2;1;gr Olympiacos;1.9;0.4;72.0;9448.0;Rafael Tolói;3-4-3;Sandro Schärer;Match Report;Leg 1 of 2;Atalanta;2022-02-1721:00Europa LgKnockout round play-offsHomeWgr OlympiacosAtalanta;17.0;5.0;15.2;2.0;0;705.0;82.1;3;0;0;9.0;5.0;8.0;24.5;€398.75m
33;2022-02-20;12:30;Serie A;Matchweek 26;Sun;Away;L;0;1;Fiorentina;0.5;0.8;50.0;18056.0;Rafael Tolói;3-4-1-2;Daniele Doveri;Match Report;;Atalanta;2022-02-2012:30Serie AMatchweek 26AwayLFiorentinaAtalanta;7.0;1.0;18.9;0.0;0;471.0;79.0;5;0;0;20.0;5.0;11.0;24.5;€398.75m
34;2022-02-24;19:45;Europa Lg;Knockout round play-offs;Thu;Away;W;3;0;gr Olympiacos;0.9;0.2;47.0;15835.0;Rafael Tolói;3-4-3;Carlos del Cerro;Match Report;"Leg 2 of 2; Atalanta won";Atalanta;2022-02-2419:45Europa LgKnockout round play-offsAwayWgr OlympiacosAtalanta;9.0;4.0;19.5;1.0;0;484.0;77.7;1;0;0;17.0;5.0;9.0;24.5;€398.75m
35;2022-02-28;20:50;Serie A;Matchweek 27;Mon;Home;W;4;0;Sampdoria;2.1;0.4;56.0;10245.0;Rafael Tolói;4-2-3-1;Simone Sozza;Match Report;;Atalanta;2022-02-2820:50Serie AMatchweek 27HomeWSampdoriaAtalanta;19.0;9.0;16.6;0.0;0;650.0;84.3;1;0;0;16.0;4.0;17.0;24.5;€398.75m
36;2022-03-05;18:00;Serie A;Matchweek 28;Sat;Away;L;0;1;Roma;0.6;1.8;65.0;42303.0;Remo Freuler;4-2-3-1;Davide Massa;Match Report;;Atalanta;2022-03-0518:00Serie AMatchweek 28AwayLRomaAtalanta;7.0;4.0;15.6;1.0;0;641.0;83.5;4;1;1;16.0;4.0;7.0;24.5;€398.75m
