;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
32;2020-11-08;L;0;0;Home;1;48.0;23.7;4-5-1;3.0;20.9;78.5;14.0;12.0;-291.0300000000001;8;11;4-5-1;Bologna;automne;9.0;0;3;0;327;0;0;2020-11;4
33;2020-11-22;W;1;1;Away;0;55.0;23.7;4-5-1;3.0;17.1;77.8;20.0;9.0;57.649999999999984;14;11;4-3-3;Bologna;automne;11.0;0;2;0;207;0;0;2020-11;4
34;2020-12-13;L;0;0;Home;1;54.0;23.7;4-5-1;1.0;17.2;81.9;15.0;14.0;-195.05;8;12;3-4-3;Bologna;reste;7.0;0;4;0;155;0;0;2020-12;4
35;2020-12-16;D;0;1;Away;0;55.0;23.7;4-5-1;5.0;19.7;73.7;20.0;11.0;107.7;3;12;4-3-3;Bologna;reste;9.0;0;1;0;207;0;0;2020-12;4
36;2020-12-20;D;0;1;Away;0;49.0;23.7;4-5-1;6.0;17.7;78.1;10.0;17.0;-37.200000000000024;4;12;4-4-2;Bologna;reste;16.0;0;3;0;162;0;0;2020-12;4
37;2020-12-23;D;0;1;Home;1;47.0;23.7;4-5-1;3.0;17.2;80.6;13.0;12.0;-212.55;3;12;3-5-2;Bologna;reste;9.0;0;2;0;322;0;0;2020-12;4
38;2021-01-03;D;0;1;Away;0;53.0;23.7;4-5-1;3.0;17.0;84.6;4.0;11.0;-139.60000000000002;11;1;3-5-2;Bologna;reste;7.0;0;3;0;322;0;0;2021-01;4
39;2021-01-06;D;0;1;Home;1;37.0;23.7;4-5-1;6.0;19.9;78.2;8.0;16.0;43.899999999999984;3;1;3-5-2;Bologna;reste;10.0;0;4;1;322;0;1;2021-01;4
40;2021-01-09;L;0;0;Away;0;64.0;23.7;4-5-1;3.0;24.7;81.0;12.0;9.0;64.91999999999999;3;1;3-5-2;Bologna;reste;14.0;0;0;0;322;0;0;2021-01;4
41;2021-01-24;L;0;0;Away;0;47.0;23.7;4-5-1;2.0;19.3;83.4;11.0;17.0;-456.3;8;1;4-4-2;Bologna;reste;11.0;0;2;0;162;0;0;2021-01;4
42;2021-01-30;L;0;0;Home;1;49.0;23.7;4-5-1;5.0;19.7;76.9;7.0;13.0;-360.75000000000006;6;1;4-5-1;Bologna;reste;11.0;0;2;0;327;0;0;2021-01;4
43;2021-02-20;D;0;1;Away;0;27.0;23.7;4-5-1;2.0;24.5;64.3;17.0;8.0;-64.80000000000001;8;2;4-5-1;Bologna;reste;5.0;0;0;1;327;0;1;2021-02;4
