;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
134;2021-04-26;W;1;1;Home;1;40.0;27.2;3-5-2;5.0;15.4;75.8;13.0;9.0;-282.47;4;4;4-5-1;Lazio;reste;14.0;0;2;0;327;0;0;2021-04;3
135;2021-05-02;W;1;1;Home;1;52.0;27.2;3-5-2;10.0;15.0;84.6;9.0;13.0;143.20000000000005;6;5;3-5-2;Lazio;reste;19.0;1;3;0;322;1;0;2021-05;3
136;2021-05-08;L;0;0;Away;0;70.0;27.2;3-5-2;3.0;12.0;85.9;7.0;14.0;-61.31999999999999;6;5;3-5-2;Lazio;reste;11.0;0;8;1;322;0;1;2021-05;3
137;2021-05-15;L;0;0;Away;0;52.0;27.2;3-5-2;4.0;17.5;82.9;12.0;8.0;-116.76999999999998;3;5;4-5-1;Lazio;reste;9.0;0;2;1;327;0;1;2021-05;3
138;2021-05-18;D;0;1;Home;1;71.0;27.2;3-5-2;7.0;17.8;82.0;5.0;10.0;41.08000000000001;3;5;3-5-2;Lazio;reste;21.0;0;4;0;322;0;0;2021-05;3
139;2021-05-23;L;0;0;Away;0;44.0;27.2;3-5-2;2.0;14.6;85.4;16.0;15.0;13.480000000000016;5;5;4-5-1;Lazio;reste;9.0;0;1;0;327;0;0;2021-05;3
140;2020-09-21;W;1;1;Home;1;58.0;25.3;4-5-1;4.0;18.9;82.5;9.0;13.0;360.75000000000006;4;9;4-5-1;Milan;automne;16.0;1;3;0;327;1;0;2020-09;4
141;2020-10-04;W;1;1;Home;1;62.0;25.3;4-5-1;5.0;15.3;84.2;12.0;14.0;468.4500000000001;3;10;4-3-3;Milan;automne;17.0;0;1;0;207;0;0;2020-10;4
142;2020-10-26;D;0;1;Home;1;54.0;25.3;4-5-1;7.0;13.6;84.6;8.0;14.0;165.70000000000005;4;10;3-4-3;Milan;automne;12.0;1;3;0;155;1;0;2020-10;4
143;2020-11-01;W;1;1;Away;0;60.0;25.3;4-5-1;4.0;20.8;85.5;10.0;12.0;404.65;3;11;4-3-3;Milan;automne;12.0;0;2;0;207;0;0;2020-11;4
144;2020-11-22;W;1;1;Away;0;37.0;25.3;4-5-1;7.0;16.1;78.6;7.0;16.0;69.72000000000003;14;11;4-5-1;Milan;automne;15.0;0;4;0;327;0;0;2020-11;4
145;2020-11-29;W;1;1;Home;1;44.0;25.3;4-5-1;2.0;16.8;77.0;9.0;15.0;221.15000000000003;3;11;4-3-3;Milan;automne;15.0;1;2;0;207;1;0;2020-11;4
146;2020-12-06;W;1;1;Away;0;62.0;25.3;4-5-1;4.0;17.5;81.7;5.0;17.0;418.4;3;12;4-4-2;Milan;reste;12.0;1;1;0;162;1;0;2020-12;4
147;2020-12-16;D;0;1;Away;0;58.0;25.3;4-5-1;4.0;17.7;76.2;12.0;13.0;425.67000000000013;3;12;4-4-2;Milan;reste;13.0;0;3;0;162;0;0;2020-12;4
148;2020-12-20;W;1;1;Away;0;32.0;25.3;4-5-1;5.0;21.6;74.4;15.0;12.0;295.9500000000001;4;12;4-5-1;Milan;reste;11.0;0;3;0;327;0;0;2020-12;4
149;2020-12-23;W;1;1;Home;1;39.0;25.3;4-5-1;4.0;17.5;77.0;12.0;9.0;282.47;3;12;3-5-2;Milan;reste;12.0;1;2;0;322;1;0;2020-12;4
150;2021-01-06;L;0;0;Home;1;43.0;25.3;4-5-1;8.0;21.1;83.1;11.0;17.0;-95.54999999999997;3;1;4-4-2;Milan;reste;20.0;0;1;0;162;0;0;2021-01;4
152;2021-01-18;W;1;1;Away;0;55.0;25.3;4-5-1;5.0;23.4;85.9;17.0;13.0;412.42000000000013;6;1;4-5-1;Milan;reste;9.0;1;3;1;327;1;1;2021-01;4
153;2021-01-23;L;0;0;Home;1;51.0;25.3;4-5-1;2.0;14.8;82.1;14.0;11.0;148.20000000000005;5;1;3-5-2;Milan;reste;14.0;0;2;0;322;0;0;2021-01;4
154;2021-01-30;W;1;1;Away;0;51.0;25.3;4-5-1;8.0;16.4;79.3;11.0;12.0;360.75000000000006;4;1;4-5-1;Milan;reste;13.0;1;1;0;327;1;0;2021-01;4
155;2021-02-13;L;0;0;Away;0;54.0;25.3;4-5-1;0.0;19.2;77.5;11.0;14.0;468.4500000000001;6;2;4-3-3;Milan;reste;7.0;0;1;0;207;0;0;2021-02;4
156;2021-02-28;W;1;1;Away;0;46.0;25.3;4-5-1;8.0;16.4;82.1;16.0;9.0;165.70000000000005;3;2;3-4-3;Milan;reste;16.0;1;3;0;155;1;0;2021-02;4
158;2021-03-14;L;0;0;Home;1;56.0;25.3;4-5-1;5.0;17.6;83.8;9.0;12.0;69.72000000000003;3;3;4-5-1;Milan;reste;13.0;0;1;1;327;0;1;2021-03;4
159;2021-03-21;W;1;1;Away;0;60.0;25.3;4-5-1;3.0;19.6;83.0;5.0;11.0;221.15000000000003;3;3;4-4-2;Milan;reste;13.0;0;3;0;162;0;0;2021-03;4
160;2021-04-03;D;0;1;Home;1;63.0;25.3;4-5-1;2.0;20.6;81.5;13.0;15.0;418.4;13;4;4-4-2;Milan;reste;14.0;0;2;0;162;0;0;2021-04;4
161;2021-04-18;W;1;1;Home;1;53.0;25.3;4-5-1;4.0;20.0;81.7;11.0;10.0;425.67000000000013;8;4;3-5-2;Milan;reste;17.0;0;0;0;322;0;0;2021-04;4
162;2021-04-21;L;0;0;Home;1;47.0;25.3;4-5-1;6.0;17.8;84.1;7.0;18.0;295.9500000000001;3;4;4-5-1;Milan;reste;18.0;0;0;0;327;0;0;2021-04;4
163;2021-04-26;L;0;0;Away;0;60.0;25.3;4-5-1;5.0;18.2;83.3;13.0;11.0;282.47;5;4;3-5-2;Milan;reste;16.0;0;0;0;322;0;0;2021-04;4
164;2021-05-09;W;1;1;Away;0;44.0;25.3;4-5-1;4.0;24.1;83.7;11.0;12.0;-95.54999999999997;8;5;4-4-2;Milan;reste;9.0;0;2;0;162;0;0;2021-05;4
165;2021-05-12;W;1;1;Away;0;58.0;25.3;4-5-1;7.0;15.5;86.0;6.0;16.0;323.55000000000007;3;5;3-5-2;Milan;reste;11.0;1;1;0;322;1;0;2021-05;4
166;2021-05-16;D;0;1;Home;1;61.0;25.3;4-5-1;2.0;21.7;83.0;7.0;8.0;412.42000000000013;4;5;3-5-2;Milan;reste;21.0;0;2;0;322;0;0;2021-05;4
167;2021-05-23;W;1;1;Away;0;30.0;25.3;4-5-1;0.0;24.3;70.7;7.0;11.0;148.20000000000005;7;5;3-4-3;Milan;reste;4.0;2;3;0;155;1;0;2021-05;4
168;2020-09-27;W;1;1;Home;1;57.0;25.3;4-5-1;9.0;15.3;90.8;6.0;6.0;355.9500000000001;7;9;3-5-2;Napoli;automne;18.0;0;1;0;322;0;0;2020-09;4
169;2020-10-17;W;1;1;Home;1;50.0;25.3;4-5-1;11.0;17.1;80.4;8.0;12.0;78.48000000000002;20;10;3-4-3;Napoli;automne;19.0;0;1;0;155;0;0;2020-10;4
170;2020-11-01;L;0;0;Home;1;44.0;25.3;4-5-1;6.0;16.6;81.8;9.0;7.0;226.23;3;11;3-4-3;Napoli;automne;22.0;0;2;0;155;0;0;2020-11;4
171;2020-11-08;W;1;1;Away;0;52.0;25.3;4-5-1;4.0;20.2;80.4;10.0;11.0;291.0300000000001;3;11;4-5-1;Napoli;automne;19.0;0;0;0;327;0;0;2020-11;4
172;2020-11-22;L;0;0;Home;1;63.0;25.3;4-5-1;7.0;17.4;84.8;9.0;8.0;-69.72000000000003;14;11;4-5-1;Napoli;automne;19.0;0;3;1;327;0;1;2020-11;4
173;2020-11-29;W;1;1;Home;1;55.0;25.3;4-3-3;8.0;19.8;84.2;6.0;3.0;95.98000000000002;3;11;3-4-3;Napoli;automne;14.0;0;1;0;155;0;0;2020-11;4
174;2020-12-13;W;1;1;Home;1;67.0;25.3;4-5-1;7.0;19.2;86.7;5.0;7.0;348.68;3;12;4-5-1;Napoli;reste;18.0;0;3;0;327;0;0;2020-12;4
175;2020-12-20;L;0;0;Away;0;60.0;25.3;4-5-1;6.0;17.9;85.3;11.0;8.0;212.75;4;12;3-5-2;Napoli;reste;14.0;0;3;0;322;0;0;2020-12;4
176;2020-12-23;D;0;1;Home;1;65.0;25.3;4-5-1;6.0;18.7;86.8;6.0;20.0;253.83;3;12;3-5-2;Napoli;reste;15.0;0;3;0;322;0;0;2020-12;4
177;2021-01-03;W;1;1;Away;0;62.0;25.3;4-5-1;10.0;17.6;91.1;18.0;6.0;342.7000000000001;11;1;4-5-1;Napoli;reste;33.0;1;1;0;327;1;0;2021-01;4
178;2021-01-06;L;0;0;Home;1;62.0;25.3;4-5-1;9.0;16.4;83.4;9.0;9.0;398.73;3;1;4-3-3;Napoli;reste;29.0;0;2;0;207;0;0;2021-01;4
180;2021-01-17;W;1;1;Home;1;48.0;25.3;4-5-1;6.0;21.0;86.0;14.0;11.0;151.43;4;1;3-4-3;Napoli;reste;9.0;1;1;0;155;1;0;2021-01;4
181;2021-02-06;L;0;0;Away;0;66.0;25.3;4-3-3;9.0;19.5;85.5;13.0;11.0;355.9500000000001;3;2;3-5-2;Napoli;reste;26.0;0;3;0;322;0;0;2021-02;4
182;2021-02-13;W;1;1;Home;1;38.0;25.3;4-5-1;1.0;22.9;76.6;8.0;9.0;-165.26999999999995;3;2;4-4-2;Napoli;reste;7.0;1;2;0;162;1;0;2021-02;4
183;2021-02-21;L;0;0;Away;0;53.0;25.3;4-5-1;2.0;14.3;82.4;14.0;11.0;78.48000000000002;3;2;3-5-2;Napoli;reste;4.0;0;1;0;322;0;0;2021-02;4
184;2021-03-03;D;0;1;Away;0;44.0;25.3;4-5-1;4.0;19.2;81.6;7.0;14.0;226.23;3;3;4-5-1;Napoli;reste;15.0;1;2;0;327;1;0;2021-03;4
185;2021-03-07;W;1;1;Home;1;43.0;25.3;4-5-1;7.0;20.8;76.7;13.0;12.0;291.0300000000001;4;3;4-5-1;Napoli;reste;14.0;0;2;0;327;0;0;2021-03;4
186;2021-03-14;W;1;1;Away;0;44.0;25.3;4-5-1;4.0;21.7;84.6;13.0;9.0;-69.72000000000003;7;3;4-5-1;Napoli;reste;15.0;0;2;0;327;0;0;2021-03;4
187;2021-03-21;W;1;1;Away;0;47.0;25.3;4-5-1;5.0;21.4;84.8;13.0;13.0;95.98000000000002;7;3;3-4-3;Napoli;reste;11.0;0;3;0;155;0;0;2021-03;4
188;2021-04-07;L;0;0;Away;0;53.0;25.3;4-5-1;3.0;22.1;86.5;9.0;12.0;-165.26999999999995;4;4;4-4-2;Napoli;reste;13.0;1;2;0;162;1;0;2021-04;4
189;2021-04-11;W;1;1;Away;0;57.0;25.3;4-5-1;8.0;18.7;78.7;8.0;10.0;348.68;4;4;4-4-2;Napoli;reste;20.0;0;3;0;162;0;0;2021-04;4
190;2021-04-22;W;1;1;Home;1;49.0;25.3;4-5-1;7.0;19.4;86.7;8.0;7.0;212.75;4;4;3-5-2;Napoli;reste;9.0;1;4;0;322;1;0;2021-04;4
191;2021-04-26;W;1;1;Away;0;52.0;25.3;4-5-1;7.0;17.1;83.4;9.0;15.0;253.83;4;4;3-5-2;Napoli;reste;25.0;0;1;0;322;0;0;2021-04;4
192;2021-05-02;D;0;1;Home;1;55.0;25.3;4-5-1;5.0;14.2;87.8;14.0;8.0;342.7000000000001;6;5;4-5-1;Napoli;reste;19.0;0;1;0;327;0;0;2021-05;4
193;2021-05-08;W;1;1;Away;0;52.0;25.3;4-4-2;6.0;14.8;83.1;5.0;17.0;398.73;6;5;4-3-3;Napoli;reste;12.0;0;2;0;207;0;0;2021-05;4
195;2021-05-16;W;1;1;Away;0;59.0;25.3;4-5-1;5.0;19.0;84.9;9.0;9.0;151.43;5;5;3-5-2;Napoli;reste;20.0;0;2;0;322;0;0;2021-05;4
196;2020-09-27;D;0;1;Home;1;40.0;23.8;3-4-3;4.0;18.2;83.4;8.0;19.0;-261.25;8;9;4-4-2;Roma;automne;10.0;1;2;0;162;1;0;2020-09;3
197;2020-10-03;W;1;1;Away;0;55.0;23.8;3-4-3;3.0;22.5;84.0;20.0;9.0;238.95;6;10;3-5-2;Roma;automne;13.0;0;0;0;322;0;0;2020-10;3
198;2020-10-26;D;0;1;Away;0;46.0;23.8;3-4-3;6.0;17.1;82.9;10.0;15.0;-165.70000000000005;4;10;4-5-1;Roma;automne;11.0;1;2;0;327;1;0;2020-10;3
199;2020-11-01;W;1;1;Home;1;41.0;23.8;3-4-3;6.0;13.9;78.1;22.0;17.0;55.44999999999999;3;11;3-5-2;Roma;automne;17.0;0;3;0;322;0;0;2020-11;3
200;2020-11-08;W;1;1;Away;0;49.0;23.8;3-4-3;9.0;15.5;80.1;18.0;11.0;259.97;3;11;4-5-1;Roma;automne;18.0;0;0;0;327;0;0;2020-11;3
201;2020-11-29;L;0;0;Away;0;45.0;23.8;3-4-3;1.0;19.4;83.8;14.0;11.0;-95.98000000000002;3;11;4-3-3;Roma;automne;8.0;0;2;0;207;0;0;2020-11;3
202;2020-12-06;D;0;1;Home;1;43.0;23.8;3-4-3;1.0;16.9;80.5;13.0;10.0;130.25;3;12;4-5-1;Roma;reste;16.0;0;5;1;327;0;1;2020-12;3
203;2020-12-13;W;1;1;Away;0;46.0;23.8;3-4-3;7.0;14.3;79.2;17.0;9.0;195.05;3;12;4-5-1;Roma;reste;15.0;0;2;0;327;0;0;2020-12;3
205;2020-12-20;L;0;0;Away;0;45.0;23.8;3-4-3;3.0;22.1;79.6;18.0;14.0;-17.5;3;12;3-4-3;Roma;reste;5.0;0;3;0;155;0;0;2020-12;3
206;2020-12-23;W;1;1;Home;1;62.0;23.8;3-4-3;8.0;15.9;82.8;13.0;18.0;246.72;3;12;3-5-2;Roma;reste;15.0;0;3;0;322;0;0;2020-12;3
207;2021-01-03;W;1;1;Home;1;65.0;23.8;3-4-3;6.0;14.5;83.7;16.0;18.0;252.7;11;1;4-5-1;Roma;reste;21.0;0;3;0;327;0;0;2021-01;3
208;2021-01-15;L;0;0;Away;0;60.0;23.8;3-4-3;1.0;11.5;82.8;10.0;19.0;116.76999999999998;5;1;3-5-2;Roma;reste;6.0;0;4;0;322;0;0;2021-01;3
209;2021-01-23;W;1;1;Home;1;48.0;23.8;3-4-3;7.0;14.9;81.3;20.0;12.0;302.75;4;1;4-3-3;Roma;reste;14.0;0;3;0;207;0;0;2021-01;3
210;2021-02-06;L;0;0;Away;0;52.0;23.8;3-4-3;3.0;19.1;83.3;12.0;13.0;-261.25;6;2;4-4-2;Roma;reste;14.0;0;2;0;162;0;0;2021-02;3
211;2021-02-14;W;1;1;Home;1;51.0;23.8;3-4-3;4.0;14.7;83.7;11.0;17.0;238.95;8;2;3-5-2;Roma;reste;12.0;1;2;0;322;1;0;2021-02;3
212;2021-02-28;L;0;0;Home;1;54.0;23.8;3-4-3;8.0;15.3;81.7;4.0;14.0;-165.70000000000005;3;2;4-5-1;Roma;reste;18.0;0;3;0;327;0;0;2021-02;3
213;2021-03-03;W;1;1;Away;0;59.0;23.8;3-4-3;6.0;19.0;80.5;10.0;15.0;55.44999999999999;3;3;3-5-2;Roma;reste;12.0;0;2;0;322;0;0;2021-03;3
214;2021-03-07;W;1;1;Home;1;54.0;23.8;3-4-3;2.0;19.4;85.2;18.0;15.0;259.97;4;3;3-5-2;Roma;reste;17.0;0;1;0;322;0;0;2021-03;3
215;2021-03-21;L;0;0;Home;1;53.0;23.8;3-4-3;3.0;14.9;85.9;10.0;17.0;-95.98000000000002;3;3;4-5-1;Roma;reste;8.0;0;5;0;327;0;0;2021-03;3
216;2021-04-03;D;0;1;Away;0;31.0;23.8;4-4-2;7.0;20.3;81.5;12.0;15.0;130.25;13;4;4-5-1;Roma;reste;10.0;1;3;0;327;1;0;2021-04;4
217;2021-04-11;W;1;1;Home;1;44.0;23.8;3-4-3;6.0;17.2;78.6;13.0;14.0;195.05;3;4;4-5-1;Roma;reste;14.0;0;3;0;327;0;0;2021-04;3
218;2021-04-18;L;0;0;Away;0;51.0;23.8;3-4-3;4.0;13.3;81.1;10.0;13.0;157.85;3;4;3-5-2;Roma;reste;9.0;0;2;1;322;0;1;2021-04;3
219;2021-04-22;D;0;1;Home;1;59.0;23.8;4-5-1;3.0;20.2;80.4;15.0;16.0;-17.5;4;4;3-4-3;Roma;reste;14.0;0;4;1;155;0;1;2021-04;4
220;2021-04-25;L;0;0;Away;0;70.0;23.8;3-4-3;7.0;15.7;85.3;9.0;17.0;246.72;3;4;3-5-2;Roma;reste;17.0;0;1;0;322;0;0;2021-04;3
221;2021-05-02;L;0;0;Away;0;47.0;23.8;3-4-3;2.0;16.8;74.9;10.0;13.0;252.7;3;5;4-5-1;Roma;reste;9.0;0;3;0;327;0;0;2021-05;3
222;2021-05-15;W;1;1;Home;1;48.0;23.8;4-5-1;2.0;19.5;82.0;13.0;8.0;116.76999999999998;3;5;3-5-2;Roma;reste;13.0;0;2;0;322;0;0;2021-05;4
223;2021-05-23;D;0;1;Away;0;57.0;23.8;4-5-1;10.0;14.7;84.9;14.0;14.0;302.75;8;5;4-3-3;Roma;reste;14.0;0;1;0;207;0;0;2021-05;4
224;2020-09-20;L;0;0;Away;0;34.0;26.2;4-5-1;1.0;19.5;75.1;12.0;9.0;-513.95;10;9;3-5-2;Sampdoria;automne;15.0;0;1;0;322;0;0;2020-09;4
225;2020-10-02;W;1;1;Away;0;36.0;26.2;4-4-2;7.0;18.3;69.5;8.0;16.0;-197.25;6;10;3-5-2;Sampdoria;automne;17.0;1;3;0;322;1;0;2020-10;4
226;2020-10-17;W;1;1;Home;1;52.0;26.2;4-4-2;7.0;20.6;78.4;7.0;12.0;-135.93;15;10;3-5-2;Sampdoria;automne;12.0;0;2;0;322;0;0;2020-10;4
227;2020-10-24;W;1;1;Away;0;35.0;26.2;4-4-2;3.0;14.0;72.4;15.0;19.0;-270.2;7;10;3-5-2;Sampdoria;automne;6.0;0;4;0;322;0;0;2020-10;4
228;2020-11-01;D;0;1;Home;1;55.0;26.2;4-4-2;3.0;17.3;78.9;12.0;19.0;7.270000000000009;5;11;4-5-1;Sampdoria;automne;9.0;0;5;0;327;0;0;2020-11;4
229;2020-11-07;L;0;0;Away;0;44.0;26.2;4-4-2;1.0;25.2;77.9;18.0;16.0;-5.979999999999991;6;11;4-5-1;Sampdoria;automne;5.0;0;2;1;327;0;1;2020-11;4
230;2020-11-22;L;0;0;Home;1;45.0;26.2;4-3-3;4.0;17.8;70.8;12.0;12.0;-57.649999999999984;15;11;4-5-1;Sampdoria;automne;11.0;0;2;0;327;0;0;2020-11;4
231;2020-11-30;D;0;1;Away;0;47.0;26.2;4-5-1;2.0;17.2;80.3;12.0;17.0;-94.85;4;11;3-5-2;Sampdoria;automne;11.0;0;2;0;322;0;0;2020-11;4
232;2020-12-06;L;0;0;Home;1;38.0;26.2;4-4-2;3.0;12.3;65.0;15.0;10.0;-418.4;6;12;4-5-1;Sampdoria;reste;9.0;0;2;0;327;0;0;2020-12;4
233;2020-12-13;L;0;0;Away;0;33.0;26.2;4-5-1;3.0;12.5;75.5;14.0;13.0;-348.68;7;12;4-5-1;Sampdoria;reste;7.0;0;4;0;327;0;0;2020-12;4
234;2020-12-23;L;0;0;Home;1;47.0;26.2;4-4-2;6.0;16.2;73.1;12.0;10.0;-122.45;4;12;4-5-1;Sampdoria;reste;26.0;0;2;1;327;0;1;2020-12;4
235;2021-01-03;L;0;0;Away;0;35.0;26.2;4-5-1;2.0;27.6;67.2;14.0;14.0;-252.7;11;1;3-4-3;Sampdoria;reste;5.0;0;5;0;155;0;0;2021-01;4
236;2021-01-11;L;0;0;Away;0;44.0;26.2;4-5-1;3.0;12.2;68.6;7.0;16.0;50.05000000000001;5;1;4-3-3;Sampdoria;reste;6.0;0;3;0;207;0;0;2021-01;4
238;2021-01-30;L;0;0;Home;1;39.0;26.2;4-4-2;1.0;18.4;79.4;9.0;11.0;-513.95;6;1;4-4-2;Sampdoria;reste;6.0;0;4;0;162;0;0;2021-01;4
239;2021-02-14;W;1;1;Home;1;49.0;26.2;4-5-1;3.0;16.7;72.6;10.0;14.0;-197.25;7;2;3-5-2;Sampdoria;reste;8.0;0;1;0;322;0;0;2021-02;4
240;2021-02-20;L;0;0;Away;0;44.0;26.2;3-5-2;0.0;12.9;72.9;16.0;17.0;-135.93;6;2;3-5-2;Sampdoria;reste;10.0;0;3;0;322;0;0;2021-02;3
241;2021-02-28;L;0;0;Home;1;45.0;26.2;4-5-1;2.0;20.7;73.8;11.0;7.0;-270.2;8;2;3-5-2;Sampdoria;reste;8.0;0;1;0;322;0;0;2021-02;4
242;2021-03-03;D;0;1;Away;0;50.0;26.2;4-4-2;4.0;21.1;79.3;15.0;16.0;7.270000000000009;3;3;3-5-2;Sampdoria;reste;11.0;0;0;0;322;0;0;2021-03;4
243;2021-03-07;D;0;1;Home;1;51.0;26.2;4-4-2;5.0;20.8;80.6;12.0;15.0;-5.979999999999991;4;3;3-5-2;Sampdoria;reste;12.0;0;4;0;322;0;0;2021-03;4
244;2021-03-14;L;0;0;Away;0;56.0;26.2;4-5-1;4.0;17.2;77.6;9.0;11.0;-57.649999999999984;7;3;4-5-1;Sampdoria;reste;18.0;0;2;0;327;0;0;2021-03;4
245;2021-03-21;W;1;1;Home;1;36.0;26.2;4-4-2;2.0;19.0;66.8;13.0;15.0;-94.85;7;3;3-5-2;Sampdoria;reste;6.0;0;0;0;322;0;0;2021-03;4
246;2021-04-03;D;0;1;Away;0;37.0;26.2;4-4-2;4.0;18.4;69.6;16.0;15.0;-418.4;13;4;4-5-1;Sampdoria;reste;6.0;0;5;1;327;0;1;2021-04;4
247;2021-04-11;L;0;0;Home;1;43.0;26.2;4-4-2;4.0;16.7;71.0;6.0;14.0;-348.68;8;4;4-5-1;Sampdoria;reste;13.0;0;0;0;327;0;0;2021-04;4
248;2021-04-24;L;0;0;Away;0;34.0;26.2;4-4-2;2.0;18.5;79.6;8.0;10.0;-122.45;3;4;4-5-1;Sampdoria;reste;11.0;0;0;0;327;0;0;2021-04;4
249;2021-05-02;W;1;1;Home;1;53.0;26.2;4-5-1;7.0;15.6;75.8;9.0;14.0;-252.7;8;5;3-4-3;Sampdoria;reste;13.0;0;0;0;155;0;0;2021-05;4
250;2021-05-12;D;0;1;Home;1;61.0;26.2;4-4-2;5.0;17.0;82.9;6.0;9.0;50.05000000000001;4;5;4-4-2;Sampdoria;reste;16.0;0;2;0;162;0;0;2021-05;4
252;2020-09-20;D;0;1;Home;1;67.0;25.0;4-5-1;9.0;20.6;89.3;7.0;9.0;116.47;10;9;4-5-1;Sassuolo;automne;33.0;0;1;0;327;0;0;2020-09;4
253;2020-09-27;W;1;1;Away;0;66.0;25.0;4-5-1;5.0;17.2;88.2;11.0;8.0;172.5;7;9;4-3-3;Sassuolo;automne;16.0;1;1;0;207;1;0;2020-09;4
254;2020-10-18;W;1;1;Away;0;52.0;25.0;4-5-1;12.0;15.2;77.1;16.0;11.0;64.80000000000001;15;10;4-4-2;Sassuolo;automne;25.0;0;2;0;162;0;0;2020-10;4
255;2020-10-23;D;0;1;Home;1;72.0;25.0;4-5-1;6.0;16.7;89.9;11.0;10.0;27.599999999999994;5;10;4-4-2;Sassuolo;automne;17.0;0;2;0;162;0;0;2020-10;4
256;2020-11-01;W;1;1;Away;0;56.0;25.0;3-4-3;3.0;17.2;89.4;15.0;9.0;-226.23;9;11;4-5-1;Sassuolo;automne;7.0;1;2;0;327;1;0;2020-11;3
258;2020-12-06;D;0;1;Away;0;57.0;25.0;4-5-1;1.0;22.4;85.3;7.0;11.0;-130.25;8;12;3-4-3;Sassuolo;reste;5.0;0;3;0;155;0;0;2020-12;4
259;2020-12-16;D;0;1;Away;0;66.0;25.0;4-5-1;5.0;19.3;88.9;13.0;12.0;-74.80000000000003;5;12;3-5-2;Sassuolo;reste;13.0;0;4;0;322;0;0;2020-12;4
260;2020-12-20;L;0;0;Home;1;68.0;25.0;4-5-1;5.0;19.3;87.0;9.0;11.0;-295.9500000000001;4;12;4-5-1;Sassuolo;reste;15.0;0;1;0;327;0;0;2020-12;4
261;2020-12-23;W;1;1;Away;0;53.0;25.0;4-5-1;8.0;17.4;79.1;11.0;12.0;122.45;3;12;4-4-2;Sassuolo;reste;14.0;0;4;0;162;0;0;2020-12;4
262;2021-01-03;L;0;0;Away;0;54.0;25.0;4-5-1;4.0;16.9;80.4;21.0;9.0;-147.75;11;1;3-5-2;Sassuolo;reste;10.0;0;1;0;322;0;0;2021-01;4
263;2021-01-06;W;1;1;Home;1;63.0;25.0;4-5-1;3.0;17.7;85.4;22.0;14.0;129.72;3;1;3-5-2;Sassuolo;reste;17.0;0;3;0;322;0;0;2021-01;4
264;2021-01-10;L;0;0;Away;0;45.0;25.0;4-5-1;2.0;20.2;86.6;12.0;3.0;-391.5;4;1;4-4-2;Sassuolo;reste;10.0;0;1;1;162;0;1;2021-01;4
265;2021-01-24;L;0;0;Away;0;51.0;25.0;4-5-1;1.0;13.7;84.2;6.0;15.0;-13.480000000000016;7;1;3-5-2;Sassuolo;reste;5.0;0;3;0;322;0;0;2021-01;4
266;2021-01-31;D;0;1;Away;0;70.0;25.0;4-5-1;4.0;14.1;85.0;6.0;11.0;116.47;7;1;4-5-1;Sassuolo;reste;15.0;0;3;0;327;0;0;2021-01;4
267;2021-02-06;L;0;0;Home;1;54.0;25.0;4-5-1;4.0;18.6;77.7;11.0;20.0;172.5;6;2;4-3-3;Sassuolo;reste;8.0;0;2;0;207;0;0;2021-02;4
268;2021-02-20;D;0;1;Home;1;73.0;25.0;4-5-1;8.0;20.2;83.3;14.0;14.0;64.80000000000001;6;2;4-5-1;Sassuolo;reste;30.0;0;1;0;327;0;0;2021-02;4
269;2021-03-03;D;0;1;Home;1;56.0;25.0;4-5-1;3.0;19.6;86.3;6.0;17.0;-226.23;11;3;4-5-1;Sassuolo;reste;12.0;2;2;0;327;1;0;2021-03;4
270;2021-03-06;L;0;0;Away;0;70.0;25.0;3-<NA>-<NA>;2.0;19.3;87.2;12.0;11.0;108.7;3;3;3-5-2;Sassuolo;reste;10.0;0;0;0;322;0;0;2021-03;3
271;2021-03-17;L;0;0;Away;0;49.0;25.0;4-5-1;3.0;20.1;83.7;17.0;16.0;27.599999999999994;4;3;3-5-2;Sassuolo;reste;14.0;0;2;0;322;0;0;2021-03;4
272;2021-04-03;D;0;1;Home;1;69.0;25.0;4-5-1;6.0;13.3;92.3;4.0;15.0;-130.25;17;4;4-4-2;Sassuolo;reste;13.0;0;4;0;162;0;0;2021-04;4
273;2021-04-17;W;1;1;Home;1;71.0;25.0;4-5-1;3.0;22.6;86.9;11.0;8.0;-74.80000000000003;5;4;3-5-2;Sassuolo;reste;9.0;2;3;0;322;1;0;2021-04;4
274;2021-04-21;W;1;1;Away;0;53.0;25.0;4-5-1;5.0;16.6;84.4;9.0;13.0;-295.9500000000001;4;4;4-5-1;Sassuolo;reste;16.0;0;1;0;327;0;0;2021-04;4
275;2021-04-24;W;1;1;Home;1;66.0;25.0;4-5-1;7.0;17.7;88.4;16.0;15.0;122.45;3;4;4-4-2;Sassuolo;reste;16.0;0;0;0;162;0;0;2021-04;4
276;2021-05-02;D;0;1;Home;1;63.0;25.0;4-5-1;3.0;26.2;86.1;10.0;18.0;-147.75;8;5;3-5-2;Sassuolo;reste;10.0;1;6;1;322;1;1;2021-05;4
277;2021-05-09;W;1;1;Away;0;60.0;25.0;4-5-1;6.0;17.3;84.7;10.0;15.0;129.72;7;5;3-5-2;Sassuolo;reste;14.0;0;0;0;322;0;0;2021-05;4
