;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
18;Mohamed Ali Cho;FW;Angers;17;32.0;21;1837.0;20.4;4.0;1.0;6.0;2.0;f8405304;Mohamed Ali ChoFWAngers;42;15;35.7;220.0;314.0;70.1;42.0;10.0;5;29.4;17.0;1.0;16.0;8;18.0;0.0;1.0;43.1;91.0;32.0;32;10;23;20.3;;;;;
19;Jim Allevinah;FW;Clermont Foot;26;30.0;13;1488.0;16.5;1.0;2.0;1.0;0.0;1956b948;Jim AllevinahFWClermont Foot;43;15;34.9;416.0;545.0;76.3;53.0;18.0;13;27.8;11.0;0.0;11.0;6;24.0;4.0;0.0;47.1;42.0;40.0;16;2;34;41.0;;;;;
20;Ibrahim Amadou;DM;Metz;28;10.0;10;812.0;9.0;1.0;0.0;4.0;0.0;9260926b;Ibrahim AmadouDFMFMetz;3;2;66.7;384.0;439.0;87.5;9.0;16.0;8;53.3;4.0;2.0;2.0;14;30.0;26.0;0.0;85.7;9.0;5.0;11;0;0;46.7;;;;Ibrahim Amadou;1.0
21;Jordan Amavi;DF;Nice;27;8.0;4;413.0;4.6;0.0;0.0;1.0;0.0;22721b88;Jordan AmaviDFNice;0;0;;269.0;319.0;84.3;6.0;16.0;10;58.8;3.0;1.0;2.0;15;31.0;7.0;0.0;55.6;6.0;4.0;2;0;6;52.6;;;;;
22;Jordan Amavi;MF;Marseille;27;2.0;2;128.0;1.4;0.0;0.0;0.0;0.0;22721b88;Jordan AmaviDFFWMarseille;0;0;;74.0;86.0;86.0;2.0;6.0;5;50.0;1.0;0.0;1.0;1;7.0;3.0;0.0;0.0;2.0;3.0;3;0;2;37.5;;;;;
23;Benjamin André;DM;Lille;30;33.0;33;2752.0;30.6;2.0;1.0;12.0;1.0;ef9c1c95;Benjamin AndréMFLille;18;5;27.8;1404.0;1766.0;79.5;56.0;123.0;69;45.1;49.0;11.0;38.0;50;173.0;56.0;0.0;80.0;54.0;26.0;67;2;19;54.5;;;;Benjamin André;1.0
24;Houssem Aouar;MF;Lyon;23;36.0;29;2504.0;27.8;6.0;4.0;1.0;0.0;a5db0bec;Houssem AouarMFFWLyon;76;24;31.6;1243.0;1446.0;86.0;101.0;46.0;30;50.0;26.0;1.0;25.0;20;66.0;5.0;0.0;54.3;72.0;52.0;27;3;21;22.2;;;;;
25;Adil Aouchiche;MF;Saint-Étienne;19;35.0;11;1081.0;12.0;0.0;4.0;2.0;0.0;b94b8be1;Adil AouchicheMFFWSaint-Étienne;21;10;47.6;457.0;614.0;74.4;38.0;13.0;6;15.2;18.0;1.0;17.0;17;30.0;4.0;0.0;37.5;31.0;17.0;10;2;68;37.0;;;;;
26;Dennis Appiah;DF;Nantes;29;32.0;22;2099.0;23.3;0.0;0.0;4.0;0.0;feb5d3ab;Dennis AppiahDFNantes;2;0;0.0;756.0;1001.0;75.5;15.0;55.0;34;58.3;30.0;13.0;17.0;27;82.0;74.0;0.0;46.7;23.0;5.0;39;2;38;43.5;;;;;
27;Lorenz Assignon;DF;Rennes;21;20.0;5;616.0;6.8;0.0;2.0;0.0;0.0;b026bbf6;Lorenz AssignonDFRennes;6;4;66.7;306.0;383.0;79.9;18.0;15.0;10;55.6;3.0;1.0;2.0;11;26.0;19.0;0.0;50.0;10.0;6.0;10;2;21;64.7;;;;;
28;Youcef Atal;DF;Nice;25;17.0;13;1140.0;12.7;2.0;1.0;4.0;0.0;6a827d8e;Youcef AtalDFNice;13;5;38.5;556.0;738.0;75.3;31.0;29.0;19;56.0;13.0;2.0;11.0;32;61.0;21.0;0.0;46.2;19.0;19.0;17;3;54;68.4;;;;;
29;Jean-Kévin Augustin;MF;Nantes;24;7.0;0;84.0;0.9;0.0;0.0;1.0;0.0;97bfa797;Jean-Kévin AugustinFWMFNantes;2;0;0.0;11.0;14.0;78.6;1.0;1.0;0;0.0;1.0;0.0;1.0;0;1.0;0.0;0.0;;7.0;3.0;1;0;0;66.7;;;;;
30;Karim Azamoum;DF;Troyes;31;7.0;4;388.0;4.3;0.0;0.0;2.0;0.0;eaf71a5e;Karim AzamoumDFTroyes;3;3;100.0;102.0;148.0;68.9;1.0;6.0;5;60.0;4.0;2.0;2.0;1;7.0;10.0;0.0;33.3;3.0;2.0;12;0;1;58.3;;;;;
31;Loïc Bade;DF;Rennes;21;14.0;11;985.0;10.9;0.0;1.0;3.0;1.0;114bbdee;Loïc BadeDFRennes;7;0;0.0;655.0;729.0;89.8;5.0;6.0;5;60.0;12.0;10.0;2.0;12;18.0;48.0;0.0;80.0;4.0;1.0;6;0;2;58.1;;;;;
32;Benoît Badiashile;DF;Monaco;20;24.0;21;1838.0;20.4;1.0;0.0;4.0;0.0;06df8256;Benoît BadiashileDFMonaco;14;4;28.6;1212.0;1380.0;87.8;15.0;36.0;19;60.9;18.0;12.0;6.0;28;64.0;68.0;1.0;50.0;7.0;5.0;24;2;1;77.0;;;;;
33;Youssouph Badji;MF;Brest;19;9.0;1;135.0;1.5;0.0;0.0;0.0;0.0;6a2b9aee;Youssouph BadjiFWMFBrest;2;0;0.0;22.0;35.0;62.9;3.0;1.0;0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;;4.0;1.0;4;1;1;53.8;;;;;
34;Stéphane Bahoken;FW;Angers;29;29.0;12;1099.0;12.2;3.0;1.0;0.0;0.0;5046b7d4;Stéphane BahokenFWAngers;24;14;58.3;157.0;218.0;72.0;15.0;13.0;8;11.1;15.0;0.0;15.0;3;16.0;3.0;0.0;50.0;40.0;17.0;23;4;10;38.7;;;;;
