,victoire,y_pred,diff,dif_pred,dif_vic,dif_moy
312,0,0.03307829211992209,0.03307829211992209,-0.03307829211992209,0.03307829211992209,-0.39364303178484106
313,0,0.04242789626764429,0.04242789626764429,-0.04242789626764429,0.04242789626764429,-0.39364303178484106
314,1,0.8931705951577734,0.10682940484222658,0.10682940484222658,-0.10682940484222658,0.6063569682151589
315,0,0.021190271855519135,0.021190271855519135,-0.021190271855519135,0.021190271855519135,-0.39364303178484106
316,0,0.04332569828641447,0.04332569828641447,-0.04332569828641447,0.04332569828641447,-0.39364303178484106
317,0,0.15212033539276587,0.15212033539276587,-0.15212033539276587,0.15212033539276587,-0.39364303178484106
318,0,0.689189458249629,0.689189458249629,-0.689189458249629,0.689189458249629,-0.39364303178484106
319,0,0.11219888320350313,0.11219888320350313,-0.11219888320350313,0.11219888320350313,-0.39364303178484106
320,0,0.4185735295647203,0.4185735295647203,-0.4185735295647203,0.4185735295647203,-0.39364303178484106
321,0,0.09433724634294187,0.09433724634294187,-0.09433724634294187,0.09433724634294187,-0.39364303178484106
322,0,0.04940248063562161,0.04940248063562161,-0.04940248063562161,0.04940248063562161,-0.39364303178484106
323,1,0.18712036899349024,0.8128796310065097,0.8128796310065097,-0.8128796310065097,0.6063569682151589
324,1,0.07126248763962227,0.9287375123603777,0.9287375123603777,-0.9287375123603777,0.6063569682151589
325,0,0.5534916941978113,0.5534916941978113,-0.5534916941978113,0.5534916941978113,-0.39364303178484106
326,0,0.02474712023302153,0.02474712023302153,-0.02474712023302153,0.02474712023302153,-0.39364303178484106
327,0,0.471189165209811,0.471189165209811,-0.471189165209811,0.471189165209811,-0.39364303178484106
328,0,0.30226764500501835,0.30226764500501835,-0.30226764500501835,0.30226764500501835,-0.39364303178484106
329,1,0.305587171715516,0.6944128282844839,0.6944128282844839,-0.6944128282844839,0.6063569682151589
330,1,0.9535509798231253,0.04644902017687469,0.04644902017687469,-0.04644902017687469,0.6063569682151589
331,0,0.028706701223484062,0.028706701223484062,-0.028706701223484062,0.028706701223484062,-0.39364303178484106
332,0,0.0608043505760653,0.0608043505760653,-0.0608043505760653,0.0608043505760653,-0.39364303178484106
333,1,0.18152822245559994,0.8184717775444,0.8184717775444,-0.8184717775444,0.6063569682151589
334,0,0.06227336383692274,0.06227336383692274,-0.06227336383692274,0.06227336383692274,-0.39364303178484106
335,0,0.26369688724645857,0.26369688724645857,-0.26369688724645857,0.26369688724645857,-0.39364303178484106
336,0,0.13406631076291028,0.13406631076291028,-0.13406631076291028,0.13406631076291028,-0.39364303178484106
337,0,0.5599425253461005,0.5599425253461005,-0.5599425253461005,0.5599425253461005,-0.39364303178484106
338,0,0.09714090605740328,0.09714090605740328,-0.09714090605740328,0.09714090605740328,-0.39364303178484106
339,0,0.1263378462326842,0.1263378462326842,-0.1263378462326842,0.1263378462326842,-0.39364303178484106
340,0,0.1409213809859558,0.1409213809859558,-0.1409213809859558,0.1409213809859558,-0.39364303178484106
341,1,0.29335000823914104,0.706649991760859,0.706649991760859,-0.706649991760859,0.6063569682151589
342,1,0.21437548273527476,0.7856245172647253,0.7856245172647253,-0.7856245172647253,0.6063569682151589
343,0,0.022524236180807542,0.022524236180807542,-0.022524236180807542,0.022524236180807542,-0.39364303178484106
344,1,0.11069189350682186,0.8893081064931782,0.8893081064931782,-0.8893081064931782,0.6063569682151589
345,1,0.40357559079689664,0.5964244092031034,0.5964244092031034,-0.5964244092031034,0.6063569682151589
346,1,0.6417314521518407,0.3582685478481593,0.3582685478481593,-0.3582685478481593,0.6063569682151589
347,1,0.5435864095544284,0.4564135904455716,0.4564135904455716,-0.4564135904455716,0.6063569682151589
348,0,0.021609904075290853,0.021609904075290853,-0.021609904075290853,0.021609904075290853,-0.39364303178484106
349,0,0.32473494449555756,0.32473494449555756,-0.32473494449555756,0.32473494449555756,-0.39364303178484106
350,0,0.007448654290204405,0.007448654290204405,-0.007448654290204405,0.007448654290204405,-0.39364303178484106
351,0,0.29639859618254494,0.29639859618254494,-0.29639859618254494,0.29639859618254494,-0.39364303178484106
352,0,0.016453136978518,0.016453136978518,-0.016453136978518,0.016453136978518,-0.39364303178484106
353,1,0.40068195741689655,0.5993180425831035,0.5993180425831035,-0.5993180425831035,0.6063569682151589
354,0,0.10318800229614872,0.10318800229614872,-0.10318800229614872,0.10318800229614872,-0.39364303178484106
355,0,0.06930929898036141,0.06930929898036141,-0.06930929898036141,0.06930929898036141,-0.39364303178484106
356,0,0.32774736262353604,0.32774736262353604,-0.32774736262353604,0.32774736262353604,-0.39364303178484106
357,0,0.040138891568693554,0.040138891568693554,-0.040138891568693554,0.040138891568693554,-0.39364303178484106
358,0,0.26850796788182024,0.26850796788182024,-0.26850796788182024,0.26850796788182024,-0.39364303178484106
359,0,0.08977779003618815,0.08977779003618815,-0.08977779003618815,0.08977779003618815,-0.39364303178484106
360,0,0.28898021338036767,0.28898021338036767,-0.28898021338036767,0.28898021338036767,-0.39364303178484106
361,1,0.5731936209242842,0.42680637907571584,0.42680637907571584,-0.42680637907571584,0.6063569682151589
362,0,0.8480922981482422,0.8480922981482422,-0.8480922981482422,0.8480922981482422,-0.39364303178484106
363,0,0.09967954794902927,0.09967954794902927,-0.09967954794902927,0.09967954794902927,-0.39364303178484106
364,1,0.7195817680970752,0.2804182319029248,0.2804182319029248,-0.2804182319029248,0.6063569682151589
365,0,0.013307321904852214,0.013307321904852214,-0.013307321904852214,0.013307321904852214,-0.39364303178484106
366,0,0.3230346553078238,0.3230346553078238,-0.3230346553078238,0.3230346553078238,-0.39364303178484106
367,0,0.17650442815715284,0.17650442815715284,-0.17650442815715284,0.17650442815715284,-0.39364303178484106
368,0,0.09109263843130329,0.09109263843130329,-0.09109263843130329,0.09109263843130329,-0.39364303178484106
369,0,0.08914817358197065,0.08914817358197065,-0.08914817358197065,0.08914817358197065,-0.39364303178484106
370,0,0.007708579204149175,0.007708579204149175,-0.007708579204149175,0.007708579204149175,-0.39364303178484106
371,1,0.270468211740711,0.729531788259289,0.729531788259289,-0.729531788259289,0.6063569682151589
372,0,0.03930535173715325,0.03930535173715325,-0.03930535173715325,0.03930535173715325,-0.39364303178484106
373,1,0.6344043526691404,0.3655956473308596,0.3655956473308596,-0.3655956473308596,0.6063569682151589
