;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
26;2021-01-27;W;1;1;Home;1;34.0;25,0;3-4-3;8.0;;;28.0;12.0;103.67000000000002;4;1;3-5-2;Atalanta;reste;12.0;0;2;1;3.0;11.0;;15.0;Lazio;;
27;2021-01-31;L;0;0;Home;1;57.0;25,0;3-4-3;3.0;12.3;78.4;23.0;12.0;103.67000000000002;4;1;3-5-2;Atalanta;reste;8.0;0;0;0;2.0;14.0;1.0;20.0;Lazio;464.12800000000004;592.0
28;2021-02-03;D;0;1;Away;0;50.0;25,0;3-5-2;4.0;;;17.0;13.0;-100.20000000000005;3;2;3-4-3;Atalanta;reste;17.0;0;1;0;1.0;10.0;;9.0;Napoli;;
29;2021-02-06;D;0;1;Home;1;57.0;25,0;3-4-3;4.0;12.4;77.6;14.0;23.0;254.72;3;2;3-5-2;Atalanta;reste;11.0;0;3;0;2.0;20.0;1.0;17.0;Torino;429.90399999999994;554.0
30;2021-02-10;W;1;1;Home;1;40.0;25,0;3-5-2;7.0;;;20.0;16.0;-100.20000000000005;4;2;4-3-3;Atalanta;reste;19.0;0;1;0;4.0;12.0;;14.0;Napoli;;
31;2021-02-14;W;1;1;Away;0;64.0;25,0;3-4-3;2.0;15.4;79.5;15.0;14.0;242.17;4;2;3-5-2;Atalanta;reste;10.0;0;3;0;3.0;4.0;0.0;17.0;Cagliari;555.705;699.0
32;2021-02-21;W;1;1;Home;1;47.0;25,0;3-5-2;5.0;12.7;81.7;19.0;19.0;-100.20000000000005;7;2;4-5-1;Atalanta;reste;18.0;0;2;0;1.0;4.0;0.0;11.0;Napoli;437.095;535.0
33;2021-02-24;L;0;0;Home;1;32.0;25,0;3-5-2;0.0;17.3;74.1;20.0;8.0;;3;2;<NA>-<NA>-<NA>;Atalanta;reste;2.0;0;1;1;;;;;es Real Madrid;291.95399999999995;394.0
34;2021-02-28;W;1;1;Away;0;55.0;25,0;3-5-2;8.0;17.8;79.4;11.0;17.0;302.82;4;2;4-5-1;Atalanta;reste;20.0;0;3;0;1.0;8.0;2.0;7.0;Sampdoria;508.16;640.0
35;2021-03-03;W;1;1;Home;1;66.0;25,0;3-4-3;11.0;15.7;83.1;9.0;7.0;377.25;3;3;3-4-3;Atalanta;reste;21.0;0;0;0;2.0;4.0;0.0;13.0;Crotone;574.221;691.0
