;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
75;Mehdi Bourabia;MF;Spezia;31-232;27.0;26;2088.0;23.2;0.0;2.0;3.0;0.0;0d077b88;Mehdi BourabiaMFSpezia;21;2;9.5;793.0;1026.0;77.3;60.0;34.0;15;48.5;32.0;12.0;20.0;26;60.0;42.0;0.0;42.9;41.0;19.0;1297.0;26;1;50;42.1;;;;;
76;Edoardo Bove;DM;Roma;20-315;13.0;3;332.0;3.7;0.0;0.0;2.0;0.0;ae94a6c5;Edoardo BoveMFRoma;5;1;20.0;95.0;117.0;81.2;6.0;12.0;5;40.0;6.0;1.0;5.0;2;14.0;6.0;0.0;66.7;16.0;9.0;173.0;9;0;2;33.3;;;;Edoardo Bove;1.0
77;Jayden Braaf;MF;Hellas-Verona;20-208;4.0;2;225.0;2.5;0.0;0.0;1.0;0.0;c609e90e;Jayden BraafMFHellas Verona;5;2;40.0;39.0;52.0;75.0;4.0;5.0;3;;1.0;0.0;1.0;2;7.0;0.0;0.0;68.8;12.0;10.0;93.0;5;2;4;0.0;;;;;
78;Domagoj Bradarić;DF;Salernitana;23-107;22.0;16;1535.0;17.1;0.0;2.0;4.0;0.0;8bbe2df5;Domagoj BradarićDFSalernitana;5;0;0.0;564.0;749.0;75.3;31.0;16.0;11;53.8;13.0;3.0;10.0;14;30.0;33.0;0.0;22.6;21.0;8.0;889.0;13;3;55;25.0;;;;;
79;Josip Brekalo;FW;Fiorentina;24-277;2.0;0;64.0;0.7;0.0;0.0;1.0;0.0;d4a2533d;Josip BrekaloFWFiorentina;1;0;0.0;23.0;33.0;69.7;3.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;1.0;39.0;1;0;2;0.0;;;;;
80;Gleison Bremer;DF;Juventus;26-009;23.0;23;2016.0;22.4;3.0;1.0;5.0;0.0;5fd5ed86;Gleison BremerDFJuventus;20;4;20.0;1122.0;1250.0;89.8;18.0;20.0;14;76.5;37.0;21.0;16.0;33;53.0;97.0;2.0;33.3;13.0;6.0;1504.0;23;1;0;61.4;;;;;
81;Dylan Bronn;DF;Salernitana;27-281;20.0;16;1425.0;15.8;0.0;0.0;3.0;1.0;edd81e2a;Dylan BronnDFSalernitana;8;1;12.5;732.0;866.0;84.5;14.0;31.0;16;65.5;30.0;19.0;11.0;18;49.0;49.0;1.0;50.0;5.0;2.0;1034.0;24;0;6;59.2;;;;;
82;Marcelo Brozović;MF;Internazionale;30-131;17.0;11;1013.0;11.3;2.0;0.0;5.0;0.0;33b8d077;Marcelo BrozovićMFInter;16;4;25.0;739.0;851.0;86.8;23.0;18.0;11;27.8;14.0;4.0;10.0;16;34.0;17.0;0.0;70.0;11.0;3.0;965.0;16;0;23;40.0;;;;;
83;Cristian Buonaiuto;MF;Cremonese;30-088;19.0;3;591.0;6.6;0.0;0.0;2.0;0.0;f3a9fa26;Cristian BuonaiutoMFFWCremonese;27;8;29.6;195.0;304.0;64.1;43.0;12.0;6;41.7;8.0;0.0;8.0;9;21.0;4.0;0.0;45.2;20.0;14.0;412.0;11;0;49;22.2;;;;;
84;Alessandro Buongiorno;DF;Torino;23-294;23.0;19;1743.0;19.4;0.0;1.0;8.0;0.0;4ae67f27;Alessandro BuongiornoDFTorino;15;0;0.0;762.0;917.0;83.1;14.0;26.0;15;63.2;26.0;14.0;12.0;40;66.0;62.0;2.0;40.0;26.0;6.0;1159.0;45;0;6;72.9;;;;;
85;Juan Cabal;DF;Hellas-Verona;22-078;5.0;0;147.0;1.6;0.0;0.0;1.0;0.0;ef6eef89;Juan CabalDFHellas Verona;0;0;;61.0;84.0;72.6;3.0;2.0;2;100.0;5.0;4.0;1.0;3;5.0;5.0;0.0;50.0;2.0;0.0;105.0;1;1;2;41.2;;;;;
86;Liberato Cacace;DM;Empoli;22-181;8.0;3;387.0;4.3;0.0;0.0;1.0;0.0;dd86e8e4;Liberato CacaceDFEmpoli;4;0;0.0;217.0;273.0;79.5;13.0;19.0;7;66.7;10.0;5.0;5.0;4;23.0;11.0;0.0;38.5;2.0;4.0;347.0;6;0;18;19.0;;;;Liberato Cacace;1.0
87;Davide Calabria;DF;Milan;26-111;15.0;13;1015.0;11.3;1.0;2.0;4.0;0.0;2146785a;Davide CalabriaDFMilan;7;1;14.3;599.0;750.0;79.9;18.0;50.0;26;62.2;14.0;4.0;10.0;18;68.0;20.0;0.0;20.0;6.0;3.0;875.0;10;1;29;38.5;;;;;
88;Mattia Caldara;DF;Spezia;28-326;18.0;12;1162.0;12.9;0.0;0.0;6.0;0.0;ac7e640b;Mattia CaldaraDFSpezia;10;3;30.0;425.0;553.0;76.9;6.0;23.0;14;45.0;20.0;13.0;7.0;15;38.0;77.0;2.0;40.0;7.0;4.0;723.0;15;1;1;59.3;;;;;
89;Luca Caldirola;DF;Monza;32-054;22.0;19;1657.0;18.4;0.0;0.0;4.0;0.0;226008f1;Luca CaldirolaDFMonza;6;1;16.7;900.0;1023.0;88.0;10.0;17.0;8;38.9;18.0;9.0;9.0;18;35.0;42.0;0.0;0.0;3.0;1.0;1156.0;24;0;5;53.7;;;;;
90;Hakan Çalhanoğlu;MF;Internazionale;29-047;26.0;23;1924.0;21.4;2.0;5.0;2.0;0.0;cd0fa27b;Hakan ÇalhanoğluMFInter;44;11;25.0;1093.0;1316.0;83.1;102.0;40.0;22;36.4;25.0;4.0;21.0;22;62.0;9.0;1.0;35.0;26.0;9.0;1535.0;35;1;131;50.0;;;;;
91;Mohamed Camara;MF;Roma;26-027;10.0;5;412.0;4.6;0.0;0.0;2.0;0.0;13ea2544;Mohamed CamaraMFRoma;7;1;14.3;156.0;205.0;76.1;10.0;10.0;9;44.4;2.0;0.0;2.0;7;17.0;4.0;0.0;66.7;4.0;5.0;245.0;11;0;5;60.0;;;;;
92;Nicolò Cambiaghi;MF;Empoli;22-089;17.0;4;578.0;6.4;3.0;1.0;1.0;0.0;91ff775f;Nicolò CambiaghiFWMFEmpoli;18;7;38.9;159.0;210.0;75.7;26.0;15.0;11;42.9;9.0;1.0;8.0;4;19.0;5.0;0.0;43.5;18.0;10.0;304.0;10;1;17;25.0;;;;;
93;Andrea Cambiaso;DF;Bologna;23-035;25.0;19;1620.0;18.0;0.0;2.0;2.0;0.0;247ed022;Andrea CambiasoDFBologna;10;3;30.0;878.0;1084.0;81.0;40.0;43.0;24;41.9;20.0;2.0;18.0;21;64.0;27.0;1.0;48.9;32.0;14.0;1299.0;19;4;46;16.7;;;;;
94;Matteo Cancellieri;FW;Lazio;21-043;18.0;1;243.0;2.7;0.0;0.0;3.0;0.0;b6a1cdf9;Matteo CancellieriFWLazio;6;1;16.7;60.0;85.0;70.6;8.0;9.0;4;50.0;4.0;0.0;4.0;1;10.0;2.0;0.0;33.3;11.0;2.0;127.0;12;5;7;66.7;;;;;
95;Antonio Candreva;MF;Salernitana;36-027;26.0;24;2075.0;23.1;3.0;3.0;3.0;1.0;356c9002;Antonio CandrevaDFMFSalernitana;32;14;43.8;908.0;1246.0;72.9;65.0;12.0;3;31.3;6.0;2.0;4.0;15;27.0;27.0;0.0;20.0;19.0;6.0;1399.0;4;6;161;25.0;;;;;
96;Gianluca Caprari;MF;Monza;29-240;27.0;24;1807.0;20.1;4.0;2.0;4.0;0.0;54e53b7e;Gianluca CaprariMFFWMonza;40;9;22.5;634.0;797.0;79.5;53.0;14.0;6;36.8;16.0;1.0;15.0;7;21.0;3.0;0.0;35.4;63.0;23.0;1024.0;31;9;57;21.1;;;;;
97;Francesco Caputo;FW;Sampdoria;35-233;15.0;13;1094.0;12.2;1.0;0.0;0.0;0.0;5bd72174;Francesco CaputoFWSampdoria;19;5;26.3;168.0;237.0;70.9;23.0;3.0;1;0.0;0.0;0.0;0.0;1;4.0;3.0;0.0;33.3;21.0;14.0;309.0;5;11;3;22.2;;;;;
98;Francesco Caputo;FW;Empoli;35-233;12.0;11;963.0;10.7;1.0;4.0;1.0;0.0;5bd72174;Francesco CaputoFWEmpoli;23;8;34.8;144.0;194.0;74.2;18.0;2.0;2;;5.0;2.0;3.0;1;3.0;4.0;0.0;11.1;26.0;15.0;281.0;10;12;4;40.0;;;;;
99;Andrea Carboni;DF;Monza;22-051;4.0;1;167.0;1.9;0.0;0.0;0.0;0.0;f7e2af2c;Andrea CarboniDFMonza;1;1;100.0;69.0;87.0;79.3;3.0;3.0;2;40.0;3.0;2.0;1.0;3;6.0;2.0;1.0;33.3;0.0;0.0;104.0;1;0;5;0.0;;;;;
100;Franco Carboni;DF;Monza;19-357;2.0;0;58.0;0.6;0.0;0.0;0.0;0.0;b033f803;Franco CarboniDFMonza;1;0;0.0;28.0;42.0;66.7;1.0;1.0;1;0.0;2.0;0.0;2.0;1;2.0;0.0;0.0;40.0;0.0;0.0;49.0;0;0;9;100.0;;;;;
101;Valentin Carboni;MF;Internazionale;18-022;5.0;0;25.0;0.3;0.0;0.0;0.0;0.0;707b98f1;Valentin CarboniMFDFInter;0;0;;12.0;17.0;70.6;2.0;1.0;1;33.3;1.0;0.0;1.0;0;1.0;0.0;0.0;50.0;2.0;1.0;25.0;0;0;1;0.0;;;;;
102;Carlos;DF;Monza;24-079;24.0;24;2093.0;23.3;5.0;4.0;2.0;0.0;8d3cd59d;CarlosDFMonza;28;11;39.3;983.0;1193.0;82.4;38.0;38.0;19;58.6;14.0;4.0;10.0;14;52.0;55.0;1.0;61.9;28.0;18.0;1415.0;33;4;41;63.8;;;;;
103;Marco Carnesecchi;GK;Cremonese;22-269;18.0;18;1620.0;18.0;0.0;1.0;1.0;0.0;8ec56e62;Marco CarnesecchiGKCremonese;0;0;;374.0;615.0;60.8;7.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;7.0;1.0;;0.0;0.0;667.0;0;0;0;66.7;71.4;11.1;7.8;;
104;Nicolò Casale;DF;Lazio;25-041;19.0;19;1675.0;18.6;1.0;1.0;5.0;0.0;3f5f38fb;Nicolò CasaleDFLazio;8;2;25.0;1011.0;1099.0;92.0;11.0;34.0;16;65.4;16.0;9.0;7.0;12;46.0;47.0;0.0;0.0;4.0;1.0;1232.0;16;0;0;61.4;;;;;
105;Tommaso Cassandro;DF;Lecce;23-077;1.0;0;13.0;0.1;0.0;0.0;0.0;0.0;6c4307ee;Tommaso CassandroDFLecce;0;0;;6.0;6.0;100.0;0.0;1.0;1;;1.0;1.0;0.0;0;1.0;0.0;0.0;;0.0;0.0;8.0;1;0;0;;;;;;
106;Michele Castagnetti;DM;Cremonese;33-090;16.0;7;757.0;8.4;0.0;1.0;2.0;0.0;ad92526f;Michele CastagnettiMFCremonese;7;1;14.3;326.0;441.0;73.9;33.0;23.0;12;40.9;8.0;2.0;6.0;9;32.0;12.0;0.0;50.0;11.0;0.0;514.0;10;0;28;46.2;;;;Michele Castagnetti;1.0
107;Gaetano Castrovilli;MF;Fiorentina;26-038;6.0;0;122.0;1.4;0.0;0.0;1.0;0.0;0728bebe;Gaetano CastrovilliMFFiorentina;3;1;33.3;43.0;53.0;81.1;3.0;5.0;4;33.3;1.0;0.0;1.0;1;6.0;1.0;0.0;33.3;4.0;4.0;75.0;5;0;1;33.3;;;;;
108;Danilo Cataldi;MF;Lazio;28-233;24.0;22;1635.0;18.2;0.0;1.0;4.0;0.0;ba3d3bea;Danilo CataldiMFLazio;7;1;14.3;995.0;1155.0;86.1;31.0;20.0;12;29.7;19.0;8.0;11.0;20;40.0;27.0;0.0;33.3;5.0;6.0;1295.0;11;0;44;16.7;;;;;
109;Pietro Ceccaroni;DF;Lecce;27-096;1.0;0;23.0;0.3;0.0;0.0;0.0;0.0;4d1efb48;Pietro CeccaroniDFLecce;0;0;;2.0;5.0;40.0;0.0;0.0;0;;1.0;1.0;0.0;3;3.0;1.0;0.0;;0.0;0.0;10.0;0;0;0;;;;;;
110;Federico Ceccherini;DF;Hellas-Verona;30-320;15.0;14;1033.0;11.5;1.0;0.0;7.0;1.0;d9624b51;Federico CeccheriniDFHellas Verona;5;1;20.0;359.0;475.0;75.6;11.0;18.0;14;69.2;11.0;4.0;7.0;10;28.0;37.0;0.0;50.0;11.0;5.0;585.0;26;0;4;63.6;;;;;
111;Assan Ceesay;FW;Lecce;29-010;23.0;14;1178.0;13.1;4.0;0.0;1.0;0.0;07f8bcc8;Assan CeesayFWLecce;29;6;20.7;160.0;265.0;60.4;23.0;20.0;16;58.3;10.0;1.0;9.0;2;22.0;21.0;0.0;60.0;47.0;17.0;440.0;21;14;9;51.9;;;;;
112;Emil Ceide;FW;Sassuolo;21-205;14.0;3;332.0;3.7;0.0;0.0;0.0;0.0;98a84572;Emil CeideFWSassuolo;4;0;0.0;75.0;109.0;68.8;14.0;4.0;1;75.0;2.0;0.0;2.0;1;5.0;0.0;0.0;26.3;7.0;5.0;151.0;3;0;4;25.0;;;;;
113;Zeki Çelik;DF;Roma;26-038;16.0;10;1013.0;11.3;0.0;0.0;5.0;0.0;31a62dc7;Zeki ÇelikDFRoma;4;1;25.0;467.0;616.0;75.8;29.0;33.0;16;71.4;25.0;5.0;20.0;13;46.0;29.0;1.0;37.5;12.0;11.0;746.0;17;1;24;56.3;;;;;
114;Federico Chiesa;MF;Juventus;25-153;11.0;2;394.0;4.4;0.0;3.0;1.0;0.0;b0f7e36c;Federico ChiesaDFMFJuventus;11;1;9.1;117.0;158.0;74.1;19.0;12.0;5;57.1;4.0;1.0;3.0;0;12.0;1.0;0.0;60.0;9.0;6.0;213.0;5;1;19;0.0;;;;;
115;Vlad Chiricheș;DF;Cremonese;33-133;11.0;10;726.0;8.1;0.0;0.0;2.0;0.0;c316607a;Vlad ChiricheșDFCremonese;0;0;;266.0;316.0;84.2;5.0;27.0;15;58.8;21.0;12.0;9.0;16;43.0;30.0;0.0;0.0;1.0;3.0;414.0;13;0;0;41.4;;;;;
116;Daniel Ciofani;FW;Cremonese;37-239;24.0;5;631.0;7.0;5.0;0.0;0.0;0.0;b09a3ecc;Daniel CiofaniFWCremonese;22;8;36.4;71.0;123.0;57.7;19.0;5.0;3;60.0;3.0;0.0;3.0;0;5.0;3.0;0.0;0.0;18.0;6.0;196.0;4;3;2;34.7;;;;;
117;Tio Cipot;FW;Spezia;19-341;4.0;0;67.0;0.7;0.0;0.0;0.0;0.0;039a4fb6;Tio CipotFWDFSpezia;2;1;50.0;24.0;32.0;75.0;2.0;5.0;4;50.0;0.0;0.0;0.0;0;5.0;1.0;0.0;50.0;2.0;3.0;43.0;1;0;1;0.0;;;;;
118;Patrick Ciurria;MF;Monza;28-046;25.0;20;1785.0;19.8;4.0;4.0;2.0;0.0;5de3866c;Patrick CiurriaDFMFMonza;35;16;45.7;696.0;878.0;79.3;47.0;25.0;14;48.0;19.0;2.0;17.0;3;28.0;24.0;0.0;16.0;38.0;12.0;1082.0;19;6;65;41.2;;;;;
119;Omar Colley;DF;Sampdoria;30-154;16.0;15;1384.0;15.4;1.0;0.0;5.0;0.0;8b95acda;Omar ColleyDFSampdoria;6;4;66.7;615.0;714.0;86.1;5.0;17.0;10;75.0;9.0;5.0;4.0;22;39.0;69.0;1.0;100.0;4.0;2.0;860.0;15;1;0;47.4;;;;;
120;Lorenzo Colombo;FW;Lecce;21-019;24.0;13;1188.0;13.2;4.0;2.0;4.0;0.0;04df29a5;Lorenzo ColomboFWLecce;34;9;26.5;179.0;279.0;64.2;35.0;12.0;4;42.9;19.0;0.0;19.0;2;14.0;5.0;0.0;32.3;63.0;33.0;485.0;31;7;9;24.2;;;;;
121;Andrea Colpani;MF;Monza;23-320;19.0;4;537.0;6.0;2.0;0.0;1.0;0.0;6499048c;Andrea ColpaniMFMonza;17;4;23.5;194.0;247.0;78.5;18.0;7.0;5;55.6;12.0;2.0;10.0;3;10.0;3.0;0.0;40.9;14.0;9.0;329.0;13;0;17;30.8;;;;;
122;Andrea Consigli;GK;Sassuolo;36-059;25.0;25;2250.0;25.0;0.0;0.0;0.0;0.0;8cabdc1e;Andrea ConsigliGKSassuolo;0;0;;841.0;1072.0;78.5;6.0;1.0;0;0.0;0.0;0.0;0.0;0;1.0;11.0;1.0;;1.0;0.0;1114.0;0;0;0;100.0;59.5;32.0;5.8;;
123;Andrea Conti;DF;Sampdoria;29-025;1.0;0;23.0;0.3;0.0;0.0;0.0;0.0;8fef5412;Andrea ContiDFSampdoria;0;0;;6.0;11.0;54.5;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;1.0;11.0;0;1;0;;;;;;
124;Diego Coppola;DF;Hellas-Verona;19-089;13.0;11;1024.0;11.4;0.0;0.0;5.0;0.0;22ae86f9;Diego CoppolaDFHellas Verona;3;0;0.0;363.0;501.0;72.5;9.0;20.0;14;58.8;18.0;6.0;12.0;12;32.0;33.0;0.0;50.0;8.0;2.0;620.0;10;0;3;54.2;;;;;
125;Joaquín Correa;FW;Internazionale;28-226;18.0;4;448.0;5.0;3.0;1.0;1.0;0.0;45b9b619;Joaquín CorreaFWInter;10;5;50.0;91.0;123.0;74.0;15.0;7.0;4;66.7;2.0;0.0;2.0;0;7.0;0.0;0.0;14.3;22.0;12.0;182.0;6;1;1;30.8;;;;;
126;Alessandro Cortinovis;MF;Hellas-Verona;22-061;1.0;0;6.0;0.1;0.0;0.0;0.0;0.0;bfc359ed;Alessandro CortinovisMFHellas Verona;0;0;;5.0;6.0;83.3;0.0;1.0;0;;1.0;0.0;1.0;0;1.0;0.0;0.0;;0.0;0.0;8.0;0;0;1;0.0;;;;;
127;Lassana Coulibaly;MF;Salernitana;26-351;25.0;24;2056.0;22.8;2.0;2.0;8.0;0.0;85a44ecc;Lassana CoulibalyMFSalernitana;10;4;40.0;671.0;806.0;83.3;44.0;56.0;31;42.2;24.0;3.0;21.0;14;70.0;22.0;2.0;47.6;44.0;24.0;1057.0;35;1;9;45.1;;;;;
128;Alessio Cragno;GK;Monza;28-272;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;f554e29b;Alessio CragnoGKMonza;0;0;;29.0;31.0;93.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;32.0;0;0;0;;40.0;0.0;0.0;;
129;Bryan Cristante;DM;Roma;28-024;26.0;26;2170.0;24.1;1.0;1.0;6.0;1.0;16657b95;Bryan CristanteMFRoma;18;3;16.7;1028.0;1266.0;81.2;32.0;86.0;45;62.9;34.0;8.0;26.0;9;95.0;35.0;0.0;77.8;21.0;8.0;1491.0;37;2;8;66.3;;;;Bryan Cristante;1.0
130;Domen Črnigoj;MF;Salernitana;27-129;7.0;4;296.0;3.3;0.0;0.0;1.0;0.0;22cd43d2;Domen ČrnigojMFSalernitana;1;0;0.0;79.0;111.0;71.2;6.0;8.0;3;50.0;9.0;1.0;8.0;9;17.0;6.0;0.0;50.0;13.0;1.0;160.0;6;0;0;41.7;;;;;
131;Juan Cuadrado;MF;Juventus;34-305;21.0;16;1320.0;14.7;1.0;3.0;3.0;1.0;0ab1f153;Juan CuadradoDFFWJuventus;23;7;30.4;678.0;817.0;83.0;53.0;35.0;23;44.7;11.0;1.0;10.0;15;50.0;19.0;0.0;33.3;24.0;7.0;989.0;18;0;58;50.0;;;;;
132;Mickaël Cuisance;MF;Sampdoria;23-223;6.0;6;378.0;4.2;0.0;0.0;1.0;0.0;5722eced;Mickaël CuisanceMFSampdoria;6;1;16.7;112.0;143.0;78.3;6.0;9.0;6;18.8;8.0;0.0;8.0;4;13.0;1.0;0.0;57.1;11.0;10.0;189.0;7;1;8;22.2;;;;;
133;Marco D'Alessandro;MF;Monza;32-038;8.0;3;290.0;3.2;0.0;0.0;2.0;0.0;060606ec;Marco D'AlessandroDFFWMonza;4;1;25.0;79.0;115.0;68.7;8.0;4.0;4;50.0;2.0;0.0;2.0;1;5.0;3.0;0.0;20.0;4.0;5.0;141.0;6;1;13;50.0;;;;;
134;Danilo D'Ambrosio;DF;Internazionale;34-199;9.0;2;280.0;3.1;0.0;1.0;2.0;1.0;44eb9093;Danilo D'AmbrosioDFInter;0;0;;153.0;178.0;86.0;9.0;13.0;7;57.1;7.0;3.0;4.0;6;19.0;7.0;0.0;33.3;3.0;1.0;219.0;9;0;6;50.0;;;;;
135;Luca D'Andrea;FW;Sassuolo;18-202;5.0;5;316.0;3.5;0.0;1.0;0.0;0.0;f778fe3f;Luca D'AndreaFWSassuolo;7;3;42.9;61.0;84.0;72.6;15.0;4.0;0;25.0;2.0;0.0;2.0;1;5.0;1.0;0.0;27.3;11.0;7.0;129.0;4;1;7;40.0;;;;;
136;Flavius Daniliuc;DF;Salernitana;21-334;18.0;16;1481.0;16.5;0.0;2.0;6.0;0.0;7ef972c3;Flavius DaniliucDFSalernitana;7;3;42.9;679.0;792.0;85.7;11.0;38.0;19;59.3;25.0;11.0;14.0;18;56.0;62.0;0.0;33.3;8.0;3.0;968.0;22;0;0;62.2;;;;;
137;Danilo;DF;Juventus;31-255;27.0;26;2353.0;26.1;3.0;3.0;4.0;0.0;94b2001f;DaniloDFJuventus;19;4;21.1;1318.0;1579.0;83.5;40.0;60.0;39;66.7;25.0;15.0;10.0;35;95.0;84.0;1.0;18.8;16.0;7.0;1844.0;27;0;17;57.1;;;;;
138;Matteo Darmian;DF;Internazionale;33-115;22.0;18;1441.0;16.0;1.0;2.0;3.0;0.0;96e0490d;Matteo DarmianDFInter;6;1;16.7;776.0;911.0;85.2;37.0;43.0;23;67.6;24.0;5.0;19.0;15;58.0;24.0;0.0;31.8;12.0;6.0;1053.0;16;3;26;35.0;;;;;
139;Paweł Dawidowicz;DF;Hellas-Verona;27-311;16.0;14;1130.0;12.6;1.0;1.0;5.0;1.0;16bb656a;Paweł DawidowiczDFHellas Verona;11;2;18.2;456.0;608.0;75.0;15.0;35.0;23;78.3;12.0;8.0;4.0;14;49.0;45.0;0.0;20.0;6.0;4.0;747.0;32;0;9;62.0;;;;;
140;Charles De Ketelaere;MF;Milan;22-017;23.0;7;872.0;9.7;0.0;1.0;2.0;0.0;2ef7c612;Charles De KetelaereMFMilan;15;3;20.0;225.0;291.0;77.3;37.0;18.0;9;45.5;12.0;2.0;10.0;3;21.0;7.0;0.0;65.1;21.0;20.0;406.0;15;1;8;36.8;;;;;
141;Manuel De Luca;MF;Sampdoria;24-253;2.0;0;44.0;0.5;0.0;0.0;0.0;0.0;60e3603d;Manuel De LucaFWMFSampdoria;0;0;;5.0;8.0;62.5;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;2.0;2.0;14.0;3;0;0;0.0;;;;;
142;Mattia De Sciglio;DF;Juventus;30-158;15.0;9;921.0;10.2;0.0;0.0;0.0;0.0;ae4e2852;Mattia De SciglioDFJuventus;4;0;0.0;417.0;520.0;80.2;13.0;11.0;6;66.7;7.0;3.0;4.0;4;15.0;17.0;0.0;25.0;8.0;7.0;595.0;4;0;23;52.6;;;;;
143;Lorenzo De Silvestri;DF;Bologna;34-308;9.0;5;518.0;5.8;0.0;0.0;1.0;0.0;e74f0e59;Lorenzo De SilvestriDFBologna;4;2;50.0;184.0;260.0;70.8;8.0;2.0;2;40.0;5.0;5.0;0.0;2;4.0;16.0;0.0;66.7;4.0;4.0;304.0;4;2;6;52.9;;;;;
144;Koni De Winter;DF;Empoli;20-288;12.0;10;895.0;9.9;0.0;0.0;3.0;0.0;f4797849;Koni De WinterDFEmpoli;0;0;;371.0;431.0;86.1;4.0;13.0;8;44.4;10.0;10.0;0.0;6;19.0;51.0;0.0;50.0;7.0;3.0;532.0;12;0;0;63.6;;;;;
145;Grégoire Defrel;FW;Sassuolo;31-283;16.0;8;683.0;7.6;1.0;0.0;2.0;0.0;854ee61a;Grégoire DefrelFWSassuolo;10;7;70.0;118.0;142.0;83.1;10.0;7.0;6;50.0;4.0;0.0;4.0;1;8.0;4.0;0.0;33.3;19.0;9.0;210.0;10;3;1;5.6;;;;;
146;Duccio Degli Innocenti;MF;Empoli;19-333;1.0;0;3.0;0.0;0.0;0.0;0.0;0.0;0e0d6c53;Duccio Degli InnocentiMFEmpoli;0;0;;0.0;0.0;;0.0;0.0;0;;0.0;0.0;0.0;1;1.0;0.0;0.0;;0.0;0.0;1.0;0;0;0;;;;;;
147;Merih Demiral;DF;Atalanta;25-022;22.0;14;1441.0;16.0;1.0;0.0;5.0;0.0;e3cceee6;Merih DemiralDFAtalanta;6;1;16.7;517.0;604.0;85.6;3.0;37.0;25;76.7;23.0;7.0;16.0;22;59.0;55.0;1.0;0.0;5.0;2.0;773.0;13;1;2;62.8;;;;;
148;Diego Demme;DM;Napoli;31-126;4.0;0;27.0;0.3;0.0;0.0;0.0;0.0;dc3fa3b5;Diego DemmeMFNapoli;0;0;;66.0;67.0;98.5;1.0;0.0;0;0.0;1.0;0.0;1.0;0;0.0;0.0;0.0;100.0;1.0;0.0;70.0;0;0;0;0.0;;;;Diego Demme;1.0
149;Fabio Depaoli;DM;Hellas-Verona;25-337;21.0;16;1492.0;16.6;2.0;2.0;3.0;0.0;d97f2e8d;Fabio DepaoliDFHellas Verona;14;4;28.6;352.0;535.0;65.8;34.0;32.0;17;57.7;21.0;5.0;16.0;10;42.0;23.0;2.0;22.6;28.0;13.0;719.0;24;2;44;38.8;;;;Fabio Depaoli;1.0
150;Fabio Depaoli;DM;Sampdoria;25-337;3.0;1;136.0;1.5;0.0;0.0;1.0;0.0;d97f2e8d;Fabio DepaoliDFMFSampdoria;2;0;0.0;74.0;95.0;77.9;6.0;5.0;3;75.0;1.0;0.0;1.0;1;6.0;4.0;0.0;42.9;2.0;1.0;117.0;1;0;8;0.0;;;;Fabio Depaoli;1.0
151;Kastriot Dermaku;DF;Lecce;31-071;1.0;0;34.0;0.4;0.0;0.0;0.0;0.0;2990c466;Kastriot DermakuDFLecce;0;0;;1.0;2.0;50.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;2.0;0;0;0;;;;;;
152;Cyriel Dessers;FW;Cremonese;28-109;21.0;16;1334.0;14.8;5.0;0.0;3.0;0.0;dcb38abe;Cyriel DessersFWCremonese;41;10;24.4;145.0;230.0;63.0;33.0;9.0;3;50.0;13.0;2.0;11.0;3;12.0;5.0;0.0;31.0;49.0;20.0;391.0;30;21;8;20.4;;;;;
153;Sergiño Dest;DF;Milan;22-144;8.0;2;329.0;3.7;0.0;0.0;0.0;0.0;5976f83e;Sergiño DestDFMilan;2;1;50.0;169.0;198.0;85.4;11.0;12.0;6;75.0;1.0;0.0;1.0;4;16.0;2.0;0.0;44.4;3.0;5.0;246.0;6;0;4;75.0;;;;;
154;Mattia Destro;FW;Empoli;32-007;10.0;6;456.0;5.1;1.0;0.0;2.0;0.0;d7d32194;Mattia DestroFWEmpoli;18;6;33.3;33.0;59.0;55.9;9.0;1.0;1;;2.0;0.0;2.0;1;2.0;4.0;0.0;42.9;12.0;5.0;112.0;9;7;1;27.3;;;;;
155;Gerard Deulofeu;FW;Udinese;29-014;16.0;15;1211.0;13.5;2.0;6.0;1.0;0.0;39583cfd;Gerard DeulofeuFWUdinese;44;12;27.3;443.0;588.0;75.3;82.0;8.0;5;33.3;8.0;1.0;7.0;2;10.0;1.0;0.0;44.4;22.0;18.0;725.0;8;8;59;20.0;;;;;
