;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
17;Sofyan Amrabat;DM;Fiorentina;26-218;24.0;20;1657.0;18.4;0.0;0.0;9.0;0.0;5a2cb25d;Sofyan AmrabatMFFiorentina;10;3;30.0;1060.0;1205.0;88.0;33.0;28.0;17;54.2;22.0;5.0;17.0;19;47.0;15.0;2.0;68.8;20.0;16.0;1332.0;37;0;23;52.4;;;;Sofyan Amrabat;1.0
18;Felipe Anderson;FW;Lazio;29-346;27.0;25;2105.0;23.4;6.0;2.0;1.0;0.0;9f1893b9;Felipe AndersonFWLazio;29;16;55.2;734.0;955.0;76.9;70.0;51.0;33;38.0;38.0;4.0;34.0;16;67.0;16.0;0.0;47.4;65.0;34.0;1252.0;27;7;30;34.5;;;;;
19;Janis Antiste;FW;Sassuolo;20-221;2.0;0;52.0;0.6;1.0;0.0;0.0;0.0;38d9ce53;Janis AntisteFWSassuolo;1;1;100.0;13.0;18.0;72.2;0.0;1.0;0;100.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;1.0;0.0;23.0;4;0;0;66.7;;;;;
20;Marcos Antônio;DM;Lazio;22-287;11.0;3;311.0;3.5;0.0;0.0;1.0;0.0;108fe016;Marcos AntônioMFLazio;0;0;;184.0;206.0;89.3;2.0;5.0;4;50.0;2.0;0.0;2.0;3;8.0;11.0;0.0;50.0;5.0;3.0;245.0;6;0;0;0.0;;;;Marcos Antônio;1.0
21;Valentin Antov;DF;Monza;22-138;5.0;1;198.0;2.2;0.0;0.0;1.0;0.0;8f68aa41;Valentin AntovDFMonza;0;0;;111.0;133.0;83.5;2.0;5.0;4;33.3;4.0;3.0;1.0;0;5.0;7.0;1.0;100.0;3.0;2.0;156.0;2;0;1;38.5;;;;;
22;Marko Arnautović;FW;Bologna;33-342;16.0;14;1231.0;13.7;8.0;0.0;5.0;0.0;00459419;Marko ArnautovićFWBologna;21;10;47.6;265.0;376.0;70.5;35.0;8.0;5;20.0;9.0;1.0;8.0;2;10.0;8.0;0.0;52.4;32.0;16.0;497.0;20;10;9;47.4;;;;;
23;Tolgay Arslan;MF;Udinese;32-223;26.0;11;928.0;10.3;1.0;0.0;1.0;0.0;963a328b;Tolgay ArslanMFUdinese;21;5;23.8;355.0;447.0;79.4;35.0;20.0;11;34.8;12.0;0.0;12.0;7;27.0;9.0;0.0;44.8;21.0;13.0;573.0;13;0;22;71.4;;;;;
24;Arthur;FW;Fiorentina;24-336;22.0;9;928.0;10.3;6.0;1.0;2.0;0.0;a820e429;ArthurFWFiorentina;34;13;38.2;139.0;199.0;69.8;26.0;7.0;2;57.1;6.0;0.0;6.0;0;7.0;6.0;0.0;33.3;41.0;17.0;348.0;19;1;1;44.6;;;;;
25;Santiago Ascacíbar;DM;Cremonese;26-030;13.0;7;727.0;8.1;0.0;0.0;1.0;0.0;e26fcca3;Santiago AscacíbarMFCremonese;14;3;21.4;358.0;435.0;82.3;25.0;29.0;14;40.0;14.0;2.0;12.0;13;42.0;11.0;0.0;44.4;8.0;4.0;553.0;11;0;5;33.3;;;;Santiago Ascacíbar;1.0
26;Kristoffer Askildsen;MF;Lecce;22-077;18.0;6;622.0;6.9;0.0;0.0;3.0;0.0;a69cc629;Kristoffer AskildsenMFLecce;9;3;33.3;144.0;228.0;63.2;14.0;7.0;3;50.0;11.0;3.0;8.0;10;17.0;6.0;0.0;50.0;13.0;3.0;300.0;16;1;19;51.5;;;;;
27;Kristjan Asllani;DM;Internazionale;21-018;12.0;2;294.0;3.3;0.0;0.0;2.0;0.0;0fdcef0e;Kristjan AsllaniMFInter;6;0;0.0;196.0;226.0;86.7;7.0;7.0;4;100.0;2.0;0.0;2.0;1;8.0;3.0;0.0;33.3;3.0;2.0;254.0;5;0;8;0.0;;;;Kristjan Asllani;1.0
28;Emil Audero;GK;Sampdoria;26-068;25.0;25;2250.0;25.0;0.0;0.0;1.0;0.0;649b01d8;Emil AuderoGKSampdoria;0;0;;617.0;919.0;67.1;5.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;7.0;1.0;;1.0;0.0;982.0;0;0;0;100.0;71.9;16.0;6.7;;
29;Tommaso Augello;DF;Sampdoria;28-209;26.0;24;2074.0;23.0;2.0;2.0;1.0;0.0;3cd3b384;Tommaso AugelloDFSampdoria;8;3;37.5;868.0;1210.0;71.7;46.0;13.0;10;50.0;17.0;7.0;10.0;8;21.0;39.0;1.0;48.8;14.0;13.0;1353.0;12;1;99;55.6;;;;;
30;Kaan Ayhan;DF;Sassuolo;28-137;10.0;5;545.0;6.1;0.0;0.0;1.0;0.0;2200181e;Kaan AyhanDFSassuolo;1;1;100.0;288.0;332.0;86.7;5.0;10.0;4;100.0;5.0;4.0;1.0;5;15.0;26.0;1.0;;0.0;1.0;385.0;4;0;0;22.2;;;;;
31;Jaime Báez;DF;Cremonese;27-336;2.0;1;96.0;1.1;0.0;0.0;0.0;0.0;dfd24c07;Jaime BáezDFCremonese;2;0;0.0;32.0;48.0;66.7;5.0;4.0;2;50.0;0.0;0.0;0.0;0;4.0;2.0;1.0;50.0;1.0;0.0;62.0;1;1;9;100.0;;;;;
32;Nedim Bajrami;MF;Empoli;24-027;19.0;8;940.0;10.4;1.0;1.0;1.0;0.0;f42d6c13;Nedim BajramiMFFWEmpoli;21;7;33.3;260.0;348.0;74.7;39.0;8.0;4;66.7;5.0;0.0;5.0;7;15.0;4.0;0.0;35.5;24.0;17.0;457.0;6;3;35;22.2;;;;;
33;Nedim Bajrami;FW;Sassuolo;24-027;7.0;2;317.0;3.5;1.0;0.0;0.0;0.0;f42d6c13;Nedim BajramiFWSassuolo;9;5;55.6;91.0;130.0;70.0;6.0;4.0;1;40.0;4.0;1.0;3.0;4;8.0;2.0;0.0;41.7;10.0;3.0;172.0;4;1;13;25.0;;;;;
34;Tiemoué Bakayoko;DM;Milan;28-222;2.0;0;33.0;0.4;0.0;0.0;0.0;0.0;59bf127b;Tiemoué BakayokoMFMilan;0;0;;15.0;17.0;88.2;0.0;3.0;3;100.0;0.0;0.0;0.0;0;3.0;0.0;0.0;50.0;1.0;1.0;24.0;3;0;0;50.0;;;;Tiemoué Bakayoko;1.0
35;Tommaso Baldanzi;MF;Empoli;20-004;18.0;16;1158.0;12.9;4.0;0.0;1.0;0.0;102e2599;Tommaso BaldanziMFEmpoli;17;9;52.9;385.0;469.0;82.1;40.0;18.0;9;21.7;12.0;1.0;11.0;2;20.0;4.0;0.0;33.3;22.0;9.0;587.0;11;0;14;33.3;;;;;
36;Fodé Ballo-Touré;DF;Milan;26-083;4.0;3;286.0;3.2;1.0;0.0;0.0;0.0;f449640d;Fodé Ballo-TouréDFMilan;2;2;100.0;134.0;158.0;84.8;3.0;7.0;2;80.0;8.0;3.0;5.0;1;8.0;1.0;0.0;14.3;3.0;3.0;199.0;3;0;11;66.7;;;;;
37;Lameck Banda;MF;Lecce;22-057;26.0;13;1180.0;13.1;1.0;1.0;4.0;0.0;8a6de8c7;Lameck BandaFWMFLecce;25;7;28.0;196.0;300.0;65.3;27.0;23.0;14;34.5;20.0;2.0;18.0;3;26.0;2.0;0.0;38.0;51.0;27.0;518.0;20;9;32;20.0;;;;;
38;Filippo Bandinelli;DM;Empoli;27-363;26.0;21;1739.0;19.3;2.0;0.0;6.0;0.0;d44360be;Filippo BandinelliMFEmpoli;19;5;26.3;578.0;785.0;73.6;50.0;44.0;28;41.4;17.0;5.0;12.0;10;54.0;29.0;0.0;28.1;33.0;24.0;1012.0;38;0;71;30.4;;;;Filippo Bandinelli;1.0
39;Antonín Barák;MF;Hellas-Verona;28-114;1.0;0;25.0;0.3;0.0;0.0;0.0;0.0;01efac19;Antonín BarákMFHellas Verona;0;0;;11.0;14.0;78.6;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;50.0;1.0;1.0;16.0;0;0;1;;;;;;
40;Antonín Barák;MF;Fiorentina;28-114;22.0;15;1318.0;14.6;2.0;0.0;3.0;0.0;01efac19;Antonín BarákMFFiorentina;26;5;19.2;440.0;540.0;81.5;30.0;19.0;9;38.5;13.0;1.0;12.0;3;22.0;10.0;0.0;43.3;27.0;21.0;686.0;8;2;11;40.5;;;;;
41;Andrea Barberis;MF;Monza;29-106;7.0;3;316.0;3.5;0.0;1.0;0.0;0.0;32ebfe1e;Andrea BarberisMFMonza;2;0;0.0;133.0;158.0;84.2;9.0;6.0;2;44.4;0.0;0.0;0.0;8;14.0;1.0;0.0;;2.0;3.0;182.0;0;0;4;66.7;;;;;
42;Nicolò Barella;MF;Internazionale;26-048;26.0;24;2010.0;22.3;5.0;6.0;5.0;0.0;6928979a;Nicolò BarellaMFInter;24;10;41.7;1006.0;1238.0;81.3;95.0;32.0;18;48.6;21.0;4.0;17.0;9;41.0;9.0;0.0;59.3;41.0;30.0;1457.0;25;7;71;65.5;;;;;
43;Enzo Barrenechea;MF;Juventus;21-309;2.0;2;113.0;1.3;0.0;0.0;0.0;0.0;6caffe81;Enzo BarrenecheaMFJuventus;2;0;0.0;74.0;87.0;85.1;1.0;8.0;3;60.0;2.0;0.0;2.0;2;10.0;2.0;0.0;0.0;0.0;1.0;106.0;2;0;0;50.0;;;;;
44;Musa Barrow;MF;Bologna;24-133;21.0;15;1198.0;13.3;2.0;2.0;2.0;0.0;e5bf73f3;Musa BarrowFWMFBologna;43;10;23.3;323.0;468.0;69.0;43.0;13.0;2;71.4;15.0;1.0;14.0;1;14.0;4.0;0.0;29.3;28.0;19.0;630.0;12;2;71;17.9;;;;;
45;Federico Baschirotto;DF;Lecce;26-188;26.0;26;2340.0;26.0;3.0;0.0;5.0;0.0;5a08ee41;Federico BaschirottoDFLecce;13;3;23.1;752.0;1033.0;72.8;8.0;25.0;19;61.5;30.0;20.0;10.0;30;55.0;144.0;0.0;33.3;6.0;1.0;1313.0;22;0;9;54.5;;;;;
46;Toma Bašić;MF;Lazio;26-122;18.0;4;422.0;4.7;0.0;0.0;2.0;0.0;80556f08;Toma BašićMFLazio;7;4;57.1;174.0;242.0;71.9;7.0;5.0;3;33.3;9.0;0.0;9.0;7;12.0;6.0;0.0;0.0;10.0;5.0;303.0;9;0;19;60.0;;;;;
47;Alessandro Bastoni;DF;Internazionale;23-348;21.0;19;1627.0;18.1;0.0;2.0;2.0;0.0;75b86fb3;Alessandro BastoniDFInter;12;3;25.0;1050.0;1270.0;82.7;42.0;35.0;17;52.6;18.0;6.0;12.0;20;55.0;35.0;0.0;38.5;11.0;5.0;1415.0;16;1;36;66.7;;;;;
48;Simone Bastoni;MF;Spezia;26-142;13.0;12;946.0;10.5;2.0;2.0;4.0;0.0;1ac232b8;Simone BastoniMFDFSpezia;20;6;30.0;281.0;469.0;59.9;26.0;37.0;18;45.0;16.0;4.0;12.0;7;44.0;9.0;0.0;29.4;13.0;11.0;591.0;23;2;86;57.9;;;;;
49;Brian Bayeye;DM;Torino;22-270;1.0;1;54.0;0.6;0.0;0.0;0.0;0.0;78e6bf2c;Brian BayeyeDFTorino;0;0;;29.0;46.0;63.0;2.0;3.0;0;100.0;1.0;1.0;0.0;1;4.0;2.0;0.0;100.0;2.0;2.0;59.0;0;0;1;0.0;;;;Brian Bayeye;1.0
