;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
79;Fabrizio Caligara;DM;Cagliari;20;10.0;2;183.0;2.0;0.0;0.0;2.0;0.0;22ca11f1;Fabrizio CaligaraMFFWCagliari;0;0;;43.0;58.0;74.1;5.0;6.0;4;66.7;9.0;2.0;7.0;3;9.0;3.0;0.0;33.3;5.0;3.0;10;0;6;100.0;;;;Fabrizio Caligara;1.0
80;José Callejón;MF;Fiorentina;33;20.0;6;664.0;7.4;0.0;1.0;0.0;0.0;78841da9;José CallejónFWMFFiorentina;10;1;10.0;210.0;279.0;75.3;13.0;10.0;7;55.6;4.0;1.0;3.0;4;14.0;5.0;0.0;66.7;10.0;6.0;6;0;28;52.9;;;;;
81;Drissa Camara;MF;Parma;18;1.0;0;15.0;0.2;0.0;0.0;0.0;0.0;543d9d2b;Drissa CamaraMFParma;0;0;;7.0;9.0;77.8;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;50.0;0.0;0.0;0;0;1;100.0;;;;;
82;Antonio Candreva;MF;Sampdoria;33;35.0;28;2505.0;27.8;5.0;8.0;1.0;0.0;356c9002;Antonio CandrevaMFSampdoria;55;18;32.7;1093.0;1640.0;66.6;118.0;28.0;19;39.6;24.0;3.0;21.0;9;37.0;27.0;1.0;56.9;48.0;11.0;15;10;291;27.3;;;;;
83;Elio Capradossi;DF;Spezia;24;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;174944a3;Elio CapradossiDFSpezia;1;0;0.0;37.0;45.0;82.2;0.0;2.0;1;100.0;0.0;0.0;0.0;1;3.0;5.0;0.0;;1.0;0.0;1;0;0;33.3;;;;;
84;Gianluca Caprari;MF;Benevento;27;30.0;23;1865.0;20.7;5.0;6.0;4.0;1.0;54e53b7e;Gianluca CaprariMFFWBenevento;47;15;31.9;507.0;711.0;71.3;85.0;16.0;11;19.4;19.0;1.0;18.0;18;34.0;8.0;0.0;54.7;71.0;50.0;23;8;106;9.1;;;;;
85;Francesco Caputo;FW;Sassuolo;32;25.0;19;1697.0;18.9;11.0;5.0;1.0;0.0;5bd72174;Francesco CaputoFWSassuolo;40;16;40.0;317.0;410.0;77.3;45.0;0.0;0;0.0;4.0;0.0;4.0;1;1.0;3.0;0.0;42.9;37.0;12.0;16;19;1;40.7;;;;;
86;Andrea Carboni;DF;Cagliari;19;15.0;12;1085.0;12.1;0.0;1.0;2.0;0.0;f7e2af2c;Andrea CarboniDFCagliari;5;0;0.0;470.0;610.0;77.0;9.0;34.0;23;53.6;15.0;4.0;11.0;14;48.0;52.0;0.0;50.0;4.0;2.0;11;0;22;44.4;;;;;
87;Giuseppe Caso;MF;Genoa;21;2.0;0;54.0;0.6;0.0;0.0;0.0;0.0;099a2de5;Giuseppe CasoDFFWGenoa;0;0;;10.0;18.0;55.6;2.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;50.0;4.0;0.0;2;0;2;0.0;;;;;
88;Francesco Cassata;MF;Genoa;23;8.0;2;227.0;2.5;0.0;0.0;2.0;0.0;96960855;Francesco CassataDFFWGenoa;1;1;100.0;68.0;97.0;70.1;5.0;7.0;6;57.1;0.0;0.0;0.0;3;10.0;1.0;0.0;100.0;4.0;3.0;10;0;6;42.9;;;;;
89;Samu Castillejo;FW;Milan;25;28.0;12;1181.0;13.1;1.0;0.0;5.0;0.0;130a7a3f;Samu CastillejoFWMilan;25;7;28.0;356.0;451.0;78.9;34.0;24.0;12;35.0;21.0;0.0;21.0;6;30.0;9.0;0.0;63.8;21.0;23.0;25;4;34;28.6;;;;;
90;Gaetano Castrovilli;MF;Fiorentina;23;34.0;29;2332.0;25.9;5.0;3.0;8.0;1.0;0728bebe;Gaetano CastrovilliMFFiorentina;32;13;40.6;573.0;759.0;75.5;61.0;33.0;19;26.2;25.0;2.0;23.0;34;67.0;14.0;0.0;46.2;67.0;51.0;41;1;36;25.0;;;;;
91;Danilo Cataldi;MF;Lazio;25;19.0;4;568.0;6.3;0.0;0.0;4.0;0.0;ba3d3bea;Danilo CataldiMFLazio;6;2;33.3;351.0;429.0;81.8;16.0;7.0;2;22.2;3.0;1.0;2.0;9;16.0;7.0;0.0;88.9;6.0;2.0;9;0;30;16.7;;;;;
92;Federico Ceccherini;DF;Hellas-Verona;28;25.0;23;1738.0;19.3;0.0;0.0;8.0;0.0;d9624b51;Federico CeccheriniDFHellas Verona;12;0;0.0;733.0;915.0;80.1;17.0;16.0;12;28.6;15.0;8.0;7.0;40;56.0;60.0;0.0;73.3;15.0;6.0;47;1;6;63.2;;;;;
93;Federico Ceccherini;DF;Fiorentina;28;3.0;3;270.0;3.0;0.0;0.0;2.0;0.0;d9624b51;Federico CeccheriniDFFiorentina;0;0;;99.0;115.0;86.1;0.0;4.0;1;100.0;6.0;5.0;1.0;7;11.0;15.0;0.0;;2.0;0.0;5;0;0;50.0;;;;;
94;Luca Ceppitelli;DF;Cagliari;30;19.0;16;1465.0;16.3;0.0;0.0;3.0;0.0;7d50454d;Luca CeppitelliDFCagliari;7;1;14.3;703.0;846.0;83.1;9.0;25.0;19;53.8;23.0;12.0;11.0;25;50.0;58.0;1.0;100.0;9.0;2.0;15;1;11;61.3;;;;;
95;Alberto Cerri;FW;Cagliari;24;23.0;3;369.0;4.1;1.0;0.0;1.0;0.0;1079c685;Alberto CerriFWCagliari;16;6;37.5;88.0;146.0;60.3;20.0;3.0;2;0.0;4.0;2.0;2.0;2;5.0;6.0;0.0;61.5;15.0;11.0;18;1;3;59.6;;;;;
96;Julian Chabot;DF;Spezia;22;25.0;19;1655.0;18.4;1.0;1.0;11.0;1.0;ae7058f9;Julian ChabotDFSpezia;9;3;33.3;917.0;1082.0;84.8;13.0;48.0;34;62.2;25.0;13.0;12.0;37;85.0;43.0;1.0;100.0;11.0;4.0;32;0;2;63.3;;;;;
97;Giorgio Chiellini;DF;Juventus;35;17.0;16;1386.0;15.4;0.0;1.0;4.0;0.0;e85fb9b8;Giorgio ChielliniDFJuventus;6;0;0.0;1025.0;1121.0;91.4;10.0;12.0;9;45.5;18.0;13.0;5.0;27;39.0;56.0;0.0;50.0;5.0;1.0;19;1;3;55.3;;;;;
98;Federico Chiesa;DF;Fiorentina;22;3.0;3;240.0;2.7;1.0;1.0;0.0;0.0;b0f7e36c;Federico ChiesaDFFiorentina;10;1;10.0;90.0;116.0;77.6;10.0;6.0;2;37.5;3.0;1.0;2.0;1;7.0;3.0;0.0;46.2;5.0;5.0;2;2;11;50.0;;;;;
99;Federico Chiesa;MF;Juventus;22;30.0;28;2210.0;24.6;8.0;8.0;3.0;1.0;b0f7e36c;Federico ChiesaMFDFJuventus;60;25;41.7;605.0;798.0;75.8;89.0;47.0;26;38.0;23.0;1.0;22.0;12;59.0;16.0;0.0;57.1;40.0;23.0;30;11;70;17.6;;;;;
100;Vlad Chiricheș;DF;Sassuolo;30;24.0;22;1837.0;20.4;2.0;1.0;6.0;0.0;c316607a;Vlad ChiricheșDFSassuolo;12;3;25.0;1505.0;1610.0;93.5;25.0;38.0;23;60.0;31.0;21.0;10.0;50;88.0;59.0;2.0;73.3;11.0;5.0;31;1;4;53.6;;;;;
101;Luca Cigarini;DM;Crotone;34;14.0;13;929.0;10.3;0.0;0.0;5.0;1.0;ae64d449;Luca CigariniMFCrotone;15;2;13.3;628.0;757.0;83.0;41.0;26.0;14;42.9;10.0;1.0;9.0;12;38.0;9.0;0.0;66.7;10.0;10.0;27;0;24;50.0;;;;Luca Cigarini;1.0
102;Antonio Cioffi;FW;Napoli;17;1.0;0;12.0;0.1;0.0;0.0;0.0;0.0;3f1107d5;Antonio CioffiFWNapoli;0;0;;9.0;10.0;90.0;1.0;0.0;0;;1.0;0.0;1.0;1;1.0;0.0;0.0;100.0;1.0;0.0;0;0;0;;;;;;
103;Ebrima Colley;MF;Hellas-Verona;20;23.0;4;734.0;8.2;1.0;0.0;1.0;0.0;bf356094;Ebrima ColleyMFFWHellas Verona;17;7;41.2;183.0;255.0;71.8;23.0;11.0;4;27.3;6.0;0.0;6.0;6;17.0;1.0;0.0;58.1;34.0;19.0;13;7;12;5.3;;;;;
104;Omar Colley;DF;Sampdoria;27;29.0;28;2591.0;28.8;2.0;0.0;6.0;0.0;8b95acda;Omar ColleyDFSampdoria;12;3;25.0;1098.0;1360.0;80.7;7.0;28.0;16;56.5;43.0;29.0;14.0;68;96.0;133.0;1.0;66.7;8.0;1.0;34;1;5;65.2;;;;;
105;Simone Colombi;GK;Parma;29;2.0;2;180.0;2.0;0.0;0.0;0.0;0.0;72be9309;Simone ColombiGKParma;0;0;;38.0;52.0;73.1;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;2.0;0.0;;0.0;0.0;0;0;0;;40.0;0.0;0.0;;
106;Lorenzo Colombo;FW;Milan;18;4.0;1;94.0;1.0;0.0;0.0;0.0;0.0;04df29a5;Lorenzo ColomboFWMilan;4;1;25.0;7.0;13.0;53.8;2.0;2.0;1;0.0;0.0;0.0;0.0;0;2.0;3.0;0.0;50.0;2.0;1.0;1;3;1;33.3;;;;;
107;Andrea Consigli;GK;Sassuolo;33;37.0;37;3330.0;37.0;0.0;0.0;1.0;0.0;8cabdc1e;Andrea ConsigliGKSassuolo;0;0;;1102.0;1358.0;81.1;4.0;2.0;2;100.0;0.0;0.0;0.0;0;2.0;14.0;4.0;;1.0;0.0;2;0;0;88.9;71.9;18.9;5.1;;
108;Andrea Conti;DF;Milan;26;3.0;0;28.0;0.3;0.0;0.0;0.0;0.0;8fef5412;Andrea ContiDFMilan;0;0;;21.0;24.0;87.5;3.0;1.0;1;0.0;0.0;0.0;0.0;1;2.0;0.0;0.0;100.0;2.0;0.0;2;0;1;0.0;;;;;
109;Andrea Conti;DF;Parma;26;11.0;9;809.0;9.0;0.0;0.0;3.0;0.0;8fef5412;Andrea ContiDFParma;5;2;40.0;373.0;461.0;80.9;12.0;21.0;10;50.0;13.0;4.0;9.0;16;37.0;23.0;0.0;40.0;6.0;4.0;15;0;24;46.7;;;;;
110;Alex Cordaz;GK;Crotone;37;36.0;36;3240.0;36.0;0.0;0.0;1.0;0.0;e66ebabb;Alex CordazGKCrotone;0;0;;1045.0;1441.0;72.5;3.0;0.0;0;;0.0;0.0;0.0;1;1.0;7.0;2.0;100.0;1.0;0.0;0;0;0;100.0;58.5;5.6;3.2;;
111;Andreas Cornelius;FW;Parma;27;29.0;21;1898.0;21.1;1.0;4.0;4.0;0.0;c693347d;Andreas CorneliusFWParma;30;7;23.3;397.0;591.0;67.2;46.0;11.0;4;16.7;9.0;2.0;7.0;1;12.0;25.0;1.0;57.9;56.0;34.0;36;15;6;64.1;;;;;
112;Joaquín Correa;FW;Lazio;25;28.0;25;1933.0;21.5;8.0;3.0;3.0;1.0;45b9b619;Joaquín CorreaFWLazio;53;22;41.5;579.0;718.0;80.6;92.0;21.0;12;28.0;14.0;0.0;14.0;7;28.0;12.0;0.0;41.7;65.0;37.0;24;4;19;37.5;;;;;
113;Félix Correia;MF;Juventus;19;1.0;0;7.0;0.1;0.0;0.0;0.0;0.0;c803c92a;Félix CorreiaMFJuventus;0;0;;7.0;8.0;87.5;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;1.0;0.0;;0.0;0.0;1;0;0;;;;;;
114;Douglas Costa;MF;Juventus;29;2.0;0;42.0;0.5;0.0;0.0;0.0;0.0;4fa7cb9b;Douglas CostaMFFWJuventus;0;0;;19.0;25.0;76.0;3.0;1.0;0;33.3;0.0;0.0;0.0;0;1.0;0.0;0.0;;2.0;1.0;0;0;4;0.0;;;;;
115;Angelo da Costa Júnior;GK;Bologna;36;6.0;6;540.0;6.0;0.0;0.0;2.0;0.0;18736214;Angelo da Costa JúniorGKBologna;0;0;;248.0;283.0;87.6;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;2.0;3.0;;1.0;0.0;0;0;0;;70.4;16.7;5.8;;
116;Mamadou Coulibaly;MF;Udinese;21;3.0;2;184.0;2.0;0.0;0.0;0.0;0.0;c976160c;Mamadou CoulibalyMFUdinese;2;0;0.0;59.0;80.0;73.8;7.0;10.0;8;;2.0;0.0;2.0;1;11.0;0.0;0.0;66.7;6.0;4.0;3;1;3;0.0;;;;;
117;Alessio Cragno;GK;Cagliari;26;34.0;34;3060.0;34.0;0.0;0.0;1.0;0.0;f554e29b;Alessio CragnoGKCagliari;0;0;;671.0;964.0;69.6;4.0;0.0;0;0.0;0.0;0.0;0.0;1;1.0;10.0;0.0;;1.0;0.0;2;0;0;100.0;73.6;17.6;3.6;;
118;Gian Crespi;GK;Crotone;19;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;4dea2f2c;Gian CrespiGKCrotone;0;0;;35.0;40.0;87.5;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;100.0;100.0;0.0;;
119;Domenico Criscito;DF;Genoa;33;23.0;20;1726.0;19.2;1.0;0.0;6.0;0.0;35dd6d80;Domenico CriscitoDFGenoa;5;1;20.0;872.0;1086.0;80.3;20.0;43.0;22;56.4;27.0;14.0;13.0;44;87.0;51.0;0.0;50.0;10.0;4.0;23;0;27;43.5;;;;;
120;Bryan Cristante;DM;Roma;25;34.0;22;2155.0;23.9;1.0;3.0;8.0;0.0;16657b95;Bryan CristanteDFMFRoma;28;8;28.6;1224.0;1481.0;82.6;41.0;27.0;20;35.7;21.0;7.0;14.0;40;67.0;61.0;1.0;85.2;19.0;5.0;31;4;12;50.0;;;;Bryan Cristante;1.0
121;Giovanni Crociata;DF;Crotone;22;2.0;0;26.0;0.3;0.0;0.0;0.0;0.0;8c964914;Giovanni CrociataDFCrotone;0;0;;11.0;15.0;73.3;1.0;1.0;0;0.0;1.0;0.0;1.0;0;1.0;0.0;0.0;100.0;3.0;1.0;2;0;1;;;;;;
122;Juan Cuadrado;MF;Juventus;32;30.0;26;2175.0;24.2;2.0;10.0;9.0;1.0;0ab1f153;Juan CuadradoDFMFJuventus;18;6;33.3;1466.0;1788.0;82.0;116.0;43.0;25;48.3;16.0;2.0;14.0;43;86.0;22.0;2.0;66.2;47.0;20.0;33;3;162;36.4;;;;;
123;Giuseppe Cuomo;DF;Crotone;22;13.0;8;801.0;8.9;0.0;0.0;4.0;0.0;ae5b04fe;Giuseppe CuomoDFCrotone;2;0;0.0;412.0;516.0;79.8;2.0;26.0;19;64.3;10.0;2.0;8.0;18;44.0;19.0;1.0;33.3;6.0;7.0;15;0;0;78.6;;;;;
124;Patrick Cutrone;FW;Fiorentina;22;11.0;0;196.0;2.2;0.0;0.0;0.0;0.0;a4fe8cda;Patrick CutroneFWFiorentina;3;1;33.3;39.0;53.0;73.6;0.0;4.0;3;50.0;1.0;0.0;1.0;1;5.0;0.0;0.0;;4.0;7.0;8;0;3;30.0;;;;;
125;Wylan Cyprien;MF;Parma;25;13.0;2;410.0;4.6;0.0;0.0;2.0;0.0;3e092724;Wylan CyprienMFParma;6;1;16.7;248.0;299.0;82.9;16.0;9.0;4;50.0;13.0;8.0;5.0;5;14.0;6.0;1.0;40.0;5.0;4.0;6;0;19;83.3;;;;;
126;Lennart-Marten Czyborra;DF;Genoa;21;17.0;15;1173.0;13.0;1.0;0.0;2.0;0.0;7ba1f1ef;Lennart-Marten CzyborraDFGenoa;5;2;40.0;416.0;574.0;72.5;8.0;19.0;10;57.9;6.0;1.0;5.0;17;36.0;27.0;0.0;41.7;15.0;7.0;11;0;27;33.3;;;;;
127;Danilo D'Ambrosio;DF;Internazionale;31;19.0;7;699.0;7.8;3.0;0.0;2.0;0.0;44eb9093;Danilo D'AmbrosioDFInter;8;6;75.0;431.0;476.0;90.5;9.0;15.0;9;40.0;9.0;7.0;2.0;4;19.0;15.0;0.0;57.1;9.0;3.0;11;0;8;50.0;;;;;
128;Bryan Dabo;DM;Benevento;28;25.0;12;1117.0;12.4;0.0;0.0;5.0;0.0;c53083ad;Bryan DaboMFBenevento;12;2;16.7;437.0;570.0;76.7;23.0;11.0;8;31.3;7.0;1.0;6.0;13;24.0;16.0;0.0;65.5;29.0;8.0;17;1;14;73.2;;;;Bryan Dabo;1.0
129;Diogo Dalot;DF;Milan;21;21.0;10;1090.0;12.1;1.0;1.0;5.0;0.0;d9565625;Diogo DalotDFMilan;10;5;50.0;467.0;620.0;75.3;21.0;32.0;17;50.0;18.0;5.0;13.0;25;57.0;42.0;0.0;75.0;16.0;4.0;25;2;34;72.4;;;;;
130;Mikkel Damsgaard;MF;Sampdoria;20;35.0;18;1773.0;19.7;2.0;4.0;3.0;0.0;215f3907;Mikkel DamsgaardMFFWSampdoria;25;8;32.0;512.0;750.0;68.3;59.0;42.0;21;31.4;40.0;4.0;36.0;24;66.0;17.0;0.0;58.6;54.0;29.0;26;3;61;47.9;;;;;
131;Danilo;MF;Juventus;29;34.0;32;2916.0;32.4;1.0;4.0;6.0;0.0;94b2001f;DaniloDFMFJuventus;19;2;10.5;2184.0;2479.0;88.1;66.0;62.0;31;53.0;32.0;12.0;20.0;66;128.0;68.0;2.0;88.0;18.0;9.0;25;2;39;60.0;;;;;
132;Andrea Danzi;DM;Hellas-Verona;21;2.0;1;104.0;1.2;0.0;0.0;1.0;0.0;263b855a;Andrea DanziDFHellas Verona;1;0;0.0;3.0;5.0;60.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3;3.0;1.0;0.0;;0.0;0.0;1;0;0;;;;;Andrea Danzi;1.0
133;Ebrima Darboe;DM;Roma;19;5.0;4;323.0;3.6;0.0;0.0;2.0;0.0;cf043a33;Ebrima DarboeMFRoma;3;0;0.0;248.0;264.0;93.9;10.0;5.0;2;30.0;3.0;0.0;3.0;8;13.0;0.0;1.0;75.0;3.0;1.0;3;0;0;33.3;;;;Ebrima Darboe;1.0
134;Matteo Darmian;DF;Internazionale;30;26.0;14;1160.0;12.9;3.0;3.0;4.0;0.0;96e0490d;Matteo DarmianDFInter;9;4;44.4;418.0;515.0;81.2;30.0;30.0;16;57.1;9.0;2.0;7.0;17;47.0;35.0;0.0;22.2;7.0;5.0;21;2;30;59.1;;;;;
135;Matteo Darmian;DF;Parma;30;3.0;2;208.0;2.3;0.0;0.0;1.0;0.0;96e0490d;Matteo DarmianDFParma;0;0;;77.0;104.0;74.0;1.0;6.0;5;57.1;2.0;0.0;2.0;6;12.0;7.0;0.0;100.0;1.0;1.0;3;0;2;50.0;;;;;
136;Paweł Dawidowicz;DF;Hellas-Verona;25;30.0;22;1860.0;20.7;0.0;0.0;9.0;0.0;16bb656a;Paweł DawidowiczDFHellas Verona;15;4;26.7;741.0;901.0;82.2;15.0;42.0;28;58.3;28.0;19.0;9.0;27;69.0;62.0;1.0;77.8;14.0;3.0;39;2;9;44.6;;;;;
137;Sebastien De Maio;DF;Udinese;33;15.0;9;853.0;9.5;0.0;0.0;1.0;0.0;952a03fe;Sebastien De MaioDFUdinese;6;1;16.7;310.0;368.0;84.2;7.0;15.0;10;80.0;16.0;9.0;7.0;18;33.0;41.0;0.0;;5.0;2.0;11;3;1;58.1;;;;;
138;Rodrigo De Paul;MF;Udinese;26;36.0;36;3201.0;35.6;9.0;9.0;5.0;2.0;162efffd;Rodrigo De PaulMFUdinese;79;19;24.1;1549.0;2134.0;72.6;180.0;41.0;24;25.0;32.0;1.0;31.0;17;58.0;20.0;1.0;67.0;93.0;56.0;33;1;262;31.3;;;;;
139;Mattia De Sciglio;DF;Juventus;27;1.0;0;24.0;0.3;0.0;0.0;0.0;0.0;ae4e2852;Mattia De SciglioDFJuventus;1;0;0.0;9.0;12.0;75.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;1.0;0.0;;0.0;0.0;1;0;1;;;;;;
140;Lorenzo De Silvestri;DF;Bologna;32;29.0;25;2143.0;23.8;2.0;0.0;4.0;0.0;e74f0e59;Lorenzo De SilvestriDFBologna;11;6;54.5;954.0;1283.0;74.4;26.0;34.0;24;43.2;37.0;10.0;27.0;30;64.0;62.0;3.0;75.0;13.0;13.0;42;1;43;58.3;;;;;
141;Grégoire Defrel;MF;Sassuolo;29;28.0;14;1336.0;14.8;3.0;3.0;1.0;0.0;854ee61a;Grégoire DefrelMFFWSassuolo;22;9;40.9;360.0;413.0;87.2;37.0;13.0;8;38.5;9.0;0.0;9.0;7;20.0;5.0;0.0;53.8;33.0;14.0;14;5;6;38.2;;;;;
142;Alessandro Deiola;MF;Spezia;24;12.0;4;360.0;4.0;0.0;0.0;1.0;0.0;7f267d66;Alessandro DeiolaMFSpezia;5;1;20.0;117.0;156.0;75.0;10.0;6.0;3;38.5;3.0;1.0;2.0;3;9.0;1.0;0.0;100.0;6.0;2.0;6;0;8;42.9;;;;;
143;Alessandro Deiola;MF;Cagliari;24;12.0;7;615.0;6.8;0.0;0.0;2.0;0.0;7f267d66;Alessandro DeiolaMFCagliari;6;1;16.7;197.0;241.0;81.7;13.0;13.0;5;34.8;7.0;2.0;5.0;11;24.0;11.0;0.0;100.0;7.0;4.0;12;0;7;70.0;;;;;
144;Lorenzo Del Pinto;MF;Benevento;30;1.0;0;11.0;0.1;0.0;0.0;0.0;0.0;081b6080;Lorenzo Del PintoMFBenevento;0;0;;5.0;8.0;62.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;1.0;0;0;0;;;;;;
145;Cristian Dell'Orco;DF;Spezia;26;8.0;2;262.0;2.9;0.0;0.0;0.0;0.0;b0243215;Cristian Dell'OrcoDFSpezia;1;0;0.0;112.0;143.0;78.3;1.0;1.0;0;33.3;8.0;5.0;3.0;7;8.0;9.0;1.0;;3.0;1.0;1;0;1;58.3;;;;;
146;Merih Demiral;DF;Juventus;22;15.0;10;940.0;10.4;0.0;1.0;1.0;0.0;e3cceee6;Merih DemiralDFJuventus;6;2;33.3;587.0;625.0;93.9;9.0;12.0;9;38.5;16.0;9.0;7.0;21;33.0;40.0;0.0;50.0;3.0;2.0;11;2;1;66.7;;;;;
147;Diego Demme;DM;Napoli;28;24.0;20;1590.0;17.7;2.0;3.0;6.0;0.0;dc3fa3b5;Diego DemmeMFNapoli;14;6;42.9;1110.0;1254.0;88.5;34.0;56.0;32;36.5;14.0;1.0;13.0;11;67.0;15.0;1.0;50.0;14.0;18.0;33;1;5;23.8;;;;Diego Demme;1.0
148;Stefano Denswil;DF;Bologna;27;5.0;1;115.0;1.3;0.0;0.0;0.0;0.0;5832ebfe;Stefano DenswilDFBologna;0;0;;64.0;82.0;78.0;2.0;2.0;1;0.0;1.0;0.0;1.0;1;3.0;1.0;0.0;;0.0;0.0;0;0;0;75.0;;;;;
149;Fabio Depaoli;DM;Benevento;23;15.0;14;1120.0;12.4;0.0;0.0;2.0;0.0;d97f2e8d;Fabio DepaoliDFBenevento;8;2;25.0;290.0;411.0;70.6;15.0;25.0;13;46.9;16.0;4.0;12.0;12;37.0;38.0;0.0;55.6;10.0;7.0;17;1;23;46.2;;;;Fabio Depaoli;1.0
150;Fabio Depaoli;DM;Sampdoria;23;2.0;1;77.0;0.9;0.0;0.0;0.0;0.0;d97f2e8d;Fabio DepaoliMFSampdoria;2;1;50.0;10.0;16.0;62.5;2.0;1.0;0;0.0;0.0;0.0;0.0;1;2.0;1.0;0.0;100.0;4.0;0.0;5;2;2;0.0;;;;Fabio Depaoli;1.0
151;Fabio Depaoli;DM;Atalanta;23;5.0;3;191.0;2.1;0.0;0.0;0.0;0.0;d97f2e8d;Fabio DepaoliDFAtalanta;0;0;;81.0;99.0;81.8;3.0;3.0;2;50.0;4.0;0.0;4.0;3;6.0;2.0;0.0;50.0;5.0;3.0;5;0;1;40.0;;;;Fabio Depaoli;1.0
152;Kastriot Dermaku;MF;Parma;28;2.0;1;100.0;1.1;0.0;0.0;0.0;0.0;2990c466;Kastriot DermakuDFMFParma;0;0;;35.0;40.0;87.5;0.0;1.0;1;;2.0;1.0;1.0;2;3.0;8.0;0.0;;0.0;0.0;2;0;0;0.0;;;;;
153;Kiril Despodov;FW;Cagliari;23;1.0;0;11.0;0.1;0.0;0.0;0.0;0.0;13c8e5f6;Kiril DespodovFWCagliari;0;0;;0.0;0.0;;0.0;1.0;1;100.0;0.0;0.0;0.0;0;1.0;0.0;0.0;;1.0;0.0;1;0;0;0.0;;;;;
154;Mattia Destro;FW;Genoa;29;29.0;22;1606.0;17.8;11.0;1.0;5.0;0.0;d7d32194;Mattia DestroFWGenoa;37;22;59.5;187.0;275.0;68.0;17.0;6.0;3;22.2;11.0;0.0;11.0;4;10.0;8.0;0.0;46.2;44.0;20.0;39;22;4;35.8;;;;;
155;Gerard Deulofeu;MF;Udinese;26;13.0;7;598.0;6.6;1.0;1.0;0.0;0.0;39583cfd;Gerard DeulofeuFWMFUdinese;17;9;52.9;166.0;248.0;66.9;20.0;2.0;2;16.7;2.0;0.0;2.0;3;5.0;0.0;0.0;42.9;21.0;10.0;7;11;30;0.0;;;;;
156;Jacopo Dezi;MF;Parma;28;2.0;1;79.0;0.9;0.0;0.0;0.0;0.0;e921b9db;Jacopo DeziFWMFParma;1;0;0.0;33.0;44.0;75.0;2.0;4.0;3;50.0;2.0;0.0;2.0;0;4.0;0.0;0.0;;3.0;1.0;1;0;4;0.0;;;;;
157;Samuel Di Carmine;FW;Hellas-Verona;31;11.0;6;500.0;5.6;0.0;0.0;1.0;0.0;ef94dc2f;Samuel Di CarmineFWHellas Verona;9;2;22.2;81.0;134.0;60.4;14.0;1.0;2;0.0;1.0;0.0;1.0;0;1.0;5.0;0.0;66.7;14.0;13.0;16;6;11;54.3;;;;;
158;Samuel Di Carmine;FW;Crotone;31;11.0;6;475.0;5.3;0.0;0.0;1.0;0.0;ef94dc2f;Samuel Di CarmineFWCrotone;6;1;16.7;74.0;97.0;76.3;4.0;2.0;2;33.3;2.0;0.0;2.0;0;2.0;5.0;0.0;0.0;8.0;5.0;5;0;3;50.0;;;;;
159;Giovanni Di Lorenzo;DF;Napoli;26;36.0;36;3240.0;36.0;3.0;6.0;11.0;0.0;230a2fac;Giovanni Di LorenzoDFNapoli;28;12;42.9;2228.0;2586.0;86.2;116.0;79.0;50;57.3;37.0;13.0;24.0;35;114.0;64.0;1.0;55.6;31.0;16.0;49;3;72;57.9;;;;;
160;Alessandro Di Pardo;FW;Juventus;21;4.0;0;14.0;0.2;0.0;0.0;0.0;0.0;e0ce7038;Alessandro Di PardoFWDFJuventus;0;0;;4.0;7.0;57.1;2.0;0.0;0;;1.0;1.0;0.0;0;0.0;0.0;0.0;100.0;0.0;0.0;0;0;1;;;;;;
161;Giuseppe Di Serio;MF;Benevento;19;16.0;1;292.0;3.2;0.0;0.0;1.0;0.0;5048486b;Giuseppe Di SerioFWMFBenevento;4;2;50.0;55.0;74.0;74.3;8.0;2.0;2;0.0;5.0;0.0;5.0;0;2.0;4.0;0.0;100.0;10.0;12.0;13;2;1;29.2;;;;;
162;Amad Diallo;MF;Atalanta;18;1.0;0;14.0;0.2;0.0;0.0;1.0;0.0;9dc96f10;Amad DialloMFAtalanta;1;0;0.0;9.0;10.0;90.0;2.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;100.0;;;;;
163;Amadou Diambo;DM;Benevento;19;1.0;0;3.0;0.0;0.0;0.0;0.0;0.0;c3a847c7;Amadou DiamboFWBenevento;0;0;;7.0;7.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;100.0;0.0;1.0;0;0;0;;;;;Amadou Diambo;1.0
