;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
18;Kwadwo Asamoah;MF;Cagliari;31;9.0;1;224.0;2.5;0.0;0.0;0.0;0.0;089550f5;Kwadwo AsamoahDFMFCagliari;2;1;50.0;95.0;114.0;83.3;3.0;4.0;3;66.7;5.0;1.0;4.0;4;8.0;2.0;1.0;66.7;1.0;1.0;0;0;7;66.7;;;;;
19;Kristoffer Askildsen;MF;Sampdoria;19;6.0;0;95.0;1.1;0.0;0.0;2.0;0.0;a69cc629;Kristoffer AskildsenMFSampdoria;1;0;0.0;10.0;19.0;52.6;0.0;0.0;0;;2.0;0.0;2.0;3;3.0;3.0;0.0;100.0;3.0;3.0;3;0;1;50.0;;;;;
20;Emil Audero;GK;Sampdoria;23;37.0;37;3330.0;37.0;0.0;1.0;0.0;0.0;649b01d8;Emil AuderoGKSampdoria;0;0;;877.0;1247.0;70.3;6.0;1.0;1;50.0;0.0;0.0;0.0;1;2.0;16.0;0.0;;0.0;0.0;0;0;0;100.0;72.8;16.2;2.1;;
21;Tommaso Augello;DF;Sampdoria;25;37.0;37;3216.0;35.7;1.0;3.0;2.0;1.0;3cd3b384;Tommaso AugelloDFSampdoria;8;2;25.0;1564.0;2061.0;75.9;56.0;42.0;30;59.0;22.0;2.0;20.0;32;74.0;76.0;1.0;57.4;43.0;16.0;13;2;148;57.7;;;;;
22;Kaan Ayhan;DF;Sassuolo;25;19.0;7;796.0;8.8;0.0;0.0;3.0;0.0;2200181e;Kaan AyhanDFSassuolo;5;0;0.0;515.0;567.0;90.8;4.0;15.0;9;61.5;9.0;5.0;4.0;16;31.0;33.0;0.0;75.0;1.0;3.0;8;0;3;35.3;;;;;
23;Milan Badelj;DM;Genoa;31;30.0;29;2408.0;26.8;1.0;4.0;7.0;0.0;e8c930bb;Milan BadeljMFGenoa;17;4;23.5;1295.0;1597.0;81.1;62.0;56.0;27;31.0;51.0;10.0;41.0;87;143.0;45.0;1.0;78.3;31.0;22.0;34;1;15;57.1;;;;Milan Badelj;1.0
24;Tiemoué Bakayoko;DM;Napoli;25;32.0;23;1964.0;21.8;2.0;1.0;6.0;1.0;59bf127b;Tiemoué BakayokoMFNapoli;16;4;25.0;1080.0;1228.0;87.9;34.0;69.0;41;57.5;24.0;2.0;22.0;36;105.0;13.0;2.0;86.2;27.0;20.0;36;1;2;56.4;;;;Tiemoué Bakayoko;1.0
25;Keita Baldé;FW;Sampdoria;25;25.0;12;1197.0;13.3;7.0;1.0;4.0;1.0;509a4ccb;Keita BaldéFWSampdoria;44;19;43.2;230.0;315.0;73.0;45.0;9.0;6;40.0;10.0;1.0;9.0;0;9.0;3.0;0.0;61.5;45.0;15.0;32;4;8;32.8;;;;;
26;Botond Balogh;DF;Parma;18;3.0;1;165.0;1.8;0.0;0.0;1.0;0.0;348bafd4;Botond BaloghDFParma;0;0;;59.0;79.0;74.7;0.0;9.0;7;40.0;4.0;3.0;1.0;2;11.0;8.0;0.0;100.0;1.0;0.0;1;0;0;40.0;;;;;
27;Mattia Bani;DF;Genoa;26;11.0;10;921.0;10.2;0.0;0.0;4.0;0.0;0821331c;Mattia BaniDFGenoa;5;1;20.0;443.0;529.0;83.7;6.0;10.0;5;41.7;16.0;11.0;5.0;27;37.0;44.0;0.0;0.0;2.0;5.0;13;1;2;52.5;;;;;
