;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
12;2022-11-05;L;0;0;Home;1;47.0;26.4;3-5-2;3.0;19.5;78.1;11.0;10.0;-299.5;6;11;4-3-3;Atalanta;automne;15.0;1;5;0;1.0;7.0;0.0;9.0;Napoli;399.091;511.0;-0.10416666666666652;1.4905360934182592;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
13;2022-11-09;L;0;0;Away;0;61.0;26.4;3-4-3;4.0;19.3;75.3;13.0;12.0;235.37;4;11;4-3-3;Atalanta;automne;12.0;0;2;0;1.0;15.0;0.0;11.0;Lecce;435.987;579.0;-0.5556818181818182;1.4126211156147461;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;84;0;1;1;1;1;3;4;3;3;4;3;-1;0;1;0
14;2022-11-13;L;0;0;Home;1;47.0;26.4;4-5-1;6.0;19.4;77.0;8.0;10.0;-204.95000000000005;4;11;3-5-2;Atalanta;automne;17.0;1;0;0;3.0;14.0;1.0;11.0;Internazionale;348.81;453.0;-1.8143939393939392;1.7406316348195334;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;67;0;1;1;1;1;4;3;1;2;5;5;-2;2;0;1
15;2023-01-04;D;0;1;Away;0;64.0;26.4;3-5-2;3.0;13.2;79.3;14.0;11.0;243.2;52;1;3-5-2;Atalanta;reste;19.0;0;3;0;3.0;7.0;0.0;11.0;Spezia;510.692;644.0;0.10189393939393931;2.2094339895773016;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;134;0;1;1;1;1;3;3;2;2;5;5;-1;1;0;1
16;2023-01-09;W;1;1;Away;0;49.0;26.4;3-5-2;3.0;16.6;78.5;18.0;15.0;193.8;5;1;4-5-1;Atalanta;reste;7.0;0;2;0;3.0;12.0;0.0;16.0;Bologna;442.74;564.0;-0.11363636363636354;1.609821945570353;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;65;134;0;1;1;1;1;3;4;2;1;5;5;-2;2;0;1
17;2023-01-15;W;1;1;Home;1;57.0;26.4;3-4-3;11.0;18.4;86.2;13.0;10.0;229.82;6;1;3-5-2;Atalanta;reste;17.0;1;1;0;0.0;7.0;0.0;12.0;Salernitana;487.03;565.0;0.07765151515151536;1.96976886701409;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;84;0;1;1;1;1;3;3;3;2;4;5;0;1;-1;1
18;2023-01-28;W;1;1;Home;1;61.0;26.4;3-4-3;5.0;14.8;86.6;9.0;17.0;258.05;6;1;3-4-3;Atalanta;reste;21.0;0;0;0;2.0;15.0;0.0;11.0;Sampdoria;587.1479999999998;678.0;-1.252651515151515;2.3413901756417683;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;93;84;0;1;1;1;1;3;3;3;3;4;4;0;0;0;0
19;2023-02-04;L;0;0;Away;0;47.0;26.4;3-5-2;2.0;14.8;80.0;7.0;13.0;158.1;4;2;4-3-3;Atalanta;reste;7.0;0;1;2;5.0;18.0;2.0;12.0;Sassuolo;400.0;500.0;-3.3553030303030305;1.4530568423084345;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
20;2023-02-11;W;1;1;Away;0;40.0;26.4;3-5-2;10.0;18.8;76.5;12.0;14.0;54.600000000000016;7;2;4-3-3;Atalanta;reste;23.0;0;2;0;1.0;13.0;1.0;12.0;Lazio;361.845;473.0;-1.6549242424242427;2.2068109438332364;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
21;2023-02-19;L;0;0;Home;1;70.0;26.4;3-5-2;10.0;16.8;80.3;9.0;10.0;235.37;8;2;4-3-3;Atalanta;reste;20.0;0;3;0;3.0;4.0;0.0;12.0;Lecce;573.342;714.0;-0.0984848484848484;2.16728237791932;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
