;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
1024;Ebrima Darboe;DM;Roma;20;1;1;63;0.7;0;0;0;0;cf043a33;1;0;0.0;38.0;40.0;95.0;1.0;1.0;1;;0.0;0.0;0.0;1;2.0;0.0;1.0;45.0;;1.0;0.0;1;0;0;;;;;Ebrima Darboe;1.0
1025;Matteo Darmian;DF;Internazionale;31;25;18;1507;16.7;2;1;4;0;96e0490d;8;4;50.0;534.0;671.0;79.6;43.0;32.0;16;39.0;16.0;1.0;15.0;19;51.0;25.0;0.0;795.0;44.4;15.0;2.0;23;0;37;78.3;;;;;
1026;Paweł Dawidowicz;DF;Hellas-Verona;26;17;13;1198;13.3;0;0;3;0;16bb656a;6;0;0.0;511.0;600.0;85.2;11.0;30.0;18;64.0;14.0;11.0;3.0;21;51.0;53.0;0.0;753.0;100.0;7.0;2.0;26;0;6;46.8;;;;;
1027;Sebastien De Maio;DF;Udinese;34;2;2;180;2.0;0;0;0;0;952a03fe;0;0;;55.0;74.0;74.3;1.0;5.0;1;11.1;6.0;5.0;1.0;1;6.0;9.0;0.0;97.0;100.0;2.0;0.0;3;0;0;40.0;;;;;
1028;Tommaso De Nipoti;FW;Atalanta;18;1;0;6;0.1;0;0;0;0;7f9d956a;0;0;;1.0;1.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;2.0;;1.0;0.0;0;1;0;100.0;;;;;
1029;Mattia De Sciglio;DF;Juventus;28;20;13;1168;13.0;1;2;2;1;ae4e2852;6;2;33.3;541.0;681.0;79.4;32.0;24.0;12;45.8;10.0;0.0;10.0;10;34.0;30.0;0.0;787.0;60.0;12.0;3.0;15;0;52;66.7;;;;;
1030;Lorenzo De Silvestri;DF;Bologna;33;31;27;2294;25.5;3;2;7;0;e74f0e59;16;7;43.8;990.0;1353.0;73.2;46.0;23.0;14;29.0;25.0;7.0;18.0;26;49.0;52.0;0.0;1562.0;33.3;32.0;17.0;28;3;57;62.0;;;;;
1031;Grégoire Defrel;FW;Sassuolo;30;38;11;1362;15.1;2;2;3;0;854ee61a;27;10;37.0;330.0;386.0;85.5;47.0;15.0;9;37.5;11.0;1.0;10.0;4;19.0;11.0;0.0;542.0;54.1;39.0;32.0;16;3;1;20.0;;;;;
1032;Alessandro Deiola;MF;Cagliari;25;33;28;2129;23.7;4;1;5;0;7f267d66;26;12;46.2;590.0;774.0;76.2;37.0;47.0;22;39.7;28.0;10.0;18.0;26;73.0;45.0;0.0;1028.0;46.2;30.0;11.0;45;1;12;48.8;;;;;
1033;Filippo Delli Carri;DF;Salernitana;22;5;3;334;3.7;0;0;1;0;d2e8fd9b;4;2;50.0;86.0;123.0;69.9;4.0;6.0;4;35.7;6.0;2.0;4.0;4;10.0;14.0;0.0;170.0;100.0;6.0;1.0;2;0;3;57.1;;;;;
1034;Merih Demiral;DF;Atalanta;23;28;22;1917;21.3;1;2;8;0;e3cceee6;25;6;24.0;683.0;801.0;85.3;8.0;31.0;17;53.6;26.0;14.0;12.0;58;89.0;68.0;1.0;1061.0;50.0;15.0;5.0;29;3;0;69.7;;;;;
1035;Diego Demme;DM;Napoli;29;19;7;692;7.7;1;0;4;0;dc3fa3b5;2;1;50.0;539.0;596.0;90.4;23.0;21.0;12;47.6;11.0;2.0;9.0;9;30.0;2.0;0.0;661.0;75.0;12.0;5.0;28;0;7;44.4;;;;Diego Demme;1.0
1036;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1037;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1038;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1039;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1040;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1041;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1042;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1043;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1044;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1045;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1046;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1047;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1048;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1049;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1050;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1051;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1052;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1053;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1054;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1055;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1056;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1057;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1058;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1059;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1060;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1061;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1062;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1063;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1064;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1065;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1066;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1067;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;10;4;40.0;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1068;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1069;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1070;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1071;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1072;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1073;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1074;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1075;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1076;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1077;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1078;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1079;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1080;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1081;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1082;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1083;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1084;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1085;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1086;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1087;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1088;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1089;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1090;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1091;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1092;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1093;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1094;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1095;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1096;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1097;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1098;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1099;Fabio Depaoli;DM;Hellas-Verona;24;18;7;703;7.8;1;1;3;0;d97f2e8d;0;0;;22.0;36.0;61.1;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1100;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1101;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1102;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1103;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1104;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1105;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1106;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1107;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;17.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1108;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1109;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1110;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1111;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;12.0;7;14.3;9.0;2.0;7.0;8;20.0;14.0;0.0;52.0;50.0;5.0;0.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
1112;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;20;4;32;42.9;;;;Fabio Depaoli;1.0
1113;Fabio Depaoli;DM;Sampdoria;24;6;1;112;1.2;0;0;1;0;d97f2e8d;10;4;40.0;174.0;283.0;61.5;0.0;3.0;1;0.0;2.0;1.0;1.0;1;4.0;2.0;0.0;361.0;72.7;8.0;6.0;8;0;3;25.0;;;;Fabio Depaoli;1.0
