;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
21;Tolgay Arslan;MF;Udinese;30;30;22;1658;18.4;1;0;9;0;963a328b;23;9;39.1;532.0;677.0;78.6;48.0;35.0;20;38.0;17.0;4.0;13.0;13;48.0;23.0;1.0;861.0;64.7;27.0;15.0;28;0;33;42.9;;;;;
22;Arthur;FW;Fiorentina;23;14;8;749;8.3;2;2;1;0;a820e429;23;8;34.8;110.0;142.0;77.5;17.0;9.0;5;57.1;4.0;1.0;3.0;1;10.0;8.0;0.0;227.0;64.3;17.0;8.0;16;1;2;31.6;;;;;
23;Kristoffer Askildsen;MF;Sampdoria;20;19;7;754;8.4;0;0;5;0;a69cc629;7;0;0.0;147.0;226.0;65.0;7.0;18.0;6;47.4;14.0;7.0;7.0;15;33.0;15.0;0.0;321.0;80.0;9.0;5.0;17;0;2;67.7;;;;;
24;Kristjan Asllani;DM;Empoli;19;23;14;1353;15.0;1;1;2;0;0fdcef0e;17;6;35.3;638.0;779.0;81.9;30.0;18.0;9;37.9;16.0;7.0;9.0;19;37.0;15.0;1.0;897.0;70.0;18.0;7.0;13;0;29;40.0;;;;Kristjan Asllani;1.0
25;Emil Audero;GK;Sampdoria;24;29;29;2560;28.4;0;0;2;0;649b01d8;0;0;;706.0;1005.0;70.2;5.0;3.0;1;60.0;0.0;0.0;0.0;2;5.0;17.0;2.0;1079.0;;0.0;0.0;0;0;0;100.0;63.8;17.2;5.3;;
26;Tommaso Augello;DF;Sampdoria;26;36;25;2395;26.6;1;1;0;0;3cd3b384;7;2;28.6;1050.0;1368.0;76.8;49.0;36.0;20;58.6;19.0;4.0;15.0;29;65.0;68.0;1.0;1580.0;52.3;29.0;13.0;12;1;74;63.5;;;;;
27;Ramzi Aya;DF;Salernitana;30;2;2;135;1.5;0;0;1;0;6a1f66a7;1;0;0.0;19.0;27.0;70.4;0.0;1.0;1;100.0;0.0;0.0;0.0;0;1.0;4.0;0.0;33.0;;0.0;0.0;1;0;1;0.0;;;;;
28;Kaan Ayhan;DF;Sassuolo;26;23;14;1354;15.0;1;0;2;1;2200181e;5;1;20.0;790.0;871.0;90.7;8.0;20.0;12;46.7;20.0;14.0;6.0;13;33.0;57.0;0.0;999.0;100.0;2.0;0.0;13;1;2;41.4;;;;;
29;Milan Badelj;DM;Genoa;32;34;34;2844;31.6;1;0;4;0;e8c930bb;21;5;23.8;1230.0;1575.0;78.1;72.0;64.0;37;42.5;39.0;7.0;32.0;85;149.0;43.0;0.0;1908.0;68.0;47.0;26.0;39;0;10;54.8;;;;Milan Badelj;1.0
30;Nicola Bagnolini;GK;Bologna;17;1;0;3;0.0;0;0;0;0;ad263695;0;0;;0.0;4.0;0.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;4.0;;0.0;0.0;0;0;0;;100.0;;0.0;;
31;Issa Bah;FW;Venezia;19;1;0;9;0.1;0;0;0;0;956a78ea;0;0;;6.0;6.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;8.0;;0.0;2.0;0;0;0;100.0;;;;;
32;Nedim Bajrami;Milieu;Empoli;22;35;23;2054;22.8;6;5;3;0;f42d6c13;51;18;35.3;621.0;898.0;69.2;104.0;21.0;14;28.6;11.0;0.0;11.0;3;24.0;8.0;0.0;1102.0;59.2;55.0;34.0;16;7;156;0.0;;;;;
33;Tiemoué Bakayoko;DM;Milan;26;14;5;501;5.6;0;0;3;0;59bf127b;4;0;0.0;269.0;304.0;88.5;7.0;19.0;13;31.3;8.0;1.0;7.0;9;28.0;10.0;2.0;372.0;57.1;3.0;4.0;12;0;1;66.7;;;;Tiemoué Bakayoko;1.0
34;Tommaso Baldanzi;FW;Empoli;18;1;0;18;0.2;0;0;0;0;102e2599;0;0;;5.0;6.0;83.3;1.0;0.0;0;;1.0;0.0;1.0;0;0.0;0.0;0.0;10.0;;2.0;0.0;0;0;1;;;;;;
35;Keita Baldé;FW;Cagliari;26;26;14;1229;13.7;3;1;2;0;509a4ccb;27;11;40.7;187.0;260.0;71.9;23.0;8.0;4;10.0;6.0;0.0;6.0;4;12.0;6.0;0.0;409.0;33.3;49.0;10.0;27;9;8;30.3;;;;;
36;Fodé Ballo-Touré;DF;Milan;24;10;5;446;5.0;0;0;2;0;f449640d;2;1;50.0;230.0;272.0;84.6;13.0;18.0;14;44.4;6.0;2.0;4.0;3;21.0;5.0;0.0;323.0;50.0;5.0;6.0;12;1;18;35.7;;;;;
37;Filippo Bandinelli;DM;Empoli;26;35;24;1955;21.7;2;3;10;0;d44360be;35;11;31.4;537.0;733.0;73.3;58.0;33.0;20;48.4;22.0;5.0;17.0;10;43.0;37.0;2.0;968.0;43.6;40.0;25.0;53;5;68;27.9;;;;Filippo Bandinelli;1.0
38;Mattia Bani;DF;Genoa;27;17;13;1211;13.5;0;0;1;0;0821331c;9;1;11.1;333.0;469.0;71.0;5.0;23.0;13;77.8;19.0;11.0;8.0;20;43.0;76.0;0.0;640.0;100.0;8.0;0.0;14;0;1;60.9;;;;;
39;Antonín Barák;Milieu;Hellas-Verona;26;29;27;2340;26.0;11;4;4;0;01efac19;47;20;42.6;876.0;1107.0;79.1;70.0;18.0;8;29.4;32.0;5.0;27.0;6;24.0;26.0;0.0;1367.0;56.4;42.0;54.0;27;3;13;37.6;;;;;
40;Francesco Bardi;GK;Bologna;29;2;2;177;2.0;0;0;0;0;0acda699;0;0;;33.0;49.0;67.3;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;54.0;;0.0;0.0;0;0;0;100.0;77.8;0.0;8.3;;
41;Nicolò Barella;MF;Internazionale;24;36;36;2913;32.4;3;11;9;0;6928979a;68;12;17.6;1554.0;1876.0;82.8;140.0;63.0;42;52.7;26.0;2.0;24.0;21;84.0;8.0;2.0;2194.0;57.8;56.0;38.0;30;4;66;47.8;;;;;
42;Musa Barrow;Milieu;Bologna;22;34;25;2134;23.7;6;6;0;0;e5bf73f3;71;27;38.0;698.0;923.0;75.6;87.0;12.0;4;30.0;20.0;1.0;19.0;6;18.0;8.0;0.0;1179.0;49.2;63.0;52.0;10;6;112;23.8;;;;;
43;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
44;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
45;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
46;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
47;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
48;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
49;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
50;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
51;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
52;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
53;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
54;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
55;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
56;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
57;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
58;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
59;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
60;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
61;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
