;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
41;2021-04-11;W;1;1;Away;0;60.0;24.5;3-5-2;7.0;17.1;82.3;15.0;13.0;72.94999999999997;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;3.0;10.0;1.0;15.0;-1.2836538461538463;1.9926825993555313
42;2021-04-18;W;1;1;Home;1;45.0;24.5;3-5-2;2.0;21.2;86.6;18.0;18.0;-243.75;7;4;4-4-2;Atalanta;reste;14.0;0;3;0;2.0;11.0;0.0;16.0;-0.4278846153846154;1.5828410311493022
43;2021-04-22;D;0;1;Away;0;41.0;24.5;3-4-3;8.0;18.5;77.2;16.0;7.0;17.5;4;4;4-5-1;Atalanta;reste;22.0;0;2;1;5.0;14.0;1.0;16.0;-1.0817307692307692;2.150420694593627
44;2021-04-25;W;1;1;Home;1;56.0;24.5;3-4-3;8.0;17.4;81.9;8.0;12.0;212.55;3;4;5-3-2;Atalanta;reste;24.0;1;0;0;2.0;8.0;0.0;8.0;-0.6346153846153846;2.094701038310061
45;2021-05-02;D;0;1;Away;0;37.0;24.5;3-5-2;6.0;21.4;77.4;10.0;12.0;147.75;7;5;4-5-1;Atalanta;reste;9.0;0;1;1;7.0;10.0;3.0;18.0;-3.605769230769231;1.2447860723236663
48;2021-05-15;W;1;1;Away;0;60.0;24.5;3-4-3;6.0;13.3;86.7;11.0;8.0;277.47;3;5;3-5-2;Atalanta;reste;12.0;0;2;0;1.0;9.0;3.0;13.0;-3.2163461538461537;1.9365601503759395
50;2021-05-23;L;0;0;Home;1;70.0;24.5;3-4-3;1.0;20.5;86.2;9.0;17.0;-148.20000000000005;4;5;4-5-1;Atalanta;reste;13.0;0;3;1;3.0;4.0;2.0;11.0;-2.6201923076923075;1.682151808091658
51;2020-09-21;L;0;0;Away;0;42.0;23.7;4-5-1;4.0;16.8;81.7;11.0;20.0;-360.75000000000006;10;9;4-5-1;Bologna;automne;13.0;0;5;1;3.0;16.0;1.0;13.0;-2.4038461538461537;1.5046992481203008
54;2020-10-18;L;0;0;Home;1;48.0;23.7;4-4-2;6.0;16.6;70.5;13.0;20.0;-64.80000000000001;14;10;4-5-1;Bologna;automne;14.0;0;2;0;2.0;25.0;0.0;11.0;-1.8125;1.5576664876476904
55;2020-10-24;L;0;0;Away;0;52.0;23.7;4-5-1;5.0;18.0;82.4;14.0;16.0;-78.28000000000003;6;10;3-5-2;Bologna;automne;21.0;0;3;0;3.0;10.0;0.0;14.0;-0.5480769230769231;2.1814133548156107
57;2020-10-31;W;1;1;Home;1;52.0;23.7;4-5-1;9.0;20.6;78.1;11.0;11.0;51.66999999999999;4;10;4-5-1;Bologna;automne;22.0;0;3;0;3.0;7.0;0.0;18.0;-0.27884615384615385;2.361260293591121
58;2020-11-08;L;0;0;Home;1;48.0;23.7;4-5-1;3.0;20.9;78.5;14.0;12.0;-291.0300000000001;8;11;4-5-1;Bologna;automne;9.0;0;3;0;0.0;19.0;1.0;11.0;-1.8605769230769231;1.02577873254565
59;2020-11-22;W;1;1;Away;0;55.0;23.7;4-5-1;3.0;17.1;77.8;20.0;9.0;57.649999999999984;14;11;4-3-3;Bologna;automne;11.0;0;2;0;2.0;11.0;0.0;12.0;0.28846153846153855;1.5299633011099174
62;2020-12-05;L;0;0;Away;0;54.0;23.7;3-4-3;7.0;20.0;85.6;8.0;13.0;-372.35;6;12;3-5-2;Bologna;reste;14.0;0;2;0;1.0;14.0;1.0;12.0;-2.0721153846153846;1.5519602577873253
63;2020-12-13;L;0;0;Home;1;54.0;23.7;4-5-1;1.0;17.2;81.9;15.0;14.0;-195.05;8;12;3-4-3;Bologna;reste;7.0;0;4;0;2.0;15.0;0.0;9.0;-0.6586538461538463;1.0698174006444683
64;2020-12-16;D;0;1;Away;0;55.0;23.7;4-5-1;5.0;19.7;73.7;20.0;11.0;107.7;3;12;4-3-3;Bologna;reste;9.0;0;1;0;6.0;10.0;0.0;19.0;0.22596153846153855;1.7098102398854278
