;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
0;2022-08-13;18:30;Serie A;Matchweek 1;Sat;Away;W;2.0;0.0;Sampdoria;2.2;1.0;45.0;20047.0;Rafael Tolói;3-4-1-2;Federico Dionisi;Match Report;;Atalanta;2022-08-1318:30Serie AMatchweek 1AwayWSampdoriaAtalanta;9.0;3.0;14.4;0.0;0;408.0;76.7;6;0;0;21.0;2.0;11.0;26.4;€329.50m;10
1;2022-08-21;20:45;Serie A;Matchweek 2;Sun;Home;D;1.0;1.0;Milan;0.5;1.3;40.0;19216.0;Rafael Tolói;3-4-3;Fabio Maresca;Match Report;;Atalanta;2022-08-2120:45Serie AMatchweek 2HomeDMilanAtalanta;11.0;2.0;18.9;0.0;0;387.0;78.6;4;0;0;15.0;0.0;7.0;26.4;€329.50m;8
2;2022-08-28;18:30;Serie A;Matchweek 3;Sun;Away;W;1.0;0.0;Hellas Verona;0.8;0.5;51.0;16106.0;Rafael Tolói;3-4-3;Alessandro Prontera;Match Report;;Atalanta;2022-08-2818:30Serie AMatchweek 3AwayWHellas VeronaAtalanta;15.0;7.0;18.9;0.0;0;424.0;69.8;3;0;0;7.0;0.0;12.0;26.4;€329.50m;7
3;2022-09-01;20:45;Serie A;Matchweek 4;Thu;Home;W;3.0;1.0;Torino;2.9;0.4;41.0;17928.0;Rafael Tolói;3-4-3;Marco Di Bello;Match Report;;Atalanta;2022-09-0120:45Serie AMatchweek 4HomeWTorinoAtalanta;10.0;3.0;18.8;0.0;2;393.0;70.2;1;0;0;14.0;5.0;10.0;26.4;€329.50m;4
4;2022-09-05;18:30;Serie A;Matchweek 5;Mon;Away;W;2.0;0.0;Monza;1.9;0.6;41.0;11970.0;Rafael Tolói;4-2-3-1;Juan Sacchi;Match Report;;Atalanta;2022-09-0518:30Serie AMatchweek 5AwayWMonzaAtalanta;13.0;6.0;15.2;0.0;0;420.0;75.5;1;0;0;10.0;1.0;14.0;26.4;€329.50m;4
5;2022-09-11;12:30;Serie A;Matchweek 6;Sun;Home;D;1.0;1.0;Cremonese;0.7;0.6;58.0;18252.0;Rafael Tolói;3-4-3;Andrea Colombo;Match Report;;Atalanta;2022-09-1112:30Serie AMatchweek 6HomeDCremoneseAtalanta;14.0;6.0;19.5;1.0;0;506.0;74.7;3;0;0;9.0;2.0;15.0;26.4;€329.50m;6
6;2022-09-18;18:00;Serie A;Matchweek 7;Sun;Away;W;1.0;0.0;Roma;0.2;2.4;44.0;61335.0;Rafael Tolói;3-4-3;Daniele Chiffi;Match Report;;Atalanta;2022-09-1818:00Serie AMatchweek 7AwayWRomaAtalanta;4.0;1.0;25.1;0.0;0;418.0;72.7;7;0;0;19.0;0.0;14.0;26.4;€329.50m;7
7;2022-10-02;18:00;Serie A;Matchweek 8;Sun;Home;W;1.0;0.0;Fiorentina;1.3;0.7;39.0;18265.0;Rafael Tolói;3-4-1-2;Massimiliano Irrati;Match Report;;Atalanta;2022-10-0218:00Serie AMatchweek 8HomeWFiorentinaAtalanta;10.0;5.0;15.5;1.0;0;374.0;74.3;2;0;0;12.0;2.0;4.0;26.4;€329.50m;14
8;2022-10-09;15:00;Serie A;Matchweek 9;Sun;Away;D;2.0;2.0;Udinese;2.1;1.0;41.0;24671.0;Marten de Roon;3-4-1-2;Daniele Doveri;Match Report;;Atalanta;2022-10-0915:00Serie AMatchweek 9AwayDUdineseAtalanta;8.0;4.0;18.5;2.0;1;384.0;76.0;3;0;0;12.0;1.0;9.0;26.4;€329.50m;7
9;2022-10-15;20:45;Serie A;Matchweek 10;Sat;Home;W;2.0;1.0;Sassuolo;2.5;0.8;48.0;17772.0;Marten de Roon;3-4-1-2;Matteo Marcenaro;Match Report;;Atalanta;2022-10-1520:45Serie AMatchweek 10HomeWSassuoloAtalanta;16.0;4.0;13.8;0.0;0;533.0;80.7;1;0;0;10.0;3.0;13.0;26.4;€329.50m;6
10;2022-10-23;18:00;Serie A;Matchweek 11;Sun;Home;L;0.0;2.0;Lazio;0.8;0.9;47.0;18988.0;Marten de Roon;3-4-1-2;Rosario Abisso;Match Report;;Atalanta;2022-10-2318:00Serie AMatchweek 11HomeLLazioAtalanta;7.0;0.0;14.1;0.0;0;537.0;81.0;4;1;1;15.0;1.0;7.0;26.4;€329.50m;8
11;2022-10-30;12:30;Serie A;Matchweek 12;Sun;Away;W;2.0;0.0;Empoli;3.0;0.8;47.0;8740.0;Rafael Tolói;3-5-2;Giovanni Ayroldi;Match Report;;Atalanta;2022-10-3012:30Serie AMatchweek 12AwayWEmpoliAtalanta;19.0;5.0;16.2;1.0;0;445.0;81.8;1;0;0;13.0;2.0;15.0;26.4;€329.50m;7
12;2022-11-05;18:00;Serie A;Matchweek 13;Sat;Home;L;1.0;2.0;Napoli;2.0;1.3;47.0;19363.0;Rafael Tolói;3-4-1-2;Maurizio Mariani;Match Report;;Atalanta;2022-11-0518:00Serie AMatchweek 13HomeLNapoliAtalanta;15.0;3.0;19.5;0.0;1;511.0;78.1;5;0;0;10.0;2.0;11.0;26.4;€329.50m;6
13;2022-11-09;18:30;Serie A;Matchweek 14;Wed;Away;L;1.0;2.0;Lecce;1.5;1.1;61.0;23797.0;Marten de Roon;3-4-3;Gianluca Aureliano;Match Report;;Atalanta;2022-11-0918:30Serie AMatchweek 14AwayLLecceAtalanta;12.0;4.0;19.3;0.0;0;579.0;75.3;2;0;0;12.0;2.0;13.0;26.4;€329.50m;4
