;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
26;2022-01-12;W;1;1;Home;1;54.0;24.5;3-4-3;7.0;;;7.0;11.0;317.77;3;1;3-4-3;Atalanta;reste;18.0;0;1;0;4.0;7.0;;22.0;Venezia;;
27;2022-01-16;D;0;1;Home;1;37.0;24.5;4-3-3;6.0;15.0;74.3;20.0;12.0;-159.79999999999995;4;1;3-5-2;Atalanta;reste;12.0;0;2;0;2.0;11.0;0.0;10.0;Internazionale;300.17199999999997;404.0
28;2022-01-22;D;0;1;Away;0;39.0;24.5;3-5-2;2.0;18.2;82.0;15.0;17.0;134.26999999999998;6;1;4-3-3;Atalanta;reste;6.0;0;3;0;0.0;9.0;0.0;10.0;Lazio;387.86;473.0
29;2022-02-06;L;0;0;Home;1;61.0;24.5;4-5-1;3.0;18.1;81.8;11.0;13.0;264.22;15;2;3-5-2;Atalanta;reste;10.0;0;1;1;5.0;7.0;2.0;14.0;Cagliari;516.976;632.0
30;2022-02-10;L;0;0;Home;1;49.0;24.5;3-5-2;2.0;;;8.0;11.0;72.94999999999999;4;2;4-3-3;Atalanta;reste;9.0;0;2;0;4.0;13.0;;9.0;Fiorentina;;
31;2022-02-13;D;0;1;Home;1;52.0;24.5;3-5-2;3.0;17.5;80.9;16.0;13.0;-243.75;3;2;4-3-3;Atalanta;reste;21.0;0;2;0;3.0;15.0;0.0;9.0;Juventus;456.27600000000007;564.0
32;2022-02-17;W;1;1;Home;1;72.0;24.5;3-4-3;5.0;15.2;82.1;8.0;9.0;;4;2;<NA>-<NA>-<NA>;Atalanta;reste;17.0;0;3;0;;;;;gr Olympiacos;578.805;705.0
33;2022-02-20;L;0;0;Away;0;50.0;24.5;3-5-2;1.0;18.9;79.0;11.0;20.0;72.94999999999999;3;2;4-3-3;Atalanta;reste;7.0;0;5;0;2.0;6.0;1.0;17.0;Fiorentina;372.09;471.0
34;2022-02-24;W;1;1;Away;0;47.0;24.5;3-4-3;4.0;19.5;77.7;9.0;17.0;;4;2;<NA>-<NA>-<NA>;Atalanta;reste;9.0;0;1;0;;;;;gr Olympiacos;376.06800000000004;484.0
35;2022-02-28;W;1;1;Home;1;56.0;24.5;4-5-1;9.0;16.6;84.3;17.0;16.0;270.2;4;2;3-5-2;Atalanta;reste;19.0;0;1;0;2.0;6.0;0.0;9.0;Sampdoria;547.95;650.0
36;2022-03-05;L;0;0;Away;0;65.0;24.5;4-5-1;4.0;15.6;83.5;7.0;16.0;17.5;5;3;3-5-2;Atalanta;reste;7.0;0;4;1;7.0;13.0;1.0;17.0;Roma;535.235;641.0
37;2022-03-10;W;1;1;Home;1;46.0;24.5;3-5-2;9.0;16.2;76.2;16.0;7.0;;5;3;<NA>-<NA>-<NA>;Atalanta;reste;18.0;0;1;0;;;;;de Leverkusen;413.76599999999996;543.0
38;2022-03-13;D;0;1;Home;1;58.0;24.5;3-5-2;2.0;15.1;71.4;14.0;13.0;277.47;3;3;4-5-1;Atalanta;reste;11.0;0;2;0;0.0;13.0;1.0;18.0;Genoa;444.108;622.0
39;2022-03-17;W;1;1;Away;0;37.0;24.5;3-4-3;3.0;18.1;71.1;20.0;12.0;;4;3;<NA>-<NA>-<NA>;Atalanta;reste;13.0;0;0;0;;;;;de Leverkusen;280.13399999999996;394.0
40;2022-03-20;W;1;1;Away;0;40.0;24.5;3-4-3;2.0;17.8;69.4;23.0;12.0;212.55;3;3;3-4-3;Atalanta;reste;15.0;0;1;0;0.0;12.0;0.0;9.0;Bologna;274.824;396.0
