;Result;Date;Venue;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;value;opp_Formation;opp_value;Mois
694;D;2021-12-02;Home;41.0;24.8;3-4-3;3.0;15.5;75.0;10.0;9.0;223.4;4-3-1-2;126.5;12
695;D;2021-12-06;Away;51.0;24.8;3-4-3;3.0;14.7;69.6;10.0;24.0;223.4;3-5-2;134.53;12
696;W;2021-12-12;Home;49.0;24.8;3-4-3;7.0;19.5;74.1;2.0;16.0;223.4;3-4-3;186.2;12
697;L;2021-12-16;Away;65.0;24.8;3-4-3;4.0;;;9.0;15.0;223.4;4-4-1-1;128.55;12
698;W;2021-12-19;Home;66.0;24.8;3-4-3;1.0;17.8;80.2;5.0;15.0;223.4;;;12
699;L;2021-12-22;Away;46.0;24.8;3-4-3;3.0;20.9;75.4;12.0;17.0;223.4;;;12
700;W;2022-01-10;Home;45.0;24.8;3-4-3;6.0;14.0;73.8;10.0;16.0;223.4;4-3-3;325.8;01
701;W;2022-01-15;Away;63.0;24.8;3-4-3;12.0;17.7;77.3;10.0;14.0;223.4;4-2-3-1;128.55;01
702;D;2022-01-23;Home;50.0;24.8;3-4-3;6.0;15.9;76.0;6.0;21.0;223.4;4-3-3;251.0;01
703;L;2022-02-06;Away;59.0;24.8;3-4-3;1.0;17.2;75.0;10.0;21.0;223.4;3-5-2;142.3;02
704;L;2022-02-12;Home;66.0;24.8;3-4-3;2.0;17.1;76.0;9.0;14.0;223.4;4-3-1-2;80.98;02
705;D;2022-02-18;Away;54.0;24.8;3-4-3;3.0;16.8;77.4;8.0;19.0;223.4;4-3-2-1;642.5;02
706;L;2022-02-27;Home;56.0;24.8;3-4-3;6.0;19.1;67.8;9.0;16.0;223.4;3-5-2;134.53;02
707;D;2022-03-06;Away;49.0;24.8;3-4-3;2.0;19.8;70.0;10.0;16.0;223.4;3-4-3;186.2;03
708;D;2022-03-13;Home;44.0;24.8;3-4-3;4.0;13.6;75.5;12.0;15.0;223.4;;;03
709;L;2022-03-18;Away;74.0;24.8;3-4-3;3.0;11.1;85.6;12.0;17.0;223.4;4-2-3-1;121.28;03
710;W;2022-04-02;Away;46.0;24.8;3-4-3;4.0;18.4;73.2;20.0;21.0;223.4;3-4-3;70.56;04
711;D;2022-04-10;Home;44.0;24.8;3-4-3;3.0;19.5;72.6;12.0;18.0;223.4;4-2-3-1;546.95;04
712;D;2022-04-16;Away;52.0;24.8;3-4-3;3.0;13.1;86.6;11.0;12.0;223.4;4-3-3;264.48;04
713;W;2022-04-23;Home;55.0;24.8;3-4-3;5.0;15.6;80.2;12.0;9.0;223.4;5-4-1;78.5;04
714;D;2022-04-27;Away;51.0;24.8;3-4-3;2.0;23.9;78.5;12.0;11.0;223.4;3-4-3;398.75;04
715;W;2022-05-01;Away;60.0;24.8;3-4-3;1.0;20.9;80.0;10.0;11.0;223.4;4-3-1-2;126.5;05
716;L;2022-05-07;Home;43.0;24.8;3-4-3;3.0;21.5;77.3;4.0;18.0;223.4;4-2-3-1;477.23;05
717;W;2022-05-14;Away;53.0;24.8;3-4-3;5.0;16.7;74.7;10.0;18.0;223.4;;;05
718;L;2022-05-20;Home;58.0;24.8;3-4-3;2.0;19.9;83.5;6.0;10.0;223.4;3-4-3;381.25;05
719;W;2021-08-13;Home;53.0;25.0;3-5-2;8.0;;;11.0;14.0;142.3;;;08
720;D;2021-08-22;Home;44.0;25.0;3-5-1-1;5.0;18.3;81.9;8.0;13.0;142.3;4-4-2;642.5;08
721;W;2021-08-27;Home;45.0;25.0;3-5-1-1;10.0;17.3;77.5;13.0;11.0;142.3;4-3-3;80.98;08
722;W;2021-09-12;Away;44.0;25.0;3-5-2;4.0;19.8;81.7;10.0;14.0;142.3;4-3-3;78.5;09
723;L;2021-09-20;Home;38.0;25.0;3-5-2;1.0;26.3;85.3;8.0;10.0;142.3;4-3-3;477.23;09
724;L;2021-09-23;Away;49.0;25.0;3-5-2;2.0;16.8;81.6;13.0;8.0;142.3;4-2-3-1;381.25;09
725;L;2021-09-26;Home;46.0;25.0;3-5-2;5.0;19.4;83.8;4.0;14.0;142.3;4-3-3;325.8;09
726;D;2021-10-03;Away;46.0;25.0;3-5-2;7.0;14.8;76.2;9.0;15.0;142.3;4-4-2;128.55;10
727;D;2021-10-17;Home;41.0;25.0;3-5-2;2.0;14.9;78.3;7.0;15.0;142.3;3-4-3;186.2;10
728;D;2021-10-24;Away;32.0;25.0;5-4-1;3.0;15.7;71.5;14.0;15.0;142.3;3-4-3;398.75;10
729;D;2021-10-27;Home;34.0;25.0;3-4-3;5.0;17.7;65.2;11.0;13.0;142.3;;;10
730;L;2021-10-31;Away;34.0;25.0;3-4-3;5.0;19.9;76.0;10.0;11.0;142.3;;;10
731;W;2021-11-07;Home;37.0;25.0;4-4-2;2.0;22.9;74.0;19.0;14.0;142.3;4-3-3;251.0;11
732;L;2021-11-22;Away;49.0;25.0;3-4-3;7.0;18.0;75.1;5.0;17.0;142.3;3-4-3;223.4;11
733;D;2021-11-28;Home;44.0;25.0;3-4-3;3.0;18.5;74.5;7.0;18.0;142.3;3-5-2;121.28;11
734;D;2021-12-02;Away;38.0;25.0;4-4-2;5.0;17.1;78.2;9.0;11.0;142.3;4-3-3;264.48;12
735;L;2021-12-06;Away;42.0;25.0;4-4-2;7.0;16.9;78.6;10.0;18.0;142.3;4-3-1-2;126.5;12
736;D;2021-12-11;Home;34.0;25.0;3-5-2;6.0;15.0;70.9;12.0;17.0;142.3;4-2-3-1;546.95;12
737;W;2021-12-14;Home;55.0;25.0;3-5-2;7.0;;;10.0;14.0;142.3;;;12
738;W;2021-12-18;Away;45.0;25.0;3-5-2;5.0;20.7;78.6;5.0;14.0;142.3;3-5-2;134.53;12
739;L;2022-01-09;Home;40.0;25.0;5-4-1;4.0;19.8;76.5;6.0;9.0;142.3;3-4-3;398.75;01
740;L;2022-01-15;Away;34.0;25.0;3-5-2;3.0;19.9;77.6;10.0;10.0;142.3;4-4-2;642.5;01
741;L;2022-01-18;Away;35.0;25.0;3-5-2;3.0;;;16.0;14.0;142.3;4-3-3;264.48;01
742;D;2022-01-22;Away;49.0;25.0;3-5-2;0.0;11.9;57.9;6.0;17.0;142.3;4-3-3;121.28;01
743;W;2022-02-06;Home;41.0;25.0;3-5-2;2.0;23.6;62.8;9.0;12.0;142.3;3-4-3;223.4;02
744;L;2022-02-13;Away;57.0;25.0;3-5-2;6.0;19.1;73.5;14.0;7.0;142.3;;;02
745;D;2022-02-20;Home;41.0;25.0;3-5-2;2.0;18.5;80.7;7.0;22.0;142.3;4-3-3;264.48;02
746;D;2022-02-25;Away;38.0;25.0;3-5-2;6.0;14.1;75.2;10.0;17.0;142.3;4-2-3-1;546.95;02
747;W;2022-03-05;Home;43.0;25.0;3-5-2;5.0;15.3;69.3;12.0;20.0;142.3;4-1-2-1-2◆;128.55;03
748;D;2022-03-13;Home;37.0;25.0;3-5-2;5.0;19.9;74.5;13.0;16.0;142.3;3-5-2;381.25;03
749;L;2022-03-19;Away;37.0;25.0;3-5-2;3.0;20.5;74.4;6.0;12.0;142.3;4-3-3;477.23;03
750;W;2022-04-03;Home;51.0;25.0;3-5-2;11.0;15.0;82.8;10.0;19.0;142.3;3-5-1-1;134.53;04
751;W;2022-04-10;Away;48.0;25.0;3-5-2;4.0;15.3;70.1;9.0;11.0;142.3;4-3-2-1;80.98;04
752;W;2022-04-16;Home;40.0;25.0;3-5-2;5.0;18.3;73.8;16.0;19.0;142.3;4-3-1-2;126.5;04
753;L;2022-04-20;Home;54.0;25.0;3-5-2;3.0;18.2;71.9;5.0;20.0;142.3;3-5-2;70.56;04
754;D;2022-04-24;Away;45.0;25.0;3-5-2;5.0;17.0;77.9;7.0;22.0;142.3;3-5-2;186.2;04
755;W;2022-04-27;Away;28.0;25.0;3-5-2;8.0;13.9;62.9;4.0;22.0;142.3;4-3-3;325.8;04
756;L;2022-05-01;Home;48.0;25.0;3-5-2;3.0;19.8;83.4;8.0;12.0;142.3;;;05
757;D;2022-05-07;Away;41.0;25.0;3-5-2;6.0;14.9;78.7;5.0;18.0;142.3;4-3-3;251.0;05
758;L;2022-05-14;Home;61.0;25.0;3-5-2;6.0;14.9;82.8;13.0;19.0;142.3;4-2-3-1;78.5;05
759;W;2022-05-22;Away;47.0;25.0;3-5-2;10.0;21.4;81.5;7.0;12.0;142.3;3-5-2;70.56;05
760;W;2021-08-14;Home;60.0;25.0;3-4-1-2;4.0;;;9.0;14.0;134.53;;;08
761;D;2021-08-23;Home;58.0;25.0;3-4-3;7.0;15.0;77.8;11.0;17.0;134.53;3-4-3;78.5;08
762;L;2021-08-29;Away;43.0;25.0;3-5-2;2.0;13.2;84.4;4.0;11.0;134.53;4-2-3-1;546.95;08
763;L;2021-09-12;Home;52.0;25.0;3-5-2;2.0;17.5;80.9;4.0;15.0;134.53;3-5-2;121.28;09
764;D;2021-09-19;Away;27.0;25.0;3-5-2;3.0;16.0;65.3;19.0;11.0;134.53;4-3-3;264.48;09
765;L;2021-09-22;Home;50.0;25.0;3-5-2;1.0;17.0;75.8;9.0;15.0;134.53;4-3-1-2;126.5;09
766;L;2021-09-26;Away;33.0;25.0;4-2-3-1;1.0;22.3;77.4;14.0;10.0;134.53;4-3-3;477.23;09
767;D;2021-10-01;Home;42.0;25.0;3-5-2;3.0;23.7;77.0;9.0;15.0;134.53;4-4-2;80.98;10
768;W;2021-10-17;Home;41.0;25.0;4-4-2;5.0;18.6;66.1;4.0;14.0;134.53;4-4-1-1;128.55;10
769;L;2021-10-24;Away;35.0;25.0;4-4-2;1.0;21.7;74.5;11.0;15.0;134.53;4-3-3;325.8;10
770;L;2021-10-27;Home;42.0;25.0;3-5-2;5.0;15.2;73.3;9.0;16.0;134.53;4-2-3-1;381.25;10
771;L;2021-11-01;Away;43.0;25.0;5-3-2;2.0;23.2;82.3;7.0;9.0;134.53;3-4-3;186.2;11
772;L;2021-11-06;Home;38.0;25.0;4-4-2;1.0;17.4;73.1;15.0;11.0;134.53;3-4-3;398.75;11
773;D;2021-11-21;Away;41.0;25.0;4-2-3-1;3.0;16.4;75.0;8.0;10.0;134.53;4-3-3;251.0;11
774;D;2021-11-26;Home;57.0;25.0;3-5-2;3.0;15.8;78.9;6.0;13.0;134.53;4-3-1-2;70.56;11
775;D;2021-11-30;Away;31.0;25.0;3-5-2;4.0;21.1;58.2;10.0;12.0;134.53;;;11
776;D;2021-12-06;Home;49.0;25.0;3-5-2;2.0;15.3;66.0;9.0;12.0;134.53;3-4-3;223.4;12
777;L;2021-12-12;Away;25.0;25.0;3-5-2;2.0;18.4;73.0;8.0;13.0;134.53;;;12
778;W;2021-12-15;Home;52.0;25.0;3-5-2;7.0;;;6.0;13.0;134.53;;;12
779;L;2021-12-18;Home;55.0;25.0;3-5-2;2.0;18.4;80.8;12.0;12.0;134.53;3-5-2;142.3;12
780;L;2021-12-21;Away;37.0;25.0;5-3-2;1.0;11.4;73.5;10.0;12.0;134.53;4-3-3;642.5;12
781;W;2022-01-06;Away;51.0;25.0;3-5-2;7.0;15.4;76.3;6.0;17.0;134.53;4-4-2;128.55;01
782;W;2022-01-11;Home;52.0;25.0;3-5-2;4.0;16.5;73.1;17.0;12.0;134.53;3-1-4-2;186.2;01
783;L;2022-01-16;Away;43.0;25.0;3-5-2;2.0;18.6;72.3;12.0;18.0;134.53;4-2-3-1;381.25;01
784;L;2022-01-19;Away;46.0;25.0;3-5-2;3.0;;;10.0;13.0;134.53;4-2-3-1;251.0;01
785;D;2022-01-23;Home;41.0;25.0;3-5-2;1.0;14.4;65.0;9.0;21.0;134.53;4-3-3;325.8;01
786;W;2022-02-06;Away;39.0;25.0;3-1-4-2;4.0;17.7;74.0;12.0;14.0;134.53;4-2-3-1;398.75;02
787;D;2022-02-13;Away;54.0;25.0;3-1-4-2;4.0;18.5;71.3;11.0;14.0;134.53;4-3-1-2;126.5;02
788;D;2022-02-21;Home;47.0;25.0;3-5-2;5.0;12.7;69.2;11.0;17.0;134.53;3-4-3;477.23;02
789;W;2022-02-27;Away;44.0;25.0;3-5-2;5.0;12.9;57.3;9.0;20.0;134.53;3-4-3;223.4;02
790;L;2022-03-05;Home;45.0;25.0;3-4-1-2;3.0;20.1;73.9;23.0;10.0;134.53;4-3-3;264.48;03
791;L;2022-03-12;Away;57.0;25.0;3-4-1-2;1.0;20.0;70.5;14.0;18.0;134.53;4-3-3;78.5;03
792;L;2022-03-19;Home;42.0;25.0;3-1-4-2;1.0;16.4;65.8;16.0;13.0;134.53;4-2-3-1;546.95;03
793;L;2022-04-03;Away;49.0;25.0;3-5-1-1;3.0;19.0;76.9;13.0;15.0;134.53;3-5-2;142.3;04
794;L;2022-04-09;Home;40.0;25.0;3-5-2;1.0;24.9;67.4;8.0;19.0;134.53;4-4-2;642.5;04
795;W;2022-04-16;Home;37.0;25.0;3-5-2;8.0;18.0;64.1;15.0;16.0;134.53;4-2-3-1;251.0;04
796;L;2022-04-24;Away;45.0;25.0;3-5-2;1.0;16.8;51.4;16.0;18.0;134.53;4-2-3-1;121.28;04
797;L;2022-04-30;Home;59.0;25.0;3-5-2;5.0;16.8;72.1;5.0;16.0;134.53;;;04
798;D;2022-05-08;Away;52.0;25.0;3-5-2;3.0;15.9;76.4;6.0;17.0;134.53;3-5-1-1;70.56;05
799;L;2022-05-15;Home;38.0;25.0;4-3-1-2;2.0;19.6;76.9;9.0;12.0;134.53;;;05
800;D;2022-05-22;Away;56.0;25.0;3-5-2;7.0;17.0;78.3;6.0;19.0;134.53;3-5-2;80.98;05
801;W;2021-08-13;Home;51.0;26.1;3-5-2;8.0;;;12.0;14.0;121.28;;;08
802;L;2021-08-21;Away;40.0;26.1;3-4-1-2;4.0;20.7;84.5;15.0;7.0;121.28;;;08
803;L;2021-08-29;Home;39.0;26.1;3-5-2;3.0;15.2;76.1;19.0;17.0;121.28;4-3-3;477.23;08
804;W;2021-09-12;Away;48.0;26.1;3-5-2;3.0;18.2;80.7;6.0;15.0;121.28;3-5-2;134.53;09
805;L;2021-09-18;Home;36.0;26.1;4-2-3-1;2.0;25.8;78.5;12.0;13.0;121.28;4-3-3;325.8;09
806;D;2021-09-21;Away;40.0;26.1;4-2-3-1;5.0;19.9;73.5;7.0;15.0;121.28;4-2-3-1;186.2;09
807;D;2021-09-25;Home;49.0;26.1;4-2-3-1;2.0;22.7;74.1;14.0;13.0;121.28;;;09
808;L;2021-10-02;Away;51.0;26.1;3-5-2;3.0;17.1;77.0;11.0;17.0;121.28;4-1-2-1-2◆;70.56;10
809;D;2021-10-17;Home;43.0;26.1;3-5-2;4.0;15.3;72.7;11.0;11.0;121.28;4-2-3-1;251.0;10
810;L;2021-10-22;Away;42.0;26.1;4-4-1-1;4.0;17.0;63.6;7.0;19.0;121.28;3-4-3;223.4;10
811;D;2021-10-26;Away;52.0;26.1;4-1-4-1;1.0;21.7;72.8;10.0;16.0;121.28;4-2-3-1;78.5;10
812;D;2021-10-31;Home;63.0;26.1;4-3-1-2;4.0;22.0;74.3;9.0;14.0;121.28;4-3-3;80.98;10
813;D;2021-11-05;Away;47.0;26.1;3-4-1-2;6.0;19.4;72.9;20.0;21.0;121.28;4-3-1-2;126.5;11
814;L;2021-11-21;Home;41.0;26.1;3-5-2;1.0;16.0;81.7;13.0;13.0;121.28;3-1-4-2;381.25;11
815;D;2021-11-28;Away;56.0;26.1;3-5-2;2.0;23.2;80.5;8.0;11.0;121.28;3-4-3;142.3;11
816;L;2021-12-01;Home;42.0;26.1;3-5-2;3.0;23.4;82.3;16.0;11.0;121.28;4-2-3-1;546.95;12
817;L;2021-12-05;Away;30.0;26.1;3-5-2;0.0;;72.6;9.0;7.0;121.28;4-2-3-1;642.5;12
818;L;2021-12-10;Home;53.0;26.1;3-5-2;2.0;16.6;72.5;14.0;15.0;121.28;4-4-2;128.55;12
819;W;2021-12-14;Home;56.0;26.1;3-5-2;5.0;;;9.0;14.0;121.28;5-3-2;70.56;12
820;L;2021-12-17;Away;45.0;26.1;3-5-2;2.0;18.3;83.8;15.0;8.0;121.28;4-3-3;264.48;12
821;D;2021-12-21;Home;33.0;26.1;3-5-2;0.0;17.4;56.6;19.0;13.0;121.28;3-4-3;398.75;12
822;D;2022-01-06;Away;26.0;26.1;3-5-2;1.0;14.2;67.3;20.0;11.0;121.28;4-2-3-1;251.0;01
823;L;2022-01-09;Home;53.0;26.1;3-5-2;2.0;17.3;79.1;6.0;17.0;121.28;4-3-3;78.5;01
824;L;2022-01-13;Away;39.0;26.1;4-3-3;4.0;;;17.0;21.0;121.28;4-2-3-1;546.95;01
825;L;2022-01-17;Away;27.0;26.1;4-3-1-2;0.0;32.2;74.1;14.0;11.0;121.28;4-3-3;325.8;01
826;D;2022-01-22;Home;51.0;26.1;4-3-3;3.0;13.5;57.3;7.0;27.0;121.28;3-5-2;142.3;01
827;D;2022-02-05;Away;38.0;26.1;4-2-3-1;3.0;15.6;56.0;11.0;23.0;121.28;3-4-1-2;381.25;02
828;D;2022-02-13;Home;51.0;26.1;4-2-3-1;5.0;18.0;67.2;9.0;18.0;121.28;4-3-2-1;70.56;02
829;D;2022-02-20;Away;53.0;26.1;4-3-1-2;2.0;15.1;63.9;9.0;16.0;121.28;3-4-3;80.98;02
830;D;2022-02-25;Home;28.0;26.1;4-2-3-1;1.0;15.1;53.6;17.0;11.0;121.28;;;02
831;D;2022-03-06;Home;52.0;26.1;4-2-3-1;6.0;15.9;68.9;10.0;15.0;121.28;4-3-2-1;126.5;03
832;D;2022-03-13;Away;42.0;26.1;4-2-3-1;3.0;23.6;64.1;21.0;18.0;121.28;3-4-1-2;398.75;03
833;W;2022-03-18;Home;26.0;26.1;4-2-3-1;2.0;22.1;57.8;3.0;13.0;121.28;3-4-3;223.4;03
834;L;2022-04-04;Away;52.0;26.1;4-2-3-1;4.0;17.9;60.1;12.0;15.0;121.28;;;04
835;L;2022-04-10;Home;43.0;26.1;4-2-3-1;4.0;19.0;76.3;11.0;7.0;121.28;4-3-2-1;264.48;04
836;L;2022-04-15;Away;41.0;26.1;4-3-2-1;1.0;22.4;72.1;3.0;19.0;121.28;4-3-3;546.95;04
837;W;2022-04-24;Home;55.0;26.1;4-2-3-1;2.0;17.5;56.9;6.0;21.0;121.28;3-5-2;134.53;04
838;L;2022-04-30;Away;51.0;26.1;4-2-3-1;3.0;16.6;65.1;12.0;23.0;121.28;4-1-4-1;128.55;04
839;W;2022-05-06;Home;46.0;26.1;4-2-3-1;5.0;17.6;78.0;12.0;13.0;121.28;4-3-3;642.5;05
840;L;2022-05-15;Away;34.0;26.1;4-2-3-1;3.0;22.0;75.9;14.0;15.0;121.28;4-2-3-1;477.23;05
841;L;2022-05-21;Home;50.0;26.1;4-2-3-1;5.0;20.5;71.9;17.0;17.0;121.28;3-5-2;186.2;05
842;D;2021-08-15;Home;60.0;24.7;4-3-3;3.0;;;13.0;14.0;80.98;;;08
843;L;2021-08-22;Away;44.0;24.7;4-3-3;4.0;17.1;87.1;10.0;22.0;80.98;4-3-3;477.23;08
844;L;2021-08-27;Away;55.0;24.7;4-3-3;3.0;17.2;82.5;9.0;8.0;80.98;3-5-1-1;142.3;08
845;W;2021-09-11;Away;32.0;24.7;4-3-3;3.0;15.9;70.9;7.0;21.0;80.98;4-1-3-2;126.5;09
846;L;2021-09-19;Home;45.0;24.7;4-4-2;3.0;19.0;75.0;11.0;13.0;80.98;4-2-3-1;78.5;09
847;L;2021-09-22;Away;34.0;24.7;4-3-3;2.0;21.0;74.0;17.0;13.0;80.98;4-2-3-1;546.95;09
848;D;2021-09-27;Home;44.0;24.7;4-4-2;0.0;17.7;72.5;5.0;9.0;80.98;3-4-3;223.4;09
849;D;2021-10-01;Away;58.0;24.7;4-4-2;4.0;18.3;80.7;9.0;19.0;80.98;3-5-2;134.53;10
850;W;2021-10-18;Home;39.0;24.7;4-3-2-1;2.0;14.1;73.6;9.0;17.0;80.98;4-3-3;325.8;10
851;L;2021-10-23;Away;37.0;24.7;4-4-2;2.0;17.1;78.4;5.0;15.0;80.98;4-2-3-1;251.0;10
852;L;2021-10-26;Home;45.0;24.7;4-3-3;4.0;18.3;79.1;10.0;17.0;80.98;4-3-3;70.56;10
853;D;2021-10-31;Away;37.0;24.7;4-3-3;2.0;13.7;71.3;9.0;13.0;80.98;4-3-1-2;121.28;10
854;W;2021-11-07;Home;39.0;24.7;4-3-3;6.0;16.4;75.9;10.0;12.0;80.98;3-4-1-2;381.25;11
855;W;2021-11-21;Away;33.0;24.7;4-3-1-2;6.0;20.1;79.2;16.0;9.0;80.98;3-4-3;186.2;11
856;L;2021-11-27;Home;44.0;24.7;4-3-2-1;1.0;25.4;82.8;9.0;9.0;80.98;;;11
857;L;2021-11-30;Away;42.0;24.7;4-3-1-2;4.0;22.0;79.5;10.0;9.0;80.98;3-4-3;398.75;11
858;L;2021-12-05;Home;44.0;24.7;4-3-3;5.0;17.1;71.0;15.0;13.0;80.98;;;12
859;D;2021-12-11;Home;40.0;24.7;4-3-1-2;4.0;23.4;75.1;16.0;20.0;80.98;4-2-3-1;642.5;12
860;W;2021-12-14;Home;56.0;24.7;4-3-2-1;11.0;;;12.0;18.0;80.98;;;12
861;D;2021-12-19;Away;51.0;24.7;4-3-3;1.0;15.4;73.3;11.0;17.0;80.98;4-3-1-2;128.55;12
862;L;2021-12-22;Home;47.0;24.7;4-3-2-1;2.0;13.0;85.5;14.0;11.0;80.98;4-3-3;264.48;12
863;L;2022-01-09;Home;39.0;24.7;4-3-2-1;3.0;21.2;79.1;5.0;11.0;80.98;4-2-3-1;546.95;01
864;L;2022-01-12;Away;46.0;24.7;3-4-3;2.0;;;15.0;22.0;80.98;3-4-3;398.75;01
865;D;2022-01-16;Home;50.0;24.7;4-3-2-1;3.0;18.2;76.2;5.0;13.0;80.98;4-3-2-1;126.5;01
866;L;2022-01-22;Away;30.0;24.7;3-5-2;3.0;17.7;72.3;14.0;9.0;80.98;;;01
867;L;2022-02-06;Home;34.0;24.7;4-3-3;3.0;18.8;77.1;17.0;12.0;80.98;4-2-3-1;477.23;02
868;W;2022-02-12;Away;34.0;24.7;4-3-1-2;2.0;15.4;52.8;8.0;12.0;80.98;3-4-3;223.4;02
869;D;2022-02-20;Home;47.0;24.7;3-4-3;4.0;22.4;57.2;12.0;14.0;80.98;4-3-1-2;121.28;02
870;L;2022-02-27;Away;44.0;24.7;3-4-1-2;3.0;11.8;62.4;15.0;10.0;80.98;;;02
871;L;2022-03-06;Home;45.0;24.7;4-3-1-2;4.0;15.2;77.9;9.0;18.0;80.98;4-2-3-1;251.0;03
872;L;2022-03-14;Away;34.0;24.7;4-3-2-1;2.0;22.1;80.7;10.0;13.0;80.98;4-3-3;264.48;03
873;L;2022-03-20;Home;46.0;24.7;4-2-3-1;1.0;13.0;72.7;9.0;28.0;80.98;4-3-1-2;128.55;03
874;L;2022-04-02;Away;48.0;24.7;4-3-3;3.0;22.0;74.0;10.0;12.0;80.98;4-3-3;78.5;04
875;L;2022-04-10;Home;52.0;24.7;4-3-2-1;4.0;14.4;74.9;7.0;15.0;80.98;3-5-2;142.3;04
876;L;2022-04-16;Away;31.0;24.7;4-3-3;1.0;19.9;70.7;12.0;17.0;80.98;4-3-3;325.8;04
877;L;2022-04-23;Home;40.0;24.7;4-3-3;2.0;17.3;76.3;14.0;12.0;80.98;3-4-1-2;398.75;04
878;L;2022-05-01;Away;50.0;24.7;3-4-3;3.0;21.0;80.8;5.0;12.0;80.98;3-5-2;642.5;05
879;L;2022-05-05;Away;58.0;24.7;3-4-3;4.0;15.0;74.9;8.0;17.0;80.98;3-5-2;70.56;05
880;W;2022-05-08;Home;40.0;24.7;3-4-3;7.0;19.3;74.8;9.0;10.0;80.98;3-5-2;186.2;05
881;D;2022-05-14;Away;31.0;24.7;5-3-2;2.0;25.7;69.3;14.0;14.0;80.98;3-4-1-2;381.25;05
882;D;2022-05-22;Home;44.0;24.7;3-5-2;1.0;19.8;72.2;3.0;6.0;80.98;3-5-2;134.53;05
