;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
16;Joachim Andersen;DF;Crystal Palace;25;34.0;32;2916.0;32.4;0.0;3.0;4.0;0.0;e34fc66d;Joachim AndersenDFCrystal Palace;8;3;37.5;1911.0;2351.0;81.3;33.0;30.0;23;59.3;29.0;19.0;10.0;37;67.0;125.0;3.0;2614.0;77.8;8.0;8.0;19;1;8;53.8;;;;;
17;Michail Antonio;FW;West Ham;31;36.0;34;2971.0;33.0;10.0;8.0;8.0;1.0;ac05f970;Michail AntonioFWWest Ham;82;27;32.9;438.0;702.0;62.4;97.0;23.0;17;38.9;19.0;1.0;18.0;3;26.0;13.0;0.0;1095.0;53.8;136.0;72.0;50;13;63;41.4;;;;;
18;Cameron Archer;MF;Aston Villa;20;3.0;0;27.0;0.3;0.0;0.0;0.0;0.0;05e8ca6d;Cameron ArcherFWMFAston Villa;1;0;0.0;4.0;4.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;11.0;0.0;1.0;2.0;3;0;0;50.0;;;;;
19;Alphonse Areola;GK;West Ham;28;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;2f965a72;Alphonse AreolaGKWest Ham;0;0;;21.0;40.0;52.5;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;1.0;0.0;42.0;;0.0;0.0;0;0;0;;66.7;0.0;6.7;;
20;Adam Armstrong;FW;Southampton;24;23.0;17;1413.0;15.7;2.0;2.0;1.0;0.0;68c720b5;Adam ArmstrongFWSouthampton;47;14;29.8;229.0;324.0;70.7;36.0;10.0;4;0.0;13.0;1.0;12.0;3;13.0;6.0;0.0;493.0;38.1;45.0;13.0;13;2;18;36.1;;;;;
21;Stuart Armstrong;MF;Southampton;29;25.0;15;1473.0;16.4;2.0;0.0;1.0;0.0;97333cf5;Stuart ArmstrongMFSouthampton;38;9;23.7;590.0;744.0;79.3;54.0;27.0;19;39.1;10.0;1.0;9.0;8;35.0;15.0;0.0;946.0;50.0;40.0;27.0;11;1;35;21.4;;;;;
22;Kepa Arrizabalaga;GK;Chelsea;26;4.0;4;360.0;4.0;0.0;0.0;0.0;0.0;28d596a0;Kepa ArrizabalagaGKChelsea;0;0;;115.0;138.0;83.3;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;4.0;0.0;146.0;;0.0;0.0;0;0;0;100.0;84.6;50.0;4.5;;
23;Harrison Ashby;DF;West Ham;19;1.0;0;7.0;0.1;0.0;0.0;0.0;0.0;b391383a;Harrison AshbyDFWest Ham;0;0;;7.0;7.0;100.0;0.0;0.0;0;;1.0;0.0;1.0;1;1.0;1.0;0.0;9.0;;0.0;0.0;0;0;0;;;;;;
24;Pierre-Emerick Aubameyang;FW;Arsenal;32;14.0;12;1037.0;11.5;4.0;1.0;3.0;0.0;d5dd5f1f;Pierre-Emerick AubameyangFWArsenal;33;16;48.5;137.0;208.0;65.9;22.0;11.0;5;30.0;12.0;1.0;11.0;0;11.0;4.0;0.0;319.0;28.6;16.0;4.0;15;10;11;47.2;;;;;
25;Jordan Ayew;FW;Crystal Palace;29;31.0;23;2019.0;22.4;3.0;3.0;2.0;0.0;da052c14;Jordan AyewFWCrystal Palace;35;8;22.9;576.0;754.0;76.4;61.0;47.0;30;54.8;33.0;3.0;30.0;15;62.0;15.0;0.0;1087.0;47.9;84.0;77.0;38;2;74;35.6;;;;;
26;Luke Ayling;DF;Leeds United;29;26.0;26;2272.0;25.2;2.0;2.0;4.0;1.0;420d7c7d;Luke AylingDFLeeds United;19;3;15.8;1224.0;1592.0;76.9;33.0;74.0;42;52.6;46.0;25.0;21.0;28;102.0;52.0;1.0;1884.0;62.2;42.0;10.0;22;2;31;40.5;;;;;
27;César Azpilicueta;DF;Chelsea;31;27.0;24;2070.0;23.0;1.0;2.0;3.0;0.0;53cad200;César AzpilicuetaDFChelsea;11;4;36.4;1486.0;1787.0;83.2;48.0;51.0;28;45.7;32.0;9.0;23.0;23;74.0;65.0;1.0;2017.0;78.9;21.0;10.0;25;2;47;61.3;;;;;
28;Daniel Bachmann;GK;Watford;27;12.0;12;1080.0;12.0;0.0;0.0;0.0;0.0;1c0eea98;Daniel BachmannGKWatford;0;0;;216.0;364.0;59.3;0.0;0.0;0;;0.0;0.0;0.0;1;1.0;5.0;0.0;401.0;100.0;0.0;0.0;1;0;0;100.0;65.3;0.0;3.7;;
29;Leon Bailey;MF;Aston Villa;23;18.0;7;761.0;8.5;1.0;2.0;3.0;0.0;3a233281;Leon BaileyFWMFAston Villa;21;8;38.1;150.0;226.0;66.4;20.0;17.0;11;46.2;10.0;1.0;9.0;1;18.0;2.0;0.0;348.0;44.8;33.0;24.0;12;4;33;38.5;;;;;
30;Eric Bailly;DF;Manchester Utd;27;4.0;3;217.0;2.4;0.0;0.0;1.0;0.0;a1232f4e;Eric BaillyDFManchester Utd;0;0;;68.0;85.0;80.0;1.0;5.0;4;75.0;4.0;2.0;2.0;3;8.0;11.0;0.0;114.0;0.0;3.0;1.0;2;0;0;75.0;;;;;
31;Folarin Balogun;FW;Arsenal;20;2.0;1;70.0;0.8;0.0;0.0;0.0;0.0;31822f8c;Folarin BalogunFWArsenal;3;0;0.0;4.0;9.0;44.4;0.0;1.0;1;;1.0;0.0;1.0;0;1.0;1.0;0.0;22.0;0.0;4.0;0.0;0;1;0;25.0;;;;;
32;Patrick Bamford;FW;Leeds United;27;9.0;7;559.0;6.2;2.0;2.0;2.0;0.0;93feac6e;Patrick BamfordFWLeeds United;20;5;25.0;88.0;108.0;81.5;13.0;1.0;0;0.0;8.0;2.0;6.0;2;3.0;8.0;0.0;173.0;57.1;18.0;3.0;5;5;3;26.3;;;;;
33;Shandon Baptiste;MF;Brentford;23;22.0;9;910.0;10.1;1.0;0.0;2.0;1.0;2886c9b5;Shandon BaptisteMFBrentford;12;4;33.3;257.0;308.0;83.4;21.0;14.0;4;40.0;10.0;0.0;10.0;11;25.0;12.0;0.0;418.0;67.9;21.0;12.0;6;1;8;28.0;;;;;
34;Ross Barkley;MF;Chelsea;27;6.0;1;179.0;2.0;1.0;0.0;0.0;0.0;3a24769f;Ross BarkleyMFFWChelsea;9;4;44.4;106.0;128.0;82.8;18.0;0.0;0;0.0;1.0;0.0;1.0;1;1.0;0.0;0.0;153.0;87.5;3.0;7.0;2;0;7;75.0;;;;;
