;victoire;not_lose;home;Poss;age;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;CMP;Att
count;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0;759.0
mean;0.3715415019762846;0.6297760210803689;0.5006587615283268;50.02635046113307;25.14374176548076;4.176548089591567;17.87417654808959;78.20843214756256;9.61133069828722;13.325428194993412;0.6867193675889219;6.855072463768116;6.619235836627141;12.857707509881424;0.14492753623188406;2.3583662714097495;0.12121212121212122;2.476943346508564;12.82213438735178;0.6047430830039525;13.314888010540184;383.92340711462447;483.4967061923584
std;0.4835353758381305;0.48318296834824975;0.5003292723438841;10.02105125850396;0.9719874461617726;2.4699627068196994;3.013442587368281;6.94918666434078;3.949273096335444;3.876493539024129;251.7370271182543;3.9045433874734776;3.842025486308963;5.73222069570862;0.3946508610530817;1.3670280410951867;0.3574471284934124;1.5052005312470318;5.728117492075775;0.8068170342664839;3.8828052322529247;116.21248623855203;112.69923865239925
min;0.0;0.0;0.0;18.0;23.6;0.0;8.8;49.8;1.0;3.0;-571.94;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;100.098;201.0
25%;0.0;0.0;0.0;43.0;24.6;2.0;15.8;74.35;7.0;11.0;-162.82000000000005;4.0;3.0;9.0;0.0;1.0;0.0;1.0;9.0;0.0;11.0;299.0625;404.0
50%;0.0;1.0;1.0;50.0;25.0;4.0;17.7;79.0;9.0;13.0;2.050000000000012;6.0;5.0;12.0;0.0;2.0;0.0;2.0;12.0;0.0;13.0;369.852;471.0
75%;1.0;1.0;1.0;57.0;25.4;6.0;19.6;83.3;12.0;16.0;164.04500000000002;8.0;10.0;16.0;0.0;3.0;0.0;3.0;16.0;1.0;16.0;451.79650000000004;551.0
max;1.0;1.0;1.0;82.0;27.2;16.0;32.4;92.7;24.0;28.0;571.94;23.0;12.0;46.0;3.0;8.0;2.0;9.0;46.0;5.0;28.0;889.2;975.0
