Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Fabio Depaoli,DF,Hellas Verona,24,3,0,0,20,10,4,32,8,7,0,0,0,39,9,12,42.9,d97f2e8d
Fabio Depaoli,MFDF,Sampdoria,24,1,0,0,8,1,0,3,1,1,0,0,0,4,1,3,25.0,d97f2e8d
Mattia Destro,FW,Genoa,30,4,0,0,40,31,19,2,2,4,0,0,0,30,62,110,36.0,d7d32194
Gerard Deulofeu,FWMF,Udinese,27,9,0,0,25,31,33,166,9,6,2,0,0,93,2,17,10.5,39583cfd
Jacopo Dezi,MF,Venezia,29,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,100.0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,32,1,0,0,1,2,0,0,0,0,0,0,0,1,1,2,33.3,ef94dc2f
Federico Di Francesco,FWMF,Empoli,27,2,0,0,29,27,13,38,9,5,1,0,0,50,2,17,10.5,1fca9171
Giovanni Di Lorenzo,DF,Napoli,27,3,0,0,37,46,8,49,38,36,1,0,0,168,44,28,61.1,230a2fac
Francesco Di Mariano,FW,Venezia,25,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0.0,35a2557c
Francesco Di Tacchio,MF,Salernitana,31,3,0,0,24,24,0,7,22,7,0,0,1,85,15,17,46.9,b5c3ff9f
Amadou Diawara,MF,Roma,24,0,0,0,5,0,0,0,0,2,0,0,0,12,1,0,100.0,bf309d24
Brahim Díaz,MF,Milan,21,4,0,0,22,33,4,11,8,17,0,0,0,108,4,40,9.1,407feb71
Mitchell Dijks,DFFW,Bologna,28,2,0,0,10,10,0,28,3,6,0,0,0,44,9,4,69.2,0a3065c8
Federico Dimarco,DF,Inter,23,1,0,0,15,14,2,151,19,15,0,0,0,103,8,8,50.0,970b8574
Filippo Distefano,FW,Fiorentina,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2110f96c
Koffi Djidji,DF,Torino,28,6,1,1,25,7,1,17,34,29,0,3,0,113,45,41,52.3,933d3b51
Berat Djimsiti,DF,Atalanta,28,6,0,0,21,14,1,11,31,24,0,1,1,144,57,27,67.9,6eee05f1
Nicolás Domínguez,MF,Bologna,23,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5,20b3a502
Bartłomiej Drągowski,GK,Fiorentina,23,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,,085e71a7
Radu Drăgușin,DF,Sampdoria,19,1,0,0,6,5,1,4,10,3,0,0,0,49,14,7,66.7,620922ed
