Player,Pos,Squad,Age,Att,Succ,Succ%,Mis,Dis,-9999
Denis Bouanga,FWMF,Saint-Étienne,26,121,56,46.3,114,64,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,42,22,52.4,41,23,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,80,55,68.8,50,44,1001ae82
Sofiane Boufal,FWMF,Angers,27,198,91,46.0,110,75,b0c71810
Farid Boulaya,MFFW,Metz,28,32,19,59.4,25,24,a0791826
Ismaëlben Boura,DF,Lens,20,0,0,,0,0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,21,9,42.9,41,20,20e73fac
Redwan Bourles,MFFW,Lorient,18,0,0,,1,1,5c7895a0
Domagoj Bradarić,DF,Lille,21,5,2,40.0,5,4,8bbe2df5
Bilal Brahimi,MF,Nice,21,10,3,30.0,11,10,02bcaf8e
Bilal Brahimi,FW,Angers,21,20,11,55.0,16,12,02bcaf8e
Lilian Brassier,DF,Brest,21,16,5,31.3,20,4,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,4,1,25.0,9,2,f83c8d6c
Dylan Bronn,DF,Metz,26,8,6,75.0,9,5,edd81e2a
Osman Bukari,FWMF,Nantes,22,46,21,45.7,32,21,eab85789
Maxime Busi,DF,Reims,21,24,15,62.5,30,9,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,3,2,66.7,3,3,49712367
Marcin Bułka,GK,Nice,21,0,0,,0,0,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,11,7,63.6,3,9,148e136f
Jimmy Cabot,DF,Angers,27,107,45,42.1,60,21,46359159
Anthony Caci,DF,Strasbourg,24,41,23,56.1,32,17,0118c54c
Mathieu Cafaro,MFFW,Reims,24,3,0,0.0,4,1,2a657da0
Yannick Cahuzac,MF,Lens,36,2,1,50.0,2,1,677ee102
Marc-Aurèle Caillard,GK,Metz,27,0,0,,0,0,5ee6e943
Jens Cajuste,MFFW,Reims,21,18,9,50.0,6,6,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,1,1,100.0,8,1,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,0,0,,0,0,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,56,35,62.5,53,33,8577e60a
Mamadou Camara,FW,Troyes,20,0,0,,1,1,316e70c7
Eduardo Camavinga,MF,Rennes,18,2,0,0.0,3,1,7b9c2d84
Fali Candé,DF,Metz,23,22,7,31.8,18,9,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,30,16,53.3,31,18,79b2399c
Maxence Caqueret,MF,Lyon,21,58,37,63.8,50,26,f81ef10d
Irvin Cardona,FWMF,Brest,23,33,12,36.4,44,19,5e080f73
Igor Carioca,DF,Lorient,24,25,13,52.0,30,11,e3e32fbb
Moreto Cassamã,MF,Reims,23,23,10,43.5,18,9,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,8,7,87.5,6,5,e0f3a1f6
Zeki Çelik,DF,Lille,24,38,19,50.0,31,11,31a62dc7
Fabien Centonze,DF,Metz,25,56,29,51.8,36,14,3c6bbbab
Leonardo César Jardim,GK,Lille,26,,,,,,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,0,0,,0,0,2180c761
Nassim Chadli,MFDF,Troyes,20,8,4,50.0,11,2,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,0,0,,0,2,1787195f
Dylan Chambost,MFFW,Troyes,23,3,2,66.7,9,4,dbde4959
Brendan Chardonnet,DF,Brest,26,4,1,25.0,5,1,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,26,14,53.8,37,14,279ddf6a
Xavier Chavalerin,MF,Reims,30,2,2,100.0,1,1,279ddf6a
Rayan Cherki,FWMF,Lyon,17,37,17,45.9,16,11,b34c63a5
Pedro Chirivella,MF,Nantes,24,16,8,50.0,14,9,68a26d51
Joris Chotard,MF,Montpellier,19,21,8,38.1,30,5,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,8,3,37.5,5,5,741418c3
Jonathan Clauss,DF,Lens,28,60,29,48.3,47,13,5219ab4a
Marcus Coco,MFFW,Nantes,25,26,14,53.8,26,23,3010aefb
Abdu Conté,DF,Troyes,23,19,11,57.9,21,8,cfa49cc1
Sébastien Corchia,DF,Nantes,30,28,9,32.1,21,8,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,1,1,100.0,0,1,beb391dd
David Pereira da Costa,MFFW,Lens,20,37,24,64.9,29,24,59948ef7
Benoît Costil,GK,Bordeaux,34,0,0,,1,1,2434f24a
Kalifa Coulibaly,FW,Nantes,29,10,6,60.0,29,9,9980269a
Nicolas Cozza,DF,Montpellier,22,33,18,54.5,48,14,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,4,2,50.0,3,1,06f33dc8
Wylan Cyprien,MF,Nantes,26,21,15,71.4,15,17,3e092724
Lucas Da Cunha,MF,Nice,20,15,9,60.0,15,5,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,40,19,47.5,17,24,007faf7a
Damien Da Silva,DF,Lyon,33,2,1,50.0,6,0,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,4,2,50.0,1,3,29c02c9f
Flavius Daniliuc,DF,Nice,20,10,6,60.0,13,2,7ef972c3
Kevin Danso,DF,Lens,22,10,8,80.0,15,4,6e33125f
Dante,DF,Nice,37,7,6,85.7,13,1,fd2bc67d
Jonathan David,FW,Lille,21,54,26,48.1,95,36,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,37,21,56.8,17,21,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,3,2,66.7,1,1,0be95d34
Romain Del Castillo,MFFW,Brest,25,43,20,46.5,48,23,0be95d34
Thomas Delaine,DF,Metz,29,51,23,45.1,58,17,8332db56
Sacha Delaye,MFFW,Montpellier,19,3,3,100.0,7,3,e4448c8c
Andy Delort,FW,Nice,29,46,18,39.1,67,24,d33c706e
Andy Delort,FW,Montpellier,29,1,1,100.0,10,2,d33c706e
Moussa Dembélé,FW,Lyon,25,42,25,59.5,94,44,e7986081
Jason Denayer,DF,Lyon,26,2,2,100.0,3,1,47af88b8
Arthur Desmas,GK,Clermont Foot,27,0,0,,0,0,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,61,31,50.8,46,16,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,3,1,33.3,2,1,5630a6e0
Ibrahim Diakité,MF,Reims,17,0,0,,0,0,d8c19a60
Abdou Diallo,DF,Paris S-G,25,26,19,73.1,13,6,fc62f087
Habib Diallo,FW,Strasbourg,26,33,17,51.5,69,24,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,1,1,100.0,0,2,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,31,15,48.4,12,11,29939a1d
Krépin Diatta,MFDF,Monaco,22,7,6,85.7,9,3,8104e41e
Bamba Dieng,FW,Marseille,21,17,5,29.4,25,13,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,3,1,33.3,3,1,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,71,46,64.8,38,24,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,10,6,60.0,7,6,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,14,11,78.6,15,16,92b56413
Sinaly Diomande,DF,Lyon,20,2,1,50.0,5,0,6de23ab0
Sofiane Diop,MFFW,Monaco,21,83,46,55.4,71,34,19053e31
Andy Diouf,MF,Rennes,18,0,0,,1,1,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,0,0,,1,0,7f622eef
Axel Disasi,DF,Monaco,23,10,9,90.0,8,5,ad82197c
Tiago Djaló,DF,Lille,21,20,14,70.0,28,9,b2336681
Alexander Djiku,DF,Strasbourg,26,16,7,43.8,17,7,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,0,0,,1,1,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,0,0,,1,0,62124972
Jeremy Doku,FWMF,Rennes,19,52,36,69.2,28,19,fffea3e5
Kasper Dolberg,FW,Nice,23,21,11,52.4,53,18,cc83b74d
Brandon Domingues,MFFW,Troyes,21,6,2,33.3,5,2,2a00c6c0
Anastasios Donis,FWMF,Reims,24,18,7,38.9,10,7,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,1,1,100.0,0,0,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,74,39,52.7,70,41,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,0,0,,0,0,dff0c299
Cheick Doucouré,MF,Lens,21,32,23,71.9,36,29,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,2,2,100.0,0,0,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,0,0,,0,0,0512a60a
Kamory Doumbia,MFFW,Reims,18,10,6,60.0,18,8,9226aa22
Moussa Doumbia,FW,Reims,26,3,1,33.3,5,0,6481421d
Souleyman Doumbia,DFFW,Angers,24,86,45,52.3,53,24,9daeac61
Julian Draxler,FWMF,Paris S-G,27,16,10,62.5,6,7,1a992676
Matthieu Dreyer,GK,Lorient,32,0,0,,0,0,fbf83734
Leo Dubois,DF,Lyon,26,24,12,50.0,21,11,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,42,19,45.2,46,21,0cbc8baa
Enzo Ebosse,DF,Angers,22,15,9,60.0,21,2,9ba7b4fa
Hugo Ekitike,FW,Reims,19,47,23,48.9,66,22,5b92d896
Alberth Elis,FWMF,Bordeaux,25,45,16,35.6,54,31,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,24,9,37.5,53,15,0d7b6576
Renaud Emond,FWMF,Nantes,29,0,0,,4,0,5c9ac7f0
Maxime Estève,DF,Montpellier,19,3,2,66.7,12,2,1a066e69
Fábio,DF,Nantes,31,24,14,58.3,20,9,bc7b4580
Cesc Fàbregas,MF,Monaco,34,1,0,0.0,0,0,33508c78
Wout Faes,DF,Reims,23,9,7,77.8,21,4,9c221d14
Romain Faivre,FWMF,Lyon,23,41,22,53.7,24,11,745ca0a3
Romain Faivre,MF,Brest,23,89,43,48.3,59,31,745ca0a3
Wuilker Faríñez,GK,Lens,23,0,0,,1,0,2c127b6f
Noah Fatar,DFMF,Angers,19,0,0,,0,0,2693f6bc
Julien Faussurier,MFDF,Brest,34,8,1,12.5,9,2,767212e6
Jordan Ferri,MF,Montpellier,29,53,35,66.0,37,47,375622c5
Karol Fila,DF,Strasbourg,23,6,3,50.0,6,3,50ac8941
Alexis Flips,MFDF,Reims,21,28,13,46.4,33,14,caef7840
Mamadou Fofana,DF,Metz,23,0,0,,0,0,4c4ffacc
Seko Fofana,MF,Lens,26,123,79,64.2,86,50,5313ed43
Youssouf Fofana,MF,Monaco,22,62,40,64.5,38,33,822d51d7
Thomas Foket,DFFW,Reims,26,26,13,50.0,34,18,90eb507d
Thomas Fontaine,DF,Lorient,30,0,0,,1,0,9f90c06b
José Fonte,DF,Lille,37,5,4,80.0,18,2,90f87966
Steven Fortes,DF,Lens,29,2,1,50.0,1,1,574aa9ec
Przemysław Frankowski,DF,Lens,26,38,16,42.1,39,17,00a8d210
Fransérgio,MF,Bordeaux,30,11,5,45.5,20,10,deba6b05
Angelo Fulgini,MFFW,Angers,24,125,49,39.2,78,55,4b96c347
Gauthier Gallon,GK,Troyes,28,0,0,,1,0,db3164e1
Kévin Gameiro,FW,Strasbourg,34,38,17,44.7,61,38,42276181
Idrissa Gana Gueye,MF,Paris S-G,31,28,20,71.4,19,16,72c812f3
Ignatius Ganago,FW,Lens,22,20,11,55.0,43,21,23c63b7f
Djeidi Gassama,FW,Paris S-G,17,0,0,,0,0,bbdb2789
Johan Gastien,MF,Clermont Foot,33,21,13,61.9,24,20,868eaba0
Valère Germain,FW,Montpellier,31,7,2,28.6,29,19,ea0ff634
Gerson,MFFW,Marseille,24,47,30,63.8,41,31,8827bf46
Willem Geubbels,FWMF,Nantes,19,13,2,15.4,13,6,9836e892
Ismaël Gharbi,FW,Paris S-G,17,0,0,,0,0,5b3cfa12
Lamine Ghezali,DF,Saint-Étienne,22,0,0,,0,0,ce84946a
Nicholas Gioacchini,FWMF,Montpellier,21,16,6,37.5,23,10,79ab7593
Jimmy Giraudon,DF,Troyes,29,1,1,100.0,3,2,6ba71da5
Andrei Girotto,DFMF,Nantes,29,11,6,54.5,17,5,3befc2b6
Aleksandr Golovin,FWMF,Monaco,25,31,22,71.0,26,21,3708e9fa
Angel Gomes,MFFW,Lille,20,12,4,33.3,16,11,645a3363
Alfred Gomis,GK,Rennes,27,0,0,,2,0,cecbce23
Vagner Gonçalves,FW,Metz,25,4,3,75.0,5,1,743fd71f
Álvaro González,DF,Marseille,31,1,0,0.0,0,1,42dcf26d
Amine Gouiri,FWMF,Nice,21,121,62,51.2,68,56,aad56ca3
Lucas Gourna-Douath,MF,Saint-Étienne,17,29,17,58.6,32,23,3cd7820a
Jonathan Gradit,DF,Lens,28,21,16,76.2,15,9,06c48679
Andrew Gravillon,DF,Reims,23,11,5,45.5,25,9,49136c42
Adrian Grbić,FWMF,Lorient,24,5,1,20.0,12,4,4a987ffa
Ivo Grbić,GK,Lille,25,1,1,100.0,1,2,3f034750
Etienne Green,GK,Saint-Étienne,21,0,0,,1,0,667b65da
Gabriel Gudmundsson,DFMF,Lille,22,40,22,55.0,29,20,d5d22a58
Noah Guede-Nadje,MF,Angers,17,0,0,,0,0,94b442c0
Mattéo Guendouzi,MF,Marseille,22,51,30,58.8,59,44,5ea8ef20
Yanis Guermouche,MFFW,Montpellier,20,3,0,0.0,1,0,642f9f79
Evann Guessand,FW,Nice,20,21,12,57.1,20,6,b73f17f8
Lamine Gueye,FWMF,Metz,23,14,7,50.0,23,15,9d5dcc23
Pape Gueye,MF,Marseille,22,13,4,30.8,19,16,7155e3e1
Josuha Guilavogui,MFDF,Bordeaux,30,13,8,61.5,16,2,e6c43eec
Frederic Guilbert,DF,Strasbourg,26,61,32,52.5,39,21,5d8d7454
Bruno Guimarães,MF,Lyon,23,49,37,75.5,25,27,82518f62
Sehrou Guirassy,FW,Rennes,25,16,7,43.8,36,16,923f4dda
Malo Gusto,DF,Lyon,18,34,19,55.9,39,16,d56b9520
Massadio Haïdara,DF,Lens,28,8,3,37.5,10,7,5167c97e
Oualid El Hajjam,DF,Troyes,30,5,3,60.0,10,6,9f29c204
Achraf Hakimi,DF,Paris S-G,22,53,21,39.6,32,14,e42d61c7
Pierre-Yves Hamel,FWMF,Lorient,27,0,0,,0,1,a99da9ec
Pierre-Yves Hamel,FW,Clermont Foot,27,2,1,50.0,17,8,a99da9ec
Romain Hamouma,FWMF,Saint-Étienne,34,34,12,35.3,32,13,0b4d8274
Amine Harit,FWMF,Marseille,24,56,25,44.6,49,32,e7d59f4f
Henrique,DF,Lyon,27,17,10,58.8,13,8,f28474a4
Luis Henrique,FWMF,Marseille,19,18,7,38.9,22,9,f36d5624
Christophe Hérelle,DF,Brest,28,4,3,75.0,7,2,3681cfff
Jérôme Hergault,DF,Lorient,35,5,1,20.0,8,2,a84f9a4b
Ander Herrera,MF,Paris S-G,31,10,6,60.0,17,5,436a9dd0
Franck Honorat,FWMF,Brest,24,79,37,46.8,78,30,db7849ca
Fraser Hornby,FWMF,Reims,21,3,2,66.7,9,5,29aee77c
Cédric Hountondji,DF,Clermont Foot,27,0,0,,2,1,00891164
Suk Hyun-jun,FWMF,Troyes,30,7,4,57.1,5,4,7ffaf233
Mauro Icardi,FW,Paris S-G,28,9,2,22.2,14,9,43b78598
Jonathan Iglesias,MF,Clermont Foot,32,5,2,40.0,6,6,639ca1cf
Juan Ignacio Ramírez,FW,Saint-Étienne,24,2,1,50.0,1,1,ad513a6b
Danylo Ihnatenko,MF,Bordeaux,24,9,9,100.0,6,2,65bbfba3
Jonathan Ikone,MFFW,Lille,23,56,25,44.6,29,18,42eaa028
Bonke Innocent,MF,Lorient,25,7,5,71.4,10,6,546bb36e
Wilson Isidor,FWMF,Monaco,20,0,0,,2,0,a671316d
Ismail Jakobs,DFFW,Monaco,21,11,6,54.5,18,6,a0415710
Marin Jakoliš,FW,Angers,24,4,2,50.0,2,0,96f4ebc0
Abdel Jalil Medioub,DF,Bordeaux,23,3,3,100.0,3,1,4937a9f7
Corentin Jean,FWMF,Lens,26,3,1,33.3,9,4,7d9b37bf
Jemerson,DF,Metz,28,4,3,75.0,10,4,7cab69b5
Moritz Jenz,DF,Lorient,22,3,2,66.7,4,1,ee644761
Lenny Joseph,FWMF,Metz,20,2,1,50.0,4,6,d1828392
Issa Kaboré,DF,Troyes,20,89,47,52.8,59,25,c066d1a5
Tino Kadewere,FW,Lyon,25,11,8,72.7,18,7,7d08063d
Gaël Kakuta,MFFW,Lens,30,53,27,50.9,65,36,5b1bf5e3
Arnaud Kalimuendo,FW,Paris S-G,19,0,0,,0,0,bf4c41f9
Arnaud Kalimuendo,FW,Lens,19,61,27,44.3,80,62,bf4c41f9
Samuel Kalu,FWMF,Bordeaux,23,22,10,45.5,12,8,b8d22478
Boubacar Kamara,MFDF,Marseille,21,26,16,61.5,31,14,cc77354e
Hassane Kamara,MFDF,Nice,27,9,4,44.4,6,6,19a12bed
Jean-Armel Kana-Biyik,DF,Metz,32,3,1,33.3,1,1,76a4233b
Nordine Kandil,MFFW,Strasbourg,19,10,5,50.0,2,5,c5908bc4
Eiji Kawashima,GK,Strasbourg,38,0,0,,0,0,a4527d33
Ilan Kebbal,MFFW,Reims,23,53,29,54.7,54,38,37d04e90
Thilo Kehrer,DF,Paris S-G,24,6,2,33.3,6,11,51dbeea9
Habib Keita,MFFW,Lyon,19,0,0,,0,0,cc588cbe
Saîf-Eddine Khaoui,MFFW,Clermont Foot,26,17,12,70.6,23,13,796b1c41
Wahbi Khazri,FWMF,Saint-Étienne,30,68,33,48.5,79,48,2677a1de
Presnel Kimpembe,DF,Paris S-G,25,11,8,72.7,15,5,aef6e670
Thibault Klidje,MFFW,Bordeaux,20,6,4,66.7,3,3,db013c7d
Justin Kluivert,MF,Nice,22,80,41,51.3,50,35,4c3a6744
Samuel Koeberlé,FW,Reims,16,0,0,,0,0,6751b938
Philippe Koffi,FW,Reims,19,7,5,71.4,22,3,9f1c2822
Sead Kolašinac,DF,Marseille,28,1,0,0.0,15,2,3935e52e
Randal Kolo Muani,FWMF,Nantes,22,120,60,50.0,110,73,c0b3669f
Timothée Kolodziejczak,DF,Saint-Étienne,29,7,5,71.4,21,2,ab096c6f
Ghislain Konan,DF,Reims,25,82,39,47.6,44,20,6b2c894b
Ibrahima Koné,FW,Lorient,22,12,8,66.7,26,19,04bb2b06
Youssouf Koné,DF,Troyes,26,21,15,71.4,4,11,e6eadfb8
Laurent Koscielny,DF,Bordeaux,35,3,2,66.7,3,1,f5efb153
Rominigue Kouamé,MF,Troyes,24,92,64,69.6,49,32,86a2ba20
Boubakar Kouyaté,DF,Metz,24,11,6,54.5,29,5,562a4799
Jean-Philippe Krasso,FW,Saint-Étienne,24,24,15,62.5,27,14,037f2523
Mykola Kukharevych,FW,Troyes,20,0,0,,1,0,8197a269
Enock Kwateng,DF,Bordeaux,24,35,22,62.9,27,4,4bf69118
Grejohn Kyei,FW,Clermont Foot,25,9,7,77.8,25,9,397ba086
Gaëtan Laborde,FW,Montpellier,27,4,1,25.0,8,3,7cdda3bf
Gaëtan Laborde,FW,Rennes,27,34,10,29.4,92,21,7cdda3bf
Tom Lacoux,DFMF,Bordeaux,19,14,8,57.1,18,8,295ba708
Lenny Lacroix,DF,Metz,18,0,0,,1,1,5413ef36
Alban Lafont,GK,Nantes,22,0,0,,0,0,4e7db402
Mohamed Lamine Bayo,FW,Clermont Foot,23,55,29,52.7,59,37,01870104
Didier Lamkel Zé,FW,Metz,24,15,8,53.3,30,23,b229aa13
Julien Laporte,DF,Lorient,27,7,5,71.4,6,2,f066022d
Yasser Larouci,DF,Troyes,20,21,8,38.1,8,3,0ed063d6
Paul Lasne,MF,Brest,32,8,6,75.0,9,10,542cc80f
Armand Lauriente,FWMF,Lorient,22,92,44,47.8,98,52,2d22cea7
Théo Le Bris,MF,Lorient,18,0,0,,2,1,afe39ca8
Jérémy Le Douaron,FWMF,Brest,23,36,9,25.0,69,32,88c4d190
Enzo Le Fée,MFFW,Lorient,21,94,43,45.7,70,45,6f806d99
Vincent Le Goff,DF,Lorient,31,23,14,60.9,34,17,2321ea6e
Maxime Le Marchand,DF,Strasbourg,31,3,3,100.0,4,0,321a71a7
Jean-Louis Leca,GK,Lens,35,0,0,,0,0,edbe46dc
Félix Lemaréchal,MF,Monaco,17,2,2,100.0,0,0,8ca9415f
Mario Lemina,MF,Nice,27,36,27,75.0,21,14,2b471f99
Fabien Lemoine,MF,Lorient,34,12,8,66.7,9,8,54d51e22
Léo Leroy,MF,Montpellier,21,17,8,47.1,13,8,fcc84a07
Alexandre Letellier,GK,Paris S-G,30,0,0,,0,0,96fcd380
Yanis Lhery,FWMF,Saint-Étienne,18,1,1,100.0,1,1,cc972842
Dimitri Liénard,DFMF,Strasbourg,33,17,10,58.8,30,9,f7691f63
Isaac Lihadji,MFFW,Lille,19,15,7,46.7,9,11,57a46f3f
Pol Lirola,DFFW,Marseille,23,46,25,54.3,38,17,ff800ed8
Banzouzi Locko,MFDF,Reims,19,22,15,68.2,13,22,40221fa7
Anthony Lopes,GK,Lyon,30,0,0,,1,0,f00de885
Pau López,GK,Marseille,26,0,0,,1,0,20b9f052
