Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,2,2,25.0,2,0,2,1,3,3,0,8f5cdf66
Tammy Abraham,FW,Roma,25-176,12,7,25.0,10,4,6,3,15,10,0,f586779e
Christian Acella,MF,Cremonese,20-263,1,0,0.0,0,0,0,0,1,0,0,771a2cfe
Francesco Acerbi,DF,Inter,35-045,24,12,75.0,13,7,6,23,47,53,0,b96b595c
Yacine Adli,MFFW,Milan,22-241,6,3,100.0,2,0,2,1,7,1,0,26777636
Michel Aebischer,FWMF,Bologna,26-080,8,3,20.0,11,2,9,5,13,6,0,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,6,3,28.6,4,1,3,1,7,3,0,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,58,29,40.0,33,5,28,9,67,6,0,46fa7204
Ola Aina,DF,Torino,26-170,15,11,57.1,11,2,9,9,24,26,0,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,46,27,71.1,20,12,8,22,68,44,1,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,36,27,57.1,28,4,24,12,48,23,0,fdf4b948
Luis Alberto,MF,Lazio,30-180,26,13,27.3,23,5,18,6,32,2,0,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,5,2,33.3,4,1,3,3,8,3,0,ab472696
Kelvin Amian,DF,Spezia,25-047,37,22,80.0,21,8,13,18,55,51,1,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,1,1,50.0,1,0,1,0,1,4,0,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,37,25,61.5,17,8,9,17,54,37,1,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,51,29,43.3,32,13,19,26,77,61,0,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,28,17,54.2,22,5,17,19,47,15,2,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,51,33,38.0,38,4,34,16,67,16,0,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,1,0,100.0,0,0,0,0,1,0,0,38d9ce53
Marcos Antônio,MF,Lazio,22-287,5,4,50.0,2,0,2,3,8,11,0,108fe016
Valentin Antov,DF,Monza,22-138,5,4,33.3,4,3,1,0,5,7,1,8f68aa41
Marko Arnautović,FW,Bologna,33-342,8,5,20.0,9,1,8,2,10,8,0,00459419
Tolgay Arslan,MF,Udinese,32-223,20,11,34.8,12,0,12,7,27,9,0,963a328b
Arthur,FW,Fiorentina,24-336,7,2,57.1,6,0,6,0,7,6,0,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,29,14,40.0,14,2,12,13,42,11,0,e26fcca3
Kristoffer Askildsen,MF,Lecce,22-077,7,3,50.0,11,3,8,10,17,6,0,a69cc629
Kristjan Asllani,MF,Inter,21-018,7,4,100.0,2,0,2,1,8,3,0,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,0,0,0.0,0,0,0,0,0,7,1,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,13,10,50.0,17,7,10,8,21,39,1,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,10,4,100.0,5,4,1,5,15,26,1,2200181e
Jaime Báez,DF,Cremonese,27-336,4,2,50.0,0,0,0,0,4,2,1,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,8,4,66.7,5,0,5,7,15,4,0,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,4,1,40.0,4,1,3,4,8,2,0,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,3,3,100.0,0,0,0,0,3,0,0,59bf127b
Tommaso Baldanzi,MF,Empoli,20-004,18,9,21.7,12,1,11,2,20,4,0,102e2599
Fodé Ballo-Touré,DF,Milan,26-083,7,2,80.0,8,3,5,1,8,1,0,f449640d
Lameck Banda,FWMF,Lecce,22-057,23,14,34.5,20,2,18,3,26,2,0,8a6de8c7
Filippo Bandinelli,MF,Empoli,27-363,44,28,41.4,17,5,12,10,54,29,0,d44360be
Antonín Barák,MF,Hellas Verona,28-114,0,0,,0,0,0,0,0,0,0,01efac19
Antonín Barák,MF,Fiorentina,28-114,19,9,38.5,13,1,12,3,22,10,0,01efac19
Andrea Barberis,MF,Monza,29-106,6,2,44.4,0,0,0,8,14,1,0,32ebfe1e
Nicolò Barella,MF,Inter,26-048,32,18,48.6,21,4,17,9,41,9,0,6928979a
Enzo Barrenechea,MF,Juventus,21-309,8,3,60.0,2,0,2,2,10,2,0,6caffe81
Musa Barrow,FWMF,Bologna,24-133,13,2,71.4,15,1,14,1,14,4,0,e5bf73f3
Federico Baschirotto,DF,Lecce,26-188,25,19,61.5,30,20,10,30,55,144,0,5a08ee41
Toma Bašić,MF,Lazio,26-122,5,3,33.3,9,0,9,7,12,6,0,80556f08
