Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Jacob Ramsey,MF,Aston Villa,20,889,1045,85.1,1544f145
Raphinha,FWMF,Leeds United,24,824,1301,63.3,3423f250
Marcus Rashford,FWMF,Manchester Utd,23,304,424,71.7,a1d5bd30
Milot Rashica,FWMF,Norwich City,25,363,602,60.3,6c6a3300
David Raya,GK,Brentford,25,737,1085,67.9,98ea5115
Nathan Redmond,MFFW,Southampton,27,510,735,69.4,ab651565
Sergio Reguilón,DFMF,Tottenham,24,750,994,75.5,3353737a
Declan Rice,MF,West Ham,22,1986,2197,90.4,1c7012b8
Taylor Richards,MF,Brighton,20,21,27,77.8,e0243d23
Richarlison,FW,Everton,24,339,568,59.7,fa031b34
Jaïro Riedewald,MF,Crystal Palace,24,47,56,83.9,7a1f2c08
Matt Ritchie,DF,Newcastle Utd,31,510,714,71.4,71ef519e
Connor Roberts,DF,Burnley,25,579,863,67.1,24fae784
Tyler Roberts,MFFW,Leeds United,22,214,300,71.3,6c17e046
Andrew Robertson,DF,Liverpool,27,1885,2350,80.2,2e4f5f03
Joe Rodon,DF,Tottenham,23,29,35,82.9,8d62d31a
Rodri,MF,Manchester City,25,2640,2887,91.4,6434f10d
Rodrigo,MFFW,Leeds United,30,682,914,74.6,1fb1c435
Jay Rodriguez,FW,Burnley,32,185,313,59.1,4ab53cdb
Mads Roerslev,DF,Brentford,22,230,358,64.2,57c94db2
Cristian Romero,DF,Tottenham,23,1149,1325,86.7,a3d94a58
Oriol Romeu,MF,Southampton,29,1377,1691,81.4,4b511457
Cristiano Ronaldo,FW,Manchester Utd,36,726,904,80.3,dea698d9
Salomón Rondón,FW,Everton,31,117,193,60.6,b318a643
Danny Rose,DF,Watford,31,227,340,66.8,89d10e53
Jon Rowe,FWMF,Norwich City,18,48,72,66.7,8c12f884
John Ruddy,GK,Wolves,34,22,33,66.7,da8b19e2
Antonio Rüdiger,DF,Chelsea,28,2217,2534,87.5,18b896d6
Lukas Rupp,MF,Norwich City,30,322,391,82.4,3faa1780
José Sá,GK,Wolves,28,770,1109,69.4,903b6e8b
Allan Saint-Maximin,FWMF,Newcastle Utd,24,529,747,70.8,2b16cb1a
Romain Saïss,DF,Wolves,31,1437,1808,79.5,9fbbcf39
Bukayo Saka,FWMF,Arsenal,19,893,1196,74.7,bc7dc64d
