,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Mathieu Cafaro,MFFW,Reims,24,4,3,192,2.1,0,0,2,0,2a657da0
Yannick Cahuzac,MF,Lens,36,17,6,618,6.9,0,0,1,1,677ee102
Marc-Aurèle Caillard,GK,Metz,27,19,17,1542,17.1,0,0,1,0,5ee6e943
Jens Cajuste,MFFW,Reims,21,8,4,364,4.0,2,0,0,0,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,26,24,2057,22.9,2,0,6,0,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,1,0,4,0.0,0,0,0,0,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,35,34,3073,34.1,3,0,8,0,8577e60a
Mamadou Camara,FW,Troyes,20,3,0,40,0.4,0,0,0,0,316e70c7
Eduardo Camavinga,MF,Rennes,18,4,1,143,1.6,0,0,0,0,7b9c2d84
Fali Candé,DF,Metz,23,11,11,973,10.8,0,2,2,0,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,30,12,1193,13.3,0,1,1,0,79b2399c
Maxence Caqueret,MF,Lyon,21,31,26,2335,25.9,0,0,5,0,f81ef10d
Irvin Cardona,FWMF,Brest,23,32,13,1334,14.8,4,2,2,0,5e080f73
Igor Carioca,DF,Lorient,24,28,17,1578,17.5,0,0,3,0,e3e32fbb
Moreto Cassamã,MF,Reims,23,17,11,801,8.9,2,0,1,0,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,28,28,2510,27.9,1,0,8,0,e0f3a1f6
Zeki Çelik,DF,Lille,24,32,30,2696,30.0,2,3,10,0,31a62dc7
Fabien Centonze,DF,Metz,25,19,18,1586,17.6,4,1,3,0,3c6bbbab
Leonardo César Jardim,GK,Lille,26,17,17,1530,17.0,0,0,0,0,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,1,0,5,0.1,0,0,0,0,2180c761
Nassim Chadli,MFDF,Troyes,20,8,1,96,1.1,0,0,1,0,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,1,0,16,0.2,0,0,0,0,1787195f
Dylan Chambost,MFFW,Troyes,23,19,9,753,8.4,0,1,0,0,dbde4959
Brendan Chardonnet,DF,Brest,26,32,31,2686,29.8,3,0,6,1,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,34,31,2717,30.2,5,2,4,0,279ddf6a
Xavier Chavalerin,MF,Reims,30,3,2,220,2.4,0,0,0,0,279ddf6a
Rayan Cherki,FWMF,Lyon,17,16,3,440,4.9,0,1,1,0,b34c63a5
Pedro Chirivella,MF,Nantes,24,31,31,2637,29.3,3,1,6,0,68a26d51
Joris Chotard,MF,Montpellier,19,36,33,2935,32.6,1,1,5,0,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,10,0,209,2.3,0,2,1,0,741418c3
Jonathan Clauss,DF,Lens,28,37,35,3046,33.8,5,11,3,0,5219ab4a
Marcus Coco,MFFW,Nantes,25,24,9,930,10.3,1,1,3,1,3010aefb
Abdu Conté,DF,Troyes,23,17,17,1347,15.0,0,1,2,0,cfa49cc1
Sébastien Corchia,DF,Nantes,30,28,13,1324,14.7,0,3,0,1,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,1,1,63,0.7,0,0,2,1,beb391dd
David Pereira da Costa,MFFW,Lens,20,33,16,1464,16.3,3,5,2,0,59948ef7
Benoît Costil,GK,Bordeaux,34,25,25,2250,25.0,0,0,1,0,2434f24a
Kalifa Coulibaly,FW,Nantes,29,21,9,850,9.4,5,0,1,0,9980269a
Nicolas Cozza,DF,Montpellier,22,34,32,2770,30.8,2,2,2,1,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,4,0,102,1.1,0,0,0,0,06f33dc8
Wylan Cyprien,MF,Nantes,26,24,17,1490,16.6,2,3,3,0,3e092724
Lucas Da Cunha,MF,Nice,20,10,5,393,4.4,0,1,0,0,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,15,11,836,9.3,2,0,0,0,007faf7a
Damien Da Silva,DF,Lyon,33,17,13,1126,12.5,0,0,5,1,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,3,2,165,1.8,0,0,1,0,29c02c9f
Flavius Daniliuc,DF,Nice,20,24,14,1293,14.4,0,0,4,0,7ef972c3
Kevin Danso,DF,Lens,22,33,32,2790,31.0,2,2,9,2,6e33125f
Dante,DF,Nice,37,34,33,2870,31.9,0,0,7,3,fd2bc67d
Jonathan David,FW,Lille,21,38,32,2804,31.2,15,0,3,0,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,16,9,785,8.7,0,2,1,0,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,3,0,28,0.3,0,0,0,0,0be95d34
Romain Del Castillo,MFFW,Brest,25,19,13,975,10.8,0,6,1,1,0be95d34
Thomas Delaine,DF,Metz,29,29,26,2316,25.7,1,2,4,0,8332db56
Sacha Delaye,MFFW,Montpellier,19,11,3,262,2.9,0,1,0,0,e4448c8c
Andy Delort,FW,Nice,29,32,26,2448,27.2,16,2,3,0,d33c706e
Andy Delort,FW,Montpellier,29,3,3,269,3.0,2,1,0,0,d33c706e
Moussa Dembélé,FW,Lyon,25,30,25,2207,24.5,21,4,6,0,e7986081
Jason Denayer,DF,Lyon,26,15,12,1002,11.1,3,0,2,0,47af88b8
Arthur Desmas,GK,Clermont Foot,27,15,15,1304,14.5,0,0,0,0,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,26,19,1645,18.3,5,7,2,0,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,5,0,67,0.7,0,0,1,1,5630a6e0
Ibrahim Diakité,MF,Reims,17,1,0,4,0.0,0,0,0,0,d8c19a60
Abdou Diallo,DF,Paris S-G,25,12,10,877,9.7,0,1,1,0,fc62f087
Habib Diallo,FW,Strasbourg,26,31,16,1541,17.1,11,1,2,0,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,4,1,109,1.2,0,0,1,0,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,15,5,525,5.8,0,0,2,0,29939a1d
Krépin Diatta,MFDF,Monaco,22,8,3,285,3.2,1,0,0,0,8104e41e
Bamba Dieng,FW,Marseille,21,25,11,975,10.8,7,1,0,1,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,5,0,34,0.4,0,0,0,0,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,32,19,1732,19.2,2,6,3,0,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,10,4,316,3.5,0,0,2,0,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,25,12,1077,12.0,2,4,3,0,92b56413
Sinaly Diomande,DF,Lyon,20,11,5,579,6.4,0,0,2,0,6de23ab0
Sofiane Diop,MFFW,Monaco,21,30,24,1948,21.6,6,4,6,0,19053e31
Andy Diouf,MF,Rennes,18,5,0,14,0.2,0,0,0,0,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,4,0,23,0.3,0,0,0,0,7f622eef
Axel Disasi,DF,Monaco,23,32,30,2721,30.2,1,0,5,0,ad82197c
Tiago Djaló,DF,Lille,21,28,26,2329,25.9,1,1,4,0,b2336681
Alexander Djiku,DF,Strasbourg,26,31,30,2694,29.9,1,0,10,1,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,2,0,57,0.6,0,0,0,0,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,24,23,2116,23.5,0,0,1,0,62124972
Jeremy Doku,FWMF,Rennes,19,14,4,469,5.2,1,2,2,0,fffea3e5
Kasper Dolberg,FW,Nice,23,26,19,1492,16.6,6,2,0,0,cc83b74d
Brandon Domingues,MFFW,Troyes,21,11,1,231,2.6,1,0,0,0,2a00c6c0
Anastasios Donis,FWMF,Reims,24,13,3,370,4.1,0,0,0,1,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,17,17,1530,17.0,0,0,3,0,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,35,23,2008,22.3,3,1,4,0,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,2,0,6,0.1,0,0,0,0,dff0c299
Cheick Doucouré,MF,Lens,21,34,33,2946,32.7,1,4,7,1,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,3,1,154,1.7,0,0,0,0,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,1,0,17,0.2,0,0,0,0,0512a60a
Kamory Doumbia,MFFW,Reims,18,8,2,352,3.9,2,1,1,0,9226aa22
Moussa Doumbia,FW,Reims,26,4,0,86,1.0,0,0,0,0,6481421d
Souleyman Doumbia,DFFW,Angers,24,27,27,2219,24.7,0,1,10,1,9daeac61
Julian Draxler,FWMF,Paris S-G,27,18,5,548,6.1,2,1,0,0,1a992676
Matthieu Dreyer,GK,Lorient,32,16,16,1440,16.0,0,0,0,0,fbf83734
Leo Dubois,DF,Lyon,26,23,20,1742,19.4,0,0,5,0,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,37,33,3007,33.4,1,3,1,0,0cbc8baa
Enzo Ebosse,DF,Angers,22,27,21,1890,21.0,0,0,1,0,9ba7b4fa
Hugo Ekitike,FW,Reims,19,24,15,1273,14.1,10,3,1,1,5b92d896
Alberth Elis,FWMF,Bordeaux,25,20,16,1409,15.7,9,1,2,0,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,33,21,1786,19.8,10,1,2,0,0d7b6576
Renaud Emond,FWMF,Nantes,29,6,2,190,2.1,0,0,0,0,5c9ac7f0
Maxime Estève,DF,Montpellier,19,24,20,1857,20.6,0,0,2,0,1a066e69
Fábio,DF,Nantes,31,27,21,1667,18.5,0,2,8,1,bc7b4580
Cesc Fàbregas,MF,Monaco,34,2,0,38,0.4,0,0,0,0,33508c78
Wout Faes,DF,Reims,23,37,37,3330,37.0,4,0,2,0,9c221d14
Romain Faivre,FWMF,Lyon,23,14,9,889,9.9,3,0,0,0,745ca0a3
Romain Faivre,MF,Brest,23,21,20,1795,19.9,7,5,1,0,745ca0a3
Wuilker Faríñez,GK,Lens,23,13,11,1105,12.3,0,0,0,0,2c127b6f
Noah Fatar,DFMF,Angers,19,3,0,5,0.1,0,0,0,0,2693f6bc
Julien Faussurier,MFDF,Brest,34,16,4,489,5.4,0,1,1,0,767212e6
Jordan Ferri,MF,Montpellier,29,34,33,2911,32.3,0,2,13,1,375622c5
Karol Fila,DF,Strasbourg,23,16,7,560,6.2,0,0,3,0,50ac8941
Alexis Flips,MFDF,Reims,21,25,13,1056,11.7,2,4,2,0,caef7840
Mamadou Fofana,DF,Metz,23,1,0,33,0.4,0,0,0,0,4c4ffacc
Seko Fofana,MF,Lens,26,38,38,3357,37.3,8,1,2,0,5313ed43
Youssouf Fofana,MF,Monaco,22,33,23,2190,24.3,0,4,4,0,822d51d7
Thomas Foket,DFFW,Reims,26,29,26,2235,24.8,1,0,5,0,90eb507d
Thomas Fontaine,DF,Lorient,30,2,2,167,1.9,0,0,1,0,9f90c06b
José Fonte,DF,Lille,37,38,38,3420,38.0,0,2,4,0,90f87966
Steven Fortes,DF,Lens,29,1,1,90,1.0,0,0,0,0,574aa9ec
Przemysław Frankowski,DF,Lens,26,37,28,2448,27.2,6,5,5,0,00a8d210
Fransérgio,MF,Bordeaux,30,26,14,1258,14.0,0,1,7,0,deba6b05
Angelo Fulgini,MFFW,Angers,24,36,35,2929,32.5,5,4,6,0,4b96c347
Gauthier Gallon,GK,Troyes,28,31,31,2790,31.0,0,0,2,0,db3164e1
Kévin Gameiro,FW,Strasbourg,34,35,28,2385,26.5,11,3,0,0,42276181
Idrissa Gana Gueye,MF,Paris S-G,31,26,18,1641,18.2,3,1,4,0,72c812f3
Ignatius Ganago,FW,Lens,22,28,11,1024,11.4,5,1,2,0,23c63b7f
Djeidi Gassama,FW,Paris S-G,17,1,0,2,0.0,0,0,0,0,bbdb2789
Johan Gastien,MF,Clermont Foot,33,32,32,2746,30.5,0,1,8,2,868eaba0
Valère Germain,FW,Montpellier,31,34,22,1970,21.9,4,3,3,0,ea0ff634
Gerson,MFFW,Marseille,24,35,29,2544,28.3,9,4,3,0,8827bf46
Willem Geubbels,FWMF,Nantes,19,22,4,544,6.0,2,1,1,0,9836e892
Ismaël Gharbi,FW,Paris S-G,17,1,0,2,0.0,0,0,0,0,5b3cfa12
Lamine Ghezali,DF,Saint-Étienne,22,1,0,1,0.0,0,0,0,0,ce84946a
Nicholas Gioacchini,FWMF,Montpellier,21,28,3,497,5.5,0,2,0,0,79ab7593
Jimmy Giraudon,DF,Troyes,29,19,18,1619,18.0,0,0,5,1,6ba71da5
Andrei Girotto,DFMF,Nantes,29,36,36,3146,35.0,6,1,8,0,3befc2b6
Aleksandr Golovin,FWMF,Monaco,25,27,17,1502,16.7,3,4,4,1,3708e9fa
Angel Gomes,MFFW,Lille,20,24,12,954,10.6,1,1,3,0,645a3363
Alfred Gomis,GK,Rennes,27,25,25,2250,25.0,0,0,1,0,cecbce23
Vagner Gonçalves,FW,Metz,25,3,0,86,1.0,0,0,1,0,743fd71f
Álvaro González,DF,Marseille,31,6,5,451,5.0,0,0,1,0,42dcf26d
Amine Gouiri,FWMF,Nice,21,38,32,2754,30.6,10,9,3,0,aad56ca3
Lucas Gourna-Douath,MF,Saint-Étienne,17,31,20,1804,20.0,1,0,7,0,3cd7820a
Jonathan Gradit,DF,Lens,28,35,35,3067,34.1,0,0,7,0,06c48679
Andrew Gravillon,DF,Reims,23,26,24,2135,23.7,0,0,9,2,49136c42
Adrian Grbić,FWMF,Lorient,24,16,4,518,5.8,1,0,0,0,4a987ffa
Ivo Grbić,GK,Lille,25,21,21,1890,21.0,0,0,3,0,3f034750
Etienne Green,GK,Saint-Étienne,21,15,15,1197,13.3,0,0,1,1,667b65da
Gabriel Gudmundsson,DFMF,Lille,22,30,15,1344,14.9,1,0,3,0,d5d22a58
Noah Guede-Nadje,MF,Angers,17,1,0,3,0.0,0,0,0,0,94b442c0
Mattéo Guendouzi,MF,Marseille,22,38,35,3152,35.0,4,6,6,0,5ea8ef20
Yanis Guermouche,MFFW,Montpellier,20,3,0,11,0.1,0,0,0,0,642f9f79
Evann Guessand,FW,Nice,20,20,2,438,4.9,1,2,3,0,b73f17f8
Lamine Gueye,FWMF,Metz,23,14,7,555,6.2,0,3,0,0,9d5dcc23
Pape Gueye,MF,Marseille,22,28,17,1528,17.0,0,1,7,0,7155e3e1
Josuha Guilavogui,MFDF,Bordeaux,30,15,15,1331,14.8,1,1,4,0,e6c43eec
Frederic Guilbert,DF,Strasbourg,26,33,28,2516,28.0,0,4,4,0,5d8d7454
Bruno Guimarães,MF,Lyon,23,20,19,1634,18.2,0,3,2,0,82518f62
Sehrou Guirassy,FW,Rennes,25,37,7,1016,11.3,9,0,1,0,923f4dda
Malo Gusto,DF,Lyon,18,30,21,1884,20.9,0,4,3,0,d56b9520
Massadio Haïdara,DF,Lens,28,20,12,1076,12.0,1,1,5,1,5167c97e
Oualid El Hajjam,DF,Troyes,30,19,12,1072,11.9,1,1,2,0,9f29c204
Achraf Hakimi,DF,Paris S-G,22,32,28,2479,27.5,4,6,3,1,e42d61c7
Pierre-Yves Hamel,FWMF,Lorient,27,3,0,30,0.3,0,0,1,0,a99da9ec
Pierre-Yves Hamel,FW,Clermont Foot,27,17,6,523,5.8,0,0,2,0,a99da9ec
Romain Hamouma,FWMF,Saint-Étienne,34,22,7,886,9.8,2,1,2,0,0b4d8274
Amine Harit,FWMF,Marseille,24,23,12,1165,12.9,4,4,1,0,e7d59f4f
Henrique,DF,Lyon,27,18,12,1105,12.3,0,1,3,0,f28474a4
Luis Henrique,FWMF,Marseille,19,20,7,699,7.8,0,1,0,0,f36d5624
Christophe Hérelle,DF,Brest,28,23,23,1932,21.5,0,0,6,0,3681cfff
Jérôme Hergault,DF,Lorient,35,8,5,352,3.9,0,0,2,2,a84f9a4b
Ander Herrera,MF,Paris S-G,31,19,12,1091,12.1,3,2,2,0,436a9dd0
Franck Honorat,FWMF,Brest,24,34,34,2899,32.2,11,4,3,0,db7849ca
Fraser Hornby,FWMF,Reims,21,8,4,350,3.9,0,0,1,0,29aee77c
Cédric Hountondji,DF,Clermont Foot,27,23,23,2034,22.6,1,0,2,0,00891164
Suk Hyun-jun,FWMF,Troyes,30,9,0,153,1.7,0,0,0,0,7ffaf233
Mauro Icardi,FW,Paris S-G,28,24,10,1027,11.4,4,0,1,0,43b78598
Jonathan Iglesias,MF,Clermont Foot,32,15,5,579,6.4,0,0,0,0,639ca1cf
Juan Ignacio Ramírez,FW,Saint-Étienne,24,5,1,126,1.4,0,0,0,0,ad513a6b
Danylo Ihnatenko,MF,Bordeaux,24,11,7,692,7.7,0,3,3,1,65bbfba3
Jonathan Ikone,MFFW,Lille,23,18,13,1062,11.8,1,0,1,0,42eaa028
Bonke Innocent,MF,Lorient,25,12,11,874,9.7,0,0,4,0,546bb36e
Wilson Isidor,FWMF,Monaco,20,4,0,50,0.6,0,0,0,0,a671316d
Ismail Jakobs,DFFW,Monaco,21,28,10,1203,13.4,0,1,1,0,a0415710
Marin Jakoliš,FW,Angers,24,10,2,229,2.5,0,0,0,0,96f4ebc0
Abdel Jalil Medioub,DF,Bordeaux,23,10,6,622,6.9,0,0,0,0,4937a9f7
Corentin Jean,FWMF,Lens,26,17,1,255,2.8,1,0,2,0,7d9b37bf
Jemerson,DF,Metz,28,15,15,1202,13.4,0,0,3,2,7cab69b5
Moritz Jenz,DF,Lorient,22,17,16,1381,15.3,1,0,5,1,ee644761
Lenny Joseph,FWMF,Metz,20,8,0,153,1.7,0,0,1,0,d1828392
Issa Kaboré,DF,Troyes,20,31,26,2254,25.0,0,1,8,2,c066d1a5
Tino Kadewere,FW,Lyon,25,15,3,506,5.6,1,0,0,1,7d08063d
Gaël Kakuta,MFFW,Lens,30,29,20,1673,18.6,3,2,1,0,5b1bf5e3
Arnaud Kalimuendo,FW,Paris S-G,19,2,0,8,0.1,0,0,0,0,bf4c41f9
