Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Samuele Vignato,FWMF,Monza,19-031,11,13,84.6,a14d0ab0
Tonny Vilhena,MF,Salernitana,28-083,450,591,76.1,c7069d87
Gonzalo Villar,MF,Sampdoria,25-004,317,381,83.2,bdc74a8f
Matías Viña,DF,Roma,25-138,22,30,73.3,08eb3b58
Dušan Vlahović,FW,Juventus,23-058,218,303,71.9,79443529
Nikola Vlašić,MFFW,Torino,25-174,554,698,79.4,aa8e289e
Joel Voelkerling Persson,FW,Lecce,20-071,15,21,71.4,b3ef6517
Mërgim Vojvoda,DF,Torino,28-054,599,783,76.5,be2706c0
Cristian Volpato,MF,Roma,19-132,73,94,77.7,72f87f25
Lukáš Vorlický,MFFW,Atalanta,21-068,19,31,61.3,f052fb01
Aster Vranckx,MF,Milan,20-174,21,36,58.3,f86cd5df
Stefan de Vrij,DF,Inter,31-050,696,786,88.5,d0d8dd44
Walace,MF,Udinese,27-357,1057,1285,82.3,26db8853
Sebastian Walukiewicz,DF,Empoli,22-356,71,83,85.5,217875a4
Georginio Wijnaldum,MF,Roma,32-136,89,104,85.6,eb58eef0
Harry Winks,MF,Sampdoria,27-053,406,507,80.1,2f7acede
Przemysław Wiśniewski,DF,Spezia,24-243,27,42,64.3,1bfe5ac9
Gerard Yepes,MF,Sampdoria,20-214,77,105,73.3,ee9040b4
Mattia Zaccagni,FW,Lazio,27-284,539,676,79.7,d85c238b
Denis Zakaria,MF,Juventus,26-127,32,38,84.2,384d58d9
Nicola Zalewski,DF,Roma,21-063,592,797,74.3,45191c29
Andre-Frank Zambo Anguissa,MF,Napoli,27-131,1313,1495,87.8,6bb2c084
Luca Zanimacchia,MFFW,Cremonese,24-251,213,312,68.3,5e834dce
Nicolò Zaniolo,MFFW,Roma,23-268,125,196,63.8,9907b1c8
Alessandro Zanoli,DF,Sampdoria,22-175,207,293,70.6,3b12b11f
Alessandro Zanoli,DF,Napoli,22-175,9,11,81.8,3b12b11f
Mattia Zanotti,DF,Inter,20-075,1,1,100.0,875d65d1
Duván Zapata,FW,Atalanta,31-360,180,273,65.9,d3de9af0
Davide Zappacosta,DFMF,Atalanta,30-289,339,405,83.7,7fe90ccd
Karim Zedadka,DF,Napoli,22-291,2,2,100.0,2f45300d
Deyovaisio Zeefuik,DF,Hellas Verona,25-016,5,7,71.4,58a2e9f6
Marvin Zeegelaar,DF,Udinese,32-227,3,3,100.0,8abd0c03
Alessio Zerbin,FWMF,Napoli,24-024,13,24,54.2,d19ef4ef
Piotr Zieliński,MF,Napoli,28-311,892,1085,82.2,a5296e55
David Zima,DF,Torino,22-139,154,197,78.2,acf7e795
Joshua Zirkzee,FW,Bologna,21-309,119,157,75.8,028e70b9
Jeroen Zoet,GK,Spezia,32-080,34,65,52.3,cc1a0c57
Nadir Zortea,DFMF,Atalanta,23-281,60,98,61.2,82598b71
Nadir Zortea,DF,Sassuolo,23-281,231,296,78.0,82598b71
Petar Zovko,GK,Spezia,21-002,22,36,61.1,54f6afe3
Szymon Żurkowski,MF,Fiorentina,25-183,17,19,89.5,4e1d5e59
Szymon Żurkowski,MF,Spezia,25-183,31,39,79.5,4e1d5e59
Milan Đurić,FW,Hellas Verona,32-309,165,307,53.7,405f6586
Filip Đuričić,MFFW,Sampdoria,31-056,423,554,76.4,eccbe56a
