Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Gastón Brugman,MF,Parma,27,35,19,25.0,33,4,29,45,80,34,0,e947ee4a
Juan Brunetta,FWMF,Parma,23,2,2,16.7,5,0,5,1,3,2,0,d60099bc
Gianluigi Buffon,GK,Juventus,42,0,0,,0,0,0,0,0,3,1,e40d028b
Alessandro Buongiorno,DF,Torino,21,12,5,58.3,15,9,6,11,23,44,1,4ae67f27
Maxime Busi,DF,Parma,20,23,13,39.3,14,1,13,16,39,32,0,7b082ec2
Martín Cáceres,DF,Fiorentina,33,28,12,42.9,20,14,6,14,42,52,1,e94d79e3
Felipe Caicedo,FW,Lazio,31,10,7,12.5,7,0,7,4,14,2,0,93b891d1
Arturo Calabresi,DFFW,Bologna,24,0,0,,0,0,0,0,0,2,0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,0,0,0.0,0,0,0,0,0,0,0,34bb6fbd
Davide Calabria,DF,Milan,23,101,64,60.0,42,9,33,37,138,82,1,2146785a
Riccardo Calafiori,DF,Roma,18,1,0,25.0,1,0,1,0,1,0,0,aded8e6f
Mattia Caldara,DF,Atalanta,26,1,0,100.0,3,2,1,4,5,3,0,ac7e640b
Luca Caldirola,DF,Benevento,29,21,13,45.5,20,15,5,20,41,56,0,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,26,7,25.0,21,6,15,15,41,24,1,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,6,4,66.7,9,2,7,3,9,3,0,22ca11f1
José Callejón,FWMF,Fiorentina,33,10,7,55.6,4,1,3,4,14,5,0,78841da9
Drissa Camara,MF,Parma,18,0,0,,0,0,0,0,0,0,0,543d9d2b
Antonio Candreva,MF,Sampdoria,33,28,19,39.6,24,3,21,9,37,27,1,356c9002
Elio Capradossi,DF,Spezia,24,2,1,100.0,0,0,0,1,3,5,0,174944a3
Gianluca Caprari,MFFW,Benevento,27,16,11,19.4,19,1,18,18,34,8,0,54e53b7e
Francesco Caputo,FW,Sassuolo,32,0,0,0.0,4,0,4,1,1,3,0,5bd72174
Andrea Carboni,DF,Cagliari,19,34,23,53.6,15,4,11,14,48,52,0,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,0,0,,0,0,0,0,0,0,0,099a2de5
Francesco Cassata,DFFW,Genoa,23,7,6,57.1,0,0,0,3,10,1,0,96960855
Samu Castillejo,FW,Milan,25,24,12,35.0,21,0,21,6,30,9,0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,33,19,26.2,25,2,23,34,67,14,0,0728bebe
Danilo Cataldi,MF,Lazio,25,7,2,22.2,3,1,2,9,16,7,0,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,16,12,28.6,15,8,7,40,56,60,0,d9624b51
Federico Ceccherini,DF,Fiorentina,28,4,1,100.0,6,5,1,7,11,15,0,d9624b51
Luca Ceppitelli,DF,Cagliari,30,25,19,53.8,23,12,11,25,50,58,1,7d50454d
Alberto Cerri,FW,Cagliari,24,3,2,0.0,4,2,2,2,5,6,0,1079c685
Julian Chabot,DF,Spezia,22,48,34,62.2,25,13,12,37,85,43,1,ae7058f9
Giorgio Chiellini,DF,Juventus,35,12,9,45.5,18,13,5,27,39,56,0,e85fb9b8
Federico Chiesa,DF,Fiorentina,22,6,2,37.5,3,1,2,1,7,3,0,b0f7e36c
Federico Chiesa,MFDF,Juventus,22,47,26,38.0,23,1,22,12,59,16,0,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,30,38,23,60.0,31,21,10,50,88,59,2,c316607a
Luca Cigarini,MF,Crotone,34,26,14,42.9,10,1,9,12,38,9,0,ae64d449
Antonio Cioffi,FW,Napoli,17,0,0,,1,0,1,1,1,0,0,3f1107d5
Ebrima Colley,MFFW,Hellas Verona,20,11,4,27.3,6,0,6,6,17,1,0,bf356094
Omar Colley,DF,Sampdoria,27,28,16,56.5,43,29,14,68,96,133,1,8b95acda
Simone Colombi,GK,Parma,29,0,0,,0,0,0,0,0,2,0,72be9309
Lorenzo Colombo,FW,Milan,18,2,1,0.0,0,0,0,0,2,3,0,04df29a5
Andrea Consigli,GK,Sassuolo,33,2,2,100.0,0,0,0,0,2,14,4,8cabdc1e
Andrea Conti,DF,Milan,26,1,1,0.0,0,0,0,1,2,0,0,8fef5412
Andrea Conti,DF,Parma,26,21,10,50.0,13,4,9,16,37,23,0,8fef5412
Alex Cordaz,GK,Crotone,37,0,0,,0,0,0,1,1,7,2,e66ebabb
Andreas Cornelius,FW,Parma,27,11,4,16.7,9,2,7,1,12,25,1,c693347d
Joaquín Correa,FW,Lazio,25,21,12,28.0,14,0,14,7,28,12,0,45b9b619
Félix Correia,MF,Juventus,19,0,0,,0,0,0,0,0,1,0,c803c92a
Douglas Costa,MFFW,Juventus,29,1,0,33.3,0,0,0,0,1,0,0,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,0,0,,0,0,0,0,0,2,3,18736214
Mamadou Coulibaly,MF,Udinese,21,10,8,,2,0,2,1,11,0,0,c976160c
Alessio Cragno,GK,Cagliari,26,0,0,0.0,0,0,0,1,1,10,0,f554e29b
Gian Crespi,GK,Crotone,19,0,0,,0,0,0,0,0,0,0,4dea2f2c
Domenico Criscito,DF,Genoa,33,43,22,56.4,27,14,13,44,87,51,0,35dd6d80
Bryan Cristante,DFMF,Roma,25,27,20,35.7,21,7,14,40,67,61,1,16657b95
Giovanni Crociata,DF,Crotone,22,1,0,0.0,1,0,1,0,1,0,0,8c964914
Juan Cuadrado,DFMF,Juventus,32,43,25,48.3,16,2,14,43,86,22,2,0ab1f153
Giuseppe Cuomo,DF,Crotone,22,26,19,64.3,10,2,8,18,44,19,1,ae5b04fe
Patrick Cutrone,FW,Fiorentina,22,4,3,50.0,1,0,1,1,5,0,0,a4fe8cda
Wylan Cyprien,MF,Parma,25,9,4,50.0,13,8,5,5,14,6,1,3e092724
Lennart-Marten Czyborra,DF,Genoa,21,19,10,57.9,6,1,5,17,36,27,0,7ba1f1ef
Danilo D'Ambrosio,DF,Inter,31,15,9,40.0,9,7,2,4,19,15,0,44eb9093
Bryan Dabo,MF,Benevento,28,11,8,31.3,7,1,6,13,24,16,0,c53083ad
Diogo Dalot,DF,Milan,21,32,17,50.0,18,5,13,25,57,42,0,d9565625
Mikkel Damsgaard,MFFW,Sampdoria,20,42,21,31.4,40,4,36,24,66,17,0,215f3907
Danilo,DFMF,Juventus,29,62,31,53.0,32,12,20,66,128,68,2,94b2001f
Andrea Danzi,DF,Hellas Verona,21,0,0,0.0,0,0,0,3,3,1,0,263b855a
Ebrima Darboe,MF,Roma,19,5,2,30.0,3,0,3,8,13,0,1,cf043a33
Matteo Darmian,DF,Inter,30,30,16,57.1,9,2,7,17,47,35,0,96e0490d
Matteo Darmian,DF,Parma,30,6,5,57.1,2,0,2,6,12,7,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,25,42,28,58.3,28,19,9,27,69,62,1,16bb656a
Sebastien De Maio,DF,Udinese,33,15,10,80.0,16,9,7,18,33,41,0,952a03fe
Rodrigo De Paul,MF,Udinese,26,41,24,25.0,32,1,31,17,58,20,1,162efffd
Mattia De Sciglio,DF,Juventus,27,0,0,,0,0,0,0,0,1,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,32,34,24,43.2,37,10,27,30,64,62,3,e74f0e59
Grégoire Defrel,MFFW,Sassuolo,29,13,8,38.5,9,0,9,7,20,5,0,854ee61a
Alessandro Deiola,MF,Spezia,24,6,3,38.5,3,1,2,3,9,1,0,7f267d66
Alessandro Deiola,MF,Cagliari,24,13,5,34.8,7,2,5,11,24,11,0,7f267d66
Lorenzo Del Pinto,MF,Benevento,30,0,0,0.0,0,0,0,0,0,0,0,081b6080
Cristian Dell'Orco,DF,Spezia,26,1,0,33.3,8,5,3,7,8,9,1,b0243215
Merih Demiral,DF,Juventus,22,12,9,38.5,16,9,7,21,33,40,0,e3cceee6
Diego Demme,MF,Napoli,28,56,32,36.5,14,1,13,11,67,15,1,dc3fa3b5
Stefano Denswil,DF,Bologna,27,2,1,0.0,1,0,1,1,3,1,0,5832ebfe
Fabio Depaoli,DF,Benevento,23,25,13,46.9,16,4,12,12,37,38,0,d97f2e8d
Fabio Depaoli,MF,Sampdoria,23,1,0,0.0,0,0,0,1,2,1,0,d97f2e8d
Fabio Depaoli,DF,Atalanta,23,3,2,50.0,4,0,4,3,6,2,0,d97f2e8d
Kastriot Dermaku,DFMF,Parma,28,1,1,,2,1,1,2,3,8,0,2990c466
Kiril Despodov,FW,Cagliari,23,1,1,100.0,0,0,0,0,1,0,0,13c8e5f6
Mattia Destro,FW,Genoa,29,6,3,22.2,11,0,11,4,10,8,0,d7d32194
Gerard Deulofeu,FWMF,Udinese,26,2,2,16.7,2,0,2,3,5,0,0,39583cfd
Jacopo Dezi,FWMF,Parma,28,4,3,50.0,2,0,2,0,4,0,0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,31,1,2,0.0,1,0,1,0,1,5,0,ef94dc2f
Samuel Di Carmine,FW,Crotone,31,2,2,33.3,2,0,2,0,2,5,0,ef94dc2f
Giovanni Di Lorenzo,DF,Napoli,26,79,50,57.3,37,13,24,35,114,64,1,230a2fac
Alessandro Di Pardo,FWDF,Juventus,21,0,0,,1,1,0,0,0,0,0,e0ce7038
Giuseppe Di Serio,FWMF,Benevento,19,2,2,0.0,5,0,5,0,2,4,0,5048486b
Amad Diallo,MF,Atalanta,18,0,0,,0,0,0,0,0,0,0,9dc96f10
Amadou Diambo,FW,Benevento,19,0,0,,0,0,0,0,0,0,0,c3a847c7
Amadou Diawara,MF,Roma,23,10,8,25.0,11,2,9,12,22,4,0,bf309d24
Brahim Díaz,MFFW,Milan,20,18,10,43.5,10,0,10,2,20,2,0,407feb71
Daan Dierckx,DF,Parma,17,5,4,60.0,10,6,4,13,18,21,0,3a35db3d
Mitchell Dijks,DF,Bologna,27,21,14,57.1,17,2,15,17,38,35,0,0a3065c8
Federico Dimarco,DF,Hellas Verona,22,32,19,46.4,18,9,9,47,79,50,1,970b8574
Koffi Djidji,DF,Crotone,27,39,28,50.0,35,20,15,28,67,73,0,933d3b51
Berat Djimsiti,DF,Atalanta,27,41,29,50.0,34,20,14,62,103,89,1,6eee05f1
Nicolás Domínguez,MF,Bologna,22,48,28,40.5,26,7,19,24,72,20,0,20b3a502
Gianluigi Donnarumma,GK,Milan,21,0,0,0.0,1,0,1,1,1,23,2,08f5afaa
Bartłomiej Drągowski,GK,Fiorentina,22,1,0,100.0,0,0,0,1,2,13,1,085e71a7
Denis Drăguș,FWMF,Crotone,21,3,1,0.0,4,0,4,1,4,0,0,0e490f6e
Radu Drăgușin,DF,Juventus,18,0,0,,0,0,0,0,0,0,0,620922ed
Léo Duarte,DF,Milan,24,1,1,,0,0,0,1,2,0,0,73ddc40c
Alfred Duncan,MF,Fiorentina,27,3,0,0.0,2,0,2,2,5,0,0,528492ea
Alfred Duncan,MF,Cagliari,27,18,10,19.0,8,0,8,16,34,8,1,528492ea
Paulo Dybala,FW,Juventus,26,14,8,14.3,15,0,15,1,15,1,0,e0921a4f
Edin Džeko,FW,Roma,34,8,6,33.3,9,4,5,1,9,11,0,3bb7f478
Steeve-Mike Ebongue,MF,Genoa,19,2,1,0.0,1,0,1,0,2,0,0,9d5ab351
Simone Edera,DFMF,Torino,23,3,1,75.0,0,0,0,1,4,1,0,8697c095
Albin Ekdal,MF,Sampdoria,31,56,29,35.4,31,12,19,49,105,35,0,f503ea63
Elif Elmas,MFFW,Napoli,20,15,4,58.3,11,1,10,2,17,10,0,cf007308
