Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Gennaro Acampora,MFFW,Spezia,26,2,0,0,10,12,1,7,4,4,0,0,0,31,3,5,37.5,01040647
Francesco Acerbi,DF,Lazio,32,9,1,1,31,24,2,32,76,32,0,0,0,227,62,25,71.3,b96b595c
Andrea Adorante,FW,Parma,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,7005ac66
Lucien Agoume,MF,Spezia,18,2,0,0,17,8,0,1,15,10,0,0,0,75,12,2,85.7,8bc8829a
Kevin Agudelo,FW,Spezia,21,4,0,0,20,32,2,11,10,28,0,0,0,60,16,34,32.0,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,9,0,0,31,12,0,4,18,25,0,0,0,70,9,9,50.0,fdf4b948
Luis Alberto,MF,Lazio,27,5,0,0,19,36,2,150,13,24,0,0,0,209,10,12,45.5,5294a83f
Bruno Alves,DF,Parma,38,3,0,0,20,9,1,8,26,10,0,0,0,74,43,5,89.6,585a73a8
Wisdom Amey,DF,Bologna,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,7,0,0,59,44,0,16,23,22,0,0,0,188,18,26,40.9,5a2cb25d
Djavan Anderson,DF,Lazio,25,0,0,0,1,1,0,2,1,0,0,0,0,4,0,0,,ca241ad3
Nícolas Andrade,GK,Udinese,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,f5409698
Cristian Ansaldi,DFFW,Torino,33,1,0,0,24,22,0,177,16,33,0,1,0,99,7,14,33.3,bbafc0c4
Valentin Antov,DF,Bologna,19,1,0,0,2,2,0,0,4,2,0,0,0,11,3,5,37.5,8f68aa41
Nicolò Armini,DF,Lazio,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,2f7407fa
Tolgay Arslan,MF,Udinese,29,9,0,0,38,45,0,13,22,32,0,1,0,139,11,9,55.0,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,0,0,0,0,4,0,7,4,3,0,0,0,20,2,1,66.7,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,2,0,0,3,1,0,1,3,0,0,0,0,5,1,1,50.0,a69cc629
Emil Audero,GK,Sampdoria,23,0,0,0,0,6,0,0,1,1,0,0,0,61,6,0,100.0,649b01d8
Tommaso Augello,DF,Sampdoria,25,2,1,0,13,25,2,148,32,30,0,0,0,214,41,30,57.7,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,3,0,0,8,2,0,3,16,9,0,0,0,37,12,22,35.3,2200181e
Milan Badelj,MF,Genoa,31,7,0,0,34,32,1,15,87,27,1,0,0,228,16,12,57.1,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,6,1,1,36,52,1,2,36,41,1,0,0,129,44,34,56.4,59bf127b
Keita Baldé,FW,Sampdoria,25,4,1,0,32,35,4,8,0,6,1,1,0,25,20,41,32.8,509a4ccb
Botond Balogh,DF,Parma,18,1,0,0,1,0,0,0,2,7,0,0,0,5,2,3,40.0,348bafd4
Mattia Bani,DF,Genoa,26,4,0,0,13,7,1,2,27,5,0,0,0,39,32,29,52.5,0821331c
Mattia Bani,DF,Parma,26,6,0,0,16,8,0,3,33,11,0,0,0,54,34,24,58.6,0821331c
Antonín Barák,MF,Hellas Verona,25,5,1,0,60,17,4,14,12,19,0,1,0,216,65,81,44.5,01efac19
Federico Barba,DF,Benevento,26,8,0,0,27,10,1,38,48,16,0,0,1,116,22,30,42.3,c010b898
Nicolò Barella,MF,Inter,23,5,0,0,43,53,2,64,26,31,0,1,0,193,30,28,51.7,6928979a
Antonio Barreca,DF,Fiorentina,25,0,0,0,1,0,1,11,0,0,0,1,0,3,3,2,60.0,6a189491
Musa Barrow,FWMF,Bologna,21,0,0,0,17,32,11,138,11,10,0,0,0,110,23,73,24.0,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,1,0,0,4,1,0,13,1,2,0,1,0,9,1,1,50.0,6029a945
Daniele Baselli,MF,Torino,28,2,0,0,6,9,0,14,9,7,0,0,0,39,7,7,50.0,ea06dd97
Alessandro Bastoni,DF,Inter,21,6,0,0,40,28,0,24,40,22,0,0,0,164,48,32,60.0,75b86fb3
Simone Bastoni,DF,Spezia,23,7,0,0,35,27,2,93,16,29,0,1,0,122,27,25,51.9,1ac232b8
Bastos,DF,Lazio,29,0,0,0,1,4,0,0,0,1,0,0,0,8,1,0,100.0,c01c66d9
Rodrigo Becão,DF,Udinese,24,5,0,0,50,47,0,13,68,33,0,1,0,142,61,36,62.9,19e4eab9
Valon Behrami,MF,Genoa,35,3,1,1,28,21,0,3,9,9,1,0,0,41,12,18,40.0,d3d758d8
Andrea Belotti,FW,Torino,26,4,0,0,58,135,21,25,12,18,3,1,0,87,81,111,42.2,d705ba44
Ahmad Benali,MF,Crotone,28,2,0,0,12,16,1,28,6,11,0,0,0,94,10,4,71.4,a128b07e
Ismaël Bennacer,MF,Milan,22,4,0,0,20,30,0,10,20,18,1,1,0,118,11,21,34.4,db092d3b
Rodrigo Bentancur,MF,Juventus,23,8,1,1,45,27,2,25,47,33,0,0,0,205,30,21,58.8,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,ec1f737d
Domenico Berardi,FW,Sassuolo,25,4,0,0,43,59,2,117,26,22,1,0,0,136,12,32,27.3,53a0e358
Álex Berenguer,MF,Torino,25,0,0,0,2,3,1,5,0,0,0,0,0,5,2,2,50.0,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,2,0,0,28,28,0,46,42,44,0,0,0,152,28,33,45.9,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,3,0,0,13,17,2,85,14,4,0,0,0,64,6,7,46.2,ee93c1a9
Marco Bertini,MF,Lazio,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4b520f96
Daniel Bessa,MF,Hellas Verona,27,1,0,0,16,6,3,16,2,8,0,0,0,39,2,16,11.1,88895312
Cristiano Biraghi,DF,Fiorentina,27,8,0,0,27,23,4,286,27,23,0,0,0,136,9,19,32.1,9e1577aa
Davide Biraschi,DF,Genoa,26,2,0,0,16,7,0,13,21,9,0,0,0,61,9,14,39.1,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,0,0,0,9,35,9,11,8,9,0,0,0,69,2,8,20.0,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,5,0,0,39,41,7,38,39,19,1,0,0,139,29,31,48.3,d995ed27
Federico Bonazzoli,FW,Torino,23,2,0,0,11,19,4,1,2,4,0,0,0,21,4,9,30.8,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,0,0,0,3,2,0,1,0,0,0,0,0,6,0,1,0.0,bf57eaab
Kevin Bonifazi,DF,Udinese,24,4,0,0,26,14,0,4,50,21,0,2,0,164,41,24,63.1,fb77bfef
Leonardo Bonucci,DF,Juventus,33,4,0,0,21,16,3,5,33,14,0,2,0,93,34,19,64.2,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,2,0,0,15,6,0,5,12,5,0,1,0,43,14,5,73.7,0d077b88
Edoardo Bove,MF,Roma,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,ae94a6c5
Jayden Braaf,FW,Udinese,17,0,0,0,2,1,0,1,0,0,0,0,0,7,0,5,0.0,c609e90e
Gleison Bremer,DF,Torino,23,2,0,0,30,16,0,2,70,34,1,1,0,206,96,65,59.6,5fd5ed86
Marcelo Brozović,MF,Inter,27,9,1,1,34,13,0,86,40,29,0,0,0,175,21,28,42.9,33b8d077
Gastón Brugman,MF,Parma,27,7,0,0,27,22,1,56,45,19,0,0,0,126,8,8,50.0,e947ee4a
Juan Brunetta,FWMF,Parma,23,3,0,0,11,16,1,24,1,2,0,0,0,25,3,6,33.3,d60099bc
Gianluigi Buffon,GK,Juventus,42,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,e40d028b
Alessandro Buongiorno,DF,Torino,21,4,0,0,17,11,1,1,11,5,0,0,0,43,22,10,68.8,4ae67f27
Maxime Busi,DF,Parma,20,3,0,0,23,8,1,32,16,13,0,2,0,74,9,25,26.5,7b082ec2
Martín Cáceres,DF,Fiorentina,33,4,0,0,19,18,0,45,14,12,0,1,0,126,25,24,51.0,e94d79e3
Felipe Caicedo,FW,Lazio,31,5,0,0,25,17,8,0,4,7,0,0,0,24,26,24,52.0,93b891d1
Arturo Calabresi,DFFW,Bologna,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,34bb6fbd
Davide Calabria,DF,Milan,23,7,0,0,31,36,3,69,37,64,1,0,1,191,27,28,49.1,2146785a
Riccardo Calafiori,DF,Roma,18,2,0,0,6,2,0,0,0,0,0,0,0,7,2,1,66.7,aded8e6f
Mattia Caldara,DF,Atalanta,26,1,0,0,3,1,0,1,4,0,0,0,0,15,6,5,54.5,ac7e640b
Luca Caldirola,DF,Benevento,29,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,51.0,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,4,0,0,29,43,4,221,15,7,1,0,0,141,17,32,34.7,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,2,0,0,10,2,0,6,3,4,0,1,0,9,2,0,100.0,22ca11f1
José Callejón,FWMF,Fiorentina,33,0,0,0,6,12,0,28,4,7,0,0,0,33,9,8,52.9,78841da9
Drissa Camara,MF,Parma,18,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0,543d9d2b
Antonio Candreva,MF,Sampdoria,33,1,0,0,15,29,10,291,9,19,1,0,0,160,3,8,27.3,356c9002
Elio Capradossi,DF,Spezia,24,0,0,0,1,0,0,0,1,1,0,0,0,4,1,2,33.3,174944a3
Gianluca Caprari,MFFW,Benevento,27,4,1,0,23,55,8,106,18,11,1,0,0,129,3,30,9.1,54e53b7e
Francesco Caputo,FW,Sassuolo,32,1,0,0,16,32,19,1,1,0,3,0,0,29,11,16,40.7,5bd72174
Andrea Carboni,DF,Cagliari,19,2,0,0,11,6,0,22,14,23,0,0,0,46,16,20,44.4,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,0,0,0,2,2,0,2,0,0,0,0,0,7,0,1,0.0,099a2de5
Francesco Cassata,DFFW,Genoa,23,2,0,0,10,8,0,6,3,6,0,0,0,16,3,4,42.9,96960855
Samu Castillejo,FW,Milan,25,5,0,0,25,30,4,34,6,12,1,0,0,78,8,20,28.6,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,8,1,0,41,63,1,36,34,19,0,1,0,136,13,39,25.0,0728bebe
Danilo Cataldi,MF,Lazio,25,4,0,0,9,4,0,30,9,2,0,1,0,64,1,5,16.7,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,8,0,0,47,33,1,6,40,12,0,0,0,92,72,42,63.2,d9624b51
Federico Ceccherini,DF,Fiorentina,28,2,0,0,5,3,0,0,7,1,0,1,1,12,4,4,50.0,d9624b51
Luca Ceppitelli,DF,Cagliari,30,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,61.3,7d50454d
Alberto Cerri,FW,Cagliari,24,1,0,0,18,15,1,3,2,2,0,0,0,12,34,23,59.6,1079c685
Julian Chabot,DF,Spezia,22,11,1,1,32,32,0,2,37,34,0,1,0,82,57,33,63.3,ae7058f9
Giorgio Chiellini,DF,Juventus,35,4,0,0,19,15,1,3,27,9,1,3,1,66,26,21,55.3,e85fb9b8
Federico Chiesa,DF,Fiorentina,22,0,0,0,2,3,2,11,1,2,0,0,0,10,1,1,50.0,b0f7e36c
Federico Chiesa,MFDF,Juventus,22,3,1,0,30,36,11,70,12,26,2,0,0,104,6,28,17.6,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,30,6,0,0,31,14,1,4,50,23,0,0,1,135,52,45,53.6,c316607a
Luca Cigarini,MF,Crotone,34,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,50.0,ae64d449
Antonio Cioffi,FW,Napoli,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,3f1107d5
Ebrima Colley,MFFW,Hellas Verona,20,1,0,0,13,18,7,12,6,4,0,0,0,34,2,36,5.3,bf356094
Omar Colley,DF,Sampdoria,27,6,0,0,34,23,1,5,68,16,0,0,0,151,73,39,65.2,8b95acda
Simone Colombi,GK,Parma,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,72be9309
Lorenzo Colombo,FW,Milan,18,0,0,0,1,0,3,1,0,1,0,0,0,7,2,4,33.3,04df29a5
Andrea Consigli,GK,Sassuolo,33,1,0,0,2,5,0,0,0,2,0,0,0,45,16,2,88.9,8cabdc1e
Andrea Conti,DF,Milan,26,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0.0,8fef5412
Andrea Conti,DF,Parma,26,3,0,0,15,8,0,24,16,10,0,0,0,36,7,8,46.7,8fef5412
Alex Cordaz,GK,Crotone,37,1,0,0,0,7,0,0,1,0,0,0,0,49,4,0,100.0,e66ebabb
Andreas Cornelius,FW,Parma,27,4,0,0,36,48,15,6,1,4,1,0,0,47,148,83,64.1,c693347d
Joaquín Correa,FW,Lazio,25,3,1,1,24,52,4,19,7,12,3,0,0,50,12,20,37.5,45b9b619
Félix Correia,MF,Juventus,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,c803c92a
Douglas Costa,MFFW,Juventus,29,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0.0,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,18736214
Mamadou Coulibaly,MF,Udinese,21,0,0,0,3,1,1,3,1,8,0,0,0,13,0,7,0.0,c976160c
Alessio Cragno,GK,Cagliari,26,1,0,0,2,5,0,0,1,0,0,2,0,36,8,0,100.0,f554e29b
Gian Crespi,GK,Crotone,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,4dea2f2c
Domenico Criscito,DF,Genoa,33,6,0,0,23,26,0,27,44,22,0,1,0,110,20,26,43.5,35dd6d80
Bryan Cristante,DFMF,Roma,25,8,0,0,31,13,4,12,40,20,0,0,1,141,30,30,50.0,16657b95
Giovanni Crociata,DF,Crotone,22,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,,8c964914
Juan Cuadrado,DFMF,Juventus,32,9,1,0,33,65,3,162,43,25,2,0,0,125,12,21,36.4,0ab1f153
