Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Valon Behrami,MFFW,Genoa,36,3,1,0.0,4,1,3,1,4,4,0,d3d758d8
Vid Belec,GK,Salernitana,31,0,0,,0,0,0,0,0,9,1,4f8ce0e1
Raoul Bellanova,DFFW,Cagliari,21,29,15,22.2,39,8,31,21,50,51,0,e3756e72
Andrea Belotti,FW,Torino,27,7,3,25.0,12,4,8,2,9,9,0,d705ba44
Marco Benassi,DFMF,Fiorentina,26,1,0,50.0,3,0,3,3,4,3,0,0000acda
Marco Benassi,MF,Empoli,26,6,3,10.0,4,0,4,3,9,6,0,0000acda
Filip Benković,DFFW,Udinese,24,0,0,,0,0,0,0,0,0,0,305a3820
Ismaël Bennacer,MF,Milan,23,44,30,42.0,20,4,16,25,69,15,0,db092d3b
Rodrigo Bentancur,MF,Juventus,24,32,18,35.0,15,2,13,26,58,15,1,3b8674e6
Alessandro Berardi,GK,Hellas Verona,30,0,0,,0,0,0,0,0,0,0,ec1f737d
Domenico Berardi,FW,Sassuolo,26,32,19,26.3,39,2,37,31,63,23,0,53a0e358
Bartosz Bereszyński,DF,Sampdoria,29,64,38,46.3,38,12,26,42,106,73,1,61b3978f
Etrit Berisha,GK,Torino,32,0,0,,0,0,0,0,0,4,0,ee833569
Federico Bernardeschi,MFFW,Juventus,27,16,10,46.2,12,4,8,5,21,15,0,ee93c1a9
Nicolò Bertola,MFDF,Spezia,18,3,2,75.0,0,0,0,3,6,1,0,04b40c58
Daniel Bessa,MF,Hellas Verona,28,7,2,26.7,13,3,10,5,12,11,0,88895312
Beto,FW,Udinese,23,21,6,47.4,16,1,15,5,26,25,1,ed5c0319
Luis Binks,DF,Bologna,19,8,4,66.7,6,5,1,17,25,33,1,36e88fbc
Cristiano Biraghi,DF,Fiorentina,28,37,24,41.5,28,10,18,19,56,31,1,9e1577aa
Davide Biraschi,DF,Genoa,27,31,16,70.8,16,9,7,16,47,26,0,64cd167d
Bjarki Bjarkason,MF,Venezia,21,0,0,,0,0,0,0,0,0,0,f1d25de7
Jeremie Boga,FWMF,Atalanta,24,7,3,66.7,6,0,6,1,8,3,1,fe012aca
Jeremie Boga,FWMF,Sassuolo,24,7,4,66.7,3,0,3,2,9,1,1,fe012aca
Luka Bogdan,DF,Salernitana,25,6,3,50.0,3,2,1,6,12,21,0,cb678320
Emil Bohinen,MF,Salernitana,22,15,9,50.0,17,3,14,12,27,14,0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,31,33,17,45.7,20,2,18,14,47,9,1,d995ed27
Federico Bonazzoli,FWMF,Salernitana,24,24,12,24.0,17,1,16,6,30,7,0,bf57eaab
Kevin Bonifazi,DF,Bologna,25,25,16,92.9,22,7,15,16,41,35,0,fb77bfef
Leonardo Bonucci,DF,Juventus,34,14,5,61.5,22,17,5,26,40,82,0,52ec54d0
Mehdi Bourabia,MF,Spezia,29,5,1,27.3,7,6,1,3,8,10,0,0d077b88
Edoardo Bove,MFDF,Roma,19,1,1,0.0,1,0,1,1,2,0,0,ae94a6c5
Josip Brekalo,MF,Torino,23,9,5,14.3,16,1,15,4,13,7,1,d4a2533d
Gleison Bremer,DF,Torino,24,49,24,64.3,54,23,31,105,154,137,0,5fd5ed86
Marcelo Brozović,MF,Inter,28,77,45,50.0,28,10,18,37,114,36,2,33b8d077
Aleksander Buksa,FW,Genoa,18,0,0,0.0,0,0,0,0,0,1,0,59f2d958
Alessandro Buongiorno,DF,Torino,22,20,9,69.2,12,6,6,31,51,44,0,4ae67f27
Gianluca Busio,MF,Venezia,19,53,28,44.4,45,13,32,21,74,30,1,4a0b7f07
Jovane Cabral,FW,Lazio,23,2,1,,1,1,0,1,3,1,0,e34e086c
Liberato Cacace,DF,Empoli,20,15,6,100.0,7,2,5,8,23,9,0,dd86e8e4
Martín Cáceres,DF,Cagliari,34,13,7,33.3,12,3,9,14,27,21,0,e94d79e3
Felipe Caicedo,FW,Genoa,32,3,3,0.0,1,0,1,0,3,4,0,93b891d1
Felipe Caicedo,FWDF,Inter,32,0,0,,1,0,1,0,0,0,0,93b891d1
Davide Calabria,DF,Milan,24,62,37,51.4,25,5,20,23,85,40,1,2146785a
Riccardo Calafiori,DF,Genoa,19,1,0,50.0,2,1,1,2,3,4,0,aded8e6f
Riccardo Calafiori,DF,Roma,19,5,4,20.0,3,0,3,3,8,1,0,aded8e6f
Mattia Caldara,DF,Venezia,27,48,28,58.8,49,37,12,62,110,147,1,ac7e640b
Hakan Çalhanoğlu,MF,Inter,27,41,23,27.5,29,5,24,25,66,12,0,cd0fa27b
José Callejón,FW,Fiorentina,34,15,6,41.9,6,0,6,3,18,1,1,78841da9
Andrea Cambiaso,DF,Genoa,21,46,20,56.3,33,8,25,23,69,37,1,247ed022
Matteo Cancellieri,MFDF,Hellas Verona,19,4,4,0.0,2,0,2,1,5,0,0,b6a1cdf9
Antonio Candreva,MFFW,Sampdoria,34,27,16,34.5,23,2,21,33,60,19,0,356c9002
Leonardo Capezzi,MF,Salernitana,26,3,1,25.0,8,4,4,0,3,2,0,07ea0ef2
Gianluca Caprari,MFFW,Hellas Verona,28,43,25,33.3,32,0,32,4,47,7,0,54e53b7e
Francesco Caputo,FW,Sampdoria,33,5,2,16.7,5,0,5,2,7,10,0,5bd72174
Francesco Caputo,FW,Sassuolo,33,0,0,,0,0,0,0,0,0,0,5bd72174
Andrea Carboni,DF,Cagliari,20,53,24,45.2,42,15,27,27,80,87,0,f7e2af2c
Nicolò Casale,DF,Hellas Verona,23,46,30,56.8,31,12,19,49,95,95,0,3f5f38fb
Francesco Cassata,MF,Genoa,24,0,0,,0,0,0,0,0,0,0,96960855
Samu Castillejo,FWMF,Milan,26,4,2,12.5,4,1,3,2,6,1,0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,24,25,17,52.2,18,4,14,11,36,6,0,0728bebe
Danilo Cataldi,MF,Lazio,26,36,17,31.6,24,12,12,17,53,19,1,ba3d3bea
Pietro Ceccaroni,DF,Venezia,25,55,31,69.4,45,32,13,30,85,143,0,4d1efb48
Federico Ceccherini,DF,Hellas Verona,29,32,16,57.6,13,8,5,50,82,76,1,d9624b51
Emil Ceide,FWMF,Sassuolo,19,1,1,50.0,1,0,1,0,1,0,0,98a84572
Luca Ceppitelli,DF,Cagliari,31,23,12,59.3,21,14,7,25,48,54,0,7d50454d
Damir Ceter,FW,Cagliari,23,0,0,,0,0,0,0,0,0,0,eade5337
Julian Chabot,DF,Sampdoria,23,12,10,80.0,7,4,3,9,21,28,1,ae7058f9
Giorgio Chiellini,DF,Juventus,36,22,13,53.8,24,18,6,22,44,59,0,e85fb9b8
Federico Chiesa,MFFW,Juventus,23,26,19,46.2,7,0,7,4,30,3,0,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,31,28,15,47.6,34,21,13,41,69,71,4,c316607a
Riccardo Ciervo,MFDF,Sampdoria,19,8,3,33.3,1,0,1,2,10,2,0,da77b60b
Moustapha Cissé,FW,Atalanta,17,1,0,0.0,0,0,0,0,1,0,0,ee3c4b3f
Giorgio Cittadini,DF,Atalanta,19,0,0,,0,0,0,1,1,0,0,e4ba67f2
Ebrima Colley,FWMF,Spezia,21,6,1,14.3,8,0,8,3,9,2,0,bf356094
Omar Colley,DF,Sampdoria,28,47,36,68.8,31,19,12,80,127,135,2,8b95acda
Andrea Consigli,GK,Sassuolo,34,0,0,0.0,0,0,0,0,0,23,3,8cabdc1e
Andrea Conti,DFMF,Sampdoria,27,4,2,50.0,4,0,4,7,11,4,0,8fef5412
Andrea Conti,DF,Milan,27,0,0,,0,0,0,0,0,0,0,8fef5412
Diego Coppola,DF,Hellas Verona,17,8,4,100.0,5,1,4,4,12,5,0,22ae86f9
Joaquín Correa,FW,Inter,26,11,5,7.7,8,1,7,3,14,2,0,45b9b619
Lassana Coulibaly,MF,Salernitana,25,58,32,38.7,40,13,27,22,80,27,0,85a44ecc
Mamadou Coulibaly,MF,Salernitana,22,15,12,35.0,9,0,9,11,26,9,0,c976160c
Alessio Cragno,GK,Cagliari,27,3,3,100.0,0,0,0,1,4,14,1,f554e29b
Domenico Criscito,DF,Genoa,34,37,21,64.0,22,12,10,39,76,57,0,35dd6d80
Bryan Cristante,MF,Roma,26,79,39,53.6,31,5,26,40,119,45,0,16657b95
Domen Črnigoj,MF,Venezia,25,21,13,37.9,27,8,19,24,45,42,0,22cd43d2
Giovanni Crociata,FW,Empoli,23,0,0,0.0,0,0,0,0,0,0,0,8c964914
Juan Cuadrado,DFMF,Juventus,33,48,23,54.5,23,5,18,29,77,34,0,0ab1f153
Mickaël Cuisance,MF,Venezia,21,23,9,35.7,14,0,14,12,35,5,0,5722eced
Patrick Cutrone,FW,Empoli,23,5,2,11.1,11,1,10,5,10,1,0,a4fe8cda
Danilo D'Ambrosio,DF,Inter,32,30,15,50.0,21,10,11,8,38,20,0,44eb9093
Mikkel Damsgaard,MFFW,Sampdoria,21,27,13,55.6,16,1,15,7,34,7,0,215f3907
Danilo,DFMF,Juventus,30,37,26,64.3,21,12,9,32,69,53,1,94b2001f
Ebrima Darboe,MF,Roma,20,1,1,,0,0,0,1,2,0,1,cf043a33
Matteo Darmian,DF,Inter,31,32,16,39.0,16,1,15,19,51,25,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,26,30,18,64.0,14,11,3,21,51,53,0,16bb656a
Sebastien De Maio,DF,Udinese,34,5,1,11.1,6,5,1,1,6,9,0,952a03fe
Tommaso De Nipoti,FW,Atalanta,18,0,0,,0,0,0,0,0,0,0,7f9d956a
Mattia De Sciglio,DF,Juventus,28,24,12,45.8,10,0,10,10,34,30,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,33,23,14,29.0,25,7,18,26,49,52,0,e74f0e59
Grégoire Defrel,FW,Sassuolo,30,15,9,37.5,11,1,10,4,19,11,0,854ee61a
Alessandro Deiola,MF,Cagliari,25,47,22,39.7,28,10,18,26,73,45,0,7f267d66
Filippo Delli Carri,DF,Salernitana,22,6,4,35.7,6,2,4,4,10,14,0,d2e8fd9b
Merih Demiral,DF,Atalanta,23,31,17,53.6,26,14,12,58,89,68,1,e3cceee6
Diego Demme,MF,Napoli,29,21,12,47.6,11,2,9,9,30,2,0,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,24,12,7,14.3,9,2,7,8,20,14,0,d97f2e8d
Fabio Depaoli,MFDF,Sampdoria,24,3,1,0.0,2,1,1,1,4,2,0,d97f2e8d
Mattia Destro,FW,Genoa,30,9,4,16.7,14,1,13,2,11,16,0,d7d32194
Gerard Deulofeu,FWMF,Udinese,27,11,6,24.1,14,0,14,9,20,4,0,39583cfd
Jacopo Dezi,MF,Venezia,29,0,0,0.0,0,0,0,1,1,0,0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,32,0,0,,0,0,0,0,0,0,0,ef94dc2f
Federico Di Francesco,FWMF,Empoli,27,16,5,39.1,17,1,16,9,25,11,0,1fca9171
Giovanni Di Lorenzo,DF,Napoli,27,58,36,56.9,28,10,18,38,96,46,1,230a2fac
Francesco Di Mariano,FW,Venezia,25,1,1,,2,1,1,0,1,0,0,35a2557c
Francesco Di Tacchio,MF,Salernitana,31,17,7,36.0,16,8,8,22,39,25,0,b5c3ff9f
Amadou Diawara,MF,Roma,24,7,2,33.3,2,0,2,0,7,1,0,bf309d24
Brahim Díaz,MF,Milan,21,23,17,36.4,11,0,11,8,31,4,0,407feb71
Mitchell Dijks,DFFW,Bologna,28,15,6,41.7,11,2,9,3,18,10,1,0a3065c8
Federico Dimarco,DF,Inter,23,28,15,54.2,6,1,5,19,47,19,0,970b8574
Filippo Distefano,FW,Fiorentina,17,0,0,,0,0,0,0,0,0,0,2110f96c
Koffi Djidji,DF,Torino,28,48,29,77.8,20,9,11,34,82,60,0,933d3b51
Berat Djimsiti,DF,Atalanta,28,43,24,63.0,21,11,10,31,74,56,0,6eee05f1
Nicolás Domínguez,MF,Bologna,23,76,45,42.1,38,9,29,32,108,34,1,20b3a502
Bartłomiej Drągowski,GK,Fiorentina,23,0,0,,0,0,0,1,1,5,2,085e71a7
Radu Drăgușin,DF,Sampdoria,19,4,3,33.3,8,4,4,10,14,33,0,620922ed
Radu Drăgușin,DF,Salernitana,19,5,4,40.0,7,3,4,13,18,17,0,620922ed
Denzel Dumfries,DF,Inter,25,32,12,50.0,15,6,9,9,41,26,0,481c9ece
Alfred Duncan,MF,Fiorentina,28,34,19,34.4,32,3,29,10,44,7,0,528492ea
Paulo Dybala,FWMF,Juventus,27,30,13,22.9,19,0,19,9,39,4,3,e0921a4f
Edin Džeko,FW,Inter,35,14,8,32.0,22,5,17,4,18,35,0,3bb7f478
Tyronne Ebuehi,DF,Venezia,25,28,12,55.6,13,3,10,16,44,38,1,6af30900
Éderson,MF,Salernitana,22,29,18,53.8,11,2,9,19,48,8,0,a9202def
Albin Ekdal,MF,Sampdoria,32,43,28,46.4,27,7,20,29,72,25,0,f503ea63
Caleb Ekuban,FWMF,Genoa,27,19,12,30.4,19,5,14,9,28,6,0,7afbd2c3
Elif Elmas,FWMF,Napoli,21,25,15,42.9,13,2,11,8,33,17,0,cf007308
Martin Erlic,DF,Spezia,23,28,16,55.6,54,39,15,28,56,122,1,0fee6bda
Gonzalo Escalante,MF,Lazio,28,1,0,100.0,2,1,1,1,2,0,0,3f79a1c8
Diego Falcinelli,FW,Bologna,30,2,2,,0,0,0,1,3,1,0,a39b9ef6
Wladimiro Falcone,GK,Sampdoria,26,0,0,,0,0,0,1,1,5,0,9f5a610b
Paolo Faragò,MF,Cagliari,28,1,1,,2,0,2,0,1,0,0,9085dd7c
Davide Faraoni,DF,Hellas Verona,29,62,40,46.8,38,5,33,23,85,62,1,aae9d04a
Mohamed Fares,DFFW,Genoa,25,4,2,0.0,8,3,5,8,12,11,0,b7a5bc86
Diego Farias,MFFW,Cagliari,31,1,1,33.3,0,0,0,0,1,0,0,157d29b6
Andrea Favilli,FW,Genoa,24,1,1,,0,0,0,0,1,2,0,44510fde
Federico Fazio,DF,Salernitana,34,17,11,75.0,21,16,5,27,44,67,1,4e358a2d
Luiz Felipe,DF,Lazio,24,41,23,58.8,40,33,7,33,74,102,1,15d0c248
Alex Ferrari,DF,Sampdoria,27,40,22,57.6,31,22,9,39,79,63,1,d0dbca9f
Salvador Ferrer,DFMF,Spezia,23,32,18,48.0,24,12,12,18,50,46,0,eb76987d
Riccardo Fiamozzi,DF,Empoli,28,7,5,50.0,6,5,1,7,14,12,0,9f9b9269
Luca Fiordilino,MF,Venezia,25,21,13,48.1,14,4,10,11,32,12,0,9bb1ad91
Vincenzo Fiorillo,GK,Salernitana,31,0,0,,0,0,0,0,0,1,0,a2565f79
Alessandro Florenzi,DFFW,Milan,30,28,14,43.8,9,2,7,27,55,10,1,e288d4b3
Fernando Forestieri,FWMF,Udinese,31,0,0,0.0,1,0,1,0,0,1,0,d60c26fc
Francesco Forte,FW,Venezia,28,3,2,40.0,1,0,1,0,3,2,0,69e11a01
Gianluca Frabotta,DFMF,Hellas Verona,22,0,0,0.0,1,0,1,1,1,0,0,d80b1835
Davide Frattesi,MF,Sassuolo,21,46,16,50.0,44,12,32,29,75,62,1,2a7d27c1
Morten Frendrup,DFMF,Genoa,20,40,24,44.8,19,2,17,17,57,7,1,f4d60499
Remo Freuler,MF,Atalanta,29,69,39,42.9,48,8,40,35,104,26,1,98d2c2c4
Matteo Gabbia,DF,Milan,21,4,3,0.0,2,2,0,8,12,12,0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,29,6,4,14.3,5,2,3,3,9,10,0,8f866fe8
Gianluca Gaetano,MF,Napoli,21,1,1,50.0,0,0,0,2,3,0,0,3b387cc7
Luca Gagliano,FWDF,Cagliari,21,0,0,,1,0,1,0,0,1,0,1d00a56c
Roberto Gagliardini,MF,Inter,27,12,6,7.7,14,5,9,9,21,7,0,ce30bfc8
Riccardo Gagliolo,DF,Salernitana,31,23,12,59.3,15,8,7,28,51,52,0,173061c0
Nicolas Galazzi,MF,Venezia,20,2,1,0.0,0,0,0,0,2,0,0,a796492f
Pablo Galdames Millán,MF,Genoa,24,28,12,34.3,16,2,14,8,36,9,1,dd403465
Luca Gemello,GK,Torino,21,0,0,,0,0,0,0,0,0,0,53e494ec
Paolo Ghiglione,DF,Genoa,24,17,12,64.3,11,5,6,10,27,12,1,71dc23da
Faouzi Ghoulam,DF,Napoli,30,3,1,0.0,2,1,1,3,6,10,0,c5adc293
Sebastian Giovinco,MF,Sampdoria,34,0,0,0.0,0,0,0,0,0,0,0,2b7c18ae
Olivier Giroud,FW,Milan,34,15,11,17.6,13,4,9,3,18,19,0,16ceb862
Diego Godín,DF,Cagliari,35,18,7,66.7,7,5,2,13,31,46,0,fc4f85b1
Edoardo Goldaniga,DF,Cagliari,27,12,5,36.4,8,5,3,22,34,23,0,4b029b31
Edoardo Goldaniga,DFMF,Sassuolo,27,0,0,,0,0,0,0,0,0,0,4b029b31
Cedric Gondo,FW,Salernitana,24,5,2,40.0,2,0,2,3,8,2,0,ff37d2ef
Nicolás González,FW,Fiorentina,23,21,16,32.1,26,2,24,21,42,4,1,2374aaca
Robin Gosens,DF,Atalanta,27,7,3,50.0,4,0,4,9,16,1,0,2d970560
Robin Gosens,DF,Inter,27,3,1,,5,2,3,3,6,3,0,2d970560
Alberto Grassi,MF,Cagliari,26,47,26,42.1,27,9,18,63,110,33,1,6cc97b6a
Koray Günter,DF,Hellas Verona,26,32,18,50.0,27,21,6,69,101,110,1,f1f1f238
Albert Guðmundsson,FWMF,Genoa,24,5,3,37.5,2,0,2,5,10,4,0,b79858d5
Emmanuel Gyasi,FWMF,Spezia,27,47,30,51.2,22,4,18,16,63,43,1,f9758dae
Norbert Gyömbér,DF,Salernitana,29,53,32,66.0,38,24,14,44,97,126,1,0be276c6
Nicolas Haas,MF,Empoli,25,35,22,43.6,24,4,20,9,44,17,1,fa449bba
Samir Handanović,GK,Inter,37,1,0,50.0,1,0,1,0,1,6,3,74419746
Ridgeciano Haps,DF,Venezia,28,36,20,52.4,34,12,22,29,65,57,1,c8d7131c
Abdou Harroui,MF,Sassuolo,23,11,4,72.7,14,0,14,4,15,5,0,65fd099c
Hans Hateboer,DFMF,Atalanta,27,22,14,42.3,11,1,10,7,29,20,0,3b333ac3
Silvan Hefti,DF,Genoa,23,50,30,55.2,20,4,16,20,70,34,1,f8342731
Liam Henderson,MF,Empoli,25,22,13,29.0,14,4,10,9,31,13,0,d7918b13
Dalbert Henrique,DFMF,Cagliari,27,43,23,31.4,28,5,23,24,67,34,0,f45f9427
Matheus Henrique,MF,Sassuolo,23,10,3,25.0,14,2,12,7,17,12,1,a2d9f138
Thomas Henry,FW,Venezia,26,9,4,38.5,11,5,6,2,11,25,0,9ef42479
Theo Hernández,DF,Milan,23,53,35,72.5,16,3,13,23,76,29,3,d4c9725f
Hernani,MFFW,Genoa,27,20,10,40.6,17,4,13,13,33,5,1,6f5ead86
Daan Heymans,MFFW,Venezia,22,3,1,20.0,7,3,4,4,7,3,0,6d70c771
Aaron Hickey,DF,Bologna,19,46,29,66.7,36,13,23,29,75,44,0,1780bb4a
Martin Hongla,MF,Hellas Verona,23,14,8,50.0,6,2,4,4,18,16,1,b85bf253
Sydney van Hooijdonk,FWMF,Bologna,21,0,0,0.0,1,0,1,0,0,0,0,5b418e15
Petko Hristov,DF,Spezia,22,17,10,62.5,29,23,6,19,36,47,0,d8800a46
Elseid Hysaj,DF,Lazio,27,46,30,64.4,18,6,12,24,70,34,1,2f3452eb
Roger Ibanez,DF,Roma,22,54,32,60.5,26,7,19,62,116,104,2,82efe6fa
Zlatan Ibrahimović,FW,Milan,39,0,0,0.0,2,1,1,3,3,9,0,4cde5509
Igor,DF,Fiorentina,23,53,31,75.0,37,19,18,31,84,46,4,a4e85758
Jonathan Ikone,FW,Fiorentina,23,7,3,30.0,10,2,8,1,8,2,0,42eaa028
Ivan Ilić,MF,Hellas Verona,20,39,18,37.0,34,12,22,22,61,55,0,bb376bed
Josip Iličić,MFFW,Atalanta,33,7,7,23.5,6,1,5,3,10,1,0,68252d6d
Ciro Immobile,FW,Lazio,31,10,5,6.7,7,1,6,3,13,16,0,4431aed2
Lorenzo Insigne,FW,Napoli,30,23,14,18.2,30,1,29,20,43,3,1,2f557579
Ardian Ismajli,DF,Empoli,24,13,9,35.7,21,11,10,24,37,80,0,6b635f5c
Armando Izzo,DF,Torino,29,16,9,81.8,5,4,1,17,33,21,0,89976232
Mato Jajalo,MF,Udinese,33,24,14,47.8,7,0,7,11,35,5,0,8c65eb5f
Paweł Jaroszyński,DF,Salernitana,26,10,5,71.4,4,0,4,10,20,19,0,958a601f
Juan Jesus,DF,Napoli,30,25,17,66.7,21,16,5,9,34,34,0,79083382
Dennis Johnsen,FWMF,Venezia,23,14,10,33.3,14,1,13,5,19,3,0,66784dee
Kaio Jorge,MFFW,Juventus,19,2,1,33.3,1,0,1,0,2,2,0,0cf465f2
Flavio Junior Bianchi,FWMF,Genoa,21,2,2,0.0,0,0,0,0,2,0,0,3ef965c1
Hamed Junior Traorè,FWMF,Sassuolo,21,32,18,21.7,22,2,20,12,44,6,1,570bb4b9
Nikola Kalinić,FW,Hellas Verona,33,2,0,50.0,2,0,2,0,2,2,0,d4931a5a
Yayah Kallon,FWMF,Genoa,20,15,11,27.3,7,1,6,1,16,5,0,f95f49d2
Pierre Kalulu,DF,Milan,21,61,36,77.3,36,15,21,26,87,54,0,85f7d1be
Dimitrije Kamenović,DF,Lazio,21,1,1,100.0,0,0,0,2,3,1,0,d3e0c826
Rick Karsdorp,DFFW,Roma,26,53,38,56.0,22,5,17,34,87,26,1,9f84febe
Denso Kasius,DFFW,Bologna,18,8,6,40.0,4,0,4,3,11,4,0,7ae36711
Grigoris Kastanos,MFFW,Salernitana,23,30,19,30.4,21,5,16,22,52,8,0,2a82aa85
Moise Kean,FW,Juventus,21,9,4,37.5,5,0,5,3,12,8,1,3d50bcdb
Wajdi Kechrida,DFMF,Salernitana,25,9,6,61.5,10,2,8,8,17,15,0,11962fe7
Dimitrios Keramitsis,MF,Roma,17,0,0,,0,0,0,0,0,0,0,6f30a1d5
Franck Kessié,MF,Milan,24,41,23,65.4,39,10,29,23,64,22,0,05e19d6a
Jakub Kiwior,MF,Spezia,21,50,27,45.6,38,15,23,40,90,53,0,dc3e663e
Sofian Kiyine,MFFW,Venezia,23,24,14,37.5,15,1,14,10,34,9,0,ce1806be
Simon Kjær,DF,Milan,32,20,12,50.0,17,13,4,9,29,39,0,8b8a56ce
Aleksandr Kokorin,FWMF,Fiorentina,30,1,1,,1,0,1,0,1,0,0,fec5accc
Aleksandar Kolarov,DF,Inter,35,1,1,100.0,0,0,0,1,2,2,0,eda40760
Teun Koopmeiners,MF,Atalanta,23,40,24,40.7,31,2,29,15,55,19,0,a26fb8aa
