Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Nicholas Gioacchini,FWMF,Montpellier,21,5.5,11,2,18.2,79ab7593
Jimmy Giraudon,DF,Troyes,29,18.0,0,0,,6ba71da5
Andrei Girotto,DFMF,Nantes,29,35.0,45,10,22.2,3befc2b6
Aleksandr Golovin,FWMF,Monaco,25,16.7,23,7,30.4,3708e9fa
Angel Gomes,MFFW,Lille,20,10.6,14,2,14.3,645a3363
Alfred Gomis,GK,Rennes,27,25.0,0,0,,cecbce23
Vagner Gonçalves,FW,Metz,25,1.0,1,1,100.0,743fd71f
Álvaro González,DF,Marseille,31,5.0,2,0,0.0,42dcf26d
Amine Gouiri,FWMF,Nice,21,30.6,71,33,46.5,aad56ca3
Lucas Gourna-Douath,MF,Saint-Étienne,17,20.0,12,2,16.7,3cd7820a
Jonathan Gradit,DF,Lens,28,34.1,5,0,0.0,06c48679
Andrew Gravillon,DF,Reims,23,23.7,16,4,25.0,49136c42
Adrian Grbić,FWMF,Lorient,24,5.8,12,7,58.3,4a987ffa
Ivo Grbić,GK,Lille,25,21.0,0,0,,3f034750
Etienne Green,GK,Saint-Étienne,21,13.3,0,0,,667b65da
Gabriel Gudmundsson,DFMF,Lille,22,14.9,19,6,31.6,d5d22a58
Noah Guede-Nadje,MF,Angers,17,0.0,0,0,,94b442c0
Mattéo Guendouzi,MF,Marseille,22,35.0,50,18,36.0,5ea8ef20
Yanis Guermouche,MFFW,Montpellier,20,0.1,0,0,,642f9f79
Evann Guessand,FW,Nice,20,4.9,12,5,41.7,b73f17f8
Lamine Gueye,FWMF,Metz,23,6.2,14,7,50.0,9d5dcc23
Pape Gueye,MF,Marseille,22,17.0,30,4,13.3,7155e3e1
Josuha Guilavogui,MFDF,Bordeaux,30,14.8,9,3,33.3,e6c43eec
Frederic Guilbert,DF,Strasbourg,26,28.0,24,5,20.8,5d8d7454
Bruno Guimarães,MF,Lyon,23,18.2,11,2,18.2,82518f62
Sehrou Guirassy,FW,Rennes,25,11.3,46,17,37.0,923f4dda
Malo Gusto,DF,Lyon,18,20.9,11,0,0.0,d56b9520
Massadio Haïdara,DF,Lens,28,12.0,5,2,40.0,5167c97e
Oualid El Hajjam,DF,Troyes,30,11.9,10,3,30.0,9f29c204
Achraf Hakimi,DF,Paris S-G,22,27.5,20,10,50.0,e42d61c7
Pierre-Yves Hamel,FWMF,Lorient,27,0.3,0,0,,a99da9ec
Pierre-Yves Hamel,FW,Clermont Foot,27,5.8,13,4,30.8,a99da9ec
Romain Hamouma,FWMF,Saint-Étienne,34,9.8,23,7,30.4,0b4d8274
Amine Harit,FWMF,Marseille,24,12.9,15,7,46.7,e7d59f4f
Henrique,DF,Lyon,27,12.3,5,0,0.0,f28474a4
Luis Henrique,FWMF,Marseille,19,7.8,6,2,33.3,f36d5624
Christophe Hérelle,DF,Brest,28,21.5,6,2,33.3,3681cfff
Jérôme Hergault,DF,Lorient,35,3.9,1,0,0.0,a84f9a4b
Ander Herrera,MF,Paris S-G,31,12.1,14,3,21.4,436a9dd0
Franck Honorat,FWMF,Brest,24,32.2,60,30,50.0,db7849ca
Fraser Hornby,FWMF,Reims,21,3.9,6,2,33.3,29aee77c
Cédric Hountondji,DF,Clermont Foot,27,22.6,8,3,37.5,00891164
Suk Hyun-jun,FWMF,Troyes,30,1.7,8,2,25.0,7ffaf233
Mauro Icardi,FW,Paris S-G,28,11.4,28,9,32.1,43b78598
Jonathan Iglesias,MF,Clermont Foot,32,6.4,1,0,0.0,639ca1cf
Juan Ignacio Ramírez,FW,Saint-Étienne,24,1.4,2,0,0.0,ad513a6b
Danylo Ihnatenko,MF,Bordeaux,24,7.7,12,1,8.3,65bbfba3
Jonathan Ikone,MFFW,Lille,23,11.8,22,8,36.4,42eaa028
Bonke Innocent,MF,Lorient,25,9.7,3,1,33.3,546bb36e
Wilson Isidor,FWMF,Monaco,20,0.6,1,0,0.0,a671316d
Ismail Jakobs,DFFW,Monaco,21,13.4,5,1,20.0,a0415710
Marin Jakoliš,FW,Angers,24,2.5,9,3,33.3,96f4ebc0
Abdel Jalil Medioub,DF,Bordeaux,23,6.9,3,0,0.0,4937a9f7
Corentin Jean,FWMF,Lens,26,2.8,7,2,28.6,7d9b37bf
Jemerson,DF,Metz,28,13.4,5,2,40.0,7cab69b5
Moritz Jenz,DF,Lorient,22,15.3,9,1,11.1,ee644761
Lenny Joseph,FWMF,Metz,20,1.7,0,0,,d1828392
Issa Kaboré,DF,Troyes,20,25.0,7,2,28.6,c066d1a5
Tino Kadewere,FW,Lyon,25,5.6,18,7,38.9,7d08063d
Gaël Kakuta,MFFW,Lens,30,18.6,40,14,35.0,5b1bf5e3
Arnaud Kalimuendo,FW,Paris S-G,19,0.1,0,0,,bf4c41f9
Arnaud Kalimuendo,FW,Lens,19,23.9,60,29,48.3,bf4c41f9
Samuel Kalu,FWMF,Bordeaux,23,3.6,13,8,61.5,b8d22478
Boubacar Kamara,MFDF,Marseille,21,30.9,22,3,13.6,cc77354e
Hassane Kamara,MFDF,Nice,27,6.0,13,1,7.7,19a12bed
Jean-Armel Kana-Biyik,DF,Metz,32,7.4,1,0,0.0,76a4233b
Nordine Kandil,MFFW,Strasbourg,19,1.0,1,0,0.0,c5908bc4
Eiji Kawashima,GK,Strasbourg,38,1.0,0,0,,a4527d33
Ilan Kebbal,MFFW,Reims,23,19.7,27,6,22.2,37d04e90
Thilo Kehrer,DF,Paris S-G,24,16.8,9,4,44.4,51dbeea9
Habib Keita,MFFW,Lyon,19,0.1,2,2,100.0,cc588cbe
Saîf-Eddine Khaoui,MFFW,Clermont Foot,26,10.3,20,7,35.0,796b1c41
Wahbi Khazri,FWMF,Saint-Étienne,30,24.7,69,18,26.1,2677a1de
Presnel Kimpembe,DF,Paris S-G,25,28.6,7,1,14.3,aef6e670
Thibault Klidje,MFFW,Bordeaux,20,1.0,1,0,0.0,db013c7d
Justin Kluivert,MF,Nice,22,20.8,30,10,33.3,4c3a6744
Samuel Koeberlé,FW,Reims,16,0.0,0,0,,6751b938
Philippe Koffi,FW,Reims,19,4.2,9,2,22.2,9f1c2822
Sead Kolašinac,DF,Marseille,28,4.9,0,0,,3935e52e
Randal Kolo Muani,FWMF,Nantes,22,32.8,54,26,48.1,c0b3669f
Timothée Kolodziejczak,DF,Saint-Étienne,29,28.5,15,6,40.0,ab096c6f
Ghislain Konan,DF,Reims,25,26.9,19,5,26.3,6b2c894b
Ibrahima Koné,FW,Lorient,22,8.1,15,8,53.3,04bb2b06
Youssouf Koné,DF,Troyes,26,10.9,9,3,33.3,e6eadfb8
Laurent Koscielny,DF,Bordeaux,35,10.4,0,0,,f5efb153
Rominigue Kouamé,MF,Troyes,24,33.0,37,11,29.7,86a2ba20
Boubakar Kouyaté,DF,Metz,24,29.6,22,6,27.3,562a4799
Jean-Philippe Krasso,FW,Saint-Étienne,24,5.0,12,2,16.7,037f2523
Mykola Kukharevych,FW,Troyes,20,0.2,1,0,0.0,8197a269
Enock Kwateng,DF,Bordeaux,24,22.2,7,3,42.9,4bf69118
Grejohn Kyei,FW,Clermont Foot,25,4.4,11,3,27.3,397ba086
Gaëtan Laborde,FW,Montpellier,27,3.8,14,4,28.6,7cdda3bf
Gaëtan Laborde,FW,Rennes,27,30.3,84,32,38.1,7cdda3bf
Tom Lacoux,DFMF,Bordeaux,19,10.1,2,0,0.0,295ba708
Lenny Lacroix,DF,Metz,18,2.2,2,0,0.0,5413ef36
Alban Lafont,GK,Nantes,22,38.0,0,0,,4e7db402
Mohamed Lamine Bayo,FW,Clermont Foot,23,26.8,63,26,41.3,01870104
Didier Lamkel Zé,FW,Metz,24,6.7,14,7,50.0,b229aa13
Julien Laporte,DF,Lorient,27,32.1,17,3,17.6,f066022d
Yasser Larouci,DF,Troyes,20,3.8,3,1,33.3,0ed063d6
Paul Lasne,MF,Brest,32,9.4,8,1,12.5,542cc80f
Armand Lauriente,FWMF,Lorient,22,27.5,84,36,42.9,2d22cea7
Théo Le Bris,MF,Lorient,18,0.7,0,0,,afe39ca8
Jérémy Le Douaron,FWMF,Brest,23,16.1,35,16,45.7,88c4d190
Enzo Le Fée,MFFW,Lorient,21,24.4,33,9,27.3,6f806d99
Vincent Le Goff,DF,Lorient,31,34.0,27,4,14.8,2321ea6e
Maxime Le Marchand,DF,Strasbourg,31,9.6,3,2,66.7,321a71a7
Jean-Louis Leca,GK,Lens,35,25.7,0,0,,edbe46dc
Félix Lemaréchal,MF,Monaco,17,0.1,0,0,,8ca9415f
Mario Lemina,MF,Nice,27,21.9,16,4,25.0,2b471f99
Fabien Lemoine,MF,Lorient,34,12.4,4,0,0.0,54d51e22
Léo Leroy,MF,Montpellier,21,7.0,8,3,37.5,fcc84a07
Alexandre Letellier,GK,Paris S-G,30,0.1,0,0,,96fcd380
Yanis Lhery,FWMF,Saint-Étienne,18,0.8,2,1,50.0,cc972842
Dimitri Liénard,DFMF,Strasbourg,33,22.7,23,3,13.0,f7691f63
Isaac Lihadji,MFFW,Lille,19,2.6,3,2,66.7,57a46f3f
Pol Lirola,DFFW,Marseille,23,19.7,13,2,15.4,ff800ed8
Banzouzi Locko,MFDF,Reims,19,11.2,7,2,28.6,40221fa7
Anthony Lopes,GK,Lyon,30,33.1,0,0,,f00de885
Pau López,GK,Marseille,26,29.0,0,0,,20b9f052
