Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Andreas Christensen,DF,Chelsea,25,16.6,5,0,0.0,1cb49278
Carney Chukwuemeka,MFFW,Aston Villa,17,3.3,4,1,25.0,b2f9c73e
Ciaran Clark,DF,Newcastle Utd,31,11.3,7,1,14.3,2b91cf8e
Tom Cleverley,MF,Watford,31,18.0,12,7,58.3,6cdd8245
Nathaniel Clyne,DF,Crystal Palace,30,15.0,3,2,66.7,0442183b
Conor Coady,DF,Wolves,28,37.3,12,4,33.3,2928dca2
Séamus Coleman,DF,Everton,32,29.5,8,1,12.5,0420d84f
Nathan Collins,DF,Burnley,20,18.6,15,5,33.3,a8c19eb8
Aaron Connolly,FWMF,Brighton,21,1.7,2,0,0.0,27c01749
Liam Cooper,DF,Leeds United,29,20.2,6,1,16.7,dc64b8b3
Jack Cork,MF,Burnley,32,18.6,7,1,14.3,74e12f1e
Maxwel Cornet,FWMF,Burnley,24,19.6,46,22,47.8,beb391dd
Hélder Costa,MF,Leeds United,27,0.2,1,0,0.0,f13d02a6
Vladimír Coufal,DF,West Ham,28,24.5,11,4,36.4,fdf3cb77
Philippe Coutinho,MFFW,Aston Villa,29,14.8,43,16,37.2,0ef89a37
Aaron Cresswell,DF,West Ham,31,30.3,18,3,16.7,4f974391
Charlie Cresswell,DF,Leeds United,18,1.6,1,0,0.0,4654e5f5
Cucho,FWMF,Watford,22,12.7,34,10,29.4,71b47ab9
Marc Cucurella,DF,Brighton,23,34.3,18,3,16.7,1daec722
Luke Cundle,MF,Wolves,19,2.0,0,0,,cc3b8e78
Patson Daka,FW,Leicester City,22,12.9,26,15,57.7,ca45605e
Stuart Dallas,DFMF,Leeds United,30,32.4,30,8,26.7,67ca8566
Diogo Dalot,DF,Manchester Utd,22,20.0,13,4,30.8,d9565625
Karl Darlow,GK,Newcastle Utd,30,8.0,0,0,,cde3309f
Josh Dasilva,MFFW,Brentford,22,2.9,1,0,0.0,60344e4f
Ben Davies,DF,Tottenham,28,28.2,18,7,38.9,44781702
Tom Davies,MF,Everton,23,2.6,6,2,33.3,9228b07c
Keinan Davis,FW,Aston Villa,23,0.1,0,0,,9deaf2c8
Craig Dawson,DF,West Ham,31,30.6,25,5,20.0,3e9e06cb
Kevin De Bruyne,MF,Manchester City,30,24.5,78,31,39.7,e46012d4
Troy Deeney,FW,Watford,33,0.3,2,0,0.0,82e34b69
Liam Delap,FW,Manchester City,18,0.1,0,0,,dd897ee7
Fabian Delph,MF,Everton,31,7.4,2,0,0.0,111c3236
Leander Dendoncker,MF,Wolves,26,21.7,23,10,43.5,5a7301ae
Emmanuel Dennis,FWMF,Watford,23,28.7,60,26,43.3,2c44a35d
Kiernan Dewsbury-Hall,MF,Leicester City,22,23.4,21,3,14.3,5c74c0f5
Ibrahima Diallo,MF,Southampton,22,11.4,8,4,50.0,11ff3d56
Rúben Dias,DF,Manchester City,24,26.7,18,3,16.7,31c69ef1
Luis Díaz,FW,Liverpool,24,10.6,38,13,34.2,4a1a9578
Eric Dier,DF,Tottenham,27,34.1,13,4,30.8,ac861941
Lucas Digne,DF,Aston Villa,28,14.1,9,2,22.2,1b84dbe1
Lucas Digne,DF,Everton,28,13.0,9,1,11.1,1b84dbe1
