,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,4,0,78,0.9,0,0,0,0,8f5cdf66
Tammy Abraham,FW,Roma,25-176,27,20,1743,19.4,6,3,1,0,f586779e
Christian Acella,MF,Cremonese,20-263,1,0,15,0.2,0,0,0,0,771a2cfe
Francesco Acerbi,DF,Inter,35-045,20,17,1605,17.8,0,1,3,0,b96b595c
Yacine Adli,MFFW,Milan,22-241,5,1,124,1.4,0,0,1,0,26777636
Michel Aebischer,FWMF,Bologna,26-080,23,11,1011,11.2,1,0,3,0,f*9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,16,5,605,6.7,0,0,2,0,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,26,21,1788,19.9,0,1,3,0,46fa7204
Ola Aina,DF,Torino,26-170,16,9,807,9.0,1,1,5,0,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,18,14,1299,14.4,0,0,3,0,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,16,11,922,10.2,0,0,8,2,fdf4b948
Luis Alberto,MF,Lazio,30-180,24,16,1473,16.4,5,3,2,0,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,18,1,312,3.5,1,1,1,0,ab472696
Kelvin Amian,DF,Spezia,25-047,20,16,1499,16.7,0,1,4,0,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,1,1,58,0.6,0,0,1,0,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,16,16,1330,14.8,0,1,7,0,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,21,21,1810,20.1,0,1,5,0,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,24,20,1657,18.4,0,0,9,0,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,27,25,2105,23.4,6,2,1,0,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,2,0,52,0.6,1,0,0,0,38d9ce53
Marcos Antônio,MF,Lazio,22-287,11,3,311,3.5,0,0,1,0,108fe016
Valentin Antov,DF,Monza,22-138,5,1,198,2.2,0,0,1,0,8f68aa41
Marko Arnautović,FW,Bologna,33-342,16,14,1231,13.7,8,0,5,0,00459419
Tolgay Arslan,MF,Udinese,32-223,26,11,928,10.3,1,0,1,0,963a328b
Arthur,FW,Fiorentina,24-336,22,9,928,10.3,6,1,2,0,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,13,7,727,8.1,0,0,1,0,e26fcca3
Kristoffer Askildsen,MF,Lecce,22-077,18,6,622,6.9,0,0,3,0,a69cc629
Kristjan Asllani,MF,Inter,21-018,12,2,294,3.3,0,0,2,0,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,25,25,2250,25.0,0,0,1,0,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,26,24,2074,23.0,2,2,1,0,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,10,5,545,6.1,0,0,1,0,2200181e
Jaime Báez,DF,Cremonese,27-336,2,1,96,1.1,0,0,0,0,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,19,8,940,10.4,1,1,1,0,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,7,2,317,3.5,1,0,0,0,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,2,0,33,0.4,0,0,0,0,59bf127b
Tommaso Baldanzi,MF,Empoli,20-004,18,16,1158,12.9,4,0,1,0,102e2599
Fodé Ballo-Touré,DF,Milan,26-083,4,3,286,3.2,1,0,0,0,f449640d
Lameck Banda,FWMF,Lecce,22-057,26,13,1180,13.1,1,1,4,0,8a6de8c7
Filippo Bandinelli,MF,Empoli,27-363,26,21,1739,19.3,2,0,6,0,d44360be
Antonín Barák,MF,Hellas Verona,28-114,1,0,25,0.3,0,0,0,0,01efac19
Antonín Barák,MF,Fiorentina,28-114,22,15,1318,14.6,2,0,3,0,01efac19
Andrea Barberis,MF,Monza,29-106,7,3,316,3.5,0,1,0,0,32ebfe1e
Nicolò Barella,MF,Inter,26-048,26,24,2010,22.3,5,6,5,0,6928979a
Enzo Barrenechea,MF,Juventus,21-309,2,2,113,1.3,0,0,0,0,6caffe81
Musa Barrow,FWMF,Bologna,24-133,21,15,1198,13.3,2,2,2,0,e5bf73f3
Federico Baschirotto,DF,Lecce,26-188,26,26,2340,26.0,3,0,5,0,5a08ee41
Toma Bašić,MF,Lazio,26-122,18,4,422,4.7,0,0,2,0,80556f08
Alessandro Bastoni,DF,Inter,23-348,21,19,1627,18.1,0,2,2,0,75b86fb3
Simone Bastoni,MFDF,Spezia,26-142,13,12,946,10.5,2,2,4,0,1ac232b8
Brian Bayeye,DF,Torino,22-270,1,1,54,0.6,0,0,0,0,78e6bf2c
Rodrigo Becão,DF,Udinese,27-067,21,21,1862,20.7,2,1,10,0,19e4eab9
Julius Beck,MF,Spezia,17-334,1,0,10,0.1,0,0,0,0,e892c325
Raoul Bellanova,DFMF,Inter,22-314,11,0,167,1.9,0,0,0,0,e3756e72
Andrea Belotti,FW,Roma,29-097,22,4,614,6.8,0,0,0,0,d705ba44
Marco Benassi,DF,Fiorentina,28-200,2,1,93,1.0,0,0,0,0,0000acda
Marco Benassi,MF,Cremonese,28-200,9,7,664,7.4,0,0,1,0,0000acda
Ismaël Bennacer,MF,Milan,25-116,22,19,1625,18.1,1,2,5,0,db092d3b
Domenico Berardi,FW,Sassuolo,28-238,17,14,1174,13.0,6,5,5,0,53a0e358
Bartosz Bereszyński,DF,Sampdoria,30-258,15,15,1198,13.3,0,0,1,0,61b3978f
Beto,FW,Udinese,25-055,27,19,1709,19.0,9,1,2,0,ed5c0319
Matteo Bianchetti,DF,Cremonese,30-010,20,18,1693,18.8,1,0,3,0,b3a20f18
Alessandro Bianco,MF,Fiorentina,20-177,3,2,112,1.2,0,0,0,0,d65cf468
Jaka Bijol,DF,Udinese,24-050,22,22,1833,20.4,3,1,6,0,6fdac234
Cristiano Biraghi,DF,Fiorentina,30-207,25,23,1982,22.0,1,2,0,0,9e1577aa
Samuele Birindelli,DF,Monza,23-251,22,13,1087,12.1,0,1,6,0,204ac005
Kristijan Bistrović,MF,Lecce,24-352,11,5,461,5.1,0,0,0,0,79370f8c
Alexis Blin,MFDF,Lecce,26-192,25,17,1608,17.9,1,0,4,0,c69ef855
Jeremie Boga,MFFW,Atalanta,26-083,17,5,585,6.5,1,5,0,0,fe012aca
Emil Bohinen,MF,Salernitana,24-015,13,6,492,5.5,0,0,0,0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,33-217,23,18,1556,17.3,3,0,4,0,d995ed27
Federico Bonazzoli,FWMF,Salernitana,25-310,22,12,1075,11.9,2,1,1,0,bf57eaab
Warren Bondo,MF,Monza,19-193,4,0,60,0.7,0,0,1,0,0def2376
Kevin Bonifazi,DF,Bologna,26-312,7,4,416,4.6,0,0,1,0,fb77bfef
