,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Leonardo Bonucci,DF,Juventus,35-330,13,7,692,7.7,1,0,1,0,52ec54d0
Erik Botheim,FW,Salernitana,23-076,18,3,355,3.9,1,1,1,0,3d13d9e4
Mehdi Bourabia,MF,Spezia,31-232,27,26,2088,23.2,0,2,3,0,0d077b88
Edoardo Bove,MF,Roma,20-315,13,3,332,3.7,0,0,2,0,ae94a6c5
Jayden Braaf,MF,Hellas Verona,20-208,4,2,225,2.5,0,0,1,0,c609e90e
Domagoj Bradarić,DF,Salernitana,23-107,22,16,1535,17.1,0,2,4,0,8bbe2df5
Josip Brekalo,FW,Fiorentina,24-277,2,0,64,0.7,0,0,1,0,d4a2533d
Gleison Bremer,DF,Juventus,26-009,23,23,2016,22.4,3,1,5,0,5fd5ed86
Dylan Bronn,DF,Salernitana,27-281,20,16,1425,15.8,0,0,3,1,edd81e2a
Marcelo Brozović,MF,Inter,30-131,17,11,1013,11.3,2,0,5,0,33b8d077
Cristian Buonaiuto,MFFW,Cremonese,30-088,19,3,591,6.6,0,0,2,0,f3a9fa26
Alessandro Buongiorno,DF,Torino,23-294,23,19,1743,19.4,0,1,8,0,4ae67f27
Juan Cabal,DF,Hellas Verona,22-078,5,0,147,1.6,0,0,1,0,ef6eef89
Liberato Cacace,DF,Empoli,22-181,8,3,387,4.3,0,0,1,0,dd86e8e4
Davide Calabria,DF,Milan,26-111,15,13,1015,11.3,1,2,4,0,2146785a
Mattia Caldara,DF,Spezia,28-326,18,12,1162,12.9,0,0,6,0,ac7e640b
Luca Caldirola,DF,Monza,32-054,22,19,1657,18.4,0,0,4,0,226008f1
Hakan Çalhanoğlu,MF,Inter,29-047,26,23,1924,21.4,2,5,2,0,cd0fa27b
Mohamed Camara,MF,Roma,26-027,10,5,412,4.6,0,0,2,0,13ea2544
Nicolò Cambiaghi,FWMF,Empoli,22-089,17,4,578,6.4,3,1,1,0,91ff775f
Andrea Cambiaso,DF,Bologna,23-035,25,19,1620,18.0,0,2,2,0,247ed022
Matteo Cancellieri,FW,Lazio,21-043,18,1,243,2.7,0,0,3,0,b6a1cdf9
Antonio Candreva,DFMF,Salernitana,36-027,26,24,2075,23.1,3,3,3,1,356c9002
Gianluca Caprari,MFFW,Monza,29-240,27,24,1807,20.1,4,2,4,0,54e53b7e
Francesco Caputo,FW,Sampdoria,35-233,15,13,1094,12.2,1,0,0,0,5bd72174
Francesco Caputo,FW,Empoli,35-233,12,11,963,10.7,1,4,1,0,5bd72174
Andrea Carboni,DF,Monza,22-051,4,1,167,1.9,0,0,0,0,f7e2af2c
Franco Carboni,DF,Monza,19-357,2,0,58,0.6,0,0,0,0,b033f803
Valentin Carboni,MFDF,Inter,18-022,5,0,25,0.3,0,0,0,0,707b98f1
Carlos,DF,Monza,24-079,24,24,2093,23.3,5,4,2,0,8d3cd59d
Marco Carnesecchi,GK,Cremonese,22-269,18,18,1620,18.0,0,1,1,0,8ec56e62
Nicolò Casale,DF,Lazio,25-041,19,19,1675,18.6,1,1,5,0,3f5f38fb
Tommaso Cassandro,DF,Lecce,23-077,1,0,13,0.1,0,0,0,0,6c4307ee
Michele Castagnetti,MF,Cremonese,33-090,16,7,757,8.4,0,1,2,0,ad92526f
Gaetano Castrovilli,MF,Fiorentina,26-038,6,0,122,1.4,0,0,1,0,0728bebe
Danilo Cataldi,MF,Lazio,28-233,24,22,1635,18.2,0,1,4,0,ba3d3bea
Pietro Ceccaroni,DF,Lecce,27-096,1,0,23,0.3,0,0,0,0,4d1efb48
Federico Ceccherini,DF,Hellas Verona,30-320,15,14,1033,11.5,1,0,7,1,d9624b51
Assan Ceesay,FW,Lecce,29-010,23,14,1178,13.1,4,0,1,0,07f8bcc8
Emil Ceide,FW,Sassuolo,21-205,14,3,332,3.7,0,0,0,0,98a84572
Zeki Çelik,DF,Roma,26-038,16,10,1013,11.3,0,0,5,0,31a62dc7
Federico Chiesa,DFMF,Juventus,25-153,11,2,394,4.4,0,3,1,0,b0f7e36c
Vlad Chiricheș,DF,Cremonese,33-133,11,10,726,8.1,0,0,2,0,c316607a
Daniel Ciofani,FW,Cremonese,37-239,24,5,631,7.0,5,0,0,0,b09a3ecc
Tio Cipot,FWDF,Spezia,19-341,4,0,67,0.7,0,0,0,0,039a4fb6
Patrick Ciurria,DFMF,Monza,28-046,25,20,1785,19.8,4,4,2,0,5de3866c
Omar Colley,DF,Sampdoria,30-154,16,15,1384,15.4,1,0,5,0,8b95acda
Lorenzo Colombo,FW,Lecce,21-019,24,13,1188,13.2,4,2,4,0,04df29a5
Andrea Colpani,MF,Monza,23-320,19,4,537,6.0,2,0,1,0,6499048c
Andrea Consigli,GK,Sassuolo,36-059,25,25,2250,25.0,0,0,0,0,8cabdc1e
Andrea Conti,DF,Sampdoria,29-025,1,0,23,0.3,0,0,0,0,8fef5412
Diego Coppola,DF,Hellas Verona,19-089,13,11,1024,11.4,0,0,5,0,22ae86f9
Joaquín Correa,FW,Inter,28-226,18,4,448,5.0,3,1,1,0,45b9b619
Alessandro Cortinovis,MF,Hellas Verona,22-061,1,0,6,0.1,0,0,0,0,bfc359ed
Lassana Coulibaly,MF,Salernitana,26-351,25,24,2056,22.8,2,2,8,0,85a44ecc
Alessio Cragno,GK,Monza,28-272,1,1,90,1.0,0,0,0,0,f554e29b
Bryan Cristante,MF,Roma,28-024,26,26,2170,24.1,1,1,6,1,16657b95
Domen Črnigoj,MF,Salernitana,27-129,7,4,296,3.3,0,0,1,0,22cd43d2
Juan Cuadrado,DFFW,Juventus,34-305,21,16,1320,14.7,1,3,3,1,0ab1f153
Mickaël Cuisance,MF,Sampdoria,23-223,6,6,378,4.2,0,0,1,0,5722eced
Marco D'Alessandro,DFFW,Monza,32-038,8,3,290,3.2,0,0,2,0,060606ec
Danilo D'Ambrosio,DF,Inter,34-199,9,2,280,3.1,0,1,2,1,44eb9093
Luca D'Andrea,FW,Sassuolo,18-202,5,5,316,3.5,0,1,0,0,f778fe3f
Flavius Daniliuc,DF,Salernitana,21-334,18,16,1481,16.5,0,2,6,0,7ef972c3
Danilo,DF,Juventus,31-255,27,26,2353,26.1,3,3,4,0,94b2001f
Matteo Darmian,DF,Inter,33-115,22,18,1441,16.0,1,2,3,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,27-311,16,14,1130,12.6,1,1,5,1,16bb656a
Charles De Ketelaere,MF,Milan,22-017,23,7,872,9.7,0,1,2,0,2ef7c612
Manuel De Luca,FWMF,Sampdoria,24-253,2,0,44,0.5,0,0,0,0,60e3603d
Mattia De Sciglio,DF,Juventus,30-158,15,9,921,10.2,0,0,0,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,34-308,9,5,518,5.8,0,0,1,0,e74f0e59
Koni De Winter,DF,Empoli,20-288,12,10,895,9.9,0,0,3,0,f4797849
Grégoire Defrel,FW,Sassuolo,31-283,16,8,683,7.6,1,0,2,0,854ee61a
Duccio Degli Innocenti,MF,Empoli,19-333,1,0,3,0.0,0,0,0,0,0e0d6c53
Merih Demiral,DF,Atalanta,25-022,22,14,1441,16.0,1,0,5,0,e3cceee6
Diego Demme,MF,Napoli,31-126,4,0,27,0.3,0,0,0,0,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,25-337,21,16,1492,16.6,2,2,3,0,d97f2e8d
Fabio Depaoli,DFMF,Sampdoria,25-337,3,1,136,1.5,0,0,1,0,d97f2e8d
Kastriot Dermaku,DF,Lecce,31-071,1,0,34,0.4,0,0,0,0,2990c466
Cyriel Dessers,FW,Cremonese,28-109,21,16,1334,14.8,5,0,3,0,dcb38abe
Sergiño Dest,DF,Milan,22-144,8,2,329,3.7,0,0,0,0,5976f83e
Mattia Destro,FW,Empoli,32-007,10,6,456,5.1,1,0,2,0,d7d32194
Gerard Deulofeu,FW,Udinese,29-014,16,15,1211,13.5,2,6,1,0,39583cfd
Samuel Di Carmine,FWMF,Cremonese,34-179,2,0,28,0.3,0,0,0,0,ef94dc2f
Federico Di Francesco,FWMF,Lecce,28-286,26,17,1413,15.7,1,2,4,0,1fca9171
Michele Di Gregorio,GK,Monza,25-243,26,26,2340,26.0,0,0,0,0,4e0c8d66
Giovanni Di Lorenzo,DF,Napoli,29-235,27,27,2418,26.9,1,4,2,0,230a2fac
Ángel Di María,FWMF,Juventus,35-041,16,11,876,9.7,4,4,0,1,19cda00b
Boulaye Dia,FW,Salernitana,26-131,24,19,1764,19.6,10,4,3,0,244bc2c8
Brahim Díaz,MF,Milan,23-236,23,19,1308,14.5,4,3,2,0,407feb71
Federico Dimarco,DF,Inter,25-137,25,21,1677,18.6,3,2,0,0,970b8574
Koffi Djidji,DF,Torino,30-117,24,20,1831,20.3,1,0,2,0,933d3b51
Berat Djimsiti,DF,Atalanta,30-036,14,10,936,10.4,0,0,2,0,6eee05f1
Dodô,DF,Fiorentina,24-130,23,20,1661,18.5,0,2,5,1,b5f7d10b
Josh Doig,DF,Hellas Verona,20-313,19,14,1240,13.8,2,3,1,0,2f69d881
Nicolás Domínguez,MF,Bologna,24-272,21,18,1581,17.6,1,2,7,0,20b3a502
Giulio Donati,DF,Monza,33-050,6,3,309,3.4,1,0,3,1,22051fbe
Bartłomiej Drągowski,GK,Spezia,25-220,25,25,2136,23.7,0,0,1,0,085e71a7
Ondrej Duda,MF,Hellas Verona,28-112,8,7,624,6.9,0,0,3,0,79ca3e23
Denzel Dumfries,DF,Inter,26-343,24,18,1561,17.3,1,3,4,0,481c9ece
Alfred Duncan,MF,Fiorentina,30-017,16,7,611,6.8,0,0,2,0,528492ea
Paulo Dybala,MFFW,Roma,29-132,20,18,1431,15.9,9,6,3,0,e0921a4f
Edin Džeko,FW,Inter,37-010,27,17,1566,17.4,7,3,3,0,3bb7f478
Festy Ebosele,DFFW,Udinese,20-237,9,1,154,1.7,0,0,3,0,dbfa4f16
Enzo Ebosse,DF,Udinese,24-016,20,9,930,10.3,0,0,3,0,9ba7b4fa
Tyronne Ebuehi,DF,Empoli,27-101,16,12,1070,11.9,2,1,0,0,6af30900
Éderson,MF,Atalanta,23-263,24,16,1446,16.1,1,0,3,0,a9202def
Kingsley Ehizibue,DF,Udinese,27-306,21,10,1055,11.7,2,0,5,0,76b2817e
Albin Ekdal,MF,Spezia,33-242,20,9,953,10.6,0,2,4,1,f503ea63
Emmanuel Ekong,FWMF,Empoli,20-275,2,0,20,0.2,0,0,0,0,c20892ee
Mikael Ellertsson,MFDF,Spezia,21-016,11,1,171,1.9,0,0,3,0,c55967eb
Elif Elmas,FWMF,Napoli,23-184,26,7,1019,11.3,6,2,3,0,cf007308
Martin Erlic,DF,Sassuolo,25-062,20,19,1698,18.9,0,0,2,0,0fee6bda
Gonzalo Escalante,MF,Cremonese,30-000,9,7,555,6.2,0,1,0,1,3f79a1c8
Salvatore Esposito,MF,Spezia,22-171,5,2,216,2.4,0,0,3,1,5cf5c9ad
Nicolò Fagioli,MF,Juventus,22-043,18,10,955,10.6,2,3,2,0,366be751
Wladimiro Falcone,GK,Lecce,27-349,27,27,2430,27.0,0,0,1,0,9f5a610b
Davide Faraoni,DF,Hellas Verona,31-153,13,11,791,8.8,1,2,4,0,aae9d04a
Federico Fazio,DF,Salernitana,36-010,13,12,1063,11.8,1,0,2,1,4e358a2d
Jacopo Fazzini,MF,Empoli,20-011,14,3,366,4.1,0,0,3,0,06b08c45
Lewis Ferguson,MF,Bologna,23-215,21,18,1539,17.1,4,0,4,0,ee64a822
Alex Ferrari,DF,Sampdoria,28-269,12,10,868,9.6,0,0,3,0,d0dbca9f
Alex Ferrari,DF,Cremonese,28-269,10,9,682,7.6,0,0,3,0,d0dbca9f
Salvador Ferrer,DF,Spezia,25-065,3,0,102,1.1,0,0,0,0,eb76987d
Alessandro Florenzi,DF,Milan,32-016,3,1,111,1.2,0,0,0,0,e288d4b3
Davide Frattesi,MF,Sassuolo,23-156,27,26,2150,23.9,6,0,3,0,2a7d27c1
Matteo Gabbia,DF,Milan,23-157,11,6,603,6.7,0,0,2,0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,31-121,24,16,1451,16.1,6,1,5,0,8f866fe8
Gianluca Gaetano,MF,Napoli,22-326,5,0,40,0.4,0,1,0,0,3b387cc7
Roberto Gagliardini,MF,Inter,28-354,12,3,414,4.6,0,0,1,0,ce30bfc8
Adolfo Gaich,FW,Hellas Verona,24-029,7,4,371,4.1,0,0,0,0,8dfed6e9
Pablo Galdames Millán,MFDF,Cremonese,26-087,4,2,184,2.0,0,0,0,0,dd403465
Antonino Gallo,DF,Lecce,23-081,22,19,1692,18.8,0,1,4,1,c74d63ac
Federico Gatti,DF,Juventus,24-276,8,7,634,7.0,0,0,3,0,18dd3219
Valentin Gendrey,DF,Lecce,22-279,27,25,2251,25.0,0,1,3,0,822ed0ec
Paolo Ghiglione,DF,Cremonese,26-053,11,6,534,5.9,0,1,2,0,71dc23da
Mario Gila,DF,Lazio,22-210,4,0,90,1.0,0,0,0,0,9c435456
Gvidas Gineitis,MF,Torino,18-346,2,1,46,0.5,0,0,1,0,548bd0de
Olivier Giroud,FW,Milan,36-178,24,19,1577,17.5,8,4,7,1,16ceb862
Pierluigi Gollini,GK,Fiorentina,28-009,3,3,270,3.0,0,0,0,0,f0f7f62f
Pierluigi Gollini,GK,Napoli,28-009,1,1,90,1.0,0,0,0,0,f0f7f62f
Joan Gonzàlez,MF,Lecce,21-054,26,22,1851,20.6,1,3,6,0,f025eade
Nicolás González,FWMF,Fiorentina,24-355,17,9,905,10.1,4,1,3,0,2374aaca
Robin Gosens,DFFW,Inter,28-265,23,5,664,7.4,1,0,1,0,2d970560
Alberto Grassi,MF,Empoli,28-020,15,7,569,6.3,0,0,2,0,6cc97b6a
Andrew Gravillon,DF,Torino,25-047,4,2,151,1.7,0,0,1,0,49136c42
Koray Günter,DF,Hellas Verona,28-223,13,11,1003,11.1,1,0,3,0,f1f1f238
Koray Günter,DFMF,Sampdoria,28-223,3,2,236,2.6,0,0,0,0,f1f1f238
Emmanuel Gyasi,FWDF,Spezia,29-075,24,24,1967,21.9,1,0,6,0,f9758dae
Norbert Gyömbér,DF,Salernitana,30-267,19,15,1150,12.8,0,0,3,0,0be276c6
Christian Gytkjær,FW,Monza,32-325,18,3,501,5.6,1,0,0,0,9250bcff
Nicolas Haas,MF,Empoli,27-063,18,10,956,10.6,1,0,2,0,fa449bba
Samir Handanović,GK,Inter,38-256,10,10,900,10.0,0,0,0,0,74419746
Abdou Harroui,MF,Sassuolo,25-073,16,2,338,3.8,1,0,1,0,65fd099c
Hans Hateboer,DF,Atalanta,29-077,17,17,1397,15.5,1,1,7,0,3b333ac3
Liam Henderson,MF,Empoli,26-336,18,9,783,8.7,0,1,8,0,d7918b13
Jack Hendry,DF,Cremonese,27-324,4,2,220,2.4,0,0,1,0,ffed43e3
Matheus Henrique,MF,Sassuolo,25-098,19,12,1196,13.3,2,0,2,0,a2d9f138
Thomas Henry,FW,Hellas Verona,28-188,16,13,1030,11.4,2,0,4,0,9ef42479
Theo Hernández,DF,Milan,25-172,23,23,2009,22.3,3,3,5,0,d4c9725f
Isak Hien,DF,Hellas Verona,24-073,22,18,1736,19.3,0,0,8,0,12806697
Morten Hjulmand,MF,Lecce,23-275,25,25,2127,23.6,0,4,7,1,d4456fb3
Emil Holm,DF,Spezia,22-318,20,17,1393,15.5,1,1,4,0,c2357b65
Martin Hongla,MF,Hellas Verona,25-011,9,6,523,5.8,0,0,4,0,b85bf253
Petko Hristov,DF,Spezia,24-026,9,4,365,4.1,0,0,0,0,d8800a46
Ajdin Hrustic,MF,Hellas Verona,26-265,6,3,226,2.5,0,0,0,0,1f2d714c
Elseid Hysaj,DF,Lazio,29-035,23,12,1169,13.0,0,1,3,0,2f3452eb
Rasmus Højlund,FW,Atalanta,20-051,23,14,1280,14.2,7,1,1,0,491a433d
Roger Ibanez,DF,Roma,24-124,26,26,2281,25.3,3,0,10,1,82efe6fa
Zlatan Ibrahimović,FW,Milan,41-175,4,1,146,1.6,1,0,0,0,4cde5509
Igor,DF,Fiorentina,25-048,20,16,1452,16.1,0,0,9,1,a4e85758
Jonathan Ikone,FW,Fiorentina,24-329,25,17,1513,16.8,2,4,3,0,42eaa028
Ivan Ilić,MF,Hellas Verona,22-010,11,10,851,9.5,0,1,1,0,bb376bed
Ivan Ilić,MF,Torino,22-010,5,4,396,4.4,0,1,1,0,bb376bed
Samuel Iling-Junior,DFFW,Juventus,19-174,7,0,115,1.3,0,1,1,0,ba492306
Emirhan İlkhan,MF,Torino,18-299,4,1,87,1.0,0,0,1,0,a47c6309
Emirhan İlkhan,MF,Sampdoria,18-299,2,0,48,0.5,0,0,0,0,a47c6309
Ciro Immobile,FW,Lazio,33-035,20,18,1452,16.1,9,3,3,0,4431aed2
Ardian Ismajli,DF,Empoli,26-178,20,18,1675,18.6,0,0,3,0,6b635f5c
Armando Izzo,DF,Monza,31-025,20,19,1620,18.0,1,0,5,0,89976232
Mato Jajalo,MF,Udinese,34-306,3,0,63,0.7,0,0,0,0,8c65eb5f
Jesé,FW,Sampdoria,30-029,5,1,116,1.3,0,1,0,0,4a537185
Juan Jesus,DF,Napoli,31-290,8,7,614,6.8,1,0,2,0,79083382
Þórir Jóhann Helgason,MF,Lecce,22-180,9,2,175,1.9,0,0,0,0,dc765618
Luka Jović,FW,Fiorentina,25-094,24,13,1163,12.9,4,0,2,0,4d8cd038
Hamed Junior Traorè,MFFW,Sassuolo,23-039,11,6,591,6.6,0,3,1,0,570bb4b9
Yayah Kallon,MFFW,Hellas Verona,21-270,20,7,778,8.6,1,1,1,0,f95f49d2
Pierre Kalulu,DF,Milan,22-295,27,22,2120,23.6,1,0,4,0,85f7d1be
Yann Karamoh,MFFW,Torino,24-262,12,4,426,4.7,3,0,1,0,8b66d9cc
Rick Karsdorp,DF,Roma,28-044,13,8,711,7.9,0,0,0,0,9f84febe
Denso Kasius,DF,Bologna,20-172,7,4,342,3.8,0,2,1,0,7ae36711
Grigoris Kastanos,MF,Salernitana,25-056,17,6,583,6.5,1,0,3,0,2a82aa85
Moise Kean,FW,Juventus,23-027,23,9,812,9.0,5,0,4,1,3d50bcdb
Jakub Kiwior,DF,Spezia,23-040,17,17,1443,16.0,0,0,3,0,dc3e663e
Simon Kjær,DF,Milan,34-001,11,8,668,7.4,0,0,4,0,8b8a56ce
Teun Koopmeiners,MF,Atalanta,25-027,24,23,2048,22.8,6,3,5,0,a26fb8aa
Filip Kostić,DFFW,Juventus,30-146,27,25,2000,22.2,3,8,3,0,b1cd37e6
Christian Kouamé,FW,Fiorentina,25-111,21,18,1506,16.7,2,2,3,0,58e933d2
Viktor Kovalenko,MF,Spezia,27-041,13,5,431,4.8,0,0,1,0,9d60028d
Julian Kristoffersen,FW,Salernitana,25-321,1,0,18,0.2,0,0,0,0,b804c280
Raimonds Krollis,FW,Spezia,21-150,1,0,15,0.2,0,0,0,0,b4101c2e
Rade Krunić,MFFW,Milan,29-171,15,11,1010,11.2,0,1,5,0,817c6964
Marash Kumbulla,DF,Roma,23-047,6,4,245,2.7,0,0,1,1,a40819d9
Khvicha Kvaratskhelia,FW,Napoli,22-043,23,22,1725,19.2,12,10,0,0,dea88efd
Giorgos Kyriakopoulos,FWDF,Bologna,27-050,7,3,278,3.1,0,2,0,0,0a483542
Giorgos Kyriakopoulos,FWDF,Sassuolo,27-050,12,9,766,8.5,1,1,3,0,0a483542
Sam Lammers,FW,Sampdoria,25-331,9,9,700,7.8,0,1,1,0,c283ddef
Sam Lammers,FW,Empoli,25-331,14,10,883,9.8,1,1,0,0,c283ddef
Kevin Lasagna,FWMF,Hellas Verona,30-229,22,13,1281,14.2,1,2,1,0,09538fdb
Armand Lauriente,FW,Sassuolo,24-113,20,20,1639,18.2,7,6,7,1,2d22cea7
Valentino Lazaro,DF,Torino,27-003,15,13,1065,11.8,0,2,4,0,016ff750
Marko Lazetić,FW,Milan,19-064,1,0,9,0.1,0,0,1,0,93088fbb
Darko Lazović,MFDF,Hellas Verona,32-193,23,22,1795,19.9,3,4,0,0,5128bde4
Manuel Lazzari,DF,Lazio,29-118,20,17,1391,15.5,0,0,5,0,02caf6e0
Rafael Leão,FWMF,Milan,23-290,25,21,1840,20.4,8,6,7,1,20730eae
Mehdi Léris,MFDF,Sampdoria,24-308,24,21,1798,20.0,0,1,11,0,7d3cbc67
Karol Linetty,MF,Torino,28-053,26,19,1604,17.8,1,0,6,0,d023d70f
Marcin Listkowski,MFFW,Lecce,25-045,5,0,77,0.9,0,0,0,0,a3695ac2
Diego Llorente,DF,Roma,29-223,2,0,33,0.4,0,0,0,0,bba30585
Stanislav Lobotka,MF,Napoli,28-122,27,25,2265,25.2,1,1,1,0,e1cbb531
