,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Tammy Abraham,FW,Roma,23,37,36,3084,34.3,17,4,9,0,f586779e
Francesco Acerbi,DF,Lazio,33,30,29,2536,28.2,4,0,2,1,b96b595c
Michel Aebischer,MF,Bologna,24,12,4,443,4.9,0,0,1,0,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,17,6,668,7.4,2,0,5,1,0154d290
Kevin Agudelo,MFFW,Spezia,22,23,12,1237,13.7,3,1,2,1,46fa7204
Ola Aina,DF,Torino,24,21,17,1437,16.0,0,0,4,0,246d153b
Marley Aké,FWMF,Juventus,20,4,0,77,0.9,0,0,1,0,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,10,4,315,3.5,0,0,1,0,fdf4b948
Luis Alberto,MF,Lazio,28,34,27,2353,26.1,5,9,5,0,5294a83f
Giorgio Altare,DF,Cagliari,22,19,17,1466,16.3,1,0,5,0,aa5322d5
Wisdom Amey,DF,Bologna,15,1,1,71,0.8,0,0,0,0,35b4bc62
Kelvin Amian,DF,Spezia,23,32,31,2646,29.4,1,1,9,2,bcc81786
Nadiem Amiri,MFFW,Genoa,24,13,9,683,7.6,0,1,0,0,555d5edd
Ethan Ampadu,MFDF,Venezia,20,29,26,2282,25.4,0,3,13,2,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,23,8,944,10.5,1,0,6,0,5a2cb25d
Felipe Anderson,FW,Lazio,28,38,33,2888,32.1,6,8,2,0,9f1893b9
Ebenezer Annan,DF,Bologna,18,1,0,25,0.3,0,0,0,0,39aa05a7
Cristian Ansaldi,DF,Torino,34,19,5,691,7.7,0,3,2,0,bbafc0c4
Janis Antiste,FW,Spezia,18,18,9,796,8.8,1,0,0,0,38d9ce53
Mattia Aramu,MFFW,Venezia,26,32,25,2100,23.3,7,5,6,0,0847b5a5
Marko Arnautović,FW,Bologna,32,33,32,2694,29.9,14,1,6,0,00459419
Tolgay Arslan,MF,Udinese,30,30,22,1658,18.4,1,0,9,0,963a328b
Arthur,FW,Fiorentina,23,14,8,749,8.3,2,2,1,0,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,19,7,754,8.4,0,0,5,0,a69cc629
Kristjan Asllani,MF,Empoli,19,23,14,1353,15.0,1,1,2,0,0fdcef0e
Emil Audero,GK,Sampdoria,24,29,29,2560,28.4,0,0,2,0,649b01d8
Tommaso Augello,DF,Sampdoria,26,36,25,2395,26.6,1,1,0,0,3cd3b384
Ramzi Aya,DF,Salernitana,30,2,2,135,1.5,0,0,1,0,6a1f66a7
Kaan Ayhan,DF,Sassuolo,26,23,14,1354,15.0,1,0,2,1,2200181e
Milan Badelj,MF,Genoa,32,34,34,2844,31.6,1,0,4,0,e8c930bb
Nicola Bagnolini,GK,Bologna,17,1,0,3,0.0,0,0,0,0,ad263695
Issa Bah,FW,Venezia,19,1,0,9,0.1,0,0,0,0,956a78ea
Nedim Bajrami,MFFW,Empoli,22,35,23,2054,22.8,6,5,3,0,f42d6c13
Tiemoué Bakayoko,MF,Milan,26,14,5,501,5.6,0,0,3,0,59bf127b
Tommaso Baldanzi,FW,Empoli,18,1,0,18,0.2,0,0,0,0,102e2599
Keita Baldé,FW,Cagliari,26,26,14,1229,13.7,3,1,2,0,509a4ccb
Fodé Ballo-Touré,DF,Milan,24,10,5,446,5.0,0,0,2,0,f449640d
Filippo Bandinelli,MF,Empoli,26,35,24,1955,21.7,2,3,10,0,d44360be
Mattia Bani,DF,Genoa,27,17,13,1211,13.5,0,0,1,0,0821331c
Antonín Barák,MFFW,Hellas Verona,26,29,27,2340,26.0,11,4,4,0,01efac19
Francesco Bardi,GK,Bologna,29,2,2,177,2.0,0,0,0,0,0acda699
Nicolò Barella,MF,Inter,24,36,36,2913,32.4,3,11,9,0,6928979a
Musa Barrow,FWMF,Bologna,22,34,25,2134,23.7,6,6,0,0,e5bf73f3
Daniele Baselli,MFFW,Torino,29,6,0,150,1.7,0,0,0,0,ea06dd97
Daniele Baselli,MF,Cagliari,29,9,2,290,3.2,0,1,1,0,ea06dd97
Toma Bašić,MF,Lazio,24,29,9,982,10.9,0,2,3,0,80556f08
Alessandro Bastoni,DF,Inter,22,31,29,2311,25.7,1,2,4,0,75b86fb3
Simone Bastoni,MFDF,Spezia,24,31,26,2288,25.4,3,3,5,1,1ac232b8
Rodrigo Becão,DF,Udinese,25,35,35,3130,34.8,2,1,10,0,19e4eab9
Valon Behrami,MFFW,Genoa,36,10,2,311,3.5,0,0,3,0,d3d758d8
Vid Belec,GK,Salernitana,31,23,21,1938,21.5,0,0,1,0,4f8ce0e1
Raoul Bellanova,DFFW,Cagliari,21,31,27,2496,27.7,1,2,3,0,e3756e72
Andrea Belotti,FW,Torino,27,22,16,1371,15.2,8,1,1,0,d705ba44
Marco Benassi,DFMF,Fiorentina,26,6,1,158,1.8,0,0,1,0,0000acda
Marco Benassi,MF,Empoli,26,12,3,382,4.2,0,0,1,0,0000acda
Filip Benković,DFFW,Udinese,24,2,0,8,0.1,0,0,0,0,305a3820
Ismaël Bennacer,MF,Milan,23,31,15,1525,16.9,2,1,7,0,db092d3b
Rodrigo Bentancur,MF,Juventus,24,19,13,1155,12.8,0,1,1,0,3b8674e6
Alessandro Berardi,GK,Hellas Verona,30,1,1,90,1.0,0,0,0,0,ec1f737d
Domenico Berardi,FW,Sassuolo,26,33,33,2819,31.3,15,14,9,0,53a0e358
Bartosz Bereszyński,DF,Sampdoria,29,35,35,2946,32.7,0,3,12,0,61b3978f
Etrit Berisha,GK,Torino,32,10,10,900,10.0,0,0,1,0,ee833569
Federico Bernardeschi,MFFW,Juventus,27,28,16,1475,16.4,1,3,5,0,ee93c1a9
Nicolò Bertola,MFDF,Spezia,18,2,0,35,0.4,0,0,0,0,04b40c58
Daniel Bessa,MF,Hellas Verona,28,24,5,768,8.5,1,1,5,1,88895312
Beto,FW,Udinese,23,28,24,2173,24.1,11,0,1,0,ed5c0319
Luis Binks,DF,Bologna,19,15,7,646,7.2,0,0,3,0,36e88fbc
Cristiano Biraghi,DF,Fiorentina,28,37,37,3153,35.0,4,1,5,1,9e1577aa
Davide Biraschi,DF,Genoa,27,14,11,930,10.3,0,0,4,0,64cd167d
Bjarki Bjarkason,MF,Venezia,21,1,0,3,0.0,0,0,0,0,f1d25de7
Jeremie Boga,FWMF,Atalanta,24,15,7,764,8.5,0,0,0,0,fe012aca
Jeremie Boga,FWMF,Sassuolo,24,12,8,670,7.4,0,2,0,0,fe012aca
Luka Bogdan,DF,Salernitana,25,6,4,399,4.4,0,0,0,0,cb678320
Emil Bohinen,MF,Salernitana,22,11,8,699,7.8,0,1,5,0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,31,31,28,2266,25.2,4,4,8,1,d995ed27
Federico Bonazzoli,FWMF,Salernitana,24,32,19,1866,20.7,10,0,6,0,bf57eaab
