Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
,,,,,,,,,,,,,,,,,,,,-9999
Nícolas Andrade,GK,Udinese,32,2,2,180,2.0,5,2.50,6,1,16.7,0,0.0,0,0,0,0,,326d09ef
Emil Audero,GK,Sampdoria,23,37,37,3330,37.0,54,1.46,173,118,72.8,6,16.2,9,7,2,0,22.2,649b01d8
Alessandro Berardi,GK,Hellas Verona,29,1,0,28,0.3,0,0.00,1,1,100.0,0,,0,0,0,0,,ec1f737d
Gianluigi Buffon,GK,Juventus,42,8,8,720,8.0,5,0.62,21,15,85.7,3,37.5,3,2,1,0,33.3,e40d028b
Simone Colombi,GK,Parma,29,2,2,180,2.0,7,3.50,10,3,40.0,0,0.0,1,1,0,0,0.0,72be9309
Andrea Consigli,GK,Sassuolo,33,37,37,3330,37.0,56,1.51,185,129,71.9,7,18.9,5,4,1,0,20.0,8cabdc1e
Alex Cordaz,GK,Crotone,37,36,36,3240,36.0,91,2.53,207,118,58.5,2,5.6,5,5,0,0,0.0,e66ebabb
Angelo da Costa Júnior,GK,Bologna,36,6,6,540,6.0,9,1.50,27,18,70.4,1,16.7,1,1,0,0,0.0,18736214
Alessio Cragno,GK,Cagliari,26,34,34,3060,34.0,53,1.56,182,129,73.6,6,17.6,5,5,0,0,0.0,f554e29b
Gian Crespi,GK,Crotone,19,1,1,90,1.0,0,0.00,1,1,100.0,1,100.0,0,0,0,0,,4dea2f2c
Gianluigi Donnarumma,GK,Milan,21,37,37,3330,37.0,38,1.03,126,88,71.4,14,37.8,4,2,1,1,33.3,08f5afaa
Bartłomiej Drągowski,GK,Fiorentina,22,36,36,3148,35.0,55,1.57,141,85,66.7,7,19.4,10,8,2,0,20.0,085e71a7
Marco Festa,GK,Crotone,28,1,1,90,1.0,1,1.00,8,7,87.5,0,0.0,0,0,0,0,,c195ae4a
Daniel Fuzato,GK,Roma,23,5,5,450,5.0,7,1.40,26,19,73.1,2,40.0,0,0,0,0,,82328faf
Manuel Gasparini,GK,Udinese,18,1,0,3,0.0,0,0.00,0,0,,0,,0,0,0,0,,7033ca08
Pierluigi Gollini,GK,Atalanta,25,25,25,2156,24.0,26,1.09,65,38,66.2,9,36.0,6,4,2,0,33.3,f0f7f62f
Samir Handanović,GK,Inter,36,37,37,3240,36.0,33,0.92,110,76,73.6,14,37.8,6,4,2,0,33.3,74419746
Karlo Letica,GK,Sampdoria,23,1,1,90,1.0,0,0.00,1,1,100.0,1,100.0,0,0,0,0,,4a6914ff
Pau López,GK,Roma,25,21,20,1817,20.2,29,1.44,85,59,69.4,4,20.0,3,3,0,0,0.0,20b9f052
Niccolò Manfredini,GK,Benevento,32,1,1,90,1.0,1,1.00,5,4,80.0,0,0.0,0,0,0,0,,e4b39692
Federico Marchetti,GK,Genoa,37,4,4,334,3.7,11,2.96,18,7,38.9,0,0.0,0,0,0,0,,f794b426
Alex Meret,GK,Napoli,23,22,22,1980,22.0,29,1.32,81,53,66.7,6,27.3,2,2,0,0,0.0,9413b19f
Vanja Milinković-Savić,GK,Torino,23,5,5,450,5.0,6,1.20,20,14,75.0,1,20.0,1,1,0,0,0.0,9fa26bc2
Antonio Mirante,GK,Roma,37,13,13,1153,12.8,19,1.48,56,36,69.6,5,38.5,3,2,1,0,33.3,30223b33
Lorenzo Montipò,GK,Benevento,24,37,37,3330,37.0,74,2.00,172,103,59.3,7,18.9,5,4,1,0,20.0,c1d95617
Juan Musso,GK,Udinese,26,35,35,3147,35.0,51,1.46,149,98,74.5,8,22.9,13,13,0,0,0.0,a111cf41
David Ospina,GK,Napoli,31,16,16,1440,16.0,12,0.75,42,30,78.6,8,50.0,3,3,0,0,0.0,82b1198a
Daniele Padelli,GK,Inter,34,1,0,45,0.5,1,2.00,2,1,100.0,0,,1,1,0,0,0.0,cf1c23d8
Alberto Paleari,GK,Genoa,27,3,2,206,2.3,3,1.31,12,9,75.0,1,50.0,0,0,0,0,,94a3606c
Ivor Pandur,GK,Hellas Verona,20,4,4,332,3.7,6,1.63,13,7,53.8,0,0.0,0,0,0,0,,457cb02f
Gianluca Pegolo,GK,Sassuolo,39,1,1,90,1.0,0,0.00,1,1,100.0,1,100.0,0,0,0,0,,f058ed1f
Mattia Perin,GK,Genoa,27,32,32,2879,32.0,44,1.38,158,116,76.6,8,25.0,7,7,0,0,0.0,4c62d0c8
Carlo Pinsoglio,GK,Juventus,30,1,0,23,0.3,1,3.91,2,1,50.0,0,,0,0,0,0,,f6a06749
Ivan Provedel,GK,Spezia,26,29,29,2610,29.0,55,1.90,131,75,62.6,4,13.8,7,6,1,0,14.3,277da414
Ionuț Radu,GK,Inter,23,2,1,135,1.5,1,0.67,6,5,83.3,0,0.0,0,0,0,0,,67f649be
Rafael,GK,Spezia,38,3,2,207,2.3,5,2.17,18,13,72.2,1,50.0,0,0,0,0,,dd06d56c
Federico Ravaglia,GK,Bologna,20,4,4,360,4.0,10,2.50,19,10,52.6,0,0.0,1,1,0,0,0.0,6662d731
Pepe Reina,GK,Lazio,37,29,29,2610,29.0,41,1.41,113,74,70.8,9,31.0,8,8,0,0,0.0,e358587b
Simone Scuffet,GK,Udinese,24,1,1,90,1.0,2,2.00,4,2,75.0,0,0.0,1,1,0,0,0.0,41bd99ea
Luigi Sepe,GK,Parma,29,36,36,3240,36.0,76,2.11,181,108,59.1,5,13.9,2,2,0,0,0.0,343f753a
Marco Silvestri,GK,Hellas Verona,29,34,34,3060,34.0,42,1.24,131,91,72.5,7,20.6,7,6,0,1,0.0,0d422df7
Salvatore Sirigu,GK,Torino,33,32,32,2880,32.0,62,1.94,134,72,59.7,7,21.9,9,8,0,1,0.0,10dc46f0
Łukasz Skorupski,GK,Bologna,29,28,28,2520,28.0,46,1.64,147,100,72.1,4,14.3,7,5,2,0,28.6,ab4449d6
Marco Sportiello,GK,Atalanta,28,15,13,1261,14.0,21,1.50,47,25,57.4,2,15.4,2,1,1,0,50.0,ac4003af
Thomas Strakosha,GK,Lazio,25,9,9,810,9.0,14,1.56,38,24,68.4,3,33.3,2,2,0,0,0.0,339fe0e8
Wojciech Szczęsny,GK,Juventus,30,30,30,2677,29.7,32,1.08,98,66,71.4,5,16.7,6,4,2,0,33.3,01b8a2b2
Ciprian Tătărușanu,GK,Milan,34,1,1,90,1.0,3,3.00,7,4,71.4,0,0.0,1,1,0,0,0.0,b056e3da
Pietro Terracciano,GK,Fiorentina,30,4,2,272,3.0,4,1.32,11,7,63.6,2,100.0,1,0,1,0,100.0,e1b0a70d
Samir Ujkani,GK,Torino,32,1,1,90,1.0,1,1.00,3,2,66.7,0,0.0,0,0,0,0,,96640846
Guglielmo Vicario,GK,Cagliari,23,4,4,360,4.0,6,1.50,21,15,71.4,1,25.0,0,0,0,0,,77d6fd4d
Jeroen Zoet,GK,Spezia,29,7,7,603,6.7,12,1.79,29,17,69.0,0,0.0,3,3,0,0,0.0,cc1a0c57
