Player,Pos,Squad,Age,SCA,-9999
Alexis Flips,MFDF,Reims,21,49,caef7840
Mamadou Fofana,DF,Metz,23,0,4c4ffacc
Seko Fofana,MF,Lens,26,118,5313ed43
Youssouf Fofana,MF,Monaco,22,53,822d51d7
Thomas Foket,DFFW,Reims,26,35,90eb507d
Thomas Fontaine,DF,Lorient,30,0,9f90c06b
José Fonte,DF,Lille,37,31,90f87966
Steven Fortes,DF,Lens,29,0,574aa9ec
Przemysław Frankowski,DF,Lens,26,68,00a8d210
Fransérgio,MF,Bordeaux,30,15,deba6b05
Angelo Fulgini,MFFW,Angers,24,94,4b96c347
Gauthier Gallon,GK,Troyes,28,1,db3164e1
Kévin Gameiro,FW,Strasbourg,34,67,42276181
Idrissa Gana Gueye,MF,Paris S-G,31,38,72c812f3
Ignatius Ganago,FW,Lens,22,29,23c63b7f
Djeidi Gassama,FW,Paris S-G,17,0,bbdb2789
Johan Gastien,MF,Clermont Foot,33,74,868eaba0
Valère Germain,FW,Montpellier,31,29,ea0ff634
Gerson,MFFW,Marseille,24,82,8827bf46
Willem Geubbels,FWMF,Nantes,19,3,9836e892
Ismaël Gharbi,FW,Paris S-G,17,0,5b3cfa12
Lamine Ghezali,DF,Saint-Étienne,22,1,ce84946a
Nicholas Gioacchini,FWMF,Montpellier,21,14,79ab7593
Jimmy Giraudon,DF,Troyes,29,7,6ba71da5
Andrei Girotto,DFMF,Nantes,29,27,3befc2b6
Aleksandr Golovin,FWMF,Monaco,25,68,3708e9fa
Angel Gomes,MFFW,Lille,20,28,645a3363
Alfred Gomis,GK,Rennes,27,2,cecbce23
Vagner Gonçalves,FW,Metz,25,5,743fd71f
Álvaro González,DF,Marseille,31,0,42dcf26d
Amine Gouiri,FWMF,Nice,21,132,aad56ca3
Lucas Gourna-Douath,MF,Saint-Étienne,17,28,3cd7820a
Jonathan Gradit,DF,Lens,28,40,06c48679
Andrew Gravillon,DF,Reims,23,22,49136c42
Adrian Grbić,FWMF,Lorient,24,7,4a987ffa
Ivo Grbić,GK,Lille,25,3,3f034750
Etienne Green,GK,Saint-Étienne,21,3,667b65da
Gabriel Gudmundsson,DFMF,Lille,22,27,d5d22a58
Noah Guede-Nadje,MF,Angers,17,0,94b442c0
Mattéo Guendouzi,MF,Marseille,22,111,5ea8ef20
Yanis Guermouche,MFFW,Montpellier,20,0,642f9f79
Evann Guessand,FW,Nice,20,14,b73f17f8
Lamine Gueye,FWMF,Metz,23,22,9d5dcc23
Pape Gueye,MF,Marseille,22,29,7155e3e1
Josuha Guilavogui,MFDF,Bordeaux,30,31,e6c43eec
Frederic Guilbert,DF,Strasbourg,26,93,5d8d7454
Bruno Guimarães,MF,Lyon,23,83,82518f62
Sehrou Guirassy,FW,Rennes,25,23,923f4dda
Malo Gusto,DF,Lyon,18,46,d56b9520
Massadio Haïdara,DF,Lens,28,12,5167c97e
Oualid El Hajjam,DF,Troyes,30,14,9f29c204
Achraf Hakimi,DF,Paris S-G,22,52,e42d61c7
Pierre-Yves Hamel,FWMF,Lorient,27,2,a99da9ec
Pierre-Yves Hamel,FW,Clermont Foot,27,9,a99da9ec
Romain Hamouma,FWMF,Saint-Étienne,34,33,0b4d8274
Amine Harit,FWMF,Marseille,24,49,e7d59f4f
Henrique,DF,Lyon,27,18,f28474a4
Luis Henrique,FWMF,Marseille,19,13,f36d5624
Christophe Hérelle,DF,Brest,28,11,3681cfff
Jérôme Hergault,DF,Lorient,35,5,a84f9a4b
Ander Herrera,MF,Paris S-G,31,39,436a9dd0
Franck Honorat,FWMF,Brest,24,124,db7849ca
Fraser Hornby,FWMF,Reims,21,4,29aee77c
Cédric Hountondji,DF,Clermont Foot,27,6,00891164
Suk Hyun-jun,FWMF,Troyes,30,7,7ffaf233
Mauro Icardi,FW,Paris S-G,28,21,43b78598
Jonathan Iglesias,MF,Clermont Foot,32,11,639ca1cf
Juan Ignacio Ramírez,FW,Saint-Étienne,24,1,ad513a6b
Danylo Ihnatenko,MF,Bordeaux,24,24,65bbfba3
Jonathan Ikone,MFFW,Lille,23,35,42eaa028
Bonke Innocent,MF,Lorient,25,10,546bb36e
Wilson Isidor,FWMF,Monaco,20,1,a671316d
Ismail Jakobs,DFFW,Monaco,21,39,a0415710
Marin Jakoliš,FW,Angers,24,8,96f4ebc0
Abdel Jalil Medioub,DF,Bordeaux,23,1,4937a9f7
Corentin Jean,FWMF,Lens,26,8,7d9b37bf
Jemerson,DF,Metz,28,4,7cab69b5
Moritz Jenz,DF,Lorient,22,9,ee644761
Lenny Joseph,FWMF,Metz,20,1,d1828392
Issa Kaboré,DF,Troyes,20,52,c066d1a5
Tino Kadewere,FW,Lyon,25,15,7d08063d
Gaël Kakuta,MFFW,Lens,30,52,5b1bf5e3
Arnaud Kalimuendo,FW,Paris S-G,19,0,bf4c41f9
Arnaud Kalimuendo,FW,Lens,19,55,bf4c41f9
Samuel Kalu,FWMF,Bordeaux,23,12,b8d22478
Boubacar Kamara,MFDF,Marseille,21,53,cc77354e
Hassane Kamara,MFDF,Nice,27,7,19a12bed
Jean-Armel Kana-Biyik,DF,Metz,32,1,76a4233b
Nordine Kandil,MFFW,Strasbourg,19,5,c5908bc4
Eiji Kawashima,GK,Strasbourg,38,0,a4527d33
Ilan Kebbal,MFFW,Reims,23,71,37d04e90
Thilo Kehrer,DF,Paris S-G,24,12,51dbeea9
Habib Keita,MFFW,Lyon,19,0,cc588cbe
Saîf-Eddine Khaoui,MFFW,Clermont Foot,26,32,796b1c41
Wahbi Khazri,FWMF,Saint-Étienne,30,82,2677a1de
Presnel Kimpembe,DF,Paris S-G,25,18,aef6e670
Thibault Klidje,MFFW,Bordeaux,20,6,db013c7d
Justin Kluivert,MF,Nice,22,64,4c3a6744
Samuel Koeberlé,FW,Reims,16,0,6751b938
Philippe Koffi,FW,Reims,19,11,9f1c2822
Sead Kolašinac,DF,Marseille,28,7,3935e52e
Randal Kolo Muani,FWMF,Nantes,22,83,c0b3669f
Timothée Kolodziejczak,DF,Saint-Étienne,29,36,ab096c6f
Ghislain Konan,DF,Reims,25,54,6b2c894b
Ibrahima Koné,FW,Lorient,22,27,04bb2b06
Youssouf Koné,DF,Troyes,26,13,e6eadfb8
Laurent Koscielny,DF,Bordeaux,35,9,f5efb153
Rominigue Kouamé,MF,Troyes,24,64,86a2ba20
Boubakar Kouyaté,DF,Metz,24,14,562a4799
Jean-Philippe Krasso,FW,Saint-Étienne,24,15,037f2523
Mykola Kukharevych,FW,Troyes,20,1,8197a269
Enock Kwateng,DF,Bordeaux,24,32,4bf69118
Grejohn Kyei,FW,Clermont Foot,25,11,397ba086
Gaëtan Laborde,FW,Montpellier,27,10,7cdda3bf
Gaëtan Laborde,FW,Rennes,27,79,7cdda3bf
Tom Lacoux,DFMF,Bordeaux,19,13,295ba708
Lenny Lacroix,DF,Metz,18,2,5413ef36
Alban Lafont,GK,Nantes,22,4,4e7db402
Mohamed Lamine Bayo,FW,Clermont Foot,23,63,01870104
Didier Lamkel Zé,FW,Metz,24,16,b229aa13
Julien Laporte,DF,Lorient,27,12,f066022d
Yasser Larouci,DF,Troyes,20,13,0ed063d6
Paul Lasne,MF,Brest,32,20,542cc80f
Armand Lauriente,FWMF,Lorient,22,99,2d22cea7
Théo Le Bris,MF,Lorient,18,0,afe39ca8
Jérémy Le Douaron,FWMF,Brest,23,25,88c4d190
Enzo Le Fée,MFFW,Lorient,21,101,6f806d99
Vincent Le Goff,DF,Lorient,31,69,2321ea6e
Maxime Le Marchand,DF,Strasbourg,31,5,321a71a7
Jean-Louis Leca,GK,Lens,35,1,edbe46dc
Félix Lemaréchal,MF,Monaco,17,0,8ca9415f
Mario Lemina,MF,Nice,27,33,2b471f99
Fabien Lemoine,MF,Lorient,34,22,54d51e22
Léo Leroy,MF,Montpellier,21,8,fcc84a07
Alexandre Letellier,GK,Paris S-G,30,0,96fcd380
Yanis Lhery,FWMF,Saint-Étienne,18,3,cc972842
Dimitri Liénard,DFMF,Strasbourg,33,70,f7691f63
Isaac Lihadji,MFFW,Lille,19,18,57a46f3f
Pol Lirola,DFFW,Marseille,23,56,ff800ed8
Banzouzi Locko,MFDF,Reims,19,20,40221fa7
Anthony Lopes,GK,Lyon,30,4,f00de885
Pau López,GK,Marseille,26,6,20b9f052
Dion Lopy,MF,Reims,19,22,64c14d49
Samuel Loric,DF,Lorient,21,3,9004f318
Jordan Lotomba,DF,Nice,22,37,fc4cf6a7
Johaneko Louisjean,DF,Bordeaux,17,0,9af3613f
Jean Lucas,MF,Monaco,23,37,a99138af
Castello Lukeba,DF,Lyon,18,14,5b9512c5
Levi Lumeka,MFFW,Troyes,22,1,199ff86e
Yannis M'Bemba,DFFW,Nantes,20,0,080de72a
Deiver Machado,DFMF,Lens,27,16,b3f8bdef
Yvann Macon,DF,Saint-Étienne,22,27,0bb6e193
Louis Mafouta,FW,Metz,27,11,bec3d251
Hugo Magnetti,MF,Brest,23,20,d4d35152
Yohann Magnin,MFDF,Clermont Foot,24,27,caa7aaea
Habib Maïga,MF,Metz,25,26,e768de1f
Josh Maja,FW,Bordeaux,22,2,bc0bfc64
Abdul Majeed Waris,FWMF,Strasbourg,29,11,46907171
Lovro Majer,MFFW,Rennes,23,102,fc46aab1
Béni Makouana,FWMF,Montpellier,18,7,654f49ca
Hianga Mananga Mbock,MF,Brest,21,6,0f86995c
Vincent Manceau,DF,Angers,32,12,c26a3918
Steve Mandanda,GK,Marseille,36,3,1d2d5cc8
Reinildo Mandava,DF,Lille,27,27,c20bdcd7
Anthony Mandrea,GK,Angers,24,0,f7d3a773
Eliaquim Mangala,DF,Saint-Étienne,30,1,f520049f
Thomas Mangani,MF,Angers,34,52,c801616a
Ricardo Mangas,DF,Bordeaux,23,38,eef2d8ce
Myziane Maolida,MF,Nice,22,1,706a60e1
Sekou Mara,FWMF,Bordeaux,19,24,3544641e
Marcelo,DF,Bordeaux,34,9,e3d0b0c4
Marcelo,DF,Lyon,34,0,e3d0b0c4
Guillermo Maripán,DF,Monaco,27,14,d9764034
Marquinhos,DF,Paris S-G,27,22,d5f2f82b
Jonas Martin,MF,Rennes,31,38,468fdbad
Gelson Martins,MFFW,Monaco,26,38,3ef0fa48
Pape Matar Sarr,MF,Metz,18,62,feb5d972
Eliot Matazo,MF,Monaco,19,11,15944afd
Chrislain Matsima,DF,Monaco,19,0,cf1ef7ec
Azor Matusiwa,MF,Reims,23,41,a17a94d6
Stephy Mavididi,FWMF,Montpellier,23,65,30144daa
Derek Mazou-Sacko,FWDF,Troyes,16,0,810edef9
Kylian Mbappé,FW,Paris S-G,22,181,42fd9c7f
Amadou Mbengue,DFMF,Metz,19,4,14d2670e
Jason Mbock,FW,Angers,21,0,890bc029
Moustapha Mbow,DF,Reims,21,0,3f3a2cba
Nathanael Mbuku,FWMF,Reims,19,45,46750e9c
Facundo Medina,DF,Lens,22,33,6f5ec8bb
Farid El Melali,FW,Angers,24,0,d21e361a
Birger Meling,DF,Rennes,26,42,70c52749
Houboulang Mendes,DF,Lorient,23,40,1545cf15
Nuno Mendes,DF,Paris S-G,19,44,f20e4cc9
Pedro Mendes,DF,Montpellier,30,1,6690ef25
Thiago Mendes,MFDF,Lyon,29,36,c6e5d20f
Arial Mendy,DFFW,Clermont Foot,26,15,9f0f4b49
Batista Mendy,MFDF,Angers,21,22,e472a6f6
Gideon Mensah,DF,Bordeaux,23,35,9bdd8118
Quentin Merlin,DFMF,Nantes,19,62,0bfca6a1
Lionel Messi,FWMF,Paris S-G,34,156,d70ce98e
Mexer,DF,Bordeaux,32,7,ce492295
Edouard Michut,MF,Paris S-G,18,3,fe6c1add
Georges Mikautadze,FW,Metz,20,1,4788cb6b
William Mikelbrencis,DF,Metz,17,8,14df1d7f
Arkadiusz Milik,FW,Marseille,27,24,85613cf0
Terem Moffi,FW,Lorient,22,68,065dc209
Dion Moise Sahi,FWMF,Strasbourg,19,2,cdc4458b
Florent Mollet,FWMF,Montpellier,29,88,7e82a78f
Thomas Monconduit,MF,Lorient,30,67,84d94b91
Jérémy Morel,DF,Lorient,37,4,e97150c0
Lebo Mothiba,FWMF,Troyes,25,6,3eaf8817
Lebo Mothiba,FW,Strasbourg,25,0,3eaf8817
Baptiste Mouazan,MF,Lorient,19,1,81ac108d
Aimen Moueffek,MF,Saint-Étienne,20,9,2591b066
Harold Moukoudi,DF,Saint-Étienne,23,12,5f26e0c5
Jessy Moulin,GK,Troyes,35,0,28a65a2c
Steve Mounié,FW,Brest,26,50,19ba6c6d
Samuel Moutoussamy,MF,Nantes,24,21,af0c835b
Marshall Munetsi,MFDF,Reims,25,28,2acf0cd7
Junior Mwanga,DF,Bordeaux,18,0,ee158be5
Kévin N'Doram,MF,Metz,25,23,e50623a0
Eric N'Jo,DF,Troyes,17,0,b85e57bb
Vital N'Simba,DF,Clermont Foot,28,64,249ac66d
Mickael Nade,DF,Saint-Étienne,22,20,a6b6fa6e
Paul Nardi,GK,Lorient,27,0,2d70dbe5
Keylor Navas,GK,Paris S-G,34,0,ecada4fc
Papa Ndiaga Yade,DFFW,Metz,21,16,87e9c7cd
Tanguy Ndombele,MF,Lyon,24,20,5cdddffa
Dan Ndoye,FWMF,Nice,20,5,8e697a8f
Neymar,FWMF,Paris S-G,29,127,69384e5d
Yvan Neyou,MF,Saint-Étienne,24,19,0ad37003
Opa Nguette,FWMF,Metz,27,28,75a63397
Sikou Niakaté,DF,Metz,22,6,8eef18aa
Ibrahima Niane,FW,Metz,22,29,46faabfa
M'Baye Niang,FW,Bordeaux,26,14,2054d037
Cheikh Niasse,FWMF,Lille,21,1,ff20acfe
Casimir Ninga,FW,Angers,28,4,91f2da4c
Arnaud Nordin,FWMF,Saint-Étienne,23,51,7b9a9e25
Alexander Nübel,GK,Monaco,24,2,afb0c500
Gerzino Nyamsi,DF,Strasbourg,24,14,6043997c
Florent Ogier,DF,Clermont Foot,32,9,6993927b
Warmed Omari,DF,Rennes,21,18,4534a352
Jonas Omlin,GK,Montpellier,27,2,c631f952
Amadou Onana,MF,Lille,19,33,828657ff
Jean Onana,MF,Bordeaux,21,38,b5bb8188
Otávio,MF,Bordeaux,27,20,243f4a0b
Dango Ouattara,MFFW,Lorient,19,24,2f9e4435
Remi Oudin,MFFW,Bordeaux,24,50,ea02beaf
Alexandre Oukidja,GK,Metz,33,0,ae7d0ecd
Azzedine Ounahi,MF,Angers,21,47,83299cc0
Ambroise Oyongo,DF,Montpellier,30,12,e3e05edf
Vincent Pajot,MF,Metz,30,37,f86ca403
Nicolas Pallois,DF,Nantes,33,13,779847d6
Erik Palmer-Brown,DF,Troyes,24,7,e5c1e0ca
Emerson Palmieri,DF,Lyon,26,63,e0bc6fdc
Lucas Paquetá,MFFW,Lyon,23,120,9b6f7fd5
Rubén Pardo,MF,Bordeaux,28,0,2306bfde
Leandro Paredes,MF,Paris S-G,27,19,dff153a4
Strahinja Pavlović,DF,Monaco,20,1,25146df0
Dimitri Payet,FWMF,Marseille,34,191,58ae47b2
Timothee Pembele,DF,Bordeaux,18,36,f8ce97ca
Brayann Pereira,DFMF,Lens,18,1,5c42e7ce
