Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Matěj Vydra,FW,Burnley,29,208,13,6,46.2,30,9,0d4ceb32
Theo Walcott,MFFW,Southampton,32,125,3,1,33.3,10,1,1ecb65be
Kyle Walker,DF,Manchester City,31,1770,14,7,50.0,15,6,86dd77d1
Kyle Walker-Peters,DF,Southampton,24,1715,95,64,67.4,42,43,984a5a64
Aaron Wan-Bissaka,DF,Manchester Utd,23,1365,61,36,59.0,23,13,9e525177
Danny Ward,GK,Leicester City,28,37,0,0,,0,0,d3ce0e89
Joel Ward,DF,Crystal Palace,31,2038,26,20,76.9,29,18,8a7ff278
James Ward-Prowse,MF,Southampton,26,2438,20,12,60.0,20,25,3515d404
Ollie Watkins,FW,Aston Villa,25,1046,68,37,54.4,86,53,aed3a70f
Adam Webster,DF,Brighton,26,1323,12,10,83.3,8,1,c40b6180
Wout Weghorst,FW,Burnley,28,626,23,13,56.5,40,29,c4e87b8b
Danny Welbeck,FWMF,Brighton,30,471,21,10,47.6,51,22,ce5143da
Timo Werner,FWMF,Chelsea,25,550,33,10,30.3,34,19,49fe9070
Ashley Westwood,MF,Burnley,31,1415,18,10,55.6,29,14,495945ef
Ben White,DF,Arsenal,23,2145,20,10,50.0,18,11,35e413f1
Brandon Williams,DF,Norwich City,20,1415,39,20,51.3,39,17,5e74d6c8
Neco Williams,DF,Liverpool,20,10,1,1,100.0,0,0,dd323728
Joe Willock,MF,Newcastle Utd,21,864,71,36,50.7,56,20,a3b03921
Callum Wilson,FW,Newcastle Utd,29,320,21,10,47.6,59,27,c596fcb0
Harry Winks,MF,Tottenham,25,768,15,8,53.3,16,6,2f7acede
Yoane Wissa,FW,Brentford,24,419,30,19,63.3,34,6,2500cef9
Chris Wood,FW,Burnley,29,431,8,4,50.0,40,12,4e9a0555
Chris Wood,FW,Newcastle Utd,29,461,10,2,20.0,44,8,4e9a0555
