Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Gennaro Acampora,MFFW,Spezia,26,282,16,10,62.5,12,12,01040647
Francesco Acerbi,DF,Lazio,32,2430,8,6,75.0,21,10,b96b595c
Andrea Adorante,FW,Parma,20,2,0,0,,0,2,7005ac66
Lucien Agoume,MF,Spezia,18,563,8,6,75.0,9,8,8bc8829a
Kevin Agudelo,FW,Spezia,21,544,76,44,57.9,35,25,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,522,26,15,57.7,26,13,fdf4b948
Luis Alberto,MF,Lazio,27,2254,95,51,53.7,46,39,5294a83f
Bruno Alves,DF,Parma,38,1096,2,1,50.0,1,1,585a73a8
Wisdom Amey,DF,Bologna,14,7,0,0,,0,0,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,1603,71,47,66.2,33,48,5a2cb25d
Djavan Anderson,DF,Lazio,25,37,2,0,0.0,1,1,ca241ad3
Nícolas Andrade,GK,Udinese,32,40,0,0,,0,0,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,4,0,0,,0,0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,2,0,0,,0,0,f5409698
Cristian Ansaldi,DFFW,Torino,33,1205,54,28,51.9,26,17,bbafc0c4
Valentin Antov,DF,Bologna,19,154,1,1,100.0,2,0,8f68aa41
Nicolò Armini,DF,Lazio,19,5,0,0,,0,0,2f7407fa
Tolgay Arslan,MF,Udinese,29,1095,48,34,70.8,22,22,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,136,3,2,66.7,1,1,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,31,1,1,100.0,3,3,a69cc629
Emil Audero,GK,Sampdoria,23,1341,0,0,,0,0,649b01d8
Tommaso Augello,DF,Sampdoria,25,2330,54,31,57.4,43,16,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,651,4,3,75.0,1,3,2200181e
Milan Badelj,MF,Genoa,31,1905,46,36,78.3,31,22,e8c930bb
