Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,0.9,0,0,,8f5cdf66
Tammy Abraham,FW,Roma,25-176,19.4,49,23,46.9,f586779e
Christian Acella,MF,Cremonese,20-263,0.2,0,0,,771a2cfe
Francesco Acerbi,DF,Inter,35-045,17.8,11,2,18.2,b96b595c
Yacine Adli,MFFW,Milan,22-241,1.4,2,2,100.0,26777636
Michel Aebischer,FWMF,Bologna,26-080,11.2,11,2,18.2,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,6.7,15,1,6.7,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,19.9,20,5,25.0,46fa7204
Ola Aina,DF,Torino,26-170,9.0,7,3,42.9,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,14.4,3,1,33.3,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,10.2,8,3,37.5,fdf4b948
Luis Alberto,MF,Lazio,30-180,16.4,27,10,37.0,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,3.5,11,3,27.3,ab472696
Kelvin Amian,DF,Spezia,25-047,16.7,15,3,20.0,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,0.6,0,0,,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,14.8,8,1,12.5,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,20.1,13,4,30.8,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,18.4,10,3,30.0,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,23.4,29,16,55.2,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,0.6,1,1,100.0,38d9ce53
Marcos Antônio,MF,Lazio,22-287,3.5,0,0,,108fe016
Valentin Antov,DF,Monza,22-138,2.2,0,0,,8f68aa41
Marko Arnautović,FW,Bologna,33-342,13.7,21,10,47.6,00459419
Tolgay Arslan,MF,Udinese,32-223,10.3,21,5,23.8,963a328b
Arthur,FW,Fiorentina,24-336,10.3,34,13,38.2,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,8.1,14,3,21.4,e26fcca3
