Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
,,,,,,,,,,,,,,,,,,,,-9999
Emil Audero,GK,Sampdoria,24,29,29,2560,28.4,48,1.69,130,82,63.8,5,17.2,2,1,1,0,50.0,649b01d8
Nicola Bagnolini,GK,Bologna,17,1,0,3,0.0,0,0.00,1,1,100.0,1,,0,0,0,0,,ad263695
Francesco Bardi,GK,Bologna,29,2,2,177,2.0,2,1.02,9,7,77.8,0,0.0,0,0,0,0,,0acda699
Vid Belec,GK,Salernitana,31,23,21,1938,21.5,49,2.28,135,87,65.9,1,4.8,5,3,1,1,25.0,4f8ce0e1
Alessandro Berardi,GK,Hellas Verona,30,1,1,90,1.0,3,3.00,7,4,57.1,0,0.0,0,0,0,0,,ec1f737d
Etrit Berisha,GK,Torino,32,10,10,900,10.0,8,0.80,41,32,85.4,4,40.0,3,2,1,0,33.3,ee833569
Andrea Consigli,GK,Sassuolo,34,37,37,3322,36.9,63,1.71,171,108,67.8,3,8.1,9,8,1,0,11.1,8cabdc1e
Alessio Cragno,GK,Cagliari,27,35,35,3150,35.0,63,1.80,168,104,66.1,2,5.7,8,6,2,0,25.0,f554e29b
Bartłomiej Drągowski,GK,Fiorentina,23,7,7,556,6.2,8,1.29,26,17,73.1,2,28.6,2,1,1,0,50.0,085e71a7
Wladimiro Falcone,GK,Sampdoria,26,10,9,855,9.5,14,1.47,54,41,75.9,2,22.2,1,1,0,0,0.0,9f5a610b
Vincenzo Fiorillo,GK,Salernitana,31,1,1,90,1.0,5,5.00,8,3,37.5,0,0.0,0,0,0,0,,a2565f79
Luca Gemello,GK,Torino,21,1,1,90,1.0,0,0.00,3,3,100.0,1,100.0,0,0,0,0,,53e494ec
Samir Handanović,GK,Inter,37,37,37,3330,37.0,30,0.81,124,95,79.0,15,40.5,4,4,0,0,0.0,74419746
Luca Lezzerini,GK,Venezia,26,6,6,495,5.5,9,1.64,39,30,76.9,0,0.0,0,0,0,0,,c9c32262
Niki Mäenpää,GK,Venezia,36,17,16,1485,16.5,27,1.64,84,57,73.8,1,6.3,6,5,0,1,0.0,14a96e1c
Mike Maignan,GK,Milan,26,32,32,2880,32.0,21,0.66,101,81,81.2,17,53.1,2,2,0,0,0.0,fcb38f57
Davide Marfella,GK,Napoli,21,1,0,11,0.1,0,0.00,1,1,100.0,1,,0,0,0,0,,880fcdbb
Alex Meret,GK,Napoli,24,7,7,619,6.9,6,0.87,29,23,79.3,2,28.6,0,0,0,0,,9413b19f
Vanja Milinković-Savić,GK,Torino,24,27,27,2430,27.0,33,1.22,80,46,67.5,4,14.8,8,7,1,0,12.5,9fa26bc2
Lorenzo Montipò,GK,Hellas Verona,25,34,34,3060,34.0,50,1.47,137,88,65.0,4,11.8,3,2,1,0,33.3,c1d95617
Juan Musso,GK,Atalanta,27,33,33,2932,32.6,42,1.29,119,80,67.2,8,24.2,4,3,0,1,0.0,a111cf41
David Ospina,GK,Napoli,32,31,31,2790,31.0,25,0.81,106,82,77.4,13,41.9,1,1,0,0,0.0,82b1198a
