,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Sergi Canós,DFFW,Brentford,24,31,25,2083,23.1,3,2,8,1,1137759d
Todd Cantwell,FWMF,Norwich City,23,8,5,441,4.9,0,0,2,0,f63d8a4b
Matty Cash,DF,Aston Villa,23,38,38,3377,37.5,4,3,8,0,2389cdc2
Timothy Castagne,DF,Leicester City,25,27,22,2127,23.6,1,0,1,0,197640fd
Jonny Castro,DF,Wolves,27,13,10,1024,11.4,2,0,1,0,e28868f3
Craig Cathcart,DF,Watford,32,31,27,2396,26.6,0,1,3,0,89e4b358
Edinson Cavani,FW,Manchester Utd,34,15,7,766,8.5,2,1,0,0,527f063d
Kayky Chagas,FW,Manchester City,18,1,0,7,0.1,0,0,0,0,17734ea0
Trevoh Chalobah,DF,Chelsea,22,20,17,1449,16.1,3,1,2,0,5515376c
Calum Chambers,DF,Arsenal,26,2,2,170,1.9,0,0,0,0,dc6f5bdd
Calum Chambers,DF,Aston Villa,26,11,9,831,9.2,1,0,1,0,dc6f5bdd
Daniel Chesters,MF,West Ham,19,1,0,1,0.0,0,0,0,0,240c8ab6
Ben Chilwell,DF,Chelsea,24,7,6,542,6.0,3,1,0,0,d2424d1b
Chiquinho,DFFW,Wolves,21,8,1,208,2.3,0,3,0,0,dc6c2f02
Hamza Choudhury,DFMF,Leicester City,23,6,4,285,3.2,0,0,1,0,7d2d3329
Andreas Christensen,DF,Chelsea,25,19,17,1496,16.6,0,0,2,0,1cb49278
Carney Chukwuemeka,MFFW,Aston Villa,17,12,2,301,3.3,0,1,0,0,b2f9c73e
Ciaran Clark,DF,Newcastle Utd,31,13,12,1014,11.3,0,1,2,1,2b91cf8e
Tom Cleverley,MF,Watford,31,28,20,1616,18.0,0,2,2,0,6cdd8245
Nathaniel Clyne,DF,Crystal Palace,30,16,15,1351,15.0,0,1,1,0,0442183b
Conor Coady,DF,Wolves,28,38,38,3361,37.3,4,0,4,0,2928dca2
Séamus Coleman,DF,Everton,32,30,30,2656,29.5,1,0,4,0,0420d84f
Nathan Collins,DF,Burnley,20,19,18,1670,18.6,2,0,2,1,a8c19eb8
Aaron Connolly,FWMF,Brighton,21,4,1,156,1.7,0,0,0,0,27c01749
Liam Cooper,DF,Leeds United,29,21,21,1814,20.2,0,1,5,0,dc64b8b3
Jack Cork,MF,Burnley,32,20,20,1670,18.6,1,0,4,0,74e12f1e
Maxwel Cornet,FWMF,Burnley,24,26,21,1766,19.6,9,1,2,0,beb391dd
Hélder Costa,MF,Leeds United,27,1,0,22,0.2,0,0,0,0,f13d02a6
Vladimír Coufal,DF,West Ham,28,28,25,2209,24.5,0,4,5,1,fdf3cb77
Philippe Coutinho,MFFW,Aston Villa,29,19,16,1329,14.8,5,3,0,0,0ef89a37
Aaron Cresswell,DF,West Ham,31,31,31,2726,30.3,2,3,3,0,4f974391
Charlie Cresswell,DF,Leeds United,18,5,1,141,1.6,0,0,1,0,4654e5f5
Cucho,FWMF,Watford,22,25,11,1147,12.7,5,2,3,0,71b47ab9
Marc Cucurella,DF,Brighton,23,35,35,3089,34.3,1,1,6,0,1daec722
Luke Cundle,MF,Wolves,19,4,2,180,2.0,0,0,0,0,cc3b8e78
Patson Daka,FW,Leicester City,22,23,13,1159,12.9,5,3,2,0,ca45605e
Stuart Dallas,DFMF,Leeds United,30,34,34,2919,32.4,1,1,5,0,67ca8566
Diogo Dalot,DF,Manchester Utd,22,24,19,1801,20.0,0,0,4,0,d9565625
Karl Darlow,GK,Newcastle Utd,30,8,8,720,8.0,0,0,1,0,cde3309f
Josh Dasilva,MFFW,Brentford,22,9,2,257,2.9,0,0,0,1,60344e4f
Ben Davies,DF,Tottenham,28,29,28,2538,28.2,1,1,6,0,44781702
Tom Davies,MF,Everton,23,6,2,234,2.6,1,0,1,0,9228b07c
Keinan Davis,FW,Aston Villa,23,1,0,12,0.1,0,0,0,0,9deaf2c8
Craig Dawson,DF,West Ham,31,34,30,2754,30.6,2,2,5,1,3e9e06cb
Kevin De Bruyne,MF,Manchester City,30,30,25,2201,24.5,15,8,2,0,e46012d4
Troy Deeney,FW,Watford,33,2,0,25,0.3,0,0,0,0,82e34b69
Liam Delap,FW,Manchester City,18,1,0,10,0.1,0,0,0,0,dd897ee7
Fabian Delph,MF,Everton,31,11,8,662,7.4,0,0,2,0,111c3236
Leander Dendoncker,MF,Wolves,26,30,21,1950,21.7,2,2,4,0,5a7301ae
Emmanuel Dennis,FWMF,Watford,23,33,30,2581,28.7,10,6,9,1,2c44a35d
Kiernan Dewsbury-Hall,MF,Leicester City,22,28,23,2105,23.4,1,2,4,0,5c74c0f5
Ibrahima Diallo,MF,Southampton,22,23,10,1023,11.4,0,2,1,0,11ff3d56
Rúben Dias,DF,Manchester City,24,29,27,2402,26.7,2,4,5,0,31c69ef1
Luis Díaz,FW,Liverpool,24,13,11,958,10.6,4,3,0,0,4a1a9578
Eric Dier,DF,Tottenham,27,35,35,3071,34.1,0,0,1,0,ac861941
Lucas Digne,DF,Aston Villa,28,16,16,1269,14.1,0,4,2,0,1b84dbe1
Lucas Digne,DF,Everton,28,13,13,1170,13.0,0,0,4,0,1b84dbe1
Issa Diop,DF,West Ham,24,13,10,963,10.7,0,1,0,0,a712ca2b
Moussa Djenepo,MF,Southampton,23,12,5,457,5.1,0,0,3,0,254147d4
Lewis Dobbin,FWMF,Everton,18,3,0,32,0.4,0,0,1,0,e814e1cf
Matt Doherty,DF,Tottenham,29,15,9,875,9.7,2,4,0,0,d557d734
