Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,0,0,0,2,1,0,0,1,2,0,0,0,6,5,2,71.4,8f5cdf66
Tammy Abraham,FW,Roma,25-176,1,0,0,26,39,10,6,3,7,1,0,0,35,56,51,52.3,f586779e
Christian Acella,MF,Cremonese,20-263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,771a2cfe
Francesco Acerbi,DF,Inter,35-045,3,0,0,9,10,1,15,23,12,0,0,0,99,58,26,69.0,b96b595c
Yacine Adli,MFFW,Milan,22-241,1,0,0,4,1,1,4,1,3,0,0,0,6,0,3,0.0,26777636
Michel Aebischer,FWMF,Bologna,26-080,3,0,0,14,16,7,17,5,3,1,1,0,54,5,16,23.8,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,2,0,0,14,7,4,4,1,3,0,0,0,26,12,27,30.8,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,3,0,0,30,32,2,26,9,29,0,0,0,111,14,24,36.8,46fa7204
Ola Aina,DF,Torino,26-170,5,0,0,15,15,1,31,9,11,0,1,0,53,12,9,57.1,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,3,0,0,16,10,0,4,22,27,0,0,0,96,25,10,71.4,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,8,2,1,21,13,0,7,12,27,0,0,0,52,10,9,52.6,fdf4b948
Luis Alberto,MF,Lazio,30-180,2,0,0,9,8,2,95,6,13,0,0,0,102,5,9,35.7,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,1,0,0,7,4,2,2,3,2,0,0,0,18,8,10,44.4,ab472696
Kelvin Amian,DF,Spezia,25-047,4,0,0,24,2,1,17,18,22,0,1,0,72,22,24,47.8,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,7,0,0,15,8,0,5,17,25,0,1,0,87,49,30,62.0,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,5,0,0,28,15,1,10,26,29,0,1,0,136,46,32,59.0,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,9,0,0,37,26,0,23,19,17,0,0,0,138,11,10,52.4,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,1,0,0,27,24,7,30,16,33,0,0,0,98,10,19,34.5,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7,38d9ce53
Marcos Antônio,MF,Lazio,22-287,1,0,0,6,11,0,0,3,4,0,0,0,22,0,1,0.0,108fe016
Valentin Antov,DF,Monza,22-138,1,0,0,2,1,0,1,0,4,0,0,0,15,5,8,38.5,8f68aa41
Marko Arnautović,FW,Bologna,33-342,5,0,0,20,14,10,9,2,5,0,0,0,30,9,10,47.4,00459419
Tolgay Arslan,MF,Udinese,32-223,1,0,0,13,25,0,22,7,11,0,0,0,53,5,2,71.4,963a328b
