Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Farid Boulaya,MFFW,Metz,28,18,10,36.8,8,2,6,12,30,5,0,a0791826
Ismaëlben Boura,DF,Lens,20,2,2,,1,1,0,2,4,5,0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,46,24,35.8,33,3,30,30,76,44,0,20e73fac
Redwan Bourles,MFFW,Lorient,18,0,0,,0,0,0,0,0,0,0,5c7895a0
Domagoj Bradarić,DF,Lille,21,11,9,58.3,5,2,3,10,21,7,1,8bbe2df5
Bilal Brahimi,MF,Nice,21,1,1,0.0,1,0,1,2,3,1,0,02bcaf8e
Bilal Brahimi,FW,Angers,21,1,1,0.0,0,0,0,1,2,1,0,02bcaf8e
Lilian Brassier,DF,Brest,21,40,24,47.6,31,21,10,32,72,86,0,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,2,0,0.0,0,0,0,1,3,2,0,f83c8d6c
Dylan Bronn,DF,Metz,26,47,29,64.5,32,19,13,40,87,78,1,edd81e2a
Osman Bukari,FWMF,Nantes,22,18,8,36.4,8,0,8,8,26,1,0,eab85789
Maxime Busi,DF,Reims,21,26,15,52.8,19,5,14,17,43,28,0,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,3,3,33.3,7,4,3,1,4,2,0,49712367
Marcin Bułka,GK,Nice,21,0,0,,0,0,0,0,0,0,0,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,15,7,33.3,7,0,7,5,20,1,0,148e136f
Jimmy Cabot,DF,Angers,27,81,44,56.6,29,0,29,32,113,30,0,46359159
Anthony Caci,DF,Strasbourg,24,65,34,60.0,22,3,19,33,98,49,1,0118c54c
Mathieu Cafaro,MFFW,Reims,24,4,2,0.0,2,0,2,3,7,1,0,2a657da0
Yannick Cahuzac,MF,Lens,36,5,2,0.0,8,2,6,9,14,12,0,677ee102
Marc-Aurèle Caillard,GK,Metz,27,0,0,0.0,0,0,0,2,2,9,1,5ee6e943
Jens Cajuste,MFFW,Reims,21,10,6,35.3,7,2,5,5,15,6,0,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,21,8,78.6,11,7,4,24,45,55,2,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,0,0,,0,0,0,0,0,0,0,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,101,57,55.7,44,8,36,57,158,35,1,8577e60a
Mamadou Camara,FW,Troyes,20,1,1,,0,0,0,0,1,0,0,316e70c7
Eduardo Camavinga,MF,Rennes,18,4,1,40.0,1,1,0,1,5,3,0,7b9c2d84
Fali Candé,DF,Metz,23,30,18,41.9,11,2,9,6,36,21,0,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,36,24,34.6,12,1,11,16,52,20,0,79b2399c
Maxence Caqueret,MF,Lyon,21,73,40,37.5,38,10,28,43,116,26,2,f81ef10d
Irvin Cardona,FWMF,Brest,23,13,7,18.8,10,0,10,5,18,17,0,5e080f73
Igor Carioca,DF,Lorient,24,27,16,34.9,17,2,15,25,52,28,0,e3e32fbb
Moreto Cassamã,MF,Reims,23,12,6,15.8,10,5,5,9,21,5,0,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,45,24,71.4,38,27,11,30,75,73,0,e0f3a1f6
Zeki Çelik,DF,Lille,24,64,37,57.1,32,9,23,43,107,62,2,31a62dc7
Fabien Centonze,DF,Metz,25,33,21,40.6,37,8,29,32,65,51,0,3c6bbbab
Leonardo César Jardim,GK,Lille,26,,0,,,,,1,,,,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,0,0,,0,0,0,0,0,2,0,2180c761
Nassim Chadli,MFDF,Troyes,20,5,3,50.0,1,0,1,0,5,0,0,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,1,1,100.0,0,0,0,0,1,0,0,1787195f
Dylan Chambost,MFFW,Troyes,23,16,11,16.0,9,2,7,8,24,4,0,dbde4959
Brendan Chardonnet,DF,Brest,26,44,25,72.5,42,29,13,55,99,141,0,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,49,26,21.8,32,5,27,39,88,36,0,279ddf6a
Xavier Chavalerin,MF,Reims,30,4,4,33.3,2,0,2,5,9,2,1,279ddf6a
Rayan Cherki,FWMF,Lyon,17,6,2,44.4,2,0,2,1,7,0,0,b34c63a5
Pedro Chirivella,MF,Nantes,24,49,31,35.7,23,2,21,37,86,11,0,68a26d51
Joris Chotard,MF,Montpellier,19,59,30,46.2,27,15,12,42,101,56,0,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,2,0,25.0,7,0,7,3,5,1,0,741418c3
Jonathan Clauss,DF,Lens,28,63,34,40.0,43,1,42,73,136,51,0,5219ab4a
Marcus Coco,MFFW,Nantes,25,34,14,44.4,11,1,10,10,44,15,0,3010aefb
Abdu Conté,DF,Troyes,23,22,12,50.0,12,2,10,4,26,10,0,cfa49cc1
Sébastien Corchia,DF,Nantes,30,33,20,57.1,24,3,21,13,46,36,0,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,3,1,75.0,0,0,0,1,4,1,0,beb391dd
David Pereira da Costa,MFFW,Lens,20,22,12,42.3,12,0,12,13,35,5,0,59948ef7
Benoît Costil,GK,Bordeaux,34,1,0,50.0,0,0,0,0,1,6,3,2434f24a
Kalifa Coulibaly,FW,Nantes,29,5,1,0.0,2,2,0,0,5,11,0,9980269a
Nicolas Cozza,DF,Montpellier,22,80,47,53.8,35,19,16,38,118,82,1,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,1,0,,0,0,0,0,1,1,0,06f33dc8
Wylan Cyprien,MF,Nantes,26,33,17,40.6,16,6,10,10,43,14,2,3e092724
Lucas Da Cunha,MF,Nice,20,13,7,54.5,2,0,2,1,14,2,0,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,17,11,50.0,13,0,13,1,18,3,0,007faf7a
Damien Da Silva,DF,Lyon,33,13,9,55.6,15,10,5,22,35,53,1,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,4,2,50.0,4,2,2,2,6,1,0,29c02c9f
Flavius Daniliuc,DF,Nice,20,46,31,79.1,13,7,6,14,60,34,1,7ef972c3
Kevin Danso,DF,Lens,22,41,29,67.6,38,25,13,40,81,111,0,6e33125f
Dante,DF,Nice,37,42,29,69.7,43,27,16,49,91,96,1,fd2bc67d
Jonathan David,FW,Lille,21,24,9,30.0,14,4,10,5,29,15,0,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,11,7,63.6,5,0,5,2,13,4,0,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,2,1,100.0,0,0,0,1,3,0,0,0be95d34
Romain Del Castillo,MFFW,Brest,25,27,16,38.7,12,0,12,7,34,3,0,0be95d34
Thomas Delaine,DF,Metz,29,48,35,52.4,20,7,13,27,75,31,0,8332db56
Sacha Delaye,MFFW,Montpellier,19,8,6,25.0,1,0,1,1,9,1,1,e4448c8c
Andy Delort,FW,Nice,29,15,9,58.3,13,4,9,9,24,14,0,d33c706e
Andy Delort,FW,Montpellier,29,2,0,0.0,1,0,1,0,2,4,0,d33c706e
Moussa Dembélé,FW,Lyon,25,18,9,40.0,13,0,13,8,26,30,1,e7986081
Jason Denayer,DF,Lyon,26,11,4,85.7,8,7,1,16,27,52,0,47af88b8
Arthur Desmas,GK,Clermont Foot,27,0,0,0.0,0,0,0,0,0,1,3,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,29,18,37.8,17,0,17,6,35,3,0,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,0,0,0.0,0,0,0,2,2,2,0,5630a6e0
Ibrahim Diakité,MF,Reims,17,0,0,0.0,0,0,0,0,0,0,0,d8c19a60
Abdou Diallo,DF,Paris S-G,25,22,14,57.1,6,2,4,10,32,19,1,fc62f087
Habib Diallo,FW,Strasbourg,26,9,5,0.0,13,4,9,4,13,11,0,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,2,1,100.0,0,0,0,0,2,0,0,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,11,9,50.0,4,0,4,7,18,1,0,29939a1d
Krépin Diatta,MFDF,Monaco,22,3,2,33.3,2,0,2,1,4,0,0,8104e41e
Bamba Dieng,FW,Marseille,21,17,11,28.6,7,0,7,5,22,8,0,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,3,2,0.0,2,0,2,1,4,0,0,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,13,4,29.2,14,1,13,11,24,5,0,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,9,4,66.7,5,3,2,2,11,1,0,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,23,11,55.6,7,1,6,9,32,3,0,92b56413
Sinaly Diomande,DF,Lyon,20,6,3,83.3,6,6,0,12,18,26,0,6de23ab0
Sofiane Diop,MFFW,Monaco,21,38,20,31.9,10,0,10,23,61,4,0,19053e31
Andy Diouf,MF,Rennes,18,1,1,100.0,1,0,1,0,1,0,0,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,1,1,100.0,0,0,0,0,1,0,0,7f622eef
Axel Disasi,DF,Monaco,23,42,27,59.0,40,30,10,26,68,75,0,ad82197c
Tiago Djaló,DF,Lille,21,60,39,66.7,26,10,16,24,84,71,0,b2336681
Alexander Djiku,DF,Strasbourg,26,50,37,51.4,30,13,17,61,111,90,2,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,3,3,100.0,1,0,1,1,4,2,0,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,0,0,,0,0,0,1,1,14,2,62124972
Jeremy Doku,FWMF,Rennes,19,10,5,50.0,4,0,4,3,13,0,0,fffea3e5
Kasper Dolberg,FW,Nice,23,9,4,33.3,15,1,14,6,15,17,0,cc83b74d
Brandon Domingues,MFFW,Troyes,21,6,2,66.7,3,0,3,3,9,0,0,2a00c6c0
Anastasios Donis,FWMF,Reims,24,8,7,33.3,3,0,3,0,8,1,0,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,0,0,,0,0,0,0,0,9,2,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,36,17,34.9,14,0,14,5,41,7,0,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,0,0,,0,0,0,1,1,0,0,dff0c299
Cheick Doucouré,MF,Lens,21,75,43,44.3,30,7,23,68,143,24,0,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,12,9,81.8,1,0,1,4,16,6,0,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,0,0,,0,0,0,0,0,1,0,0512a60a
Kamory Doumbia,MFFW,Reims,18,8,2,38.5,9,3,6,3,11,3,0,9226aa22
Moussa Doumbia,FW,Reims,26,0,0,0.0,0,0,0,0,0,0,0,6481421d
Souleyman Doumbia,DFFW,Angers,24,30,20,48.1,25,4,21,39,69,51,0,9daeac61
Julian Draxler,FWMF,Paris S-G,27,3,2,0.0,3,0,3,5,8,3,0,1a992676
Matthieu Dreyer,GK,Lorient,32,1,1,100.0,0,0,0,0,1,9,0,fbf83734
Leo Dubois,DF,Lyon,26,43,27,58.7,27,3,24,22,65,35,1,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,71,44,46.7,40,5,35,53,124,92,0,0cbc8baa
Enzo Ebosse,DF,Angers,22,25,14,57.9,19,9,10,15,40,42,0,9ba7b4fa
Hugo Ekitike,FW,Reims,19,18,10,36.4,9,2,7,6,24,15,0,5b92d896
Alberth Elis,FWMF,Bordeaux,25,19,10,44.0,9,0,9,7,26,10,0,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,18,10,37.5,7,0,7,4,22,4,0,0d7b6576
Renaud Emond,FWMF,Nantes,29,1,0,0.0,2,1,1,0,1,1,0,5c9ac7f0
Maxime Estève,DF,Montpellier,19,27,18,55.6,31,24,7,22,49,69,1,1a066e69
Fábio,DF,Nantes,31,61,40,48.6,29,7,22,35,96,31,1,bc7b4580
Cesc Fàbregas,MF,Monaco,34,1,0,100.0,0,0,0,1,2,0,0,33508c78
Wout Faes,DF,Reims,23,40,24,75.8,47,37,10,53,93,169,2,9c221d14
Romain Faivre,FWMF,Lyon,23,10,4,30.8,4,0,4,3,13,2,0,745ca0a3
Romain Faivre,MF,Brest,23,30,18,40.0,11,0,11,13,43,10,0,745ca0a3
Wuilker Faríñez,GK,Lens,23,0,0,,0,0,0,0,0,4,0,2c127b6f
Noah Fatar,DFMF,Angers,19,1,0,0.0,0,0,0,1,2,0,0,2693f6bc
Julien Faussurier,MFDF,Brest,34,10,6,46.2,12,1,11,5,15,6,0,767212e6
Jordan Ferri,MF,Montpellier,29,55,35,33.3,21,5,16,30,85,35,0,375622c5
Karol Fila,DF,Strasbourg,23,10,8,50.0,7,2,5,4,14,6,0,50ac8941
Alexis Flips,MFDF,Reims,21,37,21,48.9,21,0,21,24,61,17,0,caef7840
Mamadou Fofana,DF,Metz,23,1,1,50.0,2,1,1,1,2,2,0,4c4ffacc
Seko Fofana,MF,Lens,26,27,19,20.7,24,2,22,26,53,17,1,5313ed43
Youssouf Fofana,MF,Monaco,22,69,43,51.8,29,7,22,32,101,22,2,822d51d7
Thomas Foket,DFFW,Reims,26,28,19,45.0,26,4,22,33,61,35,0,90eb507d
Thomas Fontaine,DF,Lorient,30,2,0,0.0,3,3,0,2,4,4,0,9f90c06b
José Fonte,DF,Lille,37,23,12,44.0,39,32,7,44,67,159,1,90f87966
Steven Fortes,DF,Lens,29,2,0,50.0,2,1,1,0,2,4,0,574aa9ec
Przemysław Frankowski,DF,Lens,26,57,39,48.6,27,0,27,28,85,52,0,00a8d210
Fransérgio,MF,Bordeaux,30,24,10,27.9,18,6,12,23,47,23,0,deba6b05
Angelo Fulgini,MFFW,Angers,24,35,25,31.8,21,5,16,22,57,5,1,4b96c347
Gauthier Gallon,GK,Troyes,28,3,0,100.0,0,0,0,2,5,12,1,db3164e1
Kévin Gameiro,FW,Strasbourg,34,19,10,33.3,22,1,21,6,25,1,0,42276181
Idrissa Gana Gueye,MF,Paris S-G,31,60,36,40.9,23,4,19,24,84,13,0,72c812f3
Ignatius Ganago,FW,Lens,22,3,2,33.3,4,0,4,2,5,3,0,23c63b7f
Djeidi Gassama,FW,Paris S-G,17,0,0,,1,1,0,0,0,0,0,bbdb2789
Johan Gastien,MF,Clermont Foot,33,56,34,36.5,45,11,34,53,109,49,1,868eaba0
Valère Germain,FW,Montpellier,31,23,14,25.8,13,1,12,9,32,27,0,ea0ff634
Gerson,MFFW,Marseille,24,42,17,22.9,26,4,22,16,58,16,2,8827bf46
Willem Geubbels,FWMF,Nantes,19,8,5,41.7,5,0,5,6,14,5,0,9836e892
Ismaël Gharbi,FW,Paris S-G,17,0,0,,0,0,0,0,0,0,0,5b3cfa12
Lamine Ghezali,DF,Saint-Étienne,22,0,0,,1,0,1,0,0,0,0,ce84946a
Nicholas Gioacchini,FWMF,Montpellier,21,7,5,40.0,8,0,8,4,11,5,0,79ab7593
Jimmy Giraudon,DF,Troyes,29,14,6,31.8,24,14,10,37,51,68,1,6ba71da5
Andrei Girotto,DFMF,Nantes,29,85,52,50.5,67,33,34,69,154,143,0,3befc2b6
Aleksandr Golovin,FWMF,Monaco,25,40,22,43.9,26,1,25,12,52,8,0,3708e9fa
Angel Gomes,MFFW,Lille,20,23,13,66.7,4,0,4,3,26,4,0,645a3363
Alfred Gomis,GK,Rennes,27,1,0,50.0,0,0,0,1,2,8,2,cecbce23
Vagner Gonçalves,FW,Metz,25,2,1,100.0,0,0,0,1,3,0,0,743fd71f
Álvaro González,DF,Marseille,31,1,1,100.0,0,0,0,1,2,9,0,42dcf26d
Amine Gouiri,FWMF,Nice,21,22,13,31.3,22,5,17,11,33,17,1,aad56ca3
Lucas Gourna-Douath,MF,Saint-Étienne,17,45,26,58.3,22,3,19,13,58,9,2,3cd7820a
Jonathan Gradit,DF,Lens,28,60,28,55.6,39,27,12,65,125,106,0,06c48679
Andrew Gravillon,DF,Reims,23,32,24,63.0,25,15,10,33,65,83,1,49136c42
Adrian Grbić,FWMF,Lorient,24,2,1,33.3,3,1,2,0,2,7,0,4a987ffa
Ivo Grbić,GK,Lille,25,0,0,,0,0,0,0,0,14,1,3f034750
Etienne Green,GK,Saint-Étienne,21,1,1,,0,0,0,1,2,9,0,667b65da
Gabriel Gudmundsson,DFMF,Lille,22,43,31,48.6,15,3,12,20,63,13,0,d5d22a58
Noah Guede-Nadje,MF,Angers,17,0,0,,0,0,0,0,0,0,0,94b442c0
Mattéo Guendouzi,MF,Marseille,22,45,30,27.7,15,1,14,16,61,18,0,5ea8ef20
Yanis Guermouche,MFFW,Montpellier,20,2,1,100.0,0,0,0,0,2,0,0,642f9f79
Evann Guessand,FW,Nice,20,9,8,37.5,4,0,4,0,9,1,0,b73f17f8
Lamine Gueye,FWMF,Metz,23,5,5,42.9,4,0,4,6,11,1,0,9d5dcc23
Pape Gueye,MF,Marseille,22,38,19,51.6,15,3,12,24,62,16,0,7155e3e1
Josuha Guilavogui,MFDF,Bordeaux,30,39,16,48.3,16,8,8,36,75,23,0,e6c43eec
Frederic Guilbert,DF,Strasbourg,26,69,39,51.6,37,11,26,55,124,39,0,5d8d7454
Bruno Guimarães,MF,Lyon,23,50,31,39.0,21,4,17,21,71,11,1,82518f62
Sehrou Guirassy,FW,Rennes,25,4,2,14.3,4,0,4,1,5,8,0,923f4dda
Malo Gusto,DF,Lyon,18,55,35,60.0,21,6,15,33,88,41,1,d56b9520
Massadio Haïdara,DF,Lens,28,28,21,62.5,18,4,14,22,50,31,0,5167c97e
Oualid El Hajjam,DF,Troyes,30,22,11,65.2,12,6,6,22,44,28,0,9f29c204
Achraf Hakimi,DF,Paris S-G,22,74,51,55.6,26,5,21,28,102,23,2,e42d61c7
Pierre-Yves Hamel,FWMF,Lorient,27,0,0,0.0,0,0,0,2,2,0,0,a99da9ec
Pierre-Yves Hamel,FW,Clermont Foot,27,11,6,83.3,2,1,1,0,11,0,0,a99da9ec
Romain Hamouma,FWMF,Saint-Étienne,34,10,7,15.4,8,0,8,4,14,1,0,0b4d8274
Amine Harit,FWMF,Marseille,24,18,11,52.9,10,0,10,4,22,2,0,e7d59f4f
Henrique,DF,Lyon,27,13,7,31.3,13,1,12,22,35,14,0,f28474a4
Luis Henrique,FWMF,Marseille,19,4,3,40.0,2,0,2,5,9,1,0,f36d5624
Christophe Hérelle,DF,Brest,28,48,28,65.4,20,15,5,44,92,84,1,3681cfff
Jérôme Hergault,DF,Lorient,35,3,1,40.0,4,1,3,4,7,7,0,a84f9a4b
Ander Herrera,MF,Paris S-G,31,29,17,35.9,22,8,14,14,43,8,0,436a9dd0
Franck Honorat,FWMF,Brest,24,54,38,57.4,24,2,22,15,69,25,0,db7849ca
Fraser Hornby,FWMF,Reims,21,3,1,0.0,3,0,3,4,7,5,0,29aee77c
Cédric Hountondji,DF,Clermont Foot,27,33,17,66.7,23,12,11,34,67,76,0,00891164
Suk Hyun-jun,FWMF,Troyes,30,0,0,,2,0,2,0,0,2,0,7ffaf233
Mauro Icardi,FW,Paris S-G,28,5,3,42.9,3,0,3,5,10,12,0,43b78598
