Player,Pos,Squad,Age,SCA,-9999
Gennaro Acampora,MFFW,Spezia,26,8,01040647
Francesco Acerbi,DF,Lazio,32,31,b96b595c
Andrea Adorante,FW,Parma,20,0,7005ac66
Lucien Agoume,MF,Spezia,18,7,8bc8829a
Kevin Agudelo,FW,Spezia,21,38,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,19,fdf4b948
Luis Alberto,MF,Lazio,27,157,5294a83f
Bruno Alves,DF,Parma,38,9,585a73a8
Wisdom Amey,DF,Bologna,14,1,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,36,5a2cb25d
Djavan Anderson,DF,Lazio,25,0,ca241ad3
Nícolas Andrade,GK,Udinese,32,0,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,0,f5409698
Cristian Ansaldi,DFFW,Torino,33,72,bbafc0c4
Valentin Antov,DF,Bologna,19,1,8f68aa41
Nicolò Armini,DF,Lazio,19,0,2f7407fa
Tolgay Arslan,MF,Udinese,29,35,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,3,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,0,a69cc629
Emil Audero,GK,Sampdoria,23,6,649b01d8
Tommaso Augello,DF,Sampdoria,25,56,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,4,2200181e
Milan Badelj,MF,Genoa,31,62,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,34,59bf127b
Keita Baldé,FW,Sampdoria,25,45,509a4ccb
Botond Balogh,DF,Parma,18,0,348bafd4
Mattia Bani,DF,Genoa,26,6,0821331c
Mattia Bani,DF,Parma,26,6,0821331c
Antonín Barák,MF,Hellas Verona,25,56,01efac19
Federico Barba,DF,Benevento,26,29,c010b898
Nicolò Barella,MF,Inter,23,105,6928979a
Antonio Barreca,DF,Fiorentina,25,2,6a189491
Musa Barrow,FWMF,Bologna,21,111,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,9,6029a945
Daniele Baselli,MF,Torino,28,14,ea06dd97
Alessandro Bastoni,DF,Inter,21,41,75b86fb3
Simone Bastoni,DF,Spezia,23,48,1ac232b8
