Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Dylan Bronn,DF,Metz,26,10,1,1,31,11,3,12,40,29,0,0,0,164,28,28,50.0,edd81e2a
Osman Bukari,FWMF,Nantes,22,1,0,0,14,6,5,15,8,8,0,0,0,70,9,13,40.9,eab85789
Maxime Busi,DF,Reims,21,3,0,0,19,7,0,30,17,15,0,0,0,77,11,19,36.7,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,0,0,0,2,0,0,1,1,3,0,0,0,11,1,5,16.7,49712367
Marcin Bułka,GK,Nice,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,0,0,0,3,3,0,8,5,7,0,0,0,20,0,3,0.0,148e136f
Jimmy Cabot,DF,Angers,27,4,0,0,32,32,1,69,32,44,1,0,0,180,11,12,47.8,46359159
Anthony Caci,DF,Strasbourg,24,4,0,0,35,23,2,97,33,34,0,0,0,161,38,24,61.3,0118c54c
Mathieu Cafaro,MFFW,Reims,24,2,0,0,6,3,0,19,3,2,0,0,0,9,3,4,42.9,2a657da0
Yannick Cahuzac,MF,Lens,36,1,1,0,6,1,1,2,9,2,0,0,0,27,6,5,54.5,677ee102
Marc-Aurèle Caillard,GK,Metz,27,1,0,0,0,4,0,0,2,0,0,0,0,7,2,0,100.0,5ee6e943
Jens Cajuste,MFFW,Reims,21,0,0,0,5,8,0,1,5,6,0,0,0,16,3,5,37.5,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,6,0,0,11,6,1,1,24,8,1,0,0,99,35,11,76.1,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,8,0,0,45,44,1,33,57,57,2,0,0,177,30,42,41.7,8577e60a
Mamadou Camara,FW,Troyes,20,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3,40.0,316e70c7
Eduardo Camavinga,MF,Rennes,18,0,0,0,2,6,0,0,1,1,0,0,0,8,2,0,100.0,7b9c2d84
Fali Candé,DF,Metz,23,2,0,0,11,11,0,45,6,18,0,0,0,60,18,12,60.0,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,1,0,0,22,5,0,17,16,24,1,1,0,98,19,31,38.0,79b2399c
Maxence Caqueret,MF,Lyon,21,5,0,0,43,28,0,20,43,40,0,0,0,204,12,13,48.0,f81ef10d
Irvin Cardona,FWMF,Brest,23,2,0,0,16,14,10,21,5,7,0,0,0,55,13,19,40.6,5e080f73
Igor Carioca,DF,Lorient,24,3,0,0,25,23,1,68,25,16,0,0,0,88,10,10,50.0,e3e32fbb
Moreto Cassamã,MF,Reims,23,1,0,0,11,22,0,19,9,6,0,0,0,61,3,6,33.3,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,8,0,0,42,11,1,8,30,24,0,0,0,150,56,31,64.4,e0f3a1f6
Zeki Çelik,DF,Lille,24,10,0,0,39,16,3,66,43,37,1,1,0,160,40,22,64.5,31a62dc7
Fabien Centonze,DF,Metz,25,3,0,0,16,30,0,48,32,21,0,0,0,101,10,17,37.0,3c6bbbab
Leonardo César Jardim,GK,Lille,26,0,0,0,0,4,0,0,1,0,,,0,,,,,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,2180c761
Nassim Chadli,MFDF,Troyes,20,1,0,0,3,3,0,5,0,3,0,0,0,5,1,1,50.0,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,1787195f
Dylan Chambost,MFFW,Troyes,23,0,0,0,7,5,1,21,8,11,0,0,0,47,13,13,50.0,dbde4959
Brendan Chardonnet,DF,Brest,26,6,1,0,26,24,0,3,55,25,0,0,0,144,70,44,61.4,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,4,0,0,31,12,6,79,39,26,0,0,0,95,12,23,34.3,279ddf6a
Xavier Chavalerin,MF,Reims,30,0,0,0,3,0,0,4,5,4,0,0,0,16,2,4,33.3,279ddf6a
Rayan Cherki,FWMF,Lyon,17,1,0,0,4,8,3,27,1,2,0,0,0,18,1,4,20.0,b34c63a5
Pedro Chirivella,MF,Nantes,24,6,0,0,22,25,0,8,37,31,0,0,0,168,9,12,42.9,68a26d51
Joris Chotard,MF,Montpellier,19,5,0,0,29,11,0,20,42,30,0,0,0,206,20,29,40.8,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,1,0,0,4,5,0,9,3,0,0,0,0,11,1,3,25.0,741418c3
Jonathan Clauss,DF,Lens,28,3,0,0,38,14,4,348,73,34,0,0,0,203,16,10,61.5,5219ab4a
Marcus Coco,MFFW,Nantes,25,3,1,1,21,31,4,24,10,14,0,0,0,67,31,32,49.2,3010aefb
Abdu Conté,DF,Troyes,23,2,0,0,14,14,2,41,4,12,0,0,0,68,9,11,45.0,cfa49cc1
Sébastien Corchia,DF,Nantes,30,0,1,0,22,25,0,79,13,20,0,0,0,49,18,8,69.2,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,2,1,1,2,1,0,3,1,1,0,0,0,4,0,1,0.0,beb391dd
David Pereira da Costa,MFFW,Lens,20,2,0,0,9,14,0,35,13,12,0,0,0,69,1,11,8.3,59948ef7
Benoît Costil,GK,Bordeaux,34,1,0,0,0,3,0,0,0,0,0,0,0,49,6,0,100.0,2434f24a
Kalifa Coulibaly,FW,Nantes,29,1,0,0,11,8,7,3,0,1,0,0,0,14,77,41,65.3,9980269a
Nicolas Cozza,DF,Montpellier,22,2,1,0,24,19,1,24,38,47,0,1,0,137,40,35,53.3,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,0,0,0,1,0,1,0,0,0,0,0,0,2,4,5,44.4,06f33dc8
Wylan Cyprien,MF,Nantes,26,3,0,0,19,16,1,70,10,17,0,0,0,105,5,13,27.8,3e092724
Lucas Da Cunha,MF,Nice,20,0,0,0,3,5,0,23,1,7,0,0,0,25,6,6,50.0,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,0,0,0,6,4,1,20,1,11,0,0,0,43,7,14,33.3,007faf7a
Damien Da Silva,DF,Lyon,33,5,1,1,19,4,0,1,22,9,0,1,0,54,35,16,68.6,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,1,0,0,6,2,0,8,2,2,0,0,0,7,1,2,33.3,29c02c9f
Flavius Daniliuc,DF,Nice,20,4,0,0,17,4,1,7,14,31,0,0,0,98,21,24,46.7,7ef972c3
Kevin Danso,DF,Lens,22,9,2,1,43,36,1,1,40,29,1,0,0,206,72,30,70.6,6e33125f
Dante,DF,Nice,37,7,3,1,26,12,0,3,49,29,1,1,0,208,50,27,64.9,fd2bc67d
Jonathan David,FW,Lille,21,3,0,0,25,47,6,6,5,9,0,0,0,104,26,65,28.6,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,1,0,0,2,6,1,19,2,7,0,0,0,30,4,6,40.0,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,0,0,0,0,3,0,0,1,1,0,0,0,2,0,1,0.0,0be95d34
Romain Del Castillo,MFFW,Brest,25,1,1,0,16,20,0,45,7,16,1,0,0,80,4,12,25.0,0be95d34
Thomas Delaine,DF,Metz,29,4,0,0,22,14,1,111,27,35,0,0,0,137,7,20,25.9,8332db56
Sacha Delaye,MFFW,Montpellier,19,0,0,0,5,1,0,3,1,6,0,0,0,13,1,5,16.7,e4448c8c
Andy Delort,FW,Nice,29,3,0,0,38,43,16,51,9,9,1,0,0,59,94,101,48.2,d33c706e
Andy Delort,FW,Montpellier,29,0,0,0,6,3,0,14,0,0,0,0,0,6,11,9,55.0,d33c706e
Moussa Dembélé,FW,Lyon,25,6,0,0,29,19,10,2,8,9,3,0,0,44,60,59,50.4,e7986081
Jason Denayer,DF,Lyon,26,2,0,0,7,5,0,1,16,4,0,1,0,46,16,22,42.1,47af88b8
Arthur Desmas,GK,Clermont Foot,27,0,0,0,0,4,0,0,0,0,0,0,1,14,0,0,,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,2,0,0,9,14,7,122,6,18,1,0,0,71,0,0,,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,1,1,0,2,1,0,0,2,0,0,0,0,5,1,1,50.0,5630a6e0
Ibrahim Diakité,MF,Reims,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,d8c19a60
Abdou Diallo,DF,Paris S-G,25,1,0,0,12,3,0,18,10,14,0,0,0,45,14,6,70.0,fc62f087
Habib Diallo,FW,Strasbourg,26,2,0,0,17,20,15,9,4,5,0,0,0,48,55,60,47.8,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,1,0,0,2,1,0,0,0,1,0,0,0,8,2,1,66.7,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,2,0,0,6,8,2,22,7,9,1,0,0,36,2,6,25.0,29939a1d
Krépin Diatta,MFDF,Monaco,22,0,0,0,3,8,0,3,1,2,0,0,0,13,12,4,75.0,8104e41e
Bamba Dieng,FW,Marseille,21,0,1,0,14,13,4,3,5,11,2,0,0,41,13,20,39.4,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,0,0,0,1,2,1,1,1,2,0,0,0,4,1,1,50.0,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,3,0,0,13,30,1,69,11,4,0,0,0,68,6,14,30.0,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,2,0,0,11,4,0,2,2,4,0,0,0,12,1,1,50.0,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,3,0,0,12,14,1,43,9,11,1,0,0,53,4,7,36.4,92b56413
Sinaly Diomande,DF,Lyon,20,2,0,0,5,3,0,0,12,3,0,0,1,34,16,5,76.2,6de23ab0
Sofiane Diop,MFFW,Monaco,21,6,0,0,28,41,4,95,23,20,1,1,0,134,12,28,30.0,19053e31
Andy Diouf,MF,Rennes,18,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,0,0,0,0,1,0,1,0,1,0,0,0,5,1,0,100.0,7f622eef
Axel Disasi,DF,Monaco,23,5,0,0,43,13,3,1,26,27,0,1,0,183,71,43,62.3,ad82197c
Tiago Djaló,DF,Lille,21,4,0,0,23,22,1,11,24,39,0,0,2,190,23,31,42.6,b2336681
Alexander Djiku,DF,Strasbourg,26,10,1,1,44,28,2,15,61,37,0,2,0,142,71,29,71.0,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,0,0,0,0,1,0,1,1,3,0,0,0,3,0,0,,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,1,0,0,1,4,0,0,1,0,0,1,0,35,2,2,50.0,62124972
Jeremy Doku,FWMF,Rennes,19,2,0,0,9,15,0,13,3,5,0,0,0,38,2,5,28.6,fffea3e5
Kasper Dolberg,FW,Nice,23,0,0,0,30,29,3,5,6,4,0,0,0,38,21,25,45.7,cc83b74d
Brandon Domingues,MFFW,Troyes,21,0,0,0,3,9,0,11,3,2,0,0,0,12,0,1,0.0,2a00c6c0
Anastasios Donis,FWMF,Reims,24,0,1,0,9,3,8,24,0,7,0,0,0,11,2,5,28.6,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,3,0,0,0,2,0,0,0,0,0,0,0,25,3,0,100.0,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,4,0,0,25,38,15,60,5,17,1,0,0,97,7,15,31.8,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,dff0c299
Cheick Doucouré,MF,Lens,21,7,1,0,42,24,0,6,68,43,0,0,0,218,22,20,52.4,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,0,0,0,1,1,0,4,4,9,0,0,0,10,1,5,16.7,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0512a60a
Kamory Doumbia,MFFW,Reims,18,1,0,0,1,4,1,9,3,2,0,0,0,26,3,6,33.3,9226aa22
Moussa Doumbia,FW,Reims,26,0,0,0,0,2,1,2,0,0,0,0,0,2,0,4,0.0,6481421d
Souleyman Doumbia,DFFW,Angers,24,10,1,0,22,25,1,69,39,20,0,2,0,127,14,16,46.7,9daeac61
Julian Draxler,FWMF,Paris S-G,27,0,0,0,4,1,1,5,5,2,0,0,0,26,1,4,20.0,1a992676
Matthieu Dreyer,GK,Lorient,32,0,0,0,0,2,0,0,0,1,0,0,0,11,2,0,100.0,fbf83734
Leo Dubois,DF,Lyon,26,5,0,0,18,14,1,76,22,27,1,0,0,94,21,19,52.5,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,1,0,0,35,31,3,74,53,44,0,0,1,205,38,35,52.1,0cbc8baa
Enzo Ebosse,DF,Angers,22,1,0,0,14,21,0,16,15,14,0,1,0,112,22,22,50.0,9ba7b4fa
Hugo Ekitike,FW,Reims,19,1,1,0,18,31,12,4,6,10,2,1,0,66,26,33,44.1,5b92d896
Alberth Elis,FWMF,Bordeaux,25,2,0,0,22,23,9,28,7,10,1,0,0,46,26,41,38.8,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,2,0,0,18,26,21,11,4,10,2,0,0,46,13,60,17.8,0d7b6576
Renaud Emond,FWMF,Nantes,29,0,0,0,3,3,0,0,0,0,0,0,0,9,5,17,22.7,5c9ac7f0
Maxime Estève,DF,Montpellier,19,2,0,0,10,6,0,0,22,18,0,0,0,92,32,27,54.2,1a066e69
Fábio,DF,Nantes,31,8,1,0,30,19,1,35,35,40,0,2,0,107,30,30,50.0,bc7b4580
Cesc Fàbregas,MF,Monaco,34,0,0,0,1,2,0,5,1,0,0,0,0,4,0,0,,33508c78
Wout Faes,DF,Reims,23,2,0,0,21,24,0,3,53,24,0,2,0,199,38,32,54.3,9c221d14
Romain Faivre,FWMF,Lyon,23,0,0,0,14,17,1,61,3,4,0,0,0,55,2,1,66.7,745ca0a3
Romain Faivre,MF,Brest,23,1,0,0,15,27,1,115,13,18,0,0,0,110,6,14,30.0,745ca0a3
Wuilker Faríñez,GK,Lens,23,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,100.0,2c127b6f
Noah Fatar,DFMF,Angers,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2693f6bc
Julien Faussurier,MFDF,Brest,34,1,0,0,5,7,5,38,5,6,0,0,0,36,5,5,50.0,767212e6
Jordan Ferri,MF,Montpellier,29,13,1,1,49,72,0,39,30,35,0,1,0,300,17,34,33.3,375622c5
Karol Fila,DF,Strasbourg,23,3,0,0,8,9,0,24,4,8,0,0,0,32,7,7,50.0,50ac8941
Alexis Flips,MFDF,Reims,21,2,0,0,18,12,1,88,24,21,0,0,0,88,8,20,28.6,caef7840
Mamadou Fofana,DF,Metz,23,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0,4c4ffacc
Seko Fofana,MF,Lens,26,2,0,0,27,45,5,41,26,19,0,0,0,210,15,13,53.6,5313ed43
Youssouf Fofana,MF,Monaco,22,4,0,0,33,25,0,6,32,43,0,1,0,175,14,10,58.3,822d51d7
Thomas Foket,DFFW,Reims,26,5,0,0,26,27,5,64,33,19,1,0,0,135,15,19,44.1,90eb507d
Thomas Fontaine,DF,Lorient,30,1,0,0,4,1,0,0,2,0,0,0,0,8,2,4,33.3,9f90c06b
José Fonte,DF,Lille,37,4,0,0,23,8,1,6,44,12,0,0,0,205,87,42,67.4,90f87966
Steven Fortes,DF,Lens,29,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,100.0,574aa9ec
Przemysław Frankowski,DF,Lens,26,5,0,0,36,9,2,71,28,39,0,1,0,130,12,11,52.2,00a8d210
