Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Răzvan Marin,MF,Empoli,26-308,1306,28,16,57.1,15,16,7fac99d4
Marlon,DF,Monza,27-201,884,4,1,25.0,3,1,cdf65d12
Luca Marrone,DF,Monza,32-364,93,0,0,,0,0,ea468ea8
Lautaro Martínez,FW,Inter,25-217,883,60,21,35.0,58,39,f7036e1c
Lucas Martínez Quarta,DF,Fiorentina,26-321,1289,11,8,72.7,8,3,3ec3c1c9
Adam Marušić,DF,Lazio,30-161,1731,12,7,58.3,12,11,d4535821
Adam Masina,DF,Udinese,29-084,289,0,0,,2,1,de0f152c
Nemanja Matić,MF,Roma,34-238,1139,19,13,68.4,18,14,eb7822d7
Luís Maximiano,GK,Lazio,24-081,4,0,0,,0,0,3318286e
Pasquale Mazzocchi,DF,Salernitana,27-243,845,64,34,53.1,34,24,eb0ec070
Weston McKennie,MFDF,Juventus,24-211,526,9,7,77.8,20,12,01c3aff5
Gary Medel,MFDF,Bologna,35-236,1080,5,4,80.0,6,4,563a68ad
Soualiho Meïté,MF,Cremonese,29-010,732,35,16,45.7,18,19,5cec2c74
Alex Meret,GK,Napoli,26-005,756,0,0,,0,0,9413b19f
Yıldırım Mert Çetin,DF,Lecce,26-085,8,0,0,,2,0,c730da00
Junior Messias,FWDF,Milan,31-318,557,42,20,47.6,21,9,f49c4ae9
Tommaso Milanese,MF,Cremonese,20-239,19,2,1,50.0,3,1,b2561711
Nikola Milenković,DF,Fiorentina,25-166,1179,0,0,,6,0,bee704fc
Arkadiusz Milik,FW,Juventus,29-027,381,10,5,50.0,31,9,85613cf0
Sergej Milinković-Savić,MF,Lazio,28-028,1727,53,24,45.3,78,44,4e6dbac4
Vanja Milinković-Savić,GK,Torino,26-035,1269,0,0,,1,1,9fa26bc2
Kim Min-jae,DF,Napoli,26-132,2313,4,1,25.0,12,7,e0f8151c
Aleksei Miranchuk,MF,Torino,27-161,750,36,12,33.3,38,21,a9aa0d1d
Fabio Miretti,MFFW,Juventus,19-236,531,31,11,35.5,31,20,34693494
Henrikh Mkhitaryan,MF,Inter,34-065,993,25,10,40.0,36,18,dd0daf32
Salvatore Molina,DF,Monza,31-085,139,4,2,50.0,4,2,54ab971f
Daniele Montevago,FW,Sampdoria,20-009,79,4,0,0.0,9,4,ca73910d
Lorenzo Montipò,GK,Hellas Verona,27-035,930,0,0,,4,0,c1d95617
Nikola Moro,MF,Bologna,25-015,510,14,11,78.6,8,5,ff579c7e
Dany Mota,FWMF,Monza,24-329,516,42,19,45.2,51,26,efc9e31f
João Moutinho,DFFW,Spezia,25-074,51,0,0,,0,0,a0aee24e
Mert Müldür,DF,Sassuolo,23-358,1,0,0,,0,0,1295552e
Luis Muriel,FW,Atalanta,31-345,486,47,21,44.7,33,18,eb2fe5b6
Jeison Murillo,DF,Sampdoria,30-304,531,4,2,50.0,7,1,b233e8e4
Nicola Murru,DF,Sampdoria,28-101,270,1,0,0.0,6,1,d183e9d6
Juan Musso,GK,Atalanta,28-325,654,0,0,,2,0,a111cf41
Joakim Mæhle,DFMF,Atalanta,25-311,1162,41,14,34.1,28,17,c459a650
Herculano Nabian,MF,Empoli,19-061,1,1,0,0.0,0,0,c39babc1
Michel Ndary Adopo,MFDF,Torino,22-251,166,6,3,50.0,4,3,599d91d0
Tanguy Ndombele,MF,Napoli,26-089,557,27,15,55.6,23,15,5cdddffa
Ilija Nestorovski,FWMF,Udinese,33-015,46,2,2,100.0,3,0,b1236c63
Cyril Ngonge,MFFW,Hellas Verona,22-305,131,16,6,37.5,10,5,2b8360f1
Hans Nicolussi Caviglia,MF,Salernitana,22-282,245,5,2,40.0,7,4,b136c945
Dimitris Nikolaou,DF,Spezia,24-226,1437,10,7,70.0,12,8,cf961d8d
Bram Nuytinck,DF,Udinese,32-327,185,1,1,100.0,1,0,e33f36d5
Bram Nuytinck,DF,Sampdoria,32-327,558,1,0,0.0,1,1,e33f36d5
M'Bala Nzola,FW,Spezia,26-221,735,57,21,36.8,95,59,a4948e67
Pedro Obiang,MF,Sassuolo,31-000,418,5,2,40.0,5,2,ba1e04b3
Guillermo Ochoa,GK,Salernitana,37-257,402,0,0,,0,0,1e9bde92
David Okereke,FWMF,Cremonese,25-210,624,55,26,47.3,48,29,d125f22f
Caleb Okoli,DF,Atalanta,21-257,514,1,0,0.0,11,3,8ec109e6
Mathías Olivera,DF,Napoli,25-147,947,21,7,33.3,13,18,41c12f75
André Onana,GK,Inter,26-359,729,0,0,,1,0,e9c0c1b2
Divock Origi,FWMF,Milan,27-343,236,25,10,40.0,33,21,43a166b4
Riccardo Orsolini,FW,Bologna,26-062,884,56,18,32.1,47,29,e14ec482
Victor Osimhen,FW,Napoli,24-088,573,61,21,34.4,72,35,8c90fd7a
Remi Oudin,FW,Lecce,26-129,344,6,1,16.7,9,5,ea02beaf
Adam Ounas,FW,Napoli,26-136,19,2,2,100.0,0,0,ed90babd
Simone Pafundi,MF,Udinese,17-041,13,1,1,100.0,0,2,8daee720
Flavio Paoletti,MF,Sampdoria,20-070,71,1,1,100.0,1,0,3d6cee81
Leandro Paredes,MF,Juventus,28-271,483,4,2,50.0,4,2,dff153a4
Fabiano Parisi,DF,Empoli,22-138,1514,79,41,51.9,42,27,0967845b
Mario Pašalić,MFFW,Atalanta,28-046,608,12,3,25.0,23,20,e599253a
Patric,DF,Lazio,29-344,868,2,1,50.0,3,0,f7223718
Rui Patrício,GK,Roma,35-040,745,0,0,,1,0,79b0d6a0
Pedro,FW,Lazio,35-242,907,54,25,46.3,34,24,3ca7254a
Gianluca Pegolo,GK,Sassuolo,42-002,81,0,0,,0,0,f058ed1f
Pietro Pellegri,FW,Torino,22-010,111,10,2,20.0,17,15,a44d3a3c
Lorenzo Pellegrini,MF,Roma,26-281,1066,61,25,41.0,40,22,4a5a45c7
Pepín,MF,Monza,26-225,611,14,6,42.9,9,9,7afb1573
Roberto Pereyra,DFMF,Udinese,32-079,1121,70,28,40.0,28,25,75f2c59f
Nehuén Pérez,DF,Udinese,22-276,1544,8,3,37.5,13,9,f7c491f1
Simone Perilli,GK,Hellas Verona,28-079,38,0,0,,0,0,b9e11c1d
Mattia Perin,GK,Juventus,30-137,308,0,0,,0,0,4c62d0c8
Samuele Perisan,GK,Empoli,25-218,94,0,0,,0,0,00a17eba
Matteo Pessina,MF,Monza,25-340,1637,44,28,63.6,47,28,780e3631
Andrea Petagna,FW,Monza,27-270,524,33,18,54.5,51,35,03f946ed
Giuseppe Pezzella,DF,Lecce,25-118,524,15,5,33.3,11,9,149c5f5d
Krzysztof Piątek,FW,Salernitana,27-269,611,17,8,47.1,55,26,17f3620a
Roberto Piccoli,FW,Hellas Verona,22-059,55,3,1,33.3,7,4,1cadaf34
Roberto Piccoli,FWMF,Empoli,22-059,44,10,4,40.0,3,3,1cadaf34
Charles Pickel,MF,Cremonese,25-316,974,12,3,25.0,29,13,f71ad8cb
Andrea Pinamonti,FW,Sassuolo,23-312,570,25,9,36.0,46,46,08aa9cd1
Lorenzo Pirola,DF,Salernitana,21-035,662,6,3,50.0,3,0,caec77da
Marko Pjaca,MFFW,Empoli,27-325,286,34,20,58.8,13,15,2c38b327
Tommaso Pobega,MF,Milan,23-255,282,4,2,50.0,8,3,55a1cac2
Paul Pogba,MFDF,Juventus,30-012,25,0,0,,2,1,867239d3
Matteo Politano,FW,Napoli,29-236,658,47,20,42.6,25,11,5e861944
Marin Pongračić,DF,Lecce,25-197,435,2,2,100.0,5,0,2a6cd437
Stefan Posch,DF,Bologna,25-317,1448,17,6,35.3,31,8,7f609bfc
Ivan Provedel,GK,Lazio,29-010,1028,1,1,100.0,0,0,277da414
Ignacio Pussetto,MFDF,Sampdoria,27-096,81,3,1,33.3,7,1,62437b4f
Niklas Pyyhtiä,MF,Bologna,19-183,40,0,0,,1,2,88f53b75
Fabio Quagliarella,FW,Sampdoria,40-055,173,5,2,40.0,18,3,ee4f2f3b
Giacomo Quagliata,DF,Cremonese,23-036,313,12,4,33.3,9,4,1b9c7401
Adrien Rabiot,MF,Juventus,27-358,1078,40,19,47.5,43,25,8794e251
Nemanja Radonjić,MFFW,Torino,27-040,567,88,29,33.0,47,29,0630eb63
Ivan Radovanović,MFDF,Salernitana,34-210,323,1,0,0.0,6,0,023937a9
Ionuț Radu,GK,Cremonese,25-303,366,0,0,,0,0,67f649be
Antonio Raimondo,FW,Bologna,19-009,6,0,0,,1,1,ce1a6c7e
Luca Ranieri,DF,Fiorentina,23-338,181,2,1,50.0,2,0,8c63fae5
Andrea Ranocchia,DF,Monza,35-039,35,0,0,,0,0,539230cf
Filippo Ranocchia,MF,Monza,21-317,328,15,8,53.3,10,10,d9ebed1c
Giacomo Raspadori,FWMF,Napoli,23-037,384,14,4,28.6,21,9,6e058f06
Giacomo Raspadori,FW,Sassuolo,23-037,15,0,0,,2,1,6e058f06
Ante Rebić,FWMF,Milan,29-187,284,18,7,38.9,18,11,536cebe5
Arkadiusz Reca,DF,Spezia,27-283,1076,46,14,30.4,28,8,6213fd82
Panagiotis Retsos,DF,Hellas Verona,24-230,76,1,1,100.0,0,1,4bd00a50
Franck Ribéry,MF,Salernitana,39-354,28,3,0,0.0,0,1,f61c7c4e
Samuele Ricci,MF,Torino,21-218,919,18,5,27.8,13,13,9823be92
Tomás Rincón,MF,Sampdoria,35-073,999,31,18,58.1,19,19,f1cfc209
Pablo Rodríguez,FWMF,Lecce,21-235,32,1,0,0.0,1,2,1d4e63b6
Ricardo Rodríguez,DF,Torino,30-214,1334,8,4,50.0,11,7,7f78ad23
Rogério,DF,Sassuolo,25-073,1628,27,16,59.3,18,4,10e7f486
Alessio Romagnoli,DF,Lazio,28-074,1442,1,1,100.0,4,3,3ead85f9
Simone Romagnoli,DF,Lecce,33-046,20,0,0,,0,0,09899de8
Luka Romero,FW,Lazio,18-129,112,10,2,20.0,5,4,ca6edaa0
Marten de Roon,MF,Atalanta,31-363,1455,7,3,42.9,13,9,2a1beb34
Nicolò Rovella,MF,Monza,21-113,966,9,4,44.4,13,6,e58cbfd5
Nicolò Rovella,MF,Juventus,21-113,29,2,2,100.0,1,0,e58cbfd5
Amir Rrahmani,DF,Napoli,29-031,1625,3,2,66.7,5,1,4b3e1a38
Ruan,DF,Sassuolo,23-293,611,3,2,66.7,2,4,a378a02a
Daniele Rugani,DF,Juventus,28-241,233,0,0,,1,0,14b8fcdf
Matteo Ruggeri,DFMF,Atalanta,20-259,626,8,3,37.5,5,5,ae9898c5
Mário Rui,DF,Napoli,31-304,1624,12,5,41.7,9,6,0b5a292a
Abdelhamid Sabiri,MF,Sampdoria,26-119,585,38,13,34.2,31,25,4830e0af
Alexis Saelemaekers,FWDF,Milan,23-273,508,29,10,34.5,28,16,ee251371
Jacopo Sala,MF,Spezia,31-112,57,3,0,0.0,1,0,da5a981b
Lazar Samardzic,MF,Udinese,21-031,661,40,17,42.5,20,14,217c93a1
Junior Sambia,DF,Salernitana,26-201,368,21,6,28.6,7,6,24eb7ed6
Antonio Sanabria,FW,Torino,27-023,591,22,10,45.5,51,16,0a447501
Leandro Sanca,FWMF,Spezia,23-082,17,5,3,60.0,1,1,4295f19c
Alex Sandro,DF,Juventus,32-060,1177,21,14,66.7,23,11,0d82903c
Nicola Sansone,FW,Bologna,31-198,175,12,3,25.0,16,8,7eb97a8e
Riccardo Saponara,FW,Fiorentina,31-096,485,36,15,41.7,22,15,3bb7af3b
Martin Satriano,FW,Empoli,22-035,563,46,17,37.0,48,43,86383d0e
Giorgio Scalvini,DF,Atalanta,19-106,1094,18,7,38.9,8,6,1e9aa637
Jerdy Schouten,MF,Bologna,26-074,1091,29,13,44.8,32,16,2cfae697
Perr Schuurs,DF,Torino,23-121,1010,10,6,60.0,15,6,e613313c
Demba Seck,FWMF,Torino,22-045,178,22,12,54.5,22,11,16463a79
Jacopo Segre,DF,Torino,26-038,12,0,0,,0,0,3cb132e6
Vivaldo Semedo,FW,Udinese,18-058,0,0,0,,0,1,b6baba31
Stefano Sensi,MF,Monza,27-234,1179,22,7,31.8,23,14,b70bde8f
Luigi Sepe,GK,Salernitana,31-323,692,0,0,,1,0,343f753a
Leonardo Sernicola,DF,Cremonese,25-240,948,39,14,35.9,22,19,dd7febd8
Stephan El Shaarawy,DFMF,Roma,30-151,690,49,16,32.7,22,6,d3aaad90
Eldor Shomurodov,FW,Spezia,27-271,149,17,4,23.5,16,8,57469b2d
Eldor Shomurodov,FW,Roma,27-271,53,4,1,25.0,4,5,57469b2d
Marco Silvestri,GK,Udinese,32-025,858,0,0,,0,0,0d422df7
Giovanni Simeone,FW,Napoli,27-265,127,8,3,37.5,17,8,343c0d52
Wilfried Singo,DF,Torino,22-092,940,36,20,55.6,21,15,8b609c34
Salvatore Sirigu,GK,Fiorentina,36-074,40,0,0,,0,0,10dc46f0
Leo Skiri Østigård,DF,Napoli,23-119,235,0,0,,4,0,b35a7399
Łukasz Skorupski,GK,Bologna,31-326,979,0,0,,1,0,ab4449d6
Milan Škriniar,DF,Inter,28-044,1546,3,3,100.0,14,3,30f5ffa9
Chris Smalling,DF,Roma,33-125,1297,3,2,66.7,9,2,b6964eb6
Ola Solbakken,MFFW,Roma,24-201,63,4,1,25.0,4,2,78f13530
Brandon Soppy,DF,Udinese,21-034,48,6,1,16.7,0,0,28f66c2e
Brandon Soppy,DF,Atalanta,21-034,359,23,6,26.1,15,7,28f66c2e
Roberto Soriano,FWMF,Bologna,32-047,692,14,6,42.9,22,13,9d4c45d6
Joaquin Sosa,DF,Bologna,21-076,359,4,3,75.0,5,2,50841bef
Riccardo Sottil,FW,Fiorentina,23-297,218,29,9,31.0,13,8,94816803
Matìas Soulé,MFDF,Juventus,19-346,190,21,10,47.6,9,5,c13ddd3e
Adama Soumaoro,DF,Bologna,30-282,907,2,2,100.0,5,0,7b075c75
Leonardo Spinazzola,DF,Roma,30-002,844,50,23,46.0,19,8,3626daea
Marco Sportiello,GK,Atalanta,30-321,251,0,0,,0,1,ac4003af
Petar Stojanović,DF,Empoli,27-171,1068,26,7,26.9,10,14,13b44b02
Gabriel Strefezza,FW,Lecce,25-343,939,73,27,37.0,59,42,674cfc5a
Dávid Strelec,FW,Spezia,21-357,60,3,0,0.0,3,4,2cb9486d
Isaac Success,FW,Udinese,27-079,762,62,28,45.2,82,42,f573a8bf
Ibrahim Sulemana,MF,Hellas Verona,19-309,165,9,4,44.4,6,5,230c3f3a
Wojciech Szczęsny,GK,Juventus,32-343,548,0,0,,1,0,01b8a2b2
Benjamin Tahirovic,MF,Roma,20-024,79,1,1,100.0,1,0,eb3022c3
Adrien Tameze,MF,Hellas Verona,29-051,1031,35,18,51.4,29,25,8da74c05
Ciprian Tătărușanu,GK,Milan,37-046,587,0,0,,0,0,b056e3da
Filippo Terracciano,DFMF,Hellas Verona,20-047,273,6,2,33.3,11,3,5cbb5ad6
Pietro Terracciano,GK,Fiorentina,33-019,883,1,1,100.0,1,0,e1b0a70d
Aleksa Terzić,DF,Fiorentina,23-222,502,17,9,52.9,10,5,3ef0a2d7
Florian Thauvin,FW,Udinese,30-060,108,6,0,0.0,10,3,2b9fdeea
Malick Thiaw,DF,Milan,21-231,493,4,1,25.0,3,1,ff5ea0bf
Kristian Thorstvedt,MF,Sassuolo,24-014,526,7,2,28.6,17,11,76ff8d0d
Jeremy Toljan,DF,Sassuolo,28-231,1241,11,5,45.5,20,10,a96e5dc0
Rafael Tolói,DF,Atalanta,32-168,1380,13,5,38.5,14,3,c56dc39e
Fikayo Tomori,DF,Milan,25-098,1531,5,2,40.0,9,2,7edfbb8a
Sandro Tonali,MF,Milan,22-323,1147,15,6,40.0,30,7,0db169ae
William Troost-Ekong,DF,Salernitana,29-207,148,0,0,,1,0,7ed4921e
Frank Tsadjout,FWMF,Cremonese,23-242,226,7,3,42.9,22,6,0588a092
Alessandro Tuia,DF,Lecce,32-292,214,3,1,33.3,0,0,26c54058
Martin Turk,GK,Sampdoria,19-218,75,0,0,,0,0,14ae023f
Iyenoma Udogie,DF,Udinese,20-119,1129,83,30,36.1,45,26,7cd520e8
Samuel Umtiti,DF,Lecce,29-133,679,8,2,25.0,6,4,3eed9821
Diego Valencia,MFFW,Salernitana,23-072,109,2,0,0.0,7,3,71005acd
Emanuele Valeri,DF,Cremonese,24-110,1113,51,8,15.7,47,19,ec52b661
Mattia Valoti,MF,Monza,29-202,135,3,1,33.3,6,1,c414df9d
Johan Vásquez,DF,Cremonese,24-156,611,6,4,66.7,9,6,5eaed77a
Matías Vecino,MF,Lazio,31-215,893,4,2,50.0,17,3,44ac04e9
Miguel Veloso,MF,Hellas Verona,36-320,576,8,4,50.0,5,4,ab1ca213
Lorenzo Venuti,DF,Fiorentina,27-349,499,2,1,50.0,9,1,983ff2c7
Daniele Verde,FWMF,Spezia,26-280,353,11,4,36.4,12,10,d3298c99
Simone Verdi,MF,Hellas Verona,30-258,331,31,16,51.6,20,21,0375723e
Valerio Verre,MF,Sampdoria,29-075,493,20,10,50.0,22,20,33ecf462
Guglielmo Vicario,GK,Empoli,26-171,1078,0,0,,0,0,77d6fd4d
Ronaldo Vieira,MF,Torino,24-251,,,,,,,75e60d75
Ronaldo Vieira,MF,Sampdoria,24-251,,,,,,,75e60d75
Emanuel Vignato,MFFW,Bologna,22-215,116,2,1,50.0,2,4,ec5dae45
Emanuel Vignato,FWMF,Empoli,22-215,27,0,0,,2,0,ec5dae45
Samuele Vignato,FWMF,Monza,19-031,16,2,1,50.0,1,0,a14d0ab0
Tonny Vilhena,MF,Salernitana,28-083,757,27,10,37.0,31,22,c7069d87
Gonzalo Villar,MF,Sampdoria,25-004,453,6,3,50.0,10,4,bdc74a8f
Matías Viña,DF,Roma,25-138,49,1,1,100.0,3,0,08eb3b58
Dušan Vlahović,FW,Juventus,23-058,472,24,10,41.7,43,30,79443529
Nikola Vlašić,MFFW,Torino,25-174,925,38,19,50.0,75,39,aa8e289e
Joel Voelkerling Persson,FW,Lecce,20-071,27,1,1,100.0,3,2,b3ef6517
Mërgim Vojvoda,DF,Torino,28-054,902,20,10,50.0,12,14,be2706c0
Cristian Volpato,MF,Roma,19-132,123,8,3,37.5,9,5,72f87f25
Lukáš Vorlický,MFFW,Atalanta,21-068,36,7,4,57.1,1,1,f052fb01
Aster Vranckx,MF,Milan,20-174,45,2,1,50.0,1,7,f86cd5df
Stefan de Vrij,DF,Inter,31-050,928,4,4,100.0,2,3,d0d8dd44
Walace,MF,Udinese,27-357,1592,21,5,23.8,30,27,26db8853
Sebastian Walukiewicz,DF,Empoli,22-356,104,0,0,,0,0,217875a4
Georginio Wijnaldum,MF,Roma,32-136,138,10,3,30.0,6,4,eb58eef0
Harry Winks,MF,Sampdoria,27-053,577,15,6,40.0,9,10,2f7acede
Przemysław Wiśniewski,DF,Spezia,24-243,60,0,0,,2,1,1bfe5ac9
Gerard Yepes,MF,Sampdoria,20-214,128,1,0,0.0,3,1,ee9040b4
Mattia Zaccagni,FW,Lazio,27-284,915,78,35,44.9,36,23,d85c238b
Denis Zakaria,MF,Juventus,26-127,51,0,0,,1,1,384d58d9
Nicola Zalewski,DF,Roma,21-063,967,44,20,45.5,20,8,45191c29
Andre-Frank Zambo Anguissa,MF,Napoli,27-131,1781,56,26,46.4,51,36,6bb2c084
Luca Zanimacchia,MFFW,Cremonese,24-251,416,14,5,35.7,20,12,5e834dce
Nicolò Zaniolo,MFFW,Roma,23-268,344,47,10,21.3,39,35,9907b1c8
Alessandro Zanoli,DF,Sampdoria,22-175,346,14,9,64.3,6,5,3b12b11f
Alessandro Zanoli,DF,Napoli,22-175,14,0,0,,0,0,3b12b11f
Mattia Zanotti,DF,Inter,20-075,1,0,0,,0,0,875d65d1
Duván Zapata,FW,Atalanta,31-360,370,27,13,48.1,25,28,d3de9af0
Davide Zappacosta,DFMF,Atalanta,30-289,493,30,10,33.3,15,3,7fe90ccd
Karim Zedadka,DF,Napoli,22-291,2,0,0,,0,0,2f45300d
Deyovaisio Zeefuik,DF,Hellas Verona,25-016,10,1,0,0.0,0,0,58a2e9f6
Marvin Zeegelaar,DF,Udinese,32-227,6,0,0,,1,0,8abd0c03
Alessio Zerbin,FWMF,Napoli,24-024,44,1,1,100.0,3,3,d19ef4ef
Piotr Zieliński,MF,Napoli,28-311,1244,43,15,34.9,17,11,a5296e55
David Zima,DF,Torino,22-139,245,1,1,100.0,1,2,acf7e795
Joshua Zirkzee,FW,Bologna,21-309,231,19,10,52.6,23,15,028e70b9
Jeroen Zoet,GK,Spezia,32-080,68,1,1,100.0,0,0,cc1a0c57
Nadir Zortea,DFMF,Atalanta,23-281,153,21,10,47.6,6,2,82598b71
Nadir Zortea,DF,Sassuolo,23-281,366,16,4,25.0,7,2,82598b71
Petar Zovko,GK,Spezia,21-002,38,0,0,,0,0,54f6afe3
Szymon Żurkowski,MF,Fiorentina,25-183,25,1,0,0.0,1,1,4e1d5e59
Szymon Żurkowski,MF,Spezia,25-183,60,4,3,75.0,3,1,4e1d5e59
Milan Đurić,FW,Hellas Verona,32-309,377,4,1,25.0,20,6,405f6586
Filip Đuričić,MFFW,Sampdoria,31-056,749,63,26,41.3,49,38,eccbe56a
