Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Erik Botheim,FW,Salernitana,23-076,117,3,2,66.7,8,5,3d13d9e4
Mehdi Bourabia,MF,Spezia,31-232,1297,49,21,42.9,41,19,0d077b88
Edoardo Bove,MF,Roma,20-315,173,6,4,66.7,16,9,ae94a6c5
Jayden Braaf,MF,Hellas Verona,20-208,93,16,11,68.8,12,10,c609e90e
Domagoj Bradarić,DF,Salernitana,23-107,889,31,7,22.6,21,8,8bbe2df5
Josip Brekalo,FW,Fiorentina,24-277,39,1,0,0.0,0,1,d4a2533d
Gleison Bremer,DF,Juventus,26-009,1504,6,2,33.3,13,6,5fd5ed86
Dylan Bronn,DF,Salernitana,27-281,1034,10,5,50.0,5,2,edd81e2a
Marcelo Brozović,MF,Inter,30-131,965,10,7,70.0,11,3,33b8d077
Cristian Buonaiuto,MFFW,Cremonese,30-088,412,31,14,45.2,20,14,f3a9fa26
Alessandro Buongiorno,DF,Torino,23-294,1159,10,4,40.0,26,6,4ae67f27
Juan Cabal,DF,Hellas Verona,22-078,105,2,1,50.0,2,0,ef6eef89
Liberato Cacace,DF,Empoli,22-181,347,13,5,38.5,2,4,dd86e8e4
Davide Calabria,DF,Milan,26-111,875,10,2,20.0,6,3,2146785a
Mattia Caldara,DF,Spezia,28-326,723,5,2,40.0,7,4,ac7e640b
Luca Caldirola,DF,Monza,32-054,1156,1,0,0.0,3,1,226008f1
Hakan Çalhanoğlu,MF,Inter,29-047,1535,20,7,35.0,26,9,cd0fa27b
Mohamed Camara,MF,Roma,26-027,245,9,6,66.7,4,5,13ea2544
Nicolò Cambiaghi,FWMF,Empoli,22-089,304,23,10,43.5,18,10,91ff775f
Andrea Cambiaso,DF,Bologna,23-035,1299,47,23,48.9,32,14,247ed022
Matteo Cancellieri,FW,Lazio,21-043,127,9,3,33.3,11,2,b6a1cdf9
Antonio Candreva,DFMF,Salernitana,36-027,1399,25,5,20.0,19,6,356c9002
Gianluca Caprari,MFFW,Monza,29-240,1024,65,23,35.4,63,23,54e53b7e
Francesco Caputo,FW,Sampdoria,35-233,309,9,3,33.3,21,14,5bd72174
Francesco Caputo,FW,Empoli,35-233,281,9,1,11.1,26,15,5bd72174
Andrea Carboni,DF,Monza,22-051,104,3,1,33.3,0,0,f7e2af2c
Franco Carboni,DF,Monza,19-357,49,5,2,40.0,0,0,b033f803
Valentin Carboni,MFDF,Inter,18-022,25,2,1,50.0,2,1,707b98f1
Carlos,DF,Monza,24-079,1415,42,26,61.9,28,18,8d3cd59d
Marco Carnesecchi,GK,Cremonese,22-269,667,0,0,,0,0,8ec56e62
Nicolò Casale,DF,Lazio,25-041,1232,2,0,0.0,4,1,3f5f38fb
Tommaso Cassandro,DF,Lecce,23-077,8,0,0,,0,0,6c4307ee
Michele Castagnetti,MF,Cremonese,33-090,514,4,2,50.0,11,0,ad92526f
Gaetano Castrovilli,MF,Fiorentina,26-038,75,3,1,33.3,4,4,0728bebe
Danilo Cataldi,MF,Lazio,28-233,1295,15,5,33.3,5,6,ba3d3bea
Pietro Ceccaroni,DF,Lecce,27-096,10,0,0,,0,0,4d1efb48
Federico Ceccherini,DF,Hellas Verona,30-320,585,2,1,50.0,11,5,d9624b51
Assan Ceesay,FW,Lecce,29-010,440,25,15,60.0,47,17,07f8bcc8
Emil Ceide,FW,Sassuolo,21-205,151,19,5,26.3,7,5,98a84572
Zeki Çelik,DF,Roma,26-038,746,8,3,37.5,12,11,31a62dc7
Federico Chiesa,DFMF,Juventus,25-153,213,20,12,60.0,9,6,b0f7e36c
Vlad Chiricheș,DF,Cremonese,33-133,414,1,0,0.0,1,3,c316607a
Daniel Ciofani,FW,Cremonese,37-239,196,1,0,0.0,18,6,b09a3ecc
Tio Cipot,FWDF,Spezia,19-341,43,4,2,50.0,2,3,039a4fb6
Patrick Ciurria,DFMF,Monza,28-046,1082,25,4,16.0,38,12,5de3866c
Omar Colley,DF,Sampdoria,30-154,860,2,2,100.0,4,2,8b95acda
Lorenzo Colombo,FW,Lecce,21-019,485,31,10,32.3,63,33,04df29a5
Andrea Colpani,MF,Monza,23-320,329,22,9,40.9,14,9,6499048c
Andrea Consigli,GK,Sassuolo,36-059,1114,0,0,,1,0,8cabdc1e
Andrea Conti,DF,Sampdoria,29-025,11,0,0,,0,1,8fef5412
Diego Coppola,DF,Hellas Verona,19-089,620,4,2,50.0,8,2,22ae86f9
Joaquín Correa,FW,Inter,28-226,182,14,2,14.3,22,12,45b9b619
Alessandro Cortinovis,MF,Hellas Verona,22-061,8,0,0,,0,0,bfc359ed
Lassana Coulibaly,MF,Salernitana,26-351,1057,63,30,47.6,44,24,85a44ecc
Alessio Cragno,GK,Monza,28-272,32,0,0,,0,0,f554e29b
Bryan Cristante,MF,Roma,28-024,1491,9,7,77.8,21,8,16657b95
Domen Črnigoj,MF,Salernitana,27-129,160,4,2,50.0,13,1,22cd43d2
Juan Cuadrado,DFFW,Juventus,34-305,989,30,10,33.3,24,7,0ab1f153
Mickaël Cuisance,MF,Sampdoria,23-223,189,7,4,57.1,11,10,5722eced
Marco D'Alessandro,DFFW,Monza,32-038,141,5,1,20.0,4,5,060606ec
Danilo D'Ambrosio,DF,Inter,34-199,219,3,1,33.3,3,1,44eb9093
Luca D'Andrea,FW,Sassuolo,18-202,129,11,3,27.3,11,7,f778fe3f
Flavius Daniliuc,DF,Salernitana,21-334,968,3,1,33.3,8,3,7ef972c3
Danilo,DF,Juventus,31-255,1844,16,3,18.8,16,7,94b2001f
Matteo Darmian,DF,Inter,33-115,1053,22,7,31.8,12,6,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,27-311,747,5,1,20.0,6,4,16bb656a
Charles De Ketelaere,MF,Milan,22-017,406,43,28,65.1,21,20,2ef7c612
Manuel De Luca,FWMF,Sampdoria,24-253,14,0,0,,2,2,60e3603d
Mattia De Sciglio,DF,Juventus,30-158,595,8,2,25.0,8,7,ae4e2852
Lorenzo De Silvestri,DF,Bologna,34-308,304,3,2,66.7,4,4,e74f0e59
Koni De Winter,DF,Empoli,20-288,532,2,1,50.0,7,3,f4797849
Grégoire Defrel,FW,Sassuolo,31-283,210,15,5,33.3,19,9,854ee61a
Duccio Degli Innocenti,MF,Empoli,19-333,1,0,0,,0,0,0e0d6c53
Merih Demiral,DF,Atalanta,25-022,773,7,0,0.0,5,2,e3cceee6
Diego Demme,MF,Napoli,31-126,70,1,1,100.0,1,0,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,25-337,719,31,7,22.6,28,13,d97f2e8d
Fabio Depaoli,DFMF,Sampdoria,25-337,117,7,3,42.9,2,1,d97f2e8d
Kastriot Dermaku,DF,Lecce,31-071,2,0,0,,0,0,2990c466
Cyriel Dessers,FW,Cremonese,28-109,391,29,9,31.0,49,20,dcb38abe
Sergiño Dest,DF,Milan,22-144,246,18,8,44.4,3,5,5976f83e
Mattia Destro,FW,Empoli,32-007,112,7,3,42.9,12,5,d7d32194
Gerard Deulofeu,FW,Udinese,29-014,725,45,20,44.4,22,18,39583cfd
Samuel Di Carmine,FWMF,Cremonese,34-179,9,1,1,100.0,0,0,ef94dc2f
