Player,Pos,Squad,Age,SCA,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,1,8f5cdf66
Tammy Abraham,FW,Roma,25-176,58,f586779e
Christian Acella,MF,Cremonese,20-263,0,771a2cfe
Francesco Acerbi,DF,Inter,35-045,22,b96b595c
Yacine Adli,MFFW,Milan,22-241,2,26777636
Michel Aebischer,FWMF,Bologna,26-080,27,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,9,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,42,46fa7204
Ola Aina,DF,Torino,26-170,26,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,10,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,19,fdf4b948
Luis Alberto,MF,Lazio,30-180,59,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,6,ab472696
Kelvin Amian,DF,Spezia,25-047,25,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,0,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,9,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,29,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,33,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,70,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,0,38d9ce53
Marcos Antônio,MF,Lazio,22-287,2,108fe016
Valentin Antov,DF,Monza,22-138,2,8f68aa41
Marko Arnautović,FW,Bologna,33-342,35,00459419
Tolgay Arslan,MF,Udinese,32-223,35,963a328b
Arthur,FW,Fiorentina,24-336,26,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,25,e26fcca3
Kristoffer Askildsen,MF,Lecce,22-077,14,a69cc629
Kristjan Asllani,MF,Inter,21-018,7,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,5,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,46,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,5,2200181e
Jaime Báez,DF,Cremonese,27-336,5,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,39,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,6,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,0,59bf127b
