,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Alessandro Buongiorno,DF,Torino,21,12,9,858,9.5,0,0,4,0,4ae67f27
Maxime Busi,DF,Parma,20,24,11,1195,13.3,0,1,3,0,7b082ec2
Martín Cáceres,DF,Fiorentina,33,29,26,2238,24.9,2,2,4,0,e94d79e3
Felipe Caicedo,FW,Lazio,31,25,9,929,10.3,8,0,5,0,93b891d1
Arturo Calabresi,DFFW,Bologna,24,1,0,20,0.2,0,0,0,0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,2,0,14,0.2,0,0,0,0,34bb6fbd
Davide Calabria,DF,Milan,23,32,30,2647,29.4,2,1,7,0,2146785a
Riccardo Calafiori,DF,Roma,18,3,1,66,0.7,0,0,2,0,aded8e6f
Mattia Caldara,DF,Atalanta,26,6,1,111,1.2,0,0,1,0,ac7e640b
Luca Caldirola,DF,Benevento,29,25,17,1572,17.5,2,0,6,1,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,33,30,2614,29.0,4,9,4,0,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,10,2,183,2.0,0,0,2,0,22ca11f1
José Callejón,FWMF,Fiorentina,33,20,6,664,7.4,0,1,0,0,78841da9
Drissa Camara,MF,Parma,18,1,0,15,0.2,0,0,0,0,543d9d2b
Antonio Candreva,MF,Sampdoria,33,35,28,2505,27.8,5,8,1,0,356c9002
Elio Capradossi,DF,Spezia,24,1,1,90,1.0,0,0,0,0,174944a3
Gianluca Caprari,MFFW,Benevento,27,30,23,1865,20.7,5,6,4,1,54e53b7e
Francesco Caputo,FW,Sassuolo,32,25,19,1697,18.9,11,5,1,0,5bd72174
Andrea Carboni,DF,Cagliari,19,15,12,1085,12.1,0,1,2,0,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,2,0,54,0.6,0,0,0,0,099a2de5
Francesco Cassata,DFFW,Genoa,23,8,2,227,2.5,0,0,2,0,96960855
Samu Castillejo,FW,Milan,25,28,12,1181,13.1,1,0,5,0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,34,29,2332,25.9,5,3,8,1,0728bebe
Danilo Cataldi,MF,Lazio,25,19,4,568,6.3,0,0,4,0,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,25,23,1738,19.3,0,0,8,0,d9624b51
Federico Ceccherini,DF,Fiorentina,28,3,3,270,3.0,0,0,2,0,d9624b51
Luca Ceppitelli,DF,Cagliari,30,19,16,1465,16.3,0,0,3,0,7d50454d
Alberto Cerri,FW,Cagliari,24,23,3,369,4.1,1,0,1,0,1079c685
Julian Chabot,DF,Spezia,22,25,19,1655,18.4,1,1,11,1,ae7058f9
Giorgio Chiellini,DF,Juventus,35,17,16,1386,15.4,0,1,4,0,e85fb9b8
Federico Chiesa,DF,Fiorentina,22,3,3,240,2.7,1,1,0,0,b0f7e36c
Federico Chiesa,MFDF,Juventus,22,30,28,2210,24.6,8,8,3,1,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,30,24,22,1837,20.4,2,1,6,0,c316607a
Luca Cigarini,MF,Crotone,34,14,13,929,10.3,0,0,5,1,ae64d449
Antonio Cioffi,FW,Napoli,17,1,0,12,0.1,0,0,0,0,3f1107d5
Ebrima Colley,MFFW,Hellas Verona,20,23,4,734,8.2,1,0,1,0,bf356094
Omar Colley,DF,Sampdoria,27,29,28,2591,28.8,2,0,6,0,8b95acda
Simone Colombi,GK,Parma,29,2,2,180,2.0,0,0,0,0,72be9309
Lorenzo Colombo,FW,Milan,18,4,1,94,1.0,0,0,0,0,04df29a5
Andrea Consigli,GK,Sassuolo,33,37,37,3330,37.0,0,0,1,0,8cabdc1e
Andrea Conti,DF,Milan,26,3,0,28,0.3,0,0,0,0,8fef5412
Andrea Conti,DF,Parma,26,11,9,809,9.0,0,0,3,0,8fef5412
Alex Cordaz,GK,Crotone,37,36,36,3240,36.0,0,0,1,0,e66ebabb
Andreas Cornelius,FW,Parma,27,29,21,1898,21.1,1,4,4,0,c693347d
Joaquín Correa,FW,Lazio,25,28,25,1933,21.5,8,3,3,1,45b9b619
Félix Correia,MF,Juventus,19,1,0,7,0.1,0,0,0,0,c803c92a
Douglas Costa,MFFW,Juventus,29,2,0,42,0.5,0,0,0,0,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,6,6,540,6.0,0,0,2,0,18736214
Mamadou Coulibaly,MF,Udinese,21,3,2,184,2.0,0,0,0,0,c976160c
Alessio Cragno,GK,Cagliari,26,34,34,3060,34.0,0,0,1,0,f554e29b
Gian Crespi,GK,Crotone,19,1,1,90,1.0,0,0,0,0,4dea2f2c
Domenico Criscito,DF,Genoa,33,23,20,1726,19.2,1,0,6,0,35dd6d80
Bryan Cristante,DFMF,Roma,25,34,22,2155,23.9,1,3,8,0,16657b95
Giovanni Crociata,DF,Crotone,22,2,0,26,0.3,0,0,0,0,8c964914
Juan Cuadrado,DFMF,Juventus,32,30,26,2175,24.2,2,10,9,1,0ab1f153
Giuseppe Cuomo,DF,Crotone,22,13,8,801,8.9,0,0,4,0,ae5b04fe
Patrick Cutrone,FW,Fiorentina,22,11,0,196,2.2,0,0,0,0,a4fe8cda
Wylan Cyprien,MF,Parma,25,13,2,410,4.6,0,0,2,0,3e092724
Lennart-Marten Czyborra,DF,Genoa,21,17,15,1173,13.0,1,0,2,0,7ba1f1ef
Danilo D'Ambrosio,DF,Inter,31,19,7,699,7.8,3,0,2,0,44eb9093
Bryan Dabo,MF,Benevento,28,25,12,1117,12.4,0,0,5,0,c53083ad
Diogo Dalot,DF,Milan,21,21,10,1090,12.1,1,1,5,0,d9565625
Mikkel Damsgaard,MFFW,Sampdoria,20,35,18,1773,19.7,2,4,3,0,215f3907
Danilo,DFMF,Juventus,29,34,32,2916,32.4,1,4,6,0,94b2001f
Andrea Danzi,DF,Hellas Verona,21,2,1,104,1.2,0,0,1,0,263b855a
Ebrima Darboe,MF,Roma,19,5,4,323,3.6,0,0,2,0,cf043a33
Matteo Darmian,DF,Inter,30,26,14,1160,12.9,3,3,4,0,96e0490d
Matteo Darmian,DF,Parma,30,3,2,208,2.3,0,0,1,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,25,30,22,1860,20.7,0,0,9,0,16bb656a
Sebastien De Maio,DF,Udinese,33,15,9,853,9.5,0,0,1,0,952a03fe
Rodrigo De Paul,MF,Udinese,26,36,36,3201,35.6,9,9,5,2,162efffd
Mattia De Sciglio,DF,Juventus,27,1,0,24,0.3,0,0,0,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,32,29,25,2143,23.8,2,0,4,0,e74f0e59
Grégoire Defrel,MFFW,Sassuolo,29,28,14,1336,14.8,3,3,1,0,854ee61a
Alessandro Deiola,MF,Spezia,24,12,4,360,4.0,0,0,1,0,7f267d66
Alessandro Deiola,MF,Cagliari,24,12,7,615,6.8,0,0,2,0,7f267d66
Lorenzo Del Pinto,MF,Benevento,30,1,0,11,0.1,0,0,0,0,081b6080
Cristian Dell'Orco,DF,Spezia,26,8,2,262,2.9,0,0,0,0,b0243215
Merih Demiral,DF,Juventus,22,15,10,940,10.4,0,1,1,0,e3cceee6
Diego Demme,MF,Napoli,28,24,20,1590,17.7,2,3,6,0,dc3fa3b5
Stefano Denswil,DF,Bologna,27,5,1,115,1.3,0,0,0,0,5832ebfe
Fabio Depaoli,DF,Benevento,23,15,14,1120,12.4,0,0,2,0,d97f2e8d
Fabio Depaoli,MF,Sampdoria,23,2,1,77,0.9,0,0,0,0,d97f2e8d
Fabio Depaoli,DF,Atalanta,23,5,3,191,2.1,0,0,0,0,d97f2e8d
Kastriot Dermaku,DFMF,Parma,28,2,1,100,1.1,0,0,0,0,2990c466
Kiril Despodov,FW,Cagliari,23,1,0,11,0.1,0,0,0,0,13c8e5f6
Mattia Destro,FW,Genoa,29,29,22,1606,17.8,11,1,5,0,d7d32194
Gerard Deulofeu,FWMF,Udinese,26,13,7,598,6.6,1,1,0,0,39583cfd
Jacopo Dezi,FWMF,Parma,28,2,1,79,0.9,0,0,0,0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,31,11,6,500,5.6,0,0,1,0,ef94dc2f
Samuel Di Carmine,FW,Crotone,31,11,6,475,5.3,0,0,1,0,ef94dc2f
Giovanni Di Lorenzo,DF,Napoli,26,36,36,3240,36.0,3,6,11,0,230a2fac
Alessandro Di Pardo,FWDF,Juventus,21,4,0,14,0.2,0,0,0,0,e0ce7038
Giuseppe Di Serio,FWMF,Benevento,19,16,1,292,3.2,0,0,1,0,5048486b
Amad Diallo,MF,Atalanta,18,1,0,14,0.2,0,0,1,0,9dc96f10
Amadou Diambo,FW,Benevento,19,1,0,3,0.0,0,0,0,0,c3a847c7
Amadou Diawara,MF,Roma,23,18,7,658,7.3,1,0,4,1,bf309d24
Brahim Díaz,MFFW,Milan,20,27,15,1228,13.6,4,3,2,0,407feb71
Daan Dierckx,DF,Parma,17,7,6,471,5.2,0,0,1,0,3a35db3d
Mitchell Dijks,DF,Bologna,27,20,18,1481,16.5,0,0,7,1,0a3065c8
