Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Tammy Abraham,FW,Roma,23,485,696,69.7,f586779e
Francesco Acerbi,DF,Lazio,33,1837,2043,89.9,b96b595c
Michel Aebischer,MF,Bologna,24,205,239,85.8,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,114,152,75.0,0154d290
Kevin Agudelo,MFFW,Spezia,22,280,389,72.0,46fa7204
Ola Aina,DF,Torino,24,535,755,70.9,246d153b
Marley Aké,FWMF,Juventus,20,12,16,75.0,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,89,106,84.0,fdf4b948
Luis Alberto,MF,Lazio,28,1626,1970,82.5,5294a83f
Giorgio Altare,DF,Cagliari,22,531,799,66.5,aa5322d5
Wisdom Amey,DF,Bologna,15,20,29,69.0,35b4bc62
Kelvin Amian,DF,Spezia,23,887,1133,78.3,bcc81786
Nadiem Amiri,MFFW,Genoa,24,222,299,74.2,555d5edd
Ethan Ampadu,MFDF,Venezia,20,867,1165,74.4,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,645,716,90.1,5a2cb25d
Felipe Anderson,FW,Lazio,28,1118,1436,77.9,9f1893b9
Ebenezer Annan,DF,Bologna,18,4,11,36.4,39aa05a7
Cristian Ansaldi,DF,Torino,34,285,407,70.0,bbafc0c4
Janis Antiste,FW,Spezia,18,136,215,63.3,38d9ce53
Mattia Aramu,MFFW,Venezia,26,524,795,65.9,0847b5a5
Marko Arnautović,FW,Bologna,32,659,908,72.6,00459419
Tolgay Arslan,MF,Udinese,30,532,677,78.6,963a328b
Arthur,FW,Fiorentina,23,110,142,77.5,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,147,226,65.0,a69cc629
Kristjan Asllani,MF,Empoli,19,638,779,81.9,0fdcef0e
Emil Audero,GK,Sampdoria,24,706,1005,70.2,649b01d8
Tommaso Augello,DF,Sampdoria,26,1050,1368,76.8,3cd3b384
Ramzi Aya,DF,Salernitana,30,19,27,70.4,6a1f66a7
Kaan Ayhan,DF,Sassuolo,26,790,871,90.7,2200181e
Milan Badelj,MF,Genoa,32,1230,1575,78.1,e8c930bb
Nicola Bagnolini,GK,Bologna,17,0,4,0.0,ad263695
Issa Bah,FW,Venezia,19,6,6,100.0,956a78ea
Nedim Bajrami,MFFW,Empoli,22,621,898,69.2,f42d6c13
Tiemoué Bakayoko,MF,Milan,26,269,304,88.5,59bf127b
Tommaso Baldanzi,FW,Empoli,18,5,6,83.3,102e2599
Keita Baldé,FW,Cagliari,26,187,260,71.9,509a4ccb
Fodé Ballo-Touré,DF,Milan,24,230,272,84.6,f449640d
Filippo Bandinelli,MF,Empoli,26,537,733,73.3,d44360be
Mattia Bani,DF,Genoa,27,333,469,71.0,0821331c
Antonín Barák,MFFW,Hellas Verona,26,876,1107,79.1,01efac19
Francesco Bardi,GK,Bologna,29,33,49,67.3,0acda699
Nicolò Barella,MF,Inter,24,1554,1876,82.8,6928979a
Musa Barrow,FWMF,Bologna,22,698,923,75.6,e5bf73f3
Daniele Baselli,MFFW,Torino,29,64,89,71.9,ea06dd97
Daniele Baselli,MF,Cagliari,29,110,151,72.8,ea06dd97
Toma Bašić,MF,Lazio,24,386,451,85.6,80556f08
Alessandro Bastoni,DF,Inter,22,1599,1810,88.3,75b86fb3
Simone Bastoni,MFDF,Spezia,24,876,1224,71.6,1ac232b8
Rodrigo Becão,DF,Udinese,25,1117,1428,78.2,19e4eab9
Valon Behrami,MFFW,Genoa,36,44,66,66.7,d3d758d8
Vid Belec,GK,Salernitana,31,367,575,63.8,4f8ce0e1
