Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Gennaro Acampora,MFFW,Spezia,26,185,223,83.0,01040647
Francesco Acerbi,DF,Lazio,32,1854,2097,88.4,b96b595c
Andrea Adorante,FW,Parma,20,1,1,100.0,7005ac66
Lucien Agoume,MF,Spezia,18,434,487,89.1,8bc8829a
Kevin Agudelo,FW,Spezia,21,228,328,69.5,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,293,361,81.2,fdf4b948
Luis Alberto,MF,Lazio,27,1493,1946,76.7,5294a83f
Bruno Alves,DF,Parma,38,790,931,84.9,585a73a8
Wisdom Amey,DF,Bologna,14,5,5,100.0,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,1210,1378,87.8,5a2cb25d
Djavan Anderson,DF,Lazio,25,23,32,71.9,ca241ad3
Nícolas Andrade,GK,Udinese,32,34,40,85.0,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,3,3,100.0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,0,0,,f5409698
Cristian Ansaldi,DFFW,Torino,33,674,997,67.6,bbafc0c4
Valentin Antov,DF,Bologna,19,108,122,88.5,8f68aa41
Nicolò Armini,DF,Lazio,19,3,5,60.0,2f7407fa
Tolgay Arslan,MF,Udinese,29,749,890,84.2,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,95,114,83.3,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,10,19,52.6,a69cc629
Emil Audero,GK,Sampdoria,23,877,1247,70.3,649b01d8
Tommaso Augello,DF,Sampdoria,25,1564,2061,75.9,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,515,567,90.8,2200181e
Milan Badelj,MF,Genoa,31,1295,1597,81.1,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,1080,1228,87.9,59bf127b
Keita Baldé,FW,Sampdoria,25,230,315,73.0,509a4ccb
Botond Balogh,DF,Parma,18,59,79,74.7,348bafd4
Mattia Bani,DF,Genoa,26,443,529,83.7,0821331c
Mattia Bani,DF,Parma,26,633,712,88.9,0821331c
Antonín Barák,MF,Hellas Verona,25,1017,1311,77.6,01efac19
Federico Barba,DF,Benevento,26,1095,1396,78.4,c010b898
Nicolò Barella,MF,Inter,23,1591,1931,82.4,6928979a
Antonio Barreca,DF,Fiorentina,25,32,51,62.7,6a189491
Musa Barrow,FWMF,Bologna,21,818,1165,70.2,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,91,124,73.4,6029a945
Daniele Baselli,MF,Torino,28,163,217,75.1,ea06dd97
Alessandro Bastoni,DF,Inter,21,2065,2306,89.5,75b86fb3
Simone Bastoni,DF,Spezia,23,794,1068,74.3,1ac232b8
Bastos,DF,Lazio,29,38,41,92.7,c01c66d9
Rodrigo Becão,DF,Udinese,24,1173,1371,85.6,19e4eab9
Valon Behrami,MF,Genoa,35,162,218,74.3,d3d758d8
Andrea Belotti,FW,Torino,26,481,716,67.2,d705ba44
Ahmad Benali,MF,Crotone,28,662,788,84.0,a128b07e
Ismaël Bennacer,MF,Milan,22,851,984,86.5,db092d3b
Rodrigo Bentancur,MF,Juventus,23,1643,1851,88.8,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,6,11,54.5,ec1f737d
Domenico Berardi,FW,Sassuolo,25,984,1310,75.1,53a0e358
Álex Berenguer,MF,Torino,25,32,47,68.1,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,1203,1496,80.4,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,447,585,76.4,ee93c1a9
Marco Bertini,MF,Lazio,17,2,2,100.0,4b520f96
Daniel Bessa,MF,Hellas Verona,27,252,299,84.3,88895312
Cristiano Biraghi,DF,Fiorentina,27,1175,1735,67.7,9e1577aa
Davide Biraschi,DF,Genoa,26,405,518,78.2,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,675,764,88.4,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,761,956,79.6,d995ed27
Federico Bonazzoli,FW,Torino,23,129,155,83.2,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,19,27,70.4,bf57eaab
Kevin Bonifazi,DF,Udinese,24,1204,1360,88.5,fb77bfef
Leonardo Bonucci,DF,Juventus,33,1363,1518,89.8,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,302,363,83.2,0d077b88
Edoardo Bove,MF,Roma,18,11,11,100.0,ae94a6c5
Jayden Braaf,FW,Udinese,17,20,28,71.4,c609e90e
Gleison Bremer,DF,Torino,23,1371,1664,82.4,5fd5ed86
Marcelo Brozović,MF,Inter,27,2012,2297,87.6,33b8d077
Gastón Brugman,MF,Parma,27,925,1099,84.2,e947ee4a
Juan Brunetta,FWMF,Parma,23,153,191,80.1,d60099bc
Gianluigi Buffon,GK,Juventus,42,259,307,84.4,e40d028b
Alessandro Buongiorno,DF,Torino,21,362,436,83.0,4ae67f27
Maxime Busi,DF,Parma,20,652,786,83.0,7b082ec2
Martín Cáceres,DF,Fiorentina,33,818,1056,77.5,e94d79e3
Felipe Caicedo,FW,Lazio,31,185,261,70.9,93b891d1
Arturo Calabresi,DFFW,Bologna,24,3,5,60.0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,15,20,75.0,34bb6fbd
Davide Calabria,DF,Milan,23,1384,1792,77.2,2146785a
Riccardo Calafiori,DF,Roma,18,35,45,77.8,aded8e6f
Mattia Caldara,DF,Atalanta,26,52,59,88.1,ac7e640b
Luca Caldirola,DF,Benevento,29,681,806,84.5,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,1240,1614,76.8,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,43,58,74.1,22ca11f1
José Callejón,FWMF,Fiorentina,33,210,279,75.3,78841da9
Drissa Camara,MF,Parma,18,7,9,77.8,543d9d2b
Antonio Candreva,MF,Sampdoria,33,1093,1640,66.6,356c9002
Elio Capradossi,DF,Spezia,24,37,45,82.2,174944a3
Gianluca Caprari,MFFW,Benevento,27,507,711,71.3,54e53b7e
Francesco Caputo,FW,Sassuolo,32,317,410,77.3,5bd72174
Andrea Carboni,DF,Cagliari,19,470,610,77.0,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,10,18,55.6,099a2de5
Francesco Cassata,DFFW,Genoa,23,68,97,70.1,96960855
Samu Castillejo,FW,Milan,25,356,451,78.9,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,573,759,75.5,0728bebe
Danilo Cataldi,MF,Lazio,25,351,429,81.8,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,733,915,80.1,d9624b51
Federico Ceccherini,DF,Fiorentina,28,99,115,86.1,d9624b51
