Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Terem Moffi,FW,Lorient,22,413,567,72.8,065dc209
Dion Moise Sahi,FWMF,Strasbourg,19,36,42,85.7,cdc4458b
Florent Mollet,FWMF,Montpellier,29,951,1179,80.7,7e82a78f
Thomas Monconduit,MF,Lorient,30,997,1280,77.9,84d94b91
Jérémy Morel,DF,Lorient,37,248,296,83.8,e97150c0
Lebo Mothiba,FWMF,Troyes,25,102,128,79.7,3eaf8817
Lebo Mothiba,FW,Strasbourg,25,0,0,,3eaf8817
Baptiste Mouazan,MF,Lorient,19,24,33,72.7,81ac108d
Aimen Moueffek,MF,Saint-Étienne,20,205,235,87.2,2591b066
Harold Moukoudi,DF,Saint-Étienne,23,825,929,88.8,5f26e0c5
Jessy Moulin,GK,Troyes,35,164,239,68.6,28a65a2c
Steve Mounié,FW,Brest,26,429,723,59.3,19ba6c6d
Samuel Moutoussamy,MF,Nantes,24,598,709,84.3,af0c835b
Marshall Munetsi,MFDF,Reims,25,535,680,78.7,2acf0cd7
Junior Mwanga,DF,Bordeaux,18,44,54,81.5,ee158be5
Kévin N'Doram,MF,Metz,25,437,521,83.9,e50623a0
Eric N'Jo,DF,Troyes,17,22,27,81.5,b85e57bb
Vital N'Simba,DF,Clermont Foot,28,1415,1836,77.1,249ac66d
Mickael Nade,DF,Saint-Étienne,22,985,1216,81.0,a6b6fa6e
Paul Nardi,GK,Lorient,27,299,536,55.8,2d70dbe5
Keylor Navas,GK,Paris S-G,34,501,547,91.6,ecada4fc
Papa Ndiaga Yade,DFFW,Metz,21,226,312,72.4,87e9c7cd
Tanguy Ndombele,MF,Lyon,24,466,525,88.8,5cdddffa
Dan Ndoye,FWMF,Nice,20,37,52,71.2,8e697a8f
Neymar,FWMF,Paris S-G,29,1033,1314,78.6,69384e5d
Yvan Neyou,MF,Saint-Étienne,24,427,508,84.1,0ad37003
Opa Nguette,FWMF,Metz,27,184,253,72.7,75a63397
Sikou Niakaté,DF,Metz,22,176,226,77.9,8eef18aa
Ibrahima Niane,FW,Metz,22,301,426,70.7,46faabfa
M'Baye Niang,FW,Bordeaux,26,106,179,59.2,2054d037
Cheikh Niasse,FWMF,Lille,21,20,25,80.0,ff20acfe
Casimir Ninga,FW,Angers,28,56,71,78.9,91f2da4c
Arnaud Nordin,FWMF,Saint-Étienne,23,442,600,73.7,7b9a9e25
Alexander Nübel,GK,Monaco,24,839,1121,74.8,afb0c500
Gerzino Nyamsi,DF,Strasbourg,24,1214,1461,83.1,6043997c
Florent Ogier,DF,Clermont Foot,32,1264,1516,83.4,6993927b
Warmed Omari,DF,Rennes,21,1833,1986,92.3,4534a352
Jonas Omlin,GK,Montpellier,27,842,1071,78.6,c631f952
Amadou Onana,MF,Lille,19,516,623,82.8,828657ff
Jean Onana,MF,Bordeaux,21,863,1079,80.0,b5bb8188
Otávio,MF,Bordeaux,27,635,718,88.4,243f4a0b
Dango Ouattara,MFFW,Lorient,19,170,279,60.9,2f9e4435
Remi Oudin,MFFW,Bordeaux,24,446,694,64.3,ea02beaf
Alexandre Oukidja,GK,Metz,33,386,600,64.3,ae7d0ecd
Azzedine Ounahi,MF,Angers,21,782,909,86.0,83299cc0
Ambroise Oyongo,DF,Montpellier,30,256,357,71.7,e3e05edf
Vincent Pajot,MF,Metz,30,920,1079,85.3,f86ca403
Nicolas Pallois,DF,Nantes,33,906,1139,79.5,779847d6
Erik Palmer-Brown,DF,Troyes,24,541,652,83.0,e5c1e0ca
Emerson Palmieri,DF,Lyon,26,1541,1820,84.7,e0bc6fdc
Lucas Paquetá,MFFW,Lyon,23,1241,1586,78.2,9b6f7fd5
Rubén Pardo,MF,Bordeaux,28,1,1,100.0,2306bfde
Leandro Paredes,MF,Paris S-G,27,896,937,95.6,dff153a4
Strahinja Pavlović,DF,Monaco,20,330,399,82.7,25146df0
Dimitri Payet,FWMF,Marseille,34,1241,1675,74.1,58ae47b2
Timothee Pembele,DF,Bordeaux,18,434,609,71.3,f8ce97ca
Brayann Pereira,DFMF,Lens,18,14,17,82.4,5c42e7ce
Danilo Pereira,MF,Paris S-G,29,1464,1548,94.6,8fd9996f
Mathias Pereira Lage,DF,Angers,24,363,525,69.1,8846a40f
Luan Peres Petroni,DF,Marseille,27,1725,1975,87.3,a5549ec1
Lucas Perrin,DF,Strasbourg,22,1221,1454,84.0,49070d66
Danijel Petković,GK,Angers,28,352,456,77.2,b98cea65
Léo Pétrot,DF,Lorient,24,787,953,82.6,00638016
Romain Philippoteaux,MF,Brest,33,6,7,85.7,f98b15f0
Jérôme Phojo,DF,Clermont Foot,28,3,4,75.0,ff44d058
Jérémy Pied,DFFW,Lille,32,17,25,68.0,a634b9d2
Ronaël Pierre-Gabriel,DF,Brest,23,1198,1428,83.9,64ba07c0
Julian Pollersbeck,GK,Lyon,26,149,174,85.6,d6f6ce93
Gaëtan Poussin,GK,Bordeaux,22,346,484,71.5,c252c705
Sanjin Prcić,MF,Strasbourg,27,1176,1401,83.9,51c30111
Nicolas de Préville,FWMF,Metz,30,398,600,66.3,b0547a87
Nemanja Radonjić,FW,Marseille,25,9,10,90.0,0630eb63
Rafinha,FWMF,Paris S-G,28,169,188,89.9,0c2ac3cb
Predrag Rajković,GK,Reims,25,898,1266,70.9,58ad9383
Adil Rami,DF,Troyes,35,443,525,84.4,8dbff17c
Sergio Ramos,DF,Paris S-G,35,776,829,93.6,08511d65
Elba Rashani,FWMF,Clermont Foot,28,428,583,73.4,25749008
Jeff Reine-Adélaïde,MFDF,Lyon,23,139,167,83.2,d504b3e1
Tiago Ribeiro,FW,Monaco,19,2,2,100.0,507d7569
Sergio Rico,GK,Paris S-G,27,5,7,71.4,5f0241b2
Renaud Ripart,MFFW,Troyes,28,465,675,68.9,beae3a73
Mihailo Ristić,DF,Montpellier,25,784,1055,74.3,ea0aa7e0
Maxence Rivera,FW,Saint-Étienne,19,0,2,0.0,46a7b605
Patrick Roberts,MF,Troyes,24,4,5,80.0,59d93937
Stian Rode Gregersen,DF,Bordeaux,26,772,914,84.5,5f011e05
Gerson Rodrigues,FWMF,Troyes,26,157,223,70.4,3814b753
Valentin Rongier,MFDF,Marseille,26,1753,1950,89.9,ed45c4a5
Pablo Rosario,MF,Nice,24,1522,1737,87.6,1a6b7ea4
Roli Pereira de Sa,MF,Nantes,24,222,272,81.6,60f58477
Mathys Saban,FWMF,Saint-Étienne,19,11,14,78.6,7d9f3d69
Falaye Sacko,DF,Saint-Étienne,26,368,437,84.2,6388e356
Rafiki Said Ahamada,MFFW,Brest,21,42,57,73.7,c2e5f306
Wesley Saïd,FWMF,Lens,26,164,232,70.7,90fcf472
Mamadou Sakho,DF,Montpellier,31,1408,1579,89.2,87935cf3
Bakary Sako,FWMF,Saint-Étienne,33,30,43,69.8,381d7d54
William Saliba,DF,Marseille,20,2853,3068,93.0,972aeb2a
Romain Salin,GK,Rennes,37,30,33,90.9,74733221
