Player,Pos,Squad,Age,SCA,-9999
Craig Dawson,DF,West Ham,31,18,3e9e06cb
Kevin De Bruyne,MF,Manchester City,30,152,e46012d4
Troy Deeney,FW,Watford,33,1,82e34b69
Liam Delap,FW,Manchester City,18,1,dd897ee7
Fabian Delph,MF,Everton,31,6,111c3236
Leander Dendoncker,MF,Wolves,26,27,5a7301ae
Emmanuel Dennis,FWMF,Watford,23,85,2c44a35d
Kiernan Dewsbury-Hall,MF,Leicester City,22,77,5c74c0f5
Ibrahima Diallo,MF,Southampton,22,30,11ff3d56
Rúben Dias,DF,Manchester City,24,36,31c69ef1
Luis Díaz,FW,Liverpool,24,60,4a1a9578
Eric Dier,DF,Tottenham,27,30,ac861941
Lucas Digne,DF,Aston Villa,28,53,1b84dbe1
Lucas Digne,DF,Everton,28,35,1b84dbe1
Issa Diop,DF,West Ham,24,2,a712ca2b
Moussa Djenepo,MF,Southampton,23,18,254147d4
Lewis Dobbin,FWMF,Everton,18,0,e814e1cf
Matt Doherty,DF,Tottenham,29,30,d557d734
Gabriel Dos Santos,DF,Arsenal,23,22,67ac5bb8
Abdoulaye Doucouré,MF,Everton,28,57,02b29014
Kieran Dowell,FWMF,Norwich City,23,26,2f6ec02a
Cody Drameh,DFMF,Leeds United,19,2,e0d1510a
Martin Dúbravka,GK,Newcastle Utd,32,3,3a949a25
Shane Duffy,DF,Brighton,29,9,7314bba4
Paul Dummett,DF,Newcastle Utd,29,1,3fe6bd8c
Lewis Dunk,DF,Brighton,29,20,282f75f3
Ederson,GK,Manchester City,27,2,3bb7b8b4
Odsonne Édouard,FW,Crystal Palace,23,51,0562b7f1
CJ Egan-Riley,DF,Manchester City,18,0,d313e8ff
Anthony Elanga,FW,Manchester Utd,19,21,2fba6108
Harvey Elliott,MF,Liverpool,18,25,c8387671
Mohamed Elneny,MF,Arsenal,29,17,47a34c4f
Mohamed Elyounoussi,MFFW,Southampton,26,57,68dc0dac
Emerson,DFMF,Tottenham,22,50,df8b52a5
Christian Eriksen,MF,Brentford,29,57,980522ec
Oghenekaro Etebo,MF,Watford,25,5,b579e83d
Jonny Evans,DF,Leicester City,33,10,f8fcd2a5
Eberechi Eze,MFFW,Crystal Palace,23,24,ae4fc6a4
Łukasz Fabiański,GK,West Ham,36,3,9328b835
Fabinho,MF,Liverpool,27,53,7f3b388c
Kiko Femenía,DF,Watford,30,45,e5d01ecf
Evan Ferguson,MF,Brighton,16,0,4596da74
Nathan Ferguson,DF,Crystal Palace,20,0,2f8d27bc
Bruno Fernandes,MF,Manchester Utd,26,155,507c7bdf
Álvaro Fernández,GK,Brentford,23,0,f127d782
Federico Fernández,DF,Newcastle Utd,32,4,f25b010f
Fernandinho,MFDF,Manchester City,36,30,101da2b5
Roberto Firmino,FW,Liverpool,29,40,4c370d81
Junior Firpo,DFMF,Leeds United,24,52,24f59bb2
Ashley Fletcher,FW,Watford,25,2,eeb6551f
Phil Foden,FW,Manchester City,21,89,ed1e53f3
Wesley Fofana,DF,Leicester City,20,4,132a82f1
Pablo Fornals,FWMF,West Ham,25,109,82927de4
Adam Forshaw,MF,Leeds United,29,35,9f1938ab
Marcus Forss,FWMF,Brentford,22,1,82c215a0
Fraser Forster,GK,Southampton,33,3,c3e39f12
Ben Foster,GK,Watford,38,8,d0b3ceb9
Tariqe Fosu,DF,Brentford,25,1,3dcef539
Ryan Fraser,FWMF,Newcastle Utd,27,56,d56543a0
Fred,MF,Manchester Utd,28,56,b853e0ad
Ryan Fredericks,DF,West Ham,28,4,c067631c
Leo Fuhr Hjelde,MFDF,Leeds United,17,3,d102b8a2
Conor Gallagher,MF,Crystal Palace,21,91,c2731c10
Alejandro Garnacho,FWMF,Manchester Utd,17,0,7aa8adfe
Dwight Gayle,FWDF,Newcastle Utd,30,3,e58a03c6
Jean-Philippe Gbamin,MF,Everton,25,0,6bd603db
David de Gea,GK,Manchester Utd,30,3,7ba6d84e
Joe Gelhardt,FWMF,Leeds United,19,26,01962d0d
Anwar El Ghazi,FWMF,Aston Villa,26,11,ffa90327
Anwar El Ghazi,FWMF,Everton,26,0,ffa90327
Saman Ghoddos,MFDF,Brentford,27,27,f7b1d4e0
