Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Tammy Abraham,FW,Roma,23,34.3,92,35,38.0,f586779e
Francesco Acerbi,DF,Lazio,33,28.2,15,7,46.7,b96b595c
Michel Aebischer,MF,Bologna,24,4.9,2,2,100.0,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,7.4,17,7,41.2,0154d290
Kevin Agudelo,MFFW,Spezia,22,13.7,21,11,52.4,46fa7204
Ola Aina,DF,Torino,24,16.0,10,4,40.0,246d153b
Marley Aké,FWMF,Juventus,20,0.9,0,0,,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,3.5,3,0,0.0,fdf4b948
Luis Alberto,MF,Lazio,28,26.1,47,16,34.0,5294a83f
Giorgio Altare,DF,Cagliari,22,16.3,18,6,33.3,aa5322d5
Wisdom Amey,DF,Bologna,15,0.8,0,0,,35b4bc62
Kelvin Amian,DF,Spezia,23,29.4,26,7,26.9,bcc81786
Nadiem Amiri,MFFW,Genoa,24,7.6,16,6,37.5,555d5edd
Ethan Ampadu,MFDF,Venezia,20,25.4,7,1,14.3,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,10.5,4,3,75.0,5a2cb25d
Felipe Anderson,FW,Lazio,28,32.1,44,16,36.4,9f1893b9
Ebenezer Annan,DF,Bologna,18,0.3,0,0,,39aa05a7
Cristian Ansaldi,DF,Torino,34,7.7,7,1,14.3,bbafc0c4
Janis Antiste,FW,Spezia,18,8.8,11,2,18.2,38d9ce53
Mattia Aramu,MFFW,Venezia,26,23.3,55,15,27.3,0847b5a5
Marko Arnautović,FW,Bologna,32,29.9,89,32,36.0,00459419
Tolgay Arslan,MF,Udinese,30,18.4,23,9,39.1,963a328b
Arthur,FW,Fiorentina,23,8.3,23,8,34.8,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,8.4,7,0,0.0,a69cc629
Kristjan Asllani,MF,Empoli,19,15.0,17,6,35.3,0fdcef0e
Emil Audero,GK,Sampdoria,24,28.4,0,0,,649b01d8
Tommaso Augello,DF,Sampdoria,26,26.6,7,2,28.6,3cd3b384
Ramzi Aya,DF,Salernitana,30,1.5,1,0,0.0,6a1f66a7
Kaan Ayhan,DF,Sassuolo,26,15.0,5,1,20.0,2200181e
Milan Badelj,MF,Genoa,32,31.6,21,5,23.8,e8c930bb
Nicola Bagnolini,GK,Bologna,17,0.0,0,0,,ad263695
Issa Bah,FW,Venezia,19,0.1,0,0,,956a78ea
Nedim Bajrami,MFFW,Empoli,22,22.8,51,18,35.3,f42d6c13
Tiemoué Bakayoko,MF,Milan,26,5.6,4,0,0.0,59bf127b
Tommaso Baldanzi,FW,Empoli,18,0.2,0,0,,102e2599
Keita Baldé,FW,Cagliari,26,13.7,27,11,40.7,509a4ccb
Fodé Ballo-Touré,DF,Milan,24,5.0,2,1,50.0,f449640d
Filippo Bandinelli,MF,Empoli,26,21.7,35,11,31.4,d44360be
Mattia Bani,DF,Genoa,27,13.5,9,1,11.1,0821331c
Antonín Barák,MFFW,Hellas Verona,26,26.0,47,20,42.6,01efac19
Francesco Bardi,GK,Bologna,29,2.0,0,0,,0acda699
Nicolò Barella,MF,Inter,24,32.4,68,12,17.6,6928979a
Musa Barrow,FWMF,Bologna,22,23.7,71,27,38.0,e5bf73f3
Daniele Baselli,MFFW,Torino,29,1.7,1,0,0.0,ea06dd97
Daniele Baselli,MF,Cagliari,29,3.2,5,0,0.0,ea06dd97
Toma Bašić,MF,Lazio,24,10.9,16,11,68.8,80556f08
Alessandro Bastoni,DF,Inter,22,25.7,9,2,22.2,75b86fb3
Simone Bastoni,MFDF,Spezia,24,25.4,28,6,21.4,1ac232b8
Rodrigo Becão,DF,Udinese,25,34.8,19,5,26.3,19e4eab9
Valon Behrami,MFFW,Genoa,36,3.5,1,0,0.0,d3d758d8
Vid Belec,GK,Salernitana,31,21.5,0,0,,4f8ce0e1
Raoul Bellanova,DFFW,Cagliari,21,27.7,23,5,21.7,e3756e72
Andrea Belotti,FW,Torino,27,15.2,55,17,30.9,d705ba44
Marco Benassi,DFMF,Fiorentina,26,1.8,3,0,0.0,0000acda
Marco Benassi,MF,Empoli,26,4.2,7,3,42.9,0000acda
Filip Benković,DFFW,Udinese,24,0.1,1,1,100.0,305a3820
Ismaël Bennacer,MF,Milan,23,16.9,16,6,37.5,db092d3b
Rodrigo Bentancur,MF,Juventus,24,12.8,8,1,12.5,3b8674e6
Alessandro Berardi,GK,Hellas Verona,30,1.0,0,0,,ec1f737d
Domenico Berardi,FW,Sassuolo,26,31.3,104,40,38.5,53a0e358
Bartosz Bereszyński,DF,Sampdoria,29,32.7,6,0,0.0,61b3978f
Etrit Berisha,GK,Torino,32,10.0,0,0,,ee833569
Federico Bernardeschi,MFFW,Juventus,27,16.4,33,7,21.2,ee93c1a9
Nicolò Bertola,MFDF,Spezia,18,0.4,1,1,100.0,04b40c58
Daniel Bessa,MF,Hellas Verona,28,8.5,10,2,20.0,88895312
Beto,FW,Udinese,23,24.1,64,26,40.6,ed5c0319
Luis Binks,DF,Bologna,19,7.2,2,0,0.0,36e88fbc
Cristiano Biraghi,DF,Fiorentina,28,35.0,36,16,44.4,9e1577aa
Davide Biraschi,DF,Genoa,27,10.3,3,0,0.0,64cd167d
Bjarki Bjarkason,MF,Venezia,21,0.0,0,0,,f1d25de7
Jeremie Boga,FWMF,Atalanta,24,8.5,21,5,23.8,fe012aca
Jeremie Boga,FWMF,Sassuolo,24,7.4,15,5,33.3,fe012aca
Luka Bogdan,DF,Salernitana,25,4.4,2,0,0.0,cb678320
Emil Bohinen,MF,Salernitana,22,7.8,4,3,75.0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,31,25.2,46,14,30.4,d995ed27
Federico Bonazzoli,FWMF,Salernitana,24,20.7,55,20,36.4,bf57eaab
Kevin Bonifazi,DF,Bologna,25,13.4,9,0,0.0,fb77bfef
Leonardo Bonucci,DF,Juventus,34,22.3,14,3,21.4,52ec54d0
Mehdi Bourabia,MF,Spezia,29,3.1,1,1,100.0,0d077b88
Edoardo Bove,MFDF,Roma,19,0.8,1,1,100.0,ae94a6c5
Josip Brekalo,MF,Torino,23,25.4,44,17,38.6,d4a2533d
Gleison Bremer,DF,Torino,24,32.1,27,10,37.0,5fd5ed86
Marcelo Brozović,MF,Inter,28,32.6,32,13,40.6,33b8d077
Aleksander Buksa,FW,Genoa,18,0.7,0,0,,59f2d958
Alessandro Buongiorno,DF,Torino,22,13.1,6,1,16.7,4ae67f27
Gianluca Busio,MF,Venezia,19,21.7,14,5,35.7,4a0b7f07
Jovane Cabral,FW,Lazio,23,2.1,6,1,16.7,e34e086c
Liberato Cacace,DF,Empoli,20,5.2,1,0,0.0,dd86e8e4
Martín Cáceres,DF,Cagliari,34,9.2,7,1,14.3,e94d79e3
Felipe Caicedo,FW,Genoa,32,3.2,12,3,25.0,93b891d1
Felipe Caicedo,FWDF,Inter,32,0.3,0,0,,93b891d1
Davide Calabria,DF,Milan,24,23.5,36,8,22.2,2146785a
Riccardo Calafiori,DF,Genoa,19,0.9,1,0,0.0,aded8e6f
Riccardo Calafiori,DF,Roma,19,1.9,0,0,,aded8e6f
Mattia Caldara,DF,Venezia,27,30.0,16,7,43.8,ac7e640b
Hakan Çalhanoğlu,MF,Inter,27,27.6,62,15,24.2,cd0fa27b
José Callejón,FW,Fiorentina,34,14.4,17,5,29.4,78841da9
Andrea Cambiaso,DF,Genoa,21,19.9,13,5,38.5,247ed022
Matteo Cancellieri,MFDF,Hellas Verona,19,2.5,4,1,25.0,b6a1cdf9
Antonio Candreva,MFFW,Sampdoria,34,34.7,72,19,26.4,356c9002
Leonardo Capezzi,MF,Salernitana,26,1.9,0,0,,07ea0ef2
Gianluca Caprari,MFFW,Hellas Verona,28,30.4,65,26,40.0,54e53b7e
Francesco Caputo,FW,Sampdoria,33,31.0,53,28,52.8,5bd72174
Francesco Caputo,FW,Sassuolo,33,1.7,4,0,0.0,5bd72174
Andrea Carboni,DF,Cagliari,20,24.6,10,1,10.0,f7e2af2c
Nicolò Casale,DF,Hellas Verona,23,28.7,10,0,0.0,3f5f38fb
Francesco Cassata,MF,Genoa,24,0.1,0,0,,96960855
Samu Castillejo,FWMF,Milan,26,1.4,2,0,0.0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,24,15.5,15,2,13.3,0728bebe
